group,ARNT,ATF3,BACH1,BACH2,CEBPB,E2F7,EGR2,ELF2,ELK1,ELK4,EPAS1,ESR1,FOSL1,FOSL2,FOXO3,FOXP1,GTF2B,HIF1A,IKZF1,IRF3,JUNB,MAF,MAX,NFE2L2,NFYB,POU2F1,POU2F2,RARG,RFX5,RUNX2,SP4,SPI1,TFAP2A,ZBTB7B,ZNF76
healthy,-0.186125770296144,0.303438048370898,-0.148254719765085,-0.255020218996784,-0.0939526254960477,0.154383083409074,-0.209655559132276,-0.324108740126546,0.308865766779701,0.289567913266317,-0.116954692222484,-0.456637332870229,0.180007616586824,-0.372311660995575,-0.0489443371902553,0.40847805362571,0.370329897443946,0.386093326447717,-0.17824380371035,0.157308284399421,-0.449518764322538,0.0724456158726104,0.151763532549528,-0.180600211149667,0.487986384833323,0.286566915471627,0.216095785970903,0.272492459386145,-0.184646254434318,0.239039673876502,0.24494722274305,-0.289459139595867,-0.309442406040141,-0.220867985382348,-0.285553926473329
healthy,-0.285993091727658,0.220253884835323,-0.0170361494917434,-0.23262316771017,0.267293535023714,0.266713727114148,-0.325458164425125,0.284979337742224,0.29864431929255,0.315010751248011,-0.306993841179607,-0.142499131376704,0.279645522716935,-0.323580901421817,-0.279541751627176,0.305378347791711,0.0915790152452234,-0.310398381068005,0.264421585458448,0.317716917082353,-0.1005066993887,0.304455310435979,-0.314550585486914,-0.299379752189579,-0.303628749495962,0.315985531736331,0.281475995370683,0.261187228258424,-0.199359090128269,0.302233235627711,0.197192540290108,-0.202122030996166,-0.326330819476833,-0.231786954381505,-0.21318099420027
healthy,-0.323809038578875,0.262350811883062,0.214128375078583,-0.3156937688561,0.011541796714951,0.266233501086269,-0.243236739709116,0.128355018096413,0.42524933400273,0.499377209995373,-0.38617617222293,-0.482230575933014,0.159154083841391,-0.400571308755355,-0.359729855096518,0.275971224344208,0.403882260858762,0.168671913038325,0.144209964627755,0.226022038347058,-0.340522554863771,0.0715276800617525,-0.0805683170424622,-0.0792244503297208,-0.20592433725711,0.321854909803411,0.151693628752906,0.0944957534705848,-0.0470135132782439,0.15913731000199,0.273856254828321,-0.26851694579098,-0.373486049436141,0.0722782701837246,0.083229290707331
healthy,-0.0994728695745405,0.136225106745032,0.0557279610832122,-0.130795793334227,-0.228729069575997,0.0949192765188634,0.142457369678335,-0.294308437073811,0.149185773336494,-0.0097968800389818,-0.195210146862453,-0.287167268309603,0.147215016194519,-0.145044258918769,-0.101526518254656,0.15564679615489,0.280820303966357,0.191005432755088,0.152302258101997,0.118926499577383,-0.201101058956606,0.184586193422357,0.142253351505272,-0.162454643610339,0.145373060039434,0.178176264639093,0.0692743136215604,0.0114236032834906,0.0377946227879822,0.169049395531416,0.179929649069034,-0.121866014176987,-0.215243115922901,0.141053773666893,-0.226407526387359
healthy,0.411297867574104,0.12877439125467,-0.513601908747243,-0.43425235805119,-0.480610605726234,0.195384885560644,0.475388387433755,-0.451823136117087,0.417972500296739,0.432918360788958,-0.544768265494746,-0.459564596521012,0.0444779626777258,-0.24131600237281,-0.499321402587075,0.213299199614624,0.454671974982194,0.415564946162927,0.11646549455398,0.139183124902292,-0.535156524985459,0.496014621366033,-0.0196393440572734,-0.436424623582393,0.344067791247685,0.295851402723902,0.0185027179533402,-0.0303263658795119,-0.0618362807233202,0.18043327877287,0.503779426210794,0.0682252558637663,-0.544317363686569,-0.444284357450793,-0.522084361240187
moderate,0.430512161978343,-0.563018748390108,0.153736858018918,0.492643379015755,0.0275673714638541,-0.199360028638344,-0.111833031988285,-0.0336991571818955,-0.0109171844883352,-0.0673509341779466,-0.0543608665589148,-0.203399189481587,0.426623038390275,0.0027598958254417,-0.171212249897895,-0.0406048192687304,0.0734353397101435,-0.101820019379815,-0.0097484732375044,0.120629953160079,-0.103020317421209,0.301227428204004,-0.419788446582207,0.0292019878754891,0.0821730356496321,-0.510600469450818,-0.427084995202258,-0.290314192064489,-0.118703158935736,0.295415458740413,-0.0348086432004207,0.0873177341625799,-0.0302404036152476,0.0168870879047413,-0.259611831637258
moderate,-0.0804463520314602,-0.202386415366064,-0.165740606126252,0.0102912772780356,0.252210290770277,0.036158165696166,-0.0611792796563034,0.0422282017026292,0.396295315764391,0.357314375863006,-0.132397232316833,-0.479434148704929,-0.171999134142022,-0.400502680682825,-0.24568672636122,-0.322506373472267,0.297326549942894,-0.209477583120188,-0.426912444823761,0.0517805192635014,-0.41360718851392,0.314532349585094,-0.0119311070156554,-0.283821052587755,0.163066548954675,0.229118536363256,-0.104031722083478,-0.452354279662405,0.328845251622879,-0.434077717377983,-0.0911990424472074,0.246162289085465,-0.34276147732093,0.334859938350155,-0.206738691567278
moderate,-0.0594303375397344,-0.0846318216688918,0.0234507657455448,0.0979952882447957,-0.296472838479412,-0.421648339375165,-0.199571495796343,-0.0409839306479689,-0.160611835625982,-0.0502781690323417,-0.158736242926609,0.0504121292123274,-0.0404102822202781,0.220473338722598,0.187990097590119,0.204268624786663,0.154939703296523,-0.129816012186685,0.305115785596349,0.0144933050558107,-0.210703556717234,0.0855070682260177,0.141593695096094,-0.229292559114489,-0.094594959875749,0.121288966155963,-0.213205623509443,-0.0383889402443627,0.154464197220425,0.0699951702097221,0.0134241015788962,-0.389457535418108,-0.0765433750839636,-0.0633609499844865,-0.0996783131854391
severe,0.0730836170251134,0.0002099884685274,-0.122687331805125,0.0867345083347871,-0.0364857733009903,-0.251262709091508,0.160885214641363,-0.284382595731116,0.233500408474033,-0.124873976719143,-0.120755757861474,-0.31681582541142,-0.0420595129323046,-0.124784180907928,-0.223324520709172,0.0221493326094,0.201604764040858,0.0017380350504081,-0.0073742092293095,0.0429870884842371,-0.062663323849921,-0.0802927562021951,-0.0214446672621907,-0.0696223556441913,0.005849075165746,0.109166068071257,-0.140421614816816,0.098957199113058,0.0471973593292815,0.0654222991239492,0.0994893285160152,0.0926182875920304,-0.13224687326414,-0.087921010867252,-0.195385717006066
severe,0.0728158332760479,0.115546431942514,-0.34458552872633,-0.184492426659472,-0.0947675456082297,0.0754984634633744,-0.170041674405143,-0.149185382742027,-0.130109413642052,-0.143785891765465,0.26297207189053,0.0661232122990742,0.0098739827525129,-0.294272658499815,0.0387994210771817,0.0418888571234015,0.0739477343809373,0.209852085267569,0.278425670359487,-0.0460689243149516,-0.0371600098910094,-0.269777943709705,-0.101471678005361,-0.16001384718131,0.0514413758765379,0.0766957477784419,0.248921086137444,0.338288202188092,0.178605894949462,0.162111230694632,0.120922624025519,-0.427863489987928,-0.187137265158078,-0.19591203150946,0.130626751218722
