group,ATF1,CEBPD,E2F1,EGR1,ELK3,FOXP1,HEY1,HSF2,IRF2,JUNB,KLF1,KLF5,MAFF,MEIS1,MITF,MYBL2,MYC,NANOG,NR3C1,NRF1,POU2F1,RBPJ,RFX2,SMAD3,SREBF1,SRF,STAT3,STAT4,STAT5B,TBP,TP53,VEZF1,ZBTB7A,ZKSCAN1
healthy,0.0746182134227889,-0.206774408203263,-0.204040960158269,-0.234264069107295,-0.163424248661597,0.154598124646455,-0.0632404978479637,0.118125625551555,0.226706562411195,0.179916940924434,-0.306212993386181,0.0861845231328197,-0.135618904942554,-0.662364029898592,0.254700094848115,-0.094062805028792,0.128519506957681,-0.125740763715245,-0.103145674046629,0.0961099651935614,-0.266189868630664,0.176045449971205,-0.164843067738321,-0.0779321654560881,-0.265186876884377,0.255938063475121,0.480434569467821,-0.0475830854062422,0.36858809040704,0.267360926237886,0.236702343305962,0.0084502635401097,0.656643488425169,0.188215183691546
healthy,0.442963619632811,-0.526912490565334,0.482613515106243,-0.491909396969834,-0.418226802691932,-0.482745645354449,-0.414129736685038,0.415893529952813,0.490944570886581,-0.0371894125659913,0.512696481357068,0.546863287933812,-0.566584059702564,-0.505297092536391,0.51000416934795,0.302146124011383,0.493109801540398,-0.537074512151029,-0.511017357759838,0.523250400752695,-0.53919280429354,0.478835953708157,0.424231087832291,-0.378122915152796,-0.485437530218368,-0.379920389610518,0.45518168090332,0.449857347638905,0.50071206851038,0.427378388579243,0.478689854229926,0.420469046043099,0.472199098168552,0.50849028766194
healthy,0.108134242877231,-0.549924366836306,0.0781406272158736,-0.420607946841976,-0.41309628837646,-0.451958919298491,0.398255468723682,0.415969657111338,0.606053715351713,0.340615520526892,-0.763718878757728,0.424173998486602,-0.610648096080553,-0.689567211256958,0.537743832722916,0.532814722222251,0.548955149638744,-0.504847891569696,-0.476912007129433,0.379420402417482,-0.755847943461585,0.511260501297549,-0.131724874954727,-0.420626823169899,-0.413172749253298,0.264054207525541,-0.534825035481004,0.383367097956042,0.675370873301465,0.542945153970727,0.559986710651741,0.464317353011925,0.641229368642896,0.516658386995794
healthy,0.327223851523052,-0.635294803181575,-0.12283837738072,-0.519470921672167,-0.385562593529288,-0.288431980955765,0.411471270727025,0.496261096839376,0.55022553418114,0.523895545107152,-0.525998784020445,0.412945397493564,-0.455476211180506,-0.6395450178631,0.535567756774473,0.483512010135431,0.421562449256658,-0.489335977933342,-0.490600001790879,0.268926790677293,-0.634710256950661,0.493972521355777,-0.473892268294073,-0.541897694199878,0.419481627575597,-0.565303733572369,-0.0286417779007087,0.125754606882562,0.598132145909868,0.387766006873013,0.418057926274845,0.391032361623055,0.536600205540542,0.519886059826754
healthy,0.151868065652182,-0.474508644141628,-0.293832813439103,0.125481394835502,-0.215932272887089,-0.280808620203867,-0.220625444951898,0.393067711330523,0.449729255681624,0.120304999660545,-0.487076257469079,0.331584150160711,-0.367385830612572,-0.581582231470884,0.363949719096966,0.208957127101837,0.385188931842142,-0.414039816727586,-0.45889698369702,0.285139165961676,-0.472398222107992,0.378672020326139,-0.645886956987606,-0.396970038056045,-0.119490950135408,0.374052841252402,0.113177834297474,0.296604315745007,0.425144610248433,0.260497219796854,0.432692451379451,0.243049118111945,0.437634708987861,0.434575570754223
moderate,0.778650303885386,-0.801868860107952,0.753154877006732,-0.351900816929978,-0.757341635700163,0.776136670249463,-0.772494466409655,0.780658843164327,0.599361537404712,0.81476849645934,0.448440921958033,0.830142305950013,-0.752472210414873,-0.737804743814043,0.7540664144791,0.751860572716963,0.56526372225869,-0.789415127368588,-0.775777579730045,0.750033551722564,0.529982092213489,-0.716046225967132,0.175934624266333,-0.768710204781946,-0.738041506793879,-0.834325118593779,-0.798439742949997,-0.663559819387195,0.748593243595229,0.426587698919187,0.678215447839032,0.7767562000467,-0.529110015237761,0.768658906136315
moderate,0.614880590167683,-0.416496494784535,0.136742408425455,-0.0131708491985312,-0.489512506732236,0.107994587059655,0.400974057346158,0.545377531802642,-0.315671595361475,0.274711604356866,0.40684302828618,0.0558984873459157,-0.535659891879125,-0.369657679516794,0.577061643455063,0.251390934825166,0.560602574486891,-0.500028870685078,-0.529117929214961,0.447415812959883,-0.416683532319836,0.610458106571661,0.541530872506831,-0.542958121481354,-0.262768245079403,-0.471804816855021,-0.31009379499722,0.476666056246612,0.60450467021433,0.0518542737996426,0.587570339376257,-0.203183034456545,0.009924462151161,0.575738859217031
moderate,-0.661463131375295,-0.530457925267529,0.193592364129102,-0.500138916089751,0.594535910520349,0.616342332187703,-0.433724279537343,0.217852563883514,0.562873447720153,0.27602376091296,-0.435430695018915,0.651962555987208,-0.709427394156926,-0.0550711039589891,0.497095493644143,0.572480168088115,0.630341813073494,-0.662007874008601,-0.664930384128968,0.0489020266928274,-0.681997612351588,0.650383649411547,-0.287260811201354,-0.579677562327401,-0.425901934240692,0.591539001464581,0.442022703059414,-0.602711247844004,0.717858348981555,0.165057130333484,-0.0733360238595575,0.428239859879727,-0.0137587806524696,0.592507611886525
severe,0.528565187432566,-0.811335754163572,0.552646690592274,0.840488482478622,-0.137495281756091,-0.319258074159179,-0.589836905078888,0.689069851053587,0.811609965308146,0.840757732566304,-0.715837541017708,0.636848495194195,-0.52095873920402,-0.754884092792261,0.763777217776043,0.677187299787929,0.758521203501593,-0.665830210548117,-0.745161200292944,-0.521016303864155,-0.669226607497014,0.777657844955058,-0.795146841513808,-0.692267723725866,-0.756196886847003,0.755230054759652,-0.0499003192424165,-0.763632404115362,0.757358635169596,0.758960318537237,0.753233905868395,0.502956949764709,0.75564067446852,0.172004598498946
severe,-0.300662051417147,0.162871925569,-0.497077572598111,-0.198778934994691,-0.336877127306715,-0.186169472569806,-0.140461619905786,-0.212001402279371,0.0532860451467951,0.0753557221232758,-0.268185319899827,-0.34441289106153,0.165526180802775,-0.402083853605785,-0.138923078990956,-0.209953606388737,-0.208162422311054,0.221813090405295,0.111976537365252,0.0174579539819124,0.392269574833269,-0.163158495178179,-0.179767833260781,0.0011992213314288,0.234549246472552,0.175175223174845,0.27545989687005,0.196638909329377,0.146848555917399,-0.256475073663006,-0.21397420721919,-0.261564068171996,-0.103090288834117,-0.140880326271188
