group,AR,ARNT,ATF3,CDX2,E2F1,ELF2,EPAS1,ETV4,ETV6,FOSL1,GATA2,GATA6,HES1,HNF4A,HSF1,IRF3,MAF,MAFK,MEF2A,PBX3,POU2F1,POU2F2,PRDM1,RARG,RFX5,RUNX3,SPDEF,SPI1,STAT5A,STAT6,TCF12,TCF3,TCF4,USF1,YY1,ZBTB33,ZFX,ZNF76
healthy,-0.0337310015748471,-0.106974384554217,0.217261653609588,-0.058340554139259,-0.15423083923579,-0.187205038594486,-0.0902248938065065,0.0486344195166828,0.154545142206167,0.161495942710269,0.272278721566647,0.147144713035412,0.162816323926756,0.177673643583601,-0.110570680735289,0.141676894423942,-0.0624188903318938,-0.192865334369589,0.22321743334996,-0.157429691703024,0.205062702787272,0.136036836658101,0.101602709924285,0.132997839308973,-0.147400901335611,-0.171765052181411,0.0514229862824722,-0.151026665502975,-0.172563414019262,0.189929868423633,-0.289853227780259,0.13864294313959,0.216673450587147,0.193550592976239,-0.0119542586057813,-0.111770988400162,0.113292663956101,-0.13647458008995
healthy,0.0846380600188142,-0.124774716987636,0.105262194265577,-0.106765541583582,-0.122812975466777,0.0705136072029692,-0.144964989367963,0.136836029022147,0.174624647900942,0.117460220640426,0.196088974793023,0.13140286619327,0.110115720831056,0.116351065539526,-0.106905254675056,0.139521713729405,0.140346354340908,-0.129900794939578,0.14029422711372,-0.138875610466102,0.12719440608884,0.132806377429583,0.0242156491574418,0.112660910857448,-0.0577229287087289,-0.120939170727891,0.108951375948616,-0.119036909754824,-0.110853030791134,0.177312501917533,-0.177524551904754,-0.0982045218121716,0.0720928803476003,0.055091795750853,-0.0730496574187192,-0.132922594986894,0.104379636285066,-0.107222898984182
healthy,-0.094937253274785,-0.130258797951234,0.0696098106679612,-0.199219394849134,-0.226282815620555,0.0320782937797667,-0.188987318179328,0.138958699411169,0.220143191252988,0.122001354787811,-0.0006215883258537,0.0790236280128414,-0.081808969361695,-0.120832299815058,-0.127043481207161,0.138064228688872,-0.192729972199349,-0.136253598500116,0.197305125708802,-0.146594475092737,0.206882669325308,0.0257001407200142,0.0846817464288031,0.0989133462561536,-0.143878743530805,-0.128179868498469,0.114022042063671,-0.12140685364536,-0.147677424168045,0.129229754112329,-0.046767336134542,0.084790047668814,-0.136832070552447,0.180110423902067,0.213434957670765,-0.164735407730556,0.0580504540958175,-0.0008140165632944
healthy,-0.0394860056946934,0.0074955663686917,0.0611147900154705,-0.187262373747392,-0.0702572702907333,-0.258267753112539,-0.182566000322108,0.129852281238257,0.242083744790463,0.141617542404388,-0.0801377255077594,0.0644988131462324,0.116698091423071,0.160230496751587,-0.082557720301241,0.0802415553544913,0.0219772604686833,-0.101417027171789,0.0377839813120225,-0.0969291278204112,0.144250447425033,0.0503121090874244,-0.031104617860165,-0.0175081715245096,0.0501288895902249,-0.103814041456898,0.0062180151018233,-0.0163647222209728,-0.126002238414645,0.0927425788751406,-0.158524669446467,0.122893903313132,0.141307136590352,0.104606872533356,0.0004614997350143,0.0018915526445955,-0.0361028431771754,-0.209973412097701
healthy,-0.0416688369861302,0.184121008009512,0.0384808301215271,-0.0176409752233436,0.0509393047909323,-0.170806076347362,-0.205403197732541,0.0803316967033679,0.0269423928176148,0.0686791355563373,-0.0946765146741884,0.0432589137363409,-0.133501543884525,0.0992239004578396,-0.0673615689540516,0.0744043792016089,0.114623174427938,-0.0957709199078794,0.0839672845634852,-0.0755324377040231,0.13653982455214,0.022922684678665,-0.0752307137144072,-0.0564150907773542,0.0207994195609995,-0.071533935798434,0.0461099298553323,0.0745134662721751,-0.06932283845384,0.0756474496195106,-0.0350837205413385,-0.0740492166256997,0.0519442773978044,0.109066637423214,0.0330655265375048,-0.0224749055027905,0.0253929112576145,-0.175024993140893
moderate,-0.370783465000309,0.178858225192313,-0.452600705212073,-0.404816271085976,-0.354716814685448,0.0332096870547579,-0.0890155744291854,0.0842034939407934,-0.0527904224631161,0.472410964196358,-0.255356850127433,0.438215908686329,-0.0123784438879031,0.502225285248615,0.418085108156353,0.0974406725869046,0.329338630333427,-0.15524895529614,-0.280173097448737,-0.145434843773762,-0.390209865590372,-0.546147391614292,0.382940299918352,-0.228308683895394,-0.103566577682325,0.490365248058064,-0.0129008078882877,0.140575275648971,0.0409343425755977,0.357126812232677,-0.356659850474757,0.411417052545382,0.239871923358454,0.490400863785362,0.394436265229848,-0.0480812318535877,-0.419050690096458,-0.368211218028718
moderate,-0.0052280472094697,0.0002340193216382,-0.108402175205029,-0.0193219529693283,-0.0825537490552522,-0.0003556297664602,-0.0107553916737752,0.0065943519851165,0.121500026005937,-0.0360403547823052,0.08644453455383,-0.0363190421010937,-0.0046604267145843,0.0129795899632831,0.0478067170188433,0.000612800784901,0.185781529876678,0.0133689325410023,0.0388943580391317,0.0240604058280305,0.0424878954543354,0.0239509327834046,-0.024969331592716,-0.0910006505595862,0.10223448436252,0.107927713197363,-0.0968475869576267,0.026078938235644,0.0355935959965155,0.0445226044943532,0.0645477976429009,0.0627024399273711,0.0190713826474227,-0.0328872513063604,0.0529150453263787,-0.0675284554589166,0.045948000281669,-0.106805575082804
moderate,0.103297336793184,0.039720709157955,0.0257663384952736,-0.0053419520905168,-0.0199313662557402,0.0385247508625324,-0.0514593794896588,-0.159775970458366,0.205570057644827,-0.124166948842512,0.0316991288944976,-0.0243403620630425,0.0240126391131943,-0.0603717888644284,0.106583558459301,-0.0676314151585995,0.195181421489279,0.0561968538911484,-0.0283353781191934,0.122910841257701,0.0179017811254719,-0.0500432642160524,0.0378190923965057,0.0106291199664521,0.141605142165974,-0.008563301690126,0.0923686416285138,-0.224028673083748,0.10278742799319,-0.0963995885729868,0.175358641325061,-0.140819120924489,0.0475854932210585,0.105844764989007,-0.0188540441215492,-0.227807990463316,-0.248658673621951,-0.0114895343931173
severe,0.089600791503812,-0.0093224607449802,-0.234168430722317,-0.137163519512422,-0.135255033387034,-0.458912279158412,-0.176335979469769,-0.0813992861083942,0.330911693978535,0.0663936609910618,-0.0242983158110861,0.124403090065384,0.112399025230198,0.148158646514937,0.0121101283418316,0.0771689412980359,-0.111514095059188,-0.09190224230539,0.118291647576767,-0.0029460032072368,0.117014861407336,-0.358670398419913,-0.178234200060251,0.198012518728079,0.0895950017421252,-0.0700685171766031,0.0863099895101626,0.279615514111142,0.0346568564630285,-0.0752992178324519,-0.175460863150128,0.200415434076665,0.0814691738700322,0.222725808522193,0.0962947415051187,0.13697216994178,-0.099658059237342,-0.230175712513956
severe,0.298624747908049,0.280331887123714,0.072432677780359,0.0658494729897195,-0.14837653755333,-0.115178498738068,0.380447301670369,-0.399841253192917,0.491083075645317,-1.45162856307643e-05,0.445592707104162,0.180406943420292,0.416328443180662,-0.487520906584569,0.0069405436615388,-0.0581458131790817,-0.401602142356449,-0.0289416367050726,0.364360888599075,-0.0672500867818245,0.0800007876184943,0.161351312772298,-0.168238362259117,0.363316297793199,0.138554677411095,-0.226248500802938,-0.334228833363775,-0.469865751214504,0.27932085830265,0.174599819705613,-0.0697076329928755,0.0150035369472084,0.196897970250709,0.134440654022279,-0.0131383604606662,-0.448040155631792,0.330242478490854,0.115940672990772
