group,ARID3A,ARNT,ASCL2,BACH2,BARX2,CTCFL,E2F7,EGR1,ELF1,ELF3,ESR1,ETV7,FOSL1,FOXH1,FOXP3,GATA6,GMEB1,GMEB2,HSF2,IKZF1,IRF4,MNT,MXI1,MYBL2,NFE2,NR2C2,RARG,RFX3,RFX5,RUNX1,SIX5,SP4,SPIB,SREBF1,STAT2,THAP1,TP53,VEZF1,ZBTB7A,ZFP42,ZNF76
healthy,0.108116241210952,0.122521390742463,-0.149015352570536,-0.20593730020603,-0.0537470590279117,-0.0204985093093015,0.0071708868946597,0.351665572150737,-0.008633171082601,-0.13335056884961,-0.226295580223261,-0.0649074177744307,0.183204842126628,0.0231854347480711,-0.109702068392435,0.0576067983962024,0.0891085469773906,0.0063735865779769,-0.0722086423663161,-0.294566135952594,-0.131666527509985,-0.313819740084289,0.0284090810389341,0.0458477309661878,0.187264763423567,-0.203227621309125,0.032646733413215,-0.0322781175191509,-0.143334761383869,-0.173904534586605,0.119738890907248,0.136122252100314,-0.061093374183409,-0.008667702599427,-0.0720606590425308,-0.253188794204111,-0.283391960307049,-0.0452181220478096,0.0624059989061951,-0.032487336875851,-0.270988696592599
healthy,0.0881331531541104,-0.106154616166047,-0.11454001222481,-0.0371408541137016,0.0441042073686971,-0.0833638645138003,0.084362051583944,0.129907073552197,0.148745220662836,-0.0957506020231698,-0.162094329797513,-0.11075161333268,0.101826654981455,-0.0730200976884872,-0.0798153133638059,0.0774456753820916,0.0355730920742142,0.0165507150082857,-0.031929239180567,0.0846753217807224,-0.0194704744175933,-0.128383831109478,0.0990016741154107,-0.0112217129332438,0.11903224247711,-0.137454033059706,0.0342070317121099,0.0063982175616828,-0.0172115963728543,-0.0450082500778676,0.118201051458521,0.0261217307130473,0.0954378391722235,0.0776292553005336,-0.0555988723596228,-0.0957277080424953,-0.0333220620353157,-0.0765557749379915,-0.0357227115310185,0.0410576749195879,-0.146227691371058
healthy,-0.168428319057725,0.0261785620735734,0.0873397379447981,0.064577910278853,-0.21637321627417,-0.148865979511279,-0.134961032633196,0.188622293401673,0.191364525775931,0.12959050138898,-0.169589781909025,-0.222105408935441,-0.0676275238739699,-0.309889687567961,0.184130418911407,-0.14626962124232,-0.224038089834432,-0.125606131045232,0.181689943639415,-0.086270049413657,0.189451792064646,-0.155828332416666,-0.085243761507596,0.100400008099268,0.0741654636903978,-0.265553764506021,-0.216773611160708,-0.286416569700992,0.0451907341805661,-0.174845595253042,0.18396454271069,-0.084223364414735,0.183321816555179,-0.119881319549369,0.235993224607095,-0.18348092341929,0.0937463698877683,0.115548975496999,0.0601657147239862,0.313605355252619,-0.236330499155657
healthy,-0.169394134189951,0.0053132994491313,0.1308511975513,0.153511072629783,-0.0551988436450944,-0.143984083014372,-0.053071243222347,-0.0575717918266475,0.160495716266741,0.0464502446726622,-0.0867999633277465,-0.132678213396374,-0.131562699568415,-0.132938320778771,0.114609778453983,-0.105106513693857,0.16179423981679,-0.112972719612864,0.139803895837799,-0.108068740049498,0.0553391673414583,-0.313802118872343,-0.11771084057888,0.124557606713173,-0.0562876032783425,-0.188390082814719,-0.157123450087866,-0.0629580408744431,-0.0555165518201324,-0.081785531979519,0.0626063838386487,-0.207396773635736,0.174556021722524,0.165906216932721,0.121265834324242,-0.117059131161347,0.276363941067586,0.166070887385744,0.0809062912935729,0.0733152754650178,0.0507021005797805
healthy,-0.202167917727756,-0.150719270171592,-0.0098551800358852,0.120306518006067,-0.1509923120234,-0.255336822483254,-0.231715048642527,0.257614430480472,0.212858426823352,0.144228796036152,-0.134005626735156,-0.2258724595053,-0.0845277183406877,-0.276613046142013,0.170881900127274,-0.195848929226036,-0.0230980306509536,-0.241472094352581,0.235651953122273,-0.266360140891043,0.188942079277672,-0.311866632158555,-0.171693131832537,0.137359281245377,-0.0167732328262487,-0.0949546875771336,-0.332250515719547,-0.134424696553918,0.212118530740518,-0.207976091514065,0.217304464444848,-0.113406282369826,0.25893371497148,-0.0634989622949965,0.22394726326958,-0.112713208751005,0.251193495657603,0.175672908179658,0.140474837959091,0.263606284981108,-0.202365699979294
moderate,-0.268390384281691,0.207362577665739,-0.0722882785087049,0.0997480257559447,-0.0103635851841021,0.0846866507190413,0.0987681671491367,-0.13361636437513,-0.0596963052026685,-0.115702336458729,0.115003001888548,-0.31899138902923,-0.0438407705691184,-0.0147452916153524,0.294297371720561,-0.168393442831275,-0.213344456418591,-0.260954521789704,0.168760889808828,-0.287442312515675,0.30552228422839,-0.302590610493505,-0.0828020033180437,0.263834831968588,-0.0744771562029453,0.0500518098025948,-0.184885095350696,-0.322523621265062,-0.260302599732756,0.0892145457327589,-0.123568862612579,-0.178812342614148,0.214837950585419,-0.142332364724398,0.0216003508202388,0.0022718495923975,0.187330790824947,0.24931474979109,0.166402117275504,0.263534552718114,-0.0627149018784801
moderate,-0.459759863881523,0.029553007755021,-0.317673448725111,0.255384531080729,-0.458416216748952,-0.317240793176127,-0.206265836696394,0.437592089401858,0.116698928433379,0.474879752932146,-0.483667560775754,-0.55154284230697,-0.101475994523411,-0.509667885014567,0.231754277683408,-0.248489102807066,-0.265168595537538,-0.447900033610966,0.434082624548689,-0.486054297765335,0.477880187121582,-0.503164902521111,-0.266327645053291,0.492796506890915,0.0490722323677396,-0.215853639186551,-0.502027892178915,-0.529011480078432,0.0264474185726011,-0.0554283847288521,0.014144636082435,-0.325103991258871,0.550470503653138,-0.536464413474689,0.286484344945847,-0.0764297046867547,0.334179480655191,0.347979344347029,0.518636597741125,0.279132737040786,-0.47046652565693
moderate,-0.0240893238553652,0.372096887038084,-0.399411508386079,0.0255561147692065,-0.273483304637201,-0.451989216324093,-0.0363654570443784,-0.463261013616637,0.134409670767937,0.315324083585686,-0.271717297977041,-0.458518712165383,-0.475196568110567,-0.15070251003591,0.358451051488584,-0.276864866325209,0.555281049481316,-0.481786064602829,0.4094501047991,-0.259564578626997,0.314885291325042,-0.562305588193538,-0.233663985120394,0.411831530636206,0.0936195032179837,-0.295237028152641,-0.441811230898781,-0.509832918895133,0.494992470384767,-0.414927076721108,0.099747107198977,-0.479149523497868,0.428772901940381,-0.140312834813885,0.48114060759999,-0.313287548990452,0.526865041183903,0.464960082050557,0.161412476232908,0.459506997887717,-0.363039901274976
severe,0.278133082553306,0.464531218306864,-0.466727707829992,0.478091632411891,-0.381232077097986,-0.394843850187601,-0.453269560096355,0.291200639256271,0.484935063154465,0.169941173448188,-0.167543846073258,-0.538823241671053,-0.222715999204548,-0.40739551800141,0.451098195831875,-0.451537805749516,-0.0324153196004898,-0.280158047026387,0.47921028118252,-0.345814453306507,0.415695597930371,-0.553638810241157,-0.49910180886891,0.346673269132725,0.510491515578964,-0.457220917562104,-0.283327770833004,-0.252505031352532,0.337596687337657,-0.474379662827145,0.462775939820802,-0.251699011412949,0.255414881160394,-0.417719043392716,0.401264256967589,-0.468893037105876,0.413627977993672,0.454439773123293,0.366718791664191,0.456546107306568,0.132080077198903
severe,-0.0385916287812642,0.18751840609407,-0.0201116792154707,-0.0556022921218814,-0.0014498685885603,-0.0596800509749412,-0.0160435878079136,-0.0162874804950943,-0.0792134211180772,0.373735140988127,-0.0622054056369985,0.0198369775792845,-0.0284429899712648,0.0541184564601785,0.0026290624939826,0.0756990357546427,0.0467898432224423,-0.0276307866396942,0.0007528057741101,0.171904833433399,-0.0607782645094771,-0.0092019049065629,-0.172308314821516,-0.0606636480478905,0.0671414295448509,-0.200704208749427,0.19426486258858,-0.0020386449806332,0.18563179238194,0.0003061035954008,0.0417332037962363,-0.0011004614569566,-0.0395276609190657,0.0890097015363622,0.04220557090516,-0.0149598961280342,0.116469508162731,-0.0085506969513084,0.0417480842152053,-0.0667001609945697,-0.0453592543611468
