group,ARID3A,ARNT,ATF1,ATF2,ATF3,BACH2,BCL6,ELF2,ELK1,EPAS1,ESR1,ETV6,FOSL2,FOXH1,FOXO3,GRHL2,HOXA1,HOXA4,IRF3,KLF1,MAF,MAFK,MEIS1,MYBL2,NFIC,NFYB,PBX3,POU2F1,RFX3,RFX5,SPDEF,SPI1,SRF,STAT4,STAT5A,TCF4,TCF7L2,TP63,YY1,ZBTB33,ZNF217,ZNF76
healthy,0.132777450815291,0.0445237934362467,-0.177697097997244,0.0589849458574723,0.152156611487656,-0.153227431660357,0.159326719802436,-0.108715762533093,0.216892283423133,-0.0123882157770758,-0.261798110783912,0.199752402249468,-0.19433733601095,0.12073600703682,0.0113962702298404,0.118208778423203,0.153521331184982,0.0333120030988528,0.105936549433259,-0.0472093020885157,-0.164966070714555,-0.147988707285552,0.236784567544406,-0.0387592905158317,-0.185284970630999,0.188212653866879,-0.115768246569878,0.182849785335765,-0.0389176457673184,-0.0998946701735722,-0.0058259453596946,-0.0882300212084498,-0.277273849964609,0.0640598394864116,-0.13898622520663,0.152316324868047,-0.158794760910737,-0.127001704650531,0.0391892049310465,-0.114583025526392,-0.038377256591299,-0.0783979458587176
healthy,0.0939408545912036,-0.126595662767483,-0.0890782892716317,0.0574739374767958,0.0989033234994,-0.0936796014387845,0.0047343892388647,0.104706112813159,0.111146270419637,-0.0910521274794779,-0.0287608989843787,-0.0123967454457733,-0.0769704468688971,-0.097879207949089,-0.0901279634102116,0.0999972661984235,0.0664823580470209,0.117085409453824,0.0743456069927038,-0.110697151266749,0.107726703721951,-0.0923202070185007,0.0762260709452186,-0.0269044450985452,-0.0901772606747806,-0.111833909789469,-0.0879100973570933,0.0713686141504725,-0.0129320070985359,-0.148202615514101,0.101153612721022,-0.0601919919669198,0.0966958501014741,-0.142870784296859,-0.119034806563207,-0.110902306430925,-0.135769854968305,0.0336287484343174,-0.0552051617809604,-0.107612895367316,-0.0856713981011697,-0.0464770236181305
healthy,0.0951377781137469,-0.119799152679547,-0.0712323955776506,0.0192744480212165,0.0886884284295294,-0.117367891104923,0.14819113801299,0.079119677574456,0.192502011150289,-0.162935477341398,-0.128400573433668,0.254946500506975,-0.1649289124108,0.0468848058990946,-0.0965584488178663,0.0899580857582341,0.0838024443584656,0.0041893204189774,0.126202078679239,0.159749947525731,-0.261392710998081,-0.124640942921142,0.185325088227406,-0.122028659815292,-0.176267938869313,-0.194869168345685,-0.119276955417405,0.257057358794772,-0.124389451644303,-0.0947917235864847,0.154316763349659,-0.168798580735257,-0.303914489187848,-0.136611864440369,-0.152454249238301,-0.12368282481005,-0.134444421603694,-0.0992307640499158,0.171328375018596,-0.190431970280226,-0.0747695940946576,0.0305207378127034
healthy,0.0748441341851232,0.0315967050750019,-0.0658354253468284,0.0330190660586942,0.0284827872184043,0.0100678349303177,0.039591561185951,-0.207488123246129,0.121341948008226,-0.13151745254893,-0.126089329714979,0.229226942681714,-0.0883824258636457,-0.0517281197022008,-0.096703828388761,-0.0315445025834937,-0.0176571873675403,0.261739474453574,0.0419388747929161,-0.157485646985227,0.0076377390308508,-0.0563379418774167,0.0883509558204611,-0.0350247004740537,-0.0187812004102342,0.0535106213495391,-0.0625391141731746,0.0953152633567061,-0.0066800100506022,0.0784241193460236,-0.0162367074757073,0.011181308669885,0.0177517988338491,-0.212065486599107,-0.090600528045454,0.127287571953015,-0.0417836221089089,-0.0654022119866234,0.0403103690887275,0.024838227038732,-0.0820896151377868,-0.214117885099375
healthy,0.0148769865006234,0.201897228581689,0.0449547793908909,0.159995176532926,-0.0245683074653157,-0.235258074111017,0.074937334319761,-0.277840818130494,0.229828205349536,-0.337357306549326,-0.265005403839807,0.0854618141824483,-0.0885137244076604,-0.0702017071183948,-0.335653276382455,-0.0593521024048551,0.162711388824823,0.170122060923171,0.0485001610727387,-0.0148548898309773,0.171234391173344,-0.081204043669265,-0.0106255505090986,-0.117134850621572,-0.139601358950148,0.0861537965448805,-0.0268961112533798,0.151560470383149,-0.0342660217169241,0.0379926112009366,-0.0251314969042509,0.0145989344866865,0.145758790105593,-0.198376227019497,0.0026628851525643,0.0723483077682036,-0.0353779928460775,-0.161552365379955,0.11722901495104,0.0456521634931146,-0.139449554297993,-0.3589637321641
moderate,-0.101187794795675,0.187511621305043,0.108417196794895,0.350308221050115,-0.357235735932884,0.408858432845995,-0.344655782014461,0.0556663953939937,0.315976505951621,-0.0479563573277927,-0.0409613150637122,-0.0812513285132112,0.0340417445787446,0.336004332808801,-0.0954201619919022,-0.0127308974766483,0.137529442537908,0.31211552862017,0.0468203084422009,-0.0997657475892355,0.057374440921282,-0.142216637240699,-0.0561073094719681,0.159130260159753,0.279893051137932,-0.287972503701895,0.0405084843890358,-0.315662702238468,-0.389513824199731,-0.223142245444055,-0.210462986553116,-0.0157179910499524,-0.100989184850642,-0.10263764739442,0.397029224519799,0.0235471950831736,0.226232616188777,-0.318741156386488,0.144536401398691,-0.139479792198137,-0.149183874112475,-0.152147134492375
moderate,-0.184523929990647,0.0823234196765536,0.0297874820485765,0.308719266115562,-0.147900102131768,0.126736194405071,0.0594262360993852,-0.0362691808649927,0.0851047784693302,0.0373769080914393,-0.160863735280037,0.125996165652915,-0.237027130973034,-0.0995872114111139,-0.0694033765102122,-0.130011703834928,-0.0561319246872288,0.0541204069755345,-0.0988911062877531,-0.0373280386384911,0.380617320254208,0.0099550804649981,-0.149960293033548,0.128166303010685,-0.113801097877118,0.121858669727682,0.0492239429318424,0.0044165032116241,-0.089511036759493,0.0892080657775002,-0.208300606710593,0.0396434497676354,-0.13676752299244,0.0073245300563397,0.074908804965984,0.0583922055780874,-0.0682000692693648,0.145102237632193,0.0779959216734115,-0.142526954845824,0.0013989224366446,-0.0829818423301712
moderate,-0.0541183935370761,0.0170066118286032,-0.0349442653163829,0.080490535994759,0.0308914179153028,0.0606086195472522,0.0839845693947182,0.0375018892977015,-0.0423493541050968,-0.0180349157772259,0.0114397538496371,0.135510410712835,0.146322817125376,0.0619771714038832,0.019533881508163,-0.110693482057095,0.0993562070518761,-0.0126702938062417,-0.02315341463644,0.0811368973967183,0.0367260968506337,0.0466282900227637,0.0438783339276859,0.0626907054013909,-0.187995115316648,-0.0376230796979986,0.102825102705049,0.0283496326045159,-0.0556719062884838,0.196468615045474,0.0991829267041024,-0.185565070125411,0.155116681371519,-0.0449970203613711,0.0583433494511171,0.0040515999640214,-0.0348374771439438,0.0517176064150316,-0.076327800729155,-0.175334082785538,0.108962530834385,-0.0615394343996907
severe,-0.0490768863015965,0.138011747307071,0.0401893170282704,0.152568750329022,-0.164628027618679,0.0970091654696525,0.08652475379475,-0.0975070860656408,0.141802186398543,0.0147681121186271,-0.0921499041117675,-0.0210997357290914,0.0063906681859408,-0.105319277145528,-0.0325303862047008,-0.0350060526856821,0.0181079239996352,0.166495600943844,-0.0572453652143698,-0.1188876958507,0.0330382437718412,0.056660856902948,0.0014462210089674,0.012116796272052,-0.0457573194531017,0.049640118774369,0.111073690552014,0.0045983849409574,-0.162371304361008,0.123024032249206,-0.0257222415336339,0.125097890498331,0.0093392685221711,-0.0993133058095846,0.100405176901202,0.114750452342795,-0.0459758503539578,0.0470227782980402,0.0861273574131555,0.0302167624483165,0.0492816044002287,-0.0755776338614689
severe,-0.0117377557915814,0.226654937857056,-0.0137531578564416,0.158465060474274,0.0681566994297599,-0.116656661395409,0.0817993330578254,-0.0157841836207093,-0.0292393328558863,0.164414008105819,0.096754633229569,0.346814562282525,-0.343058007167645,0.113839500168197,0.0269277699859313,-0.0755146344702609,0.393653406459725,-0.223336328964135,-0.0796442416063838,0.0622981982628342,-0.330028117655349,0.0184102751400755,-0.0423822838963739,-0.116947954445966,-0.369853547980039,-0.0070459988495968,-0.0143431076428904,0.0171086541243986,0.0298639360903587,0.191916641976035,-0.242910080176671,-0.339218286535442,-0.0479351507529155,0.17244453444252,0.121645130729404,0.176440561017161,0.140479065990303,0.0037237632726996,0.100551219764908,-0.304329876275119,-0.040934450978829,0.173930247591549
