group,ARID3A,ARNT,ATF3,BACH2,E2F1,EGR1,EPAS1,ESR1,ETV4,FOSL2,GATA2,HES1,HNF4A,HOXA4,IRF2,KLF1,MAF,MAFK,MEIS1,NFIC,NR5A2,RELA,RFX3,RFX5,SPDEF,SPI1,TCF12,TCF7L2,YY1,ZBTB33,ZNF76
healthy,0.223801522942073,-0.133973012153502,0.279790481550371,-0.229794759996793,-0.199103517985577,0.348854286831321,-0.09648085990269,-0.40293920711242,0.121256082828851,-0.263445979119674,0.349088157205879,0.230101559169032,0.231426065776859,0.0090177791859816,-0.161797437267759,-0.0528928802119299,-0.227805884465454,-0.245344793626999,0.28075318716773,-0.286032999101304,-0.410430586069431,0.0667291139173627,0.0046735946554406,-0.19024379017404,0.0890198377266838,-0.155349932055662,-0.355841092659887,-0.273359701748787,-0.0592367200637285,-0.180625584843084,-0.0572617977517054
healthy,0.273870977573343,-0.305243943972013,0.214768001599255,-0.203106151137455,-0.262221183954313,0.266302353936825,-0.266504864533797,-0.126863272047028,0.314701927153997,-0.26391153429867,0.401700729939296,0.208970450533002,0.281923094864048,0.252187086483666,-0.261872787144157,-0.335752097279169,0.299253198239865,-0.270678195691601,0.280076433336017,-0.281991205727479,0.201272845612651,-0.0948846909112853,0.121159514028348,-0.242151721539403,0.26093652022755,-0.227528910120199,-0.210272351900941,-0.256872920598038,-0.168285371322113,-0.312576674925202,-0.201994576776355
healthy,0.176631704208224,-0.272908916752437,0.209865255949164,-0.26519443215994,-0.193541094226105,0.351178665919498,-0.310811033381567,-0.169994798690785,0.287966525414948,-0.298042653580213,-0.0959560724624211,-0.118498746214826,-0.141973083516448,0.0387660640411124,-0.363092401013916,0.133991811194989,-0.176366309523926,-0.269942857071901,0.276977221055926,-0.357058306061243,-0.194641339790614,0.145688632707546,-0.0395289409470075,-0.261299864924032,0.243333988258776,-0.270735719854466,-0.200477693233754,-0.305097968326361,0.229966614992442,-0.280818136396491,0.0678586291764522
healthy,0.160261522557258,-0.0469413599925359,0.126238574761623,-0.0726763942991476,-0.0718035986623557,0.151380044424539,-0.204139755117332,-0.159386374574667,0.172450126427035,-0.130700992000307,-0.103089188841539,0.136205516049328,0.197955614341394,0.227259488501544,-0.137804266599338,-0.146167171516249,0.0326633100304672,-0.14974507574551,0.179804936632079,0.0760109354313095,-0.0115958536819128,0.0790632467153204,0.0529103245027126,0.0006898175978573,0.075200877320006,-0.0549397848656777,-0.176538676356172,-0.138033266375307,-0.04107016177858,-0.0421407230167544,-0.138537916674035
healthy,0.0735157658184058,0.187517934979975,0.0535398805531085,-0.148842568181424,0.0152917366829845,0.179979584715038,-0.309011026023448,-0.289727225244302,0.124070463781642,-0.14719234566946,-0.0939553320574861,-0.176080278825193,0.118685543608508,0.133027289340974,-0.150989021727926,0.0389371504686425,0.180394019486698,-0.13977258361693,0.0589468048247364,-0.187121808976263,-0.126298645504417,0.161960114886869,0.0257383605873994,0.0362555007628654,0.0473164551829776,0.0825523217251292,-0.0612799070734436,-0.114537787830873,0.0960208921881492,-0.0496802020001875,-0.331611031543895
moderate,0.0524938868524657,0.148310042403039,-0.474767510300427,0.460496598848361,-0.351298254535098,0.248301219654368,0.0146382501636748,-0.108653261063779,0.10471523208019,0.111090336171979,-0.174624133765802,0.0946667408723135,0.070256491004124,0.213040653218555,-0.107081209373239,-0.098012288062986,0.117299545361751,-0.226952125716251,0.113002077423792,0.182788532872201,-0.0400754684729208,-0.218029349914918,-0.414978197637841,-0.012718609154623,-0.0034956425782116,0.155941207895812,-0.276586300448236,0.204082328509646,0.394644222504922,-0.0366864726174343,-0.282917955875212
moderate,-0.20342965053471,-0.0032206043101723,-0.290607199388233,0.0676806749946023,-0.311486034111372,0.121258697357244,-0.0494028452150528,-0.227566938132997,0.104132202175758,-0.147825831579485,0.123419444199563,0.119317425320499,0.0826894082107101,0.157529965377031,0.149235661330297,-0.139556076369786,0.127027635001231,-0.14156566330864,-0.105731665345518,-0.0671208169903836,0.0766963867511712,-0.326178171307443,-0.166615730179302,-0.0243914471569051,-0.139093417698843,0.206798114228492,0.178344508316939,-0.221876548955642,0.194638237420429,-0.196763537851276,-0.109172428000881
moderate,-0.101035512281338,-0.0205412467326216,0.0402739838555958,0.0331733143473205,-0.0475844498119417,-0.0057932008592072,-0.0374564103977191,0.0715209545277631,-0.0495240588633694,0.167883285787626,0.0150624579025598,0.085903373467608,-0.021810502053444,-0.103308376225937,-0.151369776612117,0.121561986208563,-0.0093373551539442,0.0229370038364019,0.0827144071597698,-0.163447298738517,0.0104429413578328,-0.0385737922344882,0.0175531830410335,0.157059228661994,0.148444685772105,-0.17176235314757,0.0896097271358847,-0.0763393386594255,-0.135569017611272,-0.163445640566483,0.0066232290195728
severe,-0.105741275960638,0.0192854744147161,-0.0804432543704306,-0.0125004318717073,-0.108579291569462,-0.120632281700616,-0.0590623919203224,-0.130322388325554,0.0314340661371166,-0.0170467456178887,0.0731117174712705,0.0573393036786036,0.186467185658863,0.10718893959225,-0.117103198465509,0.0232404715718068,-0.0949162342440845,-0.0580202647335734,0.124806295653124,-0.156535424372249,0.0942152243809805,-0.181307904254151,-0.21518172135654,-0.004778271882915,-0.150840330353425,-0.0487250949787067,-0.11184437144172,0.122174067913039,0.114348089608355,0.0254816653860277,-0.119368960286419
severe,0.0011572768248703,0.401781378258147,0.0022590759960634,-0.0676325578727522,-0.138848522391538,-0.0233736143618544,0.376932949593336,0.201376777404511,-0.371904681886359,-0.3586143414843,0.349986110756156,0.478122823999904,-0.463433014598726,-0.281136479950342,0.145632524696554,0.0835959802280736,-0.419999668530852,0.0241951278990122,-0.0940327327969746,-0.277075518460554,-0.0860430814577394,-0.0279653456444715,-0.0143452160467272,0.0853281219915466,-0.408900978287124,-0.373550978844764,0.0837824464030175,0.222202655369845,0.0554069993464829,-0.454292860751446,0.137121899419776
