group,ARID3A,ATF2,ATF3,BACH1,BACH2,BATF,CDX2,CEBPA,CEBPD,EGR2,ELF3,EPAS1,ESR1,ESRRA,ETV4,ETV6,FOSL1,FOSL2,FOXA1,FOXH1,FOXO3,GATA2,GFI1B,GTF2I,HBP1,HNF4A,HOXA1,HOXA4,JUNB,MEF2A,MEIS1,MXI1,NRF1,PPARG,RARA,RARG,RBPJ,RUNX2,SETDB1,SPDEF,SPI1,STAT3,STAT4,STAT5A,TFAP2A,TFAP4,TFDP1,TP63,ZBTB33,ZFX,ZNF76
healthy,0.181752821405401,0.119658563857353,0.217862753254562,-0.0457193247672465,-0.205077538143844,0.14553224176482,-0.0048328060390242,0.15339434937439,0.175408854394154,-0.167521662210193,-0.16234139703012,-0.047929528248493,-0.375939192970713,0.190216267493187,0.0103968626309791,0.19922542974206,0.152743417121061,-0.26081713059487,0.137192241238735,0.157758618759754,-0.0417258837109014,0.330513343124808,-0.236632880738536,-0.257921676397299,0.200606818189152,0.174096950905139,0.236065454956065,0.0081852250093959,-0.299621960273808,0.233363079415521,0.222706261673194,0.106046848088651,-0.157878028118112,0.182203081357436,0.063297527053481,0.175476793572227,-0.158747383379777,0.186150434553592,0.191589203529342,0.0296553385156589,-0.157630948066044,-0.173221511281627,0.10457567773327,-0.168429898132781,-0.203544289692903,-0.191310574536785,0.103563339968193,-0.15100144328439,-0.113627604415325,0.119480515763944,-0.132519328965745
healthy,0.183062560109163,0.165225251317097,0.153524639343456,-0.0483304638823415,-0.144528528794047,0.153917335847118,-0.161965470112167,0.189944897473995,0.19105042246483,-0.186243709898189,-0.181583523981342,-0.193467921603303,-0.13938664405992,-0.129765849712948,0.159194788702059,0.119517163419351,0.182759405904606,-0.200546654865744,0.181023892552905,0.0329878403893802,-0.218181484982522,0.194581276383684,-0.199551398087516,0.125267865906911,0.185682728506038,0.192651828832913,0.164654391366938,0.161445654672353,0.0418589284168758,0.134327805917139,0.191979435729479,0.189624860782039,-0.198577296034794,0.178747107279288,-0.100041538663047,0.147363373185421,-0.177784344921771,0.184248908221698,0.194159833593861,0.174200508897594,-0.0957709840381323,-0.144143789135339,-0.139485254938802,-0.185165152417797,-0.187243890073495,-0.144774857467176,0.194046770162268,0.192562985338556,-0.18841324452515,0.11247398978935,-0.171166663972737
healthy,0.0512026259348772,0.117283627095674,0.104146998560285,0.221151211609746,-0.158681837746213,-0.0023638473925734,-0.229403658708216,0.134074832800435,0.141033396322672,-0.172691659753634,-0.0879629896924058,-0.244497789993746,-0.265789082115443,-0.213874421073186,0.175610512928098,0.176136694084228,0.118416375901766,-0.235194097389799,0.146088299765422,-0.137035715661137,-0.175021043432679,0.0200122180325864,-0.184957847509765,-0.25542958240085,0.113705944432729,-0.190699964635913,0.148582396715215,0.13440215156575,-0.237729673487275,0.21075651675183,0.168328625977487,0.142062659610142,-0.139651859143684,0.114937900286389,-0.038422085736707,0.0313981339638383,-0.104693085617588,0.0428354859257778,0.0906684069340254,0.124618326423359,-0.163611061101748,0.144073375844019,-0.276812311111656,-0.173274420543521,-0.227978998630717,-0.0648404883650293,-0.105857160067446,-0.205781716668798,-0.164443459666872,0.0348138403191363,-0.0326842234871039
healthy,0.155544212857636,0.0288530357028038,0.0944050646925524,0.158256651982512,0.0038561861389402,-0.123677502312611,-0.379278624412949,0.0366036660746285,0.0809921874532399,-0.0475757671344887,-0.0229823183779073,-0.242693898530292,-0.1502930701848,-0.438330465308894,0.272457302146983,0.215886107701066,0.156090553222583,-0.0944552989557565,-0.12170675438627,-0.0794258078819556,-0.165213293040534,-0.0744516457381168,-0.352744153800783,-0.18938166685577,-0.0145256798921135,0.268023925098785,-0.0303070925646384,0.462177396855185,-0.0937036890324246,0.0078760207188975,0.228015606625217,0.13273120591029,-0.366102653960497,0.117292894528506,-0.248059667505642,-0.0559455155261183,-0.0313670267047702,0.122939958282804,0.0670621621544699,0.0143207772595688,0.0778206705447349,-0.469636345122095,-0.495195490703179,-0.236602244094993,-0.242562954485588,-0.147223250853144,0.402219225559472,-0.164938230681348,0.100842368709484,-0.0984152143647057,-0.297113438883662
healthy,0.109237841215501,0.229889539619504,0.0584547643635382,-0.309007093902757,-0.251930895640086,0.192711302023093,0.0585549251475511,0.0696903507192596,0.0917130470760485,0.36791459077107,-0.0587975395530785,-0.380167974955754,-0.354041352780148,-0.215946830364344,0.0834511183275651,0.118660826482336,0.0590245022204285,-0.184636643879922,-0.180665136031468,-0.0226507674746509,-0.39346641110206,-0.13967182579975,-0.220184106628929,0.0683729254612546,0.0924126418272845,0.117167527130318,0.197008079451014,0.0933853826292742,-0.384318871684232,0.132974226101667,0.0717408419793635,0.186175770243555,-0.118104356550258,0.0484470727014379,-0.20070812432066,-0.0890416656819522,-0.0345180929925792,0.133794136031089,0.117343100247121,0.0638160049366583,0.0467310252862561,-0.145923123380389,-0.272255338243576,-0.0517830634774262,-0.36498047658375,-0.0908614643730818,0.141173065964608,-0.235102879437549,-0.0272574683372863,0.025104069645315,-0.412983275532562
moderate,0.16171760342298,-0.097977610442607,-0.406167551697267,0.28008284153474,0.442472390809553,0.381285792066147,-0.276810069974046,0.403491626157908,0.35665304766247,-0.24477406333223,0.182761366453335,-0.175717792877059,-0.327419450485065,0.201737907833638,0.275078821249911,0.0980329471598168,0.401539030564933,-0.107048879442356,-0.271371261196854,0.397934238700981,-0.231303525314302,-0.321743484348403,-0.284952472649202,0.158614794636573,-0.0925269437974418,0.0286011775521504,0.350091694050451,0.258722868691758,-0.257663565819456,-0.281296296690698,0.321122922591122,0.429934671738876,-0.199382144729564,0.384961731137941,0.282944540339018,-0.195200269957566,0.402088445114373,0.436191673406241,0.235959714805241,-0.0303442841442591,0.116827667897859,0.30985794801627,0.267442354274959,0.295608743334746,-0.170571478176548,0.338087579038583,0.225319254610328,-0.402005440038559,0.0052016514177211,-0.176970774259595,-0.10475240567815
moderate,-0.39226780346698,0.0851138123021253,-0.125692777061703,-0.171357762307827,0.0639479506690612,-0.0992771060190143,-0.0555096047907965,0.0187225188167211,-0.363280331541263,-0.0489044747926609,0.297158878204767,-0.0868615263366506,-0.271655396301066,-0.11816364838542,0.0512282558011223,-0.0966310262630269,-0.168655743658569,-0.3058143514545,-0.0685952389549438,-0.290754393059041,-0.160875114813065,-0.0695612748999674,-0.253138488599911,0.183905514978135,-0.082352413569378,0.0815496386375698,0.0284675784716579,0.17142617551564,-0.229560743667901,-0.100745751258136,-0.36735374270153,-0.0752208792288713,-0.0602867197985654,0.0240969149540354,-0.0641128931729516,-0.31381300707346,0.115911760879425,-0.328976455354302,-0.163275853348235,-0.22499444066546,0.184290810969324,-0.104409680334598,-0.186513604776197,-0.0303109615047058,-0.0696434333164382,0.144585986734157,-0.0055481957955744,-0.037008162893408,0.0416490184998477,0.0489126867238646,-0.108680060530451
moderate,-0.0357087976205079,0.206158404657616,-0.0237643194845537,0.0892676786862403,0.0535779138983947,0.127070766297594,-0.0460911513046091,0.094651822069342,0.100579362247146,-0.129349467476987,-0.0577519837007292,-0.128113124818268,0.115039415529389,-0.0087427034168299,-0.0622136188757629,0.240369261814437,0.0613175681895343,0.154119775811879,0.228913607123294,0.0399076289496921,0.172466032013537,-0.0665850271173443,-0.0031872645397678,0.244145677324851,-0.000186031805982,0.0001838081681067,-0.0155750003884763,-0.130810887515228,-0.162655567839965,0.0007621424595968,0.0357071393142957,-0.048568434652908,-0.0797886873112121,-0.0312021620450806,-0.0015400388282091,0.108352597239082,-0.0251035901947591,0.0060035961308979,-0.0408443458268961,0.174318209297407,-0.146387923097692,-0.15149780524657,-0.0123067803545332,0.0119706718363508,-0.0615777338209554,-0.072916251791476,-0.0466548246616327,0.043830352294552,-0.101265335687316,-0.158303418563711,0.0197259669701733
severe,-0.155603222009571,0.212115111915242,-0.219759767556843,-0.0236490923690568,0.0741096330299666,-0.0392636101754304,-0.0396643830183984,-0.13202620132637,-0.0864033852126867,0.23594016938154,-0.150947506220635,-0.0824642338349213,-0.196790319819209,0.206541705253523,-0.021298231560592,0.0884529674621373,0.0527409743171377,-0.0349059661049514,0.0191683960705307,-0.0993279804916832,-0.213862099978784,-0.0628347516509431,-0.153477251173514,-0.0640743599796598,0.070633746772694,0.0523982946242634,0.0172052751761028,0.303945786977594,0.02589980108012,0.0416795534018699,0.0479001251560347,-0.107360088253938,-0.0954533770584664,0.0187174238388404,0.122660335685706,0.078344800459165,0.0307900684764762,-0.0662078545570235,-0.0663568081895711,0.0507877206244244,0.221682309584221,-0.0029701921694076,-0.11906855092163,0.11409955147826,-0.0741389468417265,0.0124663870993823,0.0388493932701264,0.0192321217482697,0.146692275481283,-0.0480836962212637,-0.173048516867377
severe,0.0516357830255323,0.426577267059342,0.088882712247321,-0.38307281990656,-0.229567787843444,0.19038879214022,-0.006690541111877,-0.0026814085228369,0.176136938459686,-0.161655226867712,0.373349969794911,0.217219719154611,-0.021066808478323,-0.149506634558357,-0.376330178404946,0.422915290793002,0.0097294956400134,-0.36921377083504,0.109794891300577,0.194085557263986,-0.0266696658770272,0.448829867144637,-0.248746561646772,0.370590680100782,0.197698624652133,-0.432869421871021,0.435256175126846,-0.262711911539992,-0.0334185936892557,0.366169593833469,-0.246072973018019,0.0222763637210273,0.23353504393254,-0.0191767566575045,0.109525160218949,0.389927454449595,-0.0871054133516252,0.105132908084062,0.350157435020002,-0.371803772256711,-0.537528894777388,0.227541689208058,0.305507746417733,0.355778004616967,-0.196480627792317,-0.376124319002382,0.0734761945594111,-0.0503668739577665,-0.379144538943278,0.357361892386723,0.0979164307388018
