group,AHR,ARID3A,ARNT,ATF2,EGR1,ELF1,ELF3,ELK1,EPAS1,ESR1,ESRRA,ETV6,FOXA1,FOXO3,GATA2,GATA3,HES1,HINFP,HNF4A,HOXA4,HSF1,IKZF1,IRF3,JUNB,KLF5,MEF2A,NFIC,NR5A2,PRDM1,RARA,RARG,RFX5,SPDEF,SPI1,SRF,STAT3,STAT4,STAT5A,STAT6,TCF12,TFAP4,TFDP1,USF2,YY1,ZBTB33,ZFX,ZNF236,ZNF76
healthy,0.163142187594378,0.194850738064355,-0.050620493079575,0.0896495505124486,0.315926448271552,-0.173996858806269,-0.160074454457504,0.304930502261982,-0.0567274017770546,-0.370257101912071,0.235823318200796,0.2690833653467,0.137249387746256,-0.0026944049601641,0.365468954014175,0.177739118203128,0.192096333434705,0.202347413036639,0.19319421835843,-0.0046448513628921,-0.116457188646324,-0.222257617424368,0.137315858262913,-0.302047515567709,-0.198980982160422,0.29039758045788,-0.269490309735428,-0.340890446539828,0.138556116847916,0.0558854039828848,0.165371601554678,-0.152887534539529,0.0416361284915235,-0.151948450429403,-0.328427876043836,-0.186953252594294,0.107029065592756,-0.179428384902795,0.227710833199669,-0.337542816533002,-0.189918452314011,0.118609164916156,0.172936215056708,-0.0180332530730636,-0.172920644245358,0.0948950853599521,-0.152693683840311,-0.0771945626045346
healthy,0.185106150329478,0.179416194755751,-0.188829200214487,0.119227031505058,0.149328304855531,0.0735474220615766,-0.177356145982224,0.142557504385671,-0.145749035556758,-0.0284720889236343,-0.0953899767316234,0.136963938298477,0.170158873356246,-0.138998875199832,0.199346348275856,0.151514613194215,0.12067774340565,0.142596206586637,0.1854457653257,0.126240484590183,-0.161532977092398,0.158069066451027,0.153504498314757,0.109689580646836,-0.152676252117609,0.117422811918507,-0.174795721672116,0.14543239999236,0.0788784433660677,-0.0223383470512507,0.164245600354002,-0.169523835802982,0.180091287177367,-0.140004893718932,0.148156608452279,-0.0635703702167267,-0.0854402805954331,-0.183142204595274,0.170121714787473,-0.10764315402957,-0.136465185962759,0.182917820946583,0.157221007655112,-0.111797179657405,-0.177278343736944,0.124961831981056,-0.140293871213725,-0.0873262967744858
healthy,0.101091076654811,0.0988972967357194,-0.167253215037215,0.0956991921590091,0.23134372737906,-0.0211659184811771,-0.106049061051486,0.28278703286195,-0.211736516352066,-0.20582598238,-0.156876749139952,0.134260418892723,0.181429189983377,-0.164875447539074,-0.0261817793476629,0.0872034277451247,-0.173503842245054,-0.0652692310530756,-0.178394735027106,0.0638607091754158,-0.0965746230332067,0.0987620414280359,0.122180120805616,-0.176311623557983,-0.152792619031535,0.184396119763891,-0.223123077211484,-0.177245151624023,0.108472738732164,0.024690896620564,0.0812446581262637,-0.109494208761866,0.148761162659332,-0.175091850548908,-0.226656868466268,0.159312763605599,-0.210962538783026,-0.184492851194162,0.112133531867242,-0.164997632949325,-0.0899177648094659,-0.0644165266651847,0.176191692665624,0.195033975726866,-0.179839589327724,0.0699911453542152,-0.157149869005047,0.0275078851953758
healthy,0.0942328139576419,0.142013639239641,-0.0743428806822118,0.0946232884543109,0.153357869734899,-0.140149337199622,-0.100401394342726,0.176189116673342,-0.158158750535776,-0.182905947493146,-0.16778625693055,0.21546857751754,0.0706140981672628,0.0229090981265403,-0.109259182697397,0.0739244685501488,0.172576737247549,0.115811446970779,0.163691288930871,0.175034908204569,-0.109341203602053,0.130029405960945,0.112665131758567,-0.136861357057723,-0.107572614339802,0.112642306908927,0.0838357447574945,0.0098370888260684,-0.111342241565461,-0.15574090890531,0.0185199875248694,-0.0567081794444339,0.0822946075330233,-0.113156782736699,0.0883091849856412,-0.0493193611708319,-0.102862445644908,-0.149059947632487,0.135447765083323,-0.167695203502511,-0.118292628743299,0.159106589737788,0.138732019956138,-0.0634695189032363,-0.101987206494414,0.0475132029178687,-0.156897684213115,-0.0746526241314879
healthy,-0.0081419365994434,0.0088696675607922,0.178909958773369,0.16403328770452,0.256358166094962,0.0332303009153775,0.0007322152824527,0.240724721735521,-0.343946908662021,-0.268407809378189,-0.174807924427095,0.14136901529545,-0.295041760772685,-0.359920038266877,-0.0688052154961442,0.0018107226792926,-0.141332471080315,0.102263348556757,0.0560261555901854,0.189173255426378,-0.0061590483175096,-0.0316554064200016,0.0595319839745437,-0.240998703133,-0.0732433605620517,0.0543706901752991,-0.146173398699069,-0.0845944362113321,-0.0410930531964815,-0.119288132279883,-0.13418921634381,0.0662384935450212,-0.0228880635852371,0.0403619490650664,0.114608230120241,-0.114630912195082,-0.21467303842334,-0.0189949662746569,0.0604205122534362,0.0050360930318609,-0.0212424572112291,0.0360972848795039,0.0904768882780066,0.143132784223286,0.0232466291617931,-0.0300488649021775,-0.10166231282861,-0.365032348131805
moderate,-0.120617443402088,-0.241870817261907,-0.126881950892532,0.0099260449706731,0.405557737130457,0.493754576824114,0.393202516808823,0.0816518908212319,0.129469121388271,-0.162798197179174,-0.347376025065986,-0.167778994118298,-0.377454350753083,-0.116612266481967,0.0675034256063687,-0.301363889028034,0.142349675566291,-0.0730490551880738,0.315737497324206,0.203643891982888,0.42235657089897,-0.0474933405202444,0.0928221475570312,0.0292962497204468,-0.0724289242448205,-0.248111625480635,0.381708370026229,0.221402546255926,0.48906212102421,-0.359790493566911,0.0789659733600071,-0.0060986125884279,-0.24950198275468,0.185411252275515,-0.0805538245650253,0.115423353017513,-0.307371654408215,-0.0236558230518749,0.420788469087049,0.0369550643635568,0.0803089320906195,0.385839943062172,-0.152169073814239,0.337280135314676,0.021894177187601,-0.203932233122107,-0.375704554524668,-0.326583864013211
moderate,-0.137122104185182,-0.336060926885442,0.0050423791478017,0.126500520231945,0.100030452204441,-0.0010374949140833,0.291431947469293,0.208660353045698,-0.0479446408166993,-0.299391660756532,-0.136106318772404,0.0562531547299712,-0.0120503784359462,-0.124239169310511,0.0572300627129977,-0.207592261242037,0.0412201570447092,0.043242703451777,0.040942905766984,0.164490013761289,0.0790496971609139,-0.336219001027053,-0.0206917778944923,-0.236022213716572,-0.0011011356613745,-0.0674722687263688,-0.141735245970371,-0.0821574641485971,-0.0060014144755599,-0.0856022667395139,-0.287624132261407,0.0575317640963417,-0.2668851572455,0.175239995026578,-0.0515649595381029,-0.0309441045680756,-0.103829967296409,-0.0095913124890919,0.0271704881868636,0.0744715372322027,0.0923684664242931,-0.128761538365713,-0.0538615859521911,0.226283084776298,-0.127998652003767,0.0721793936637403,-0.113091663389657,-0.174096673634532
moderate,0.216082866080579,-0.111271748761768,0.012178370863191,0.0909041635539608,-0.0167630112058758,-0.0110740362023765,0.0048800984657473,-0.0444904367424821,-0.0503787242398833,0.0660895315717019,0.0648033620087802,0.125890527469328,0.246448879498104,0.0354485952577589,0.0878558148546132,-0.0912280086079731,0.0090691337068995,0.0947841889324083,-0.0222180960176675,-0.0511807305363681,0.0037408463699216,0.147319829192947,-0.0234342419676747,-0.175870777715721,0.0861157563851241,-0.0054192236623206,-0.187567665461541,0.0027568919255944,0.0598918189772336,-0.0162603511360277,-0.0752823673699871,0.177738728368797,0.13240242148174,-0.163244557718505,0.174405528896915,-0.0384063096203909,-0.0586840154630507,0.0373461785448717,-0.12339757360384,0.12089363490204,-0.011733617112594,0.0956914382654459,-0.0590005750414336,-0.102823012940717,-0.183544723965307,-0.292956411526883,-0.0400783829001987,-0.0112937706771877
severe,0.0187364515584001,0.0076846630036506,0.11612147704362,-0.0282470914796471,-0.0476782861816827,0.0619296252884229,-0.163203448862347,0.0887684880004779,0.0298026353223242,-0.141629910736812,0.0868728317085582,0.0289692716458972,0.055380502317888,-0.0671726803633135,0.0634118807014851,0.077396149716646,0.0405081596290387,0.122833868754108,0.017600460393373,0.0684199370625014,0.0141912155265413,-0.0699288502703312,-0.0391470536401972,0.0682394842979207,0.0412304628312646,0.0404459444372503,-0.0763070352584179,0.0703229755129721,-0.0833914467478861,0.0273436383089773,0.126292204975304,0.144833070344094,-0.141131122890714,-0.0456652125568098,-0.0058524112512858,-0.0525520282690623,-0.0371000220859896,0.107387153117997,-0.0416147451958375,-0.0704772626266885,0.0143063771999373,0.12259542503291,-0.005334839912875,0.0980456056395607,-0.0124308577960652,0.0654368478040236,-0.0083412239827804,-0.103119199163713
severe,0.305352819541364,0.0685142402782934,0.134888230838407,0.397799721309677,-0.110340844239169,-0.19037940941983,0.294054547891832,-0.0794963604846061,0.24445543194949,0.0324623987071034,-0.105093359933461,0.380216310364265,0.107943652432615,-0.0002827909485114,0.428325291990665,0.200039592407066,0.349121678132006,-0.136921978281886,-0.369485098083997,-0.201083088245442,0.0445834014643084,0.189359622178064,-0.0414055657967148,0.0063692033239343,-0.302279414925703,0.42582554704082,-0.173244666750295,-0.0165361730979022,-0.154895082886912,0.0880092931809695,0.327685074815304,0.241741964426351,-0.290718498421112,-0.477505993317685,-0.0379886834054576,0.198937273842094,0.259126841765431,0.318729052336383,0.191348216965213,-0.125711360779872,-0.323530036246043,0.0167791275285203,-0.138985937961466,0.0157403816943567,-0.338514476862899,0.309315206776952,0.012420667267195,0.0312878497001562
