group,ARID3A,ARNT,ARNTL,ATF2,BACH1,BACH2,CEBPB,E2F3,EGR2,ELF2,ELF3,ELK1,ELK4,EPAS1,ESR1,ESR2,ETV4,ETV6,FOS,FOSL1,FOSL2,FOXK1,FOXO3,GATA2,GTF2B,GTF2I,HES1,HEY1,HIF1A,HNF4A,HOXA1,HOXA6,IKZF1,JUNB,KLF10,MAF,MBD2,MECOM,MEF2A,MEIS1,MYBL2,NFE2L2,NFYA,NFYB,PPARG,RARG,RELA,RFX5,RUNX2,SETDB1,SP4,SPDEF,SPI1,SPIB,SREBF1,STAT3,TFAP2A,TFAP4,ZBTB33,ZBTB7B,ZFX,ZNF76
healthy,0.153974628520119,-0.0636048161335282,-0.021076412752588,0.112820769501323,-0.0286608413751221,-0.14234971736662,0.018365499313025,-0.105945758118553,-0.111309205206176,-0.184907975392418,-0.13058637516489,0.202676435503684,0.160918303438246,0.0024549152294446,-0.290628872191969,0.103034036753352,-0.0931498661767022,0.103831482239124,-0.190658514798329,0.0850235177589556,-0.202284351660601,0.113739358262918,0.0215067878624722,0.22581303568092,0.183792704660061,-0.18335170430355,0.106100113075919,-0.098306102698664,0.319277380806603,0.0935325275502177,0.214664802258445,0.116321795782231,-0.105271567211906,-0.252533810546717,-0.143288630912696,-0.0456349982556828,0.13213644336064,0.0641596722255739,0.136953793150586,0.143605328555788,-0.194597474354247,-0.0673382361247703,0.104605361885804,0.327582605799006,0.117846408060652,0.183565257370381,0.159108089599341,-0.0828048709002288,0.147680625039163,0.171872992849393,0.117696254231729,0.0080447464377396,-0.149978307237566,-0.215235592998707,0.133823986826421,-0.128683957725329,-0.157187690642747,-0.141541659521118,-0.084556314045087,-0.0910022368598629,0.125497126881668,-0.109612273635887
healthy,0.0853865326439437,-0.0785448251593601,0.0335898866693726,0.0493663628327686,-0.0616148563834347,-0.084947878733156,0.0433045675090149,0.0693457740145895,-0.0731496712720451,0.0847411850866695,-0.0676942906667948,0.0628082194010562,0.09475831846522,-0.0773477754402713,-0.0858688707889278,0.0193902540400133,0.0291773976326332,-0.0240971389016785,-0.0963692639878292,0.0688869862643231,-0.0873536580229649,0.0663401270795725,-0.0861625674118512,0.0343688135910173,0.0457705576258044,0.0492669172388797,0.0625740661850203,0.106648868263514,-0.0801409126394179,0.0774045538210583,0.0818961162478889,-0.0062965682870191,0.0772836236565498,-0.120419556355346,-0.0858264101582357,0.0902982836923165,0.0474821087819883,-0.009548016507794,-0.0371294378970516,0.0848360699765881,-0.0541094313980588,-0.0785256288862029,0.095427772600623,-0.0480915427818658,0.0601107616395583,0.0660693928860466,0.0184643993521339,-0.0390225273185897,0.090103794298963,0.0896453402587432,0.0762547320190417,0.0817911406017991,-0.0095555170383653,-0.025082870706492,0.0885570323419846,-0.106350038862254,-0.0787655664097134,-0.0527356901547689,-0.0659918768095061,-0.0356164442185989,0.0436528177790813,-0.053552294529771
healthy,0.164456733743865,-0.255702320409976,-0.19336914203034,0.199138204753404,0.213753084367915,-0.25797352110254,-0.0027126992230242,0.184377180201932,-0.218136132955589,0.118498797842233,-0.183326206248603,0.311267899760897,0.3116750909328,-0.303678365413892,-0.334805157752747,-0.127041038715402,0.132141982169909,0.0361807246310039,-0.261415487971496,0.159109015159492,-0.319193891949409,-0.268763681549839,-0.274855411438368,-0.134190956868654,0.271576703806223,-0.203866666064742,-0.221126023979451,-0.204245385909466,0.145423789353399,-0.242340210694839,0.278079688823728,0.114896351924154,0.147819854339484,-0.239166874538853,0.167968772368811,-0.0216183220435984,0.202044359359408,0.196989143297873,0.216722269688001,0.223978504423708,-0.238337772164482,-0.0695381174711084,0.184711503678384,-0.19077996820025,0.134767007032174,0.14041324531614,0.209742470668094,-0.0744077225319227,0.155960590430301,0.210597839121618,0.231967417063899,0.221424590934358,-0.233068489526821,-0.201170183290586,0.179248639643571,0.258240671148979,-0.2895038423264,-0.177461341250631,-0.194158085263001,0.0282936629460171,0.156873775761505,0.0908257940769239
healthy,0.119149406330155,-0.0496381983564951,-0.145383811175664,0.148204277871054,0.0565194327119479,-0.0744151429605515,-0.190201195203409,-0.0633111316684876,0.0987716436698873,-0.298259152755663,-0.0702079140828649,0.151755153972672,-0.0110790999589925,-0.183199530891567,-0.269426854104637,0.0413297494649814,0.0512665669894462,0.278894024796609,-0.093057886310155,0.116840125985007,-0.150576568828272,-0.0789142028622931,-0.129627684669922,-0.103530767054872,0.276340711145963,-0.0262987050313777,0.106081336038143,-0.15709209913026,0.163132026314786,0.128980509989717,0.0018514729092615,0.0850278836690003,0.0880617469786328,-0.160187456555889,-0.101596256611403,0.150361186947505,0.22662170273401,-0.0450823287668531,0.0620986692128718,0.130986192359443,-0.109607020612288,-0.126763188864604,0.13447067877004,0.124815086626371,0.0973284479810006,-0.047138143970279,0.14605337325505,0.0663089933346441,0.121094475090847,0.100751231312951,0.143963242307159,0.0075873561614901,-0.0828563328878835,-0.126682564230127,-0.229270698828867,-0.17194015295679,-0.195316702082493,-0.119849284133196,-0.0221849886384893,0.119817121602008,0.0859296723001078,-0.255248765599587
healthy,0.130479340213132,0.37754899559301,0.281407396670116,0.32361691375995,-0.486028725167311,-0.3984536388515,-0.441077632354133,0.100399420323734,0.449460179524258,-0.402814243460203,-0.026050157751459,0.369794561550272,0.36999138599031,-0.525592069623124,-0.436890173264336,-0.147588642097782,0.0050256460840216,0.0395103698779799,-0.274088891065819,0.006129940150459,-0.221278344854804,0.362113400418166,-0.515073476342748,-0.272774605473092,0.411156243924166,0.19918077764449,-0.277587353131932,-0.356319207089526,0.328414058347567,0.0807620101233571,0.251192660324231,0.303442024245962,0.0873482122016939,-0.501737125679156,0.0091283351172576,0.440434398171539,0.339254009207739,0.343102516670574,0.0956105717776018,0.0548184389729307,-0.296732797987795,-0.384835378206738,0.330991645005957,0.316903193928291,-0.0208685225880663,-0.101013939859333,0.327145269145617,-0.0184573868844932,0.134241395651813,0.179887802581489,0.448821289962029,0.0724222458066315,0.0728210701139488,-0.314490045969758,-0.307957839862118,-0.224672401881814,-0.468264794648529,-0.118328070795478,0.0317296645746157,-0.407305806546917,0.0532764188536205,-0.487698426795863
moderate,0.0558430153927585,0.342201220314812,0.0564721203077001,-0.194544722430672,0.177638523260786,0.255695312833666,0.068357425188084,-0.34980224109091,-0.147923270221488,-0.136252975881654,0.0438940036855451,0.0141150438194174,-0.0712759941922117,-0.175416747675106,-0.178753392730303,0.305318949257192,0.122882505600807,0.140545223339293,-0.0920683097986991,0.310339843546694,-0.128544449835281,0.0787137662245592,-0.0999480479421764,-0.213736404013068,-0.004045383503675,0.12681640215753,0.202961986925524,-0.0471589785605584,-0.23010507683158,0.0260760005566613,0.34097884557502,0.0727810679760593,0.0097949246250399,-0.0953253213203587,0.0111526763718443,0.246565328213659,0.249448062127695,0.0053752635137414,-0.132466401361974,0.246820155520977,0.02025877093179,0.227664309028673,-0.0669837467345723,0.173732498440801,0.314564402500827,-0.286971383130287,-0.0967268715106083,-0.0926257445334574,0.199422276359808,0.249738724525105,0.0400715940757734,-0.0154329787994533,-0.0359943571586835,0.416734226028683,0.171255895547803,0.179251102314909,-0.0437506633251786,0.0491299085155969,-0.158120344190889,0.0329603195309273,-0.0238382982642742,-0.0149432325682013
moderate,-0.309362640715003,-0.0050428980819792,-0.0050735949555505,0.215010807874038,-0.126092929708272,0.0438645966125422,0.149878377676694,0.0723861896880031,-0.0002222728251179,0.0490476999675485,0.297659089891915,0.239066486402965,0.211180603022357,-0.0505395680231117,-0.315573079181937,-0.151886129739796,0.0524348302651712,-0.0630272327234418,-0.0015166217005772,-0.170990176993598,-0.313680151079146,0.0794897992954754,-0.124986430007376,-0.0488254859862777,0.202583516960834,0.0295213696523304,0.0047646843728835,0.112762503429755,-0.0861313277862756,0.041454254562188,0.164279055846292,0.193866134461219,-0.334915267484959,-0.250226496610376,-0.138735471414173,0.180679954066564,0.121115387525807,0.109834413983371,-0.0683425974321165,-0.288301192116602,0.119196509286444,-0.1660860523177,-0.0524054279562362,0.158188698056676,0.0428610540294582,-0.329892768603309,-0.124976406938754,0.242634365384267,-0.306555769593647,-0.158633773301536,-0.0850216112884049,-0.277221131082786,0.153643815067332,0.150155159518843,-0.23351968884364,-0.006615872573464,-0.168553590587437,0.0559905285701239,0.0534342145497267,0.248088366196713,0.0128918827006857,-0.092897605232931
moderate,0.0028752802171421,0.0533405017017358,0.335467936433409,0.108056763710911,-0.105463996272612,0.0682300790297429,-0.254830448210654,0.175147553019991,-0.0317357781302052,0.0813804229222713,0.127601165177468,-0.091215578151583,-0.128686003689822,0.0095726657133572,0.0300868567749896,0.0573448903194274,-0.118400343899799,0.0825101346603088,-0.0984382820570441,-0.114422954634704,0.184233287671788,0.104097097484531,0.0428400537659187,-0.0486997805769719,-0.0072098075666511,0.137344236022645,0.0058627057899011,0.0043237426919076,-0.0855344015284402,-0.0678416051045364,-0.0240851571112473,0.15912468163761,0.143713971554182,-0.0480768346204186,0.0308046021343743,0.166576729205769,-0.0635742367591812,-0.087986365080433,-0.0737238439456175,-0.0424224688069071,0.116894790615214,-0.0702290869624791,0.0829228175022289,0.0514161190745697,-0.154821150751557,-0.0734379373934028,-0.0516866028122427,0.241523161154011,-0.0099494876833231,0.071011804227623,-0.0972306643658444,0.0199996573099876,-0.208840180875945,0.108058913100712,-0.0381092091038568,0.016665350390114,0.0216290079054302,0.0981491702744234,-0.101355192560871,-0.103116862609192,-0.197605358091225,-0.164213380847353
severe,-0.0344273016835302,0.137629148700858,0.0710870446865733,0.200023266457781,-0.0811485768731248,0.051537564823389,0.0355040492852197,0.0787563489440136,0.112226578254589,-0.201440384247185,-0.123390308590442,0.116722306298406,-0.129216342523396,-0.0483249067817995,-0.208672952165762,0.0778708922705673,-0.0672605672078545,0.0026856505047264,-0.0689841623036057,-0.11305277386329,-0.0231874256154235,-0.112328092170223,-0.171381434323067,-0.0275744328733283,0.20955169615432,0.0057723736359677,0.0913900337239377,-0.0685398072733055,-0.0513559516923766,-0.0046480606904416,0.0035195059869803,-0.0030828931944647,-0.103807841852441,0.0281378042185097,0.0017711604395877,0.0486154877914193,-0.128087581909355,0.145297876408676,0.0350670658536612,-0.0276240573229586,-0.0462649773456904,-0.0226785382095459,-0.2226207994454,0.115227766131157,-0.057472360724371,0.0503005364267107,0.0788175455682051,0.153863632964501,-0.0549690234466268,-0.0156693009053635,0.145320320661828,-0.111033367629203,0.136927281899986,-0.0502149188078049,-0.0992634777297745,0.0137911081466144,-0.0418726164127218,0.0475112717184407,0.0690757513293136,-0.0635695788903672,0.0099425570537861,-0.157572041317004
severe,0.026902878058869,0.141524031387459,0.260237265401707,0.379719514109911,-0.328479451193249,-0.180435926320072,-0.0320129831169725,-0.0570920872780497,-0.113734628604449,-0.143224550258879,0.307951599300111,-0.0526381408830321,-0.145301545911692,0.198385075910191,0.0213136596528726,0.0398657576409104,-0.318637112677222,0.32717767096345,-0.158379090645999,-0.0150677163702237,-0.357710627057862,-0.0801180458065427,0.0084920020203758,0.407628470815981,0.0838116088119721,0.323827758162643,0.32531335065026,0.207302525280423,0.194515986699138,-0.353546651059342,0.421199933311433,0.0980370065465046,0.237192138472474,-0.0525969592036323,-0.302150106047014,-0.258039928650876,0.077998059352934,0.0275925123728151,0.312349780563869,-0.168909806758056,-0.149546020907268,-0.133268665207632,0.237198339201532,0.0218970253474419,-0.0215684695678979,0.339008979637825,0.14192010468229,0.251084036416321,0.114216476349566,0.330972779538506,0.124490449134419,-0.325497715311557,-0.500054687600613,-0.264667099384843,0.157260086917493,0.168787767019339,-0.157938258859238,-0.345845842732626,-0.348650381388169,-0.118880349876896,0.309259607879142,0.124151729130851
