group,AHR,AR,ARNT,ASCL1,ATF1,ATF3,BACH2,BATF,CUX1,E2F7,EBF1,EGR1,ELF1,ELF3,ELK3,ETV5,ETV7,FOS,FOXP3,GATA1,GATA2,GATA3,GATA6,GMEB1,GMEB2,GRHL2,HBP1,HSF1,HSF2,JUN,KLF4,KLF5,KMT2A,MAF,MAFF,MYB,MYBL2,MYC,NANOG,POU2F2,RBPJ,RFX3,RFX5,SIX5,SMAD3,SP2,SP4,SPDEF,STAT1,STAT2,TCF7L2,THAP1,VEZF1,XBP1,YY1,ZBTB7A,ZEB1,ZFP42,ZFX,ZNF143
healthy,-0.348647093359564,-0.0544116835673187,0.268473545511257,0.275074409822449,0.327068645471926,-0.202523497922151,0.234549210498096,-0.373840749135155,0.337275812113206,-0.336229274912003,0.323919246125761,-0.0515132840103825,0.359388031106779,0.34484225654535,-0.243327474048101,0.400584656691788,-0.430908984868044,0.314037670028431,0.347971951620319,0.316071217355339,0.10933037649185,-0.393930481380194,-0.339688877011245,-0.295790424512045,-0.300381483211329,-0.350956101246349,-0.260597681774727,0.37036229489932,0.397863194192314,-0.34267911177985,0.353991439048794,0.308613683023465,-0.309541919472276,-0.305828181642604,-0.335426525479198,0.318811113436625,0.447885938090543,0.350676429381452,-0.307016220409638,-0.395758207076929,0.332519812780394,-0.444272767169188,0.367793272197269,0.687771470904695,-0.314650648870278,0.299061215476673,-0.349537904571711,-0.404241018173601,-0.314696020208464,0.362753773906364,0.262501058564959,0.184917358128849,0.450631511491798,-0.371252161680168,0.266814716327333,-0.0552409801053685,0.105803773431237,0.430239284340943,-0.416742921056875,-0.423246133318169
healthy,-0.504621961994132,-0.412227835146634,0.427051671164256,0.419406675770136,0.611454137768512,-0.461529008914802,0.462954463557707,-0.344210390953027,0.451981322194763,-0.44799126217186,0.465845985353419,-0.360710961595658,0.103802939783635,0.52138222725149,-0.0947443813689392,0.480117091144405,-0.430545124972448,0.353432352007251,0.514757085331209,0.407374814856637,-0.385667253670581,-0.480809313752589,-0.519408122684937,-0.497602634227154,-0.431731000735593,-0.481663922893722,-0.480863215031369,0.547519441569977,0.506543514798458,-0.455555254819489,0.447701449523011,0.431813225985313,-0.415317624738929,-0.405397630217011,-0.4033681954718,0.495736395724822,0.525803592764621,0.507368672725412,-0.466280355040055,-0.435994425182068,0.496437445758927,-0.558957372310321,0.537445570407726,-0.25262129042085,-0.543296359730094,0.456182653003151,-0.464897100573585,-0.484836382282366,-0.450230856335983,0.496621265790064,0.463010825719612,0.190977628782093,0.496446162048191,-0.439176251803255,0.37996781659876,0.42673494756768,0.355198996187998,0.478797200449248,-0.577042005482457,-0.457524501126453
healthy,-0.600630927439477,-0.413162927135071,0.505661606774134,0.406930314995947,0.58244186558945,-0.519840039193404,0.522727893427447,-0.616920540678241,0.624824440164367,-0.607642011393643,0.52521804984772,-0.160075745658545,0.6382518558259,0.612057438000813,-0.192375144160712,0.648224771885906,-0.669181839105697,0.501775145510149,0.677162331604949,0.487263129432668,0.658859821311611,-0.603198705652197,-0.608941713073768,-0.692027454587912,-0.562207527622703,-0.597886049971246,-0.595788211869818,0.596151418089858,0.660041284049296,-0.565702518721786,0.494433187278427,0.47869392385683,-0.54124421704749,-0.260561585229254,-0.507823747509774,0.511335136251778,0.560530491676746,0.546783369097922,-0.559737004395582,-0.696357311886048,0.591464260236183,-0.647496828056761,0.552472660103029,0.313078578511048,-0.607902017697197,0.582976375346382,-0.587353784238331,-0.482251607668287,-0.503180497329265,0.62514253715982,0.405809644477538,-0.293089749698032,0.58839979364982,-0.579037030113322,0.322624119222517,0.429322380156513,0.474410557960079,0.676552807343621,-0.662418887299866,-0.722724705996083
healthy,-0.778792670068723,-0.758304053295546,0.824090744387937,-0.363526384260659,0.783539054817809,-0.76659370418925,0.815263402675224,-0.759815879219251,0.782593413020987,-0.794827268618331,0.756195239541465,-0.685185335541072,0.598281073630531,0.778890376485572,-0.785806299361143,0.794130465362975,-0.784322327043872,0.769827558158414,0.813916645954225,0.755196063002351,0.763212488248193,-0.823426178241154,-0.769211264327147,0.767933723132741,-0.802241249593262,-0.762814084560525,-0.832835883740304,0.759632153387563,0.785280948058954,-0.769206818450491,0.782903412919117,0.772677965994105,-0.762531211291416,-0.751741187471258,-0.774633031762049,0.742845669807233,0.755496954166048,0.751924773927329,-0.750582442533243,-0.737988111064418,0.782110860428699,-0.772515770129123,0.765950665712437,0.810847684822612,-0.753971230087888,0.758807127103874,-0.757055111058873,-0.794674883926381,-0.75352450657853,0.764234929998565,0.765852419562608,-0.796127057207268,0.796497141534601,-0.812852005909117,0.771009414789012,0.759151149641563,-0.786999668925332,0.813250366321442,-0.86430127037328,-0.778244914831308
healthy,-0.683682359947767,-0.626018936894772,-0.0673626780527226,0.774623230993721,0.621052275250076,-0.756960816675883,-0.379316317097129,-0.603923834874384,0.715531257713865,-0.774656820397397,0.69108853587474,0.755927245604836,0.769971890588105,0.756673614319404,-0.489569195183476,0.679992397008394,-0.775943668141316,0.4262459263719,0.806133400232373,0.67614431267247,0.65890852733233,-0.686790747877495,-0.649039545603216,-0.350367493787399,-0.552322040432215,-0.770559191544567,-0.717416494464017,0.671838607396067,0.688562278827222,-0.753536751932394,0.708935197599673,0.684900707653345,-0.599628008510075,-0.529020248410551,-0.763889239887554,0.766752229834069,0.640685627166797,0.766280601823754,-0.677172878134042,-0.817703654294213,0.772350148632537,-0.755736467384201,0.16943161893898,0.772137610527684,-0.718800827555041,0.70816693577523,-0.417821809959123,-0.736112527630379,-0.715194241825198,0.731641060236353,0.746935505205594,0.469561514087627,0.699470764303666,-0.688656231397448,0.520398754972578,0.709004025648768,0.307586242938881,0.707708866461508,-0.815924071920873,-0.786054300996916
moderate,-0.311950109629294,0.316868634437089,0.375039496676777,0.511288970116525,0.40636836121338,0.1496942332807,0.0967389082164272,-0.397964891292173,0.465058005055179,0.266233966005157,0.538439860681935,-0.0026137088350598,0.108346151543034,-0.147310214009934,-0.567642116666376,-0.381601489918738,-0.626129792098193,0.593430710505633,0.3780571423318,0.46639258062702,0.460242444534826,0.247819199212689,-0.487135924381631,-0.529129512998259,-0.581419530359063,-0.45933952693726,-0.615274980102891,-0.135889098433702,0.515767916620241,-0.0015246634871182,0.397295623423801,0.253993096294293,-0.464178848447022,0.0779994079020284,-0.481120433896092,0.486280528762884,0.399307387193817,0.423119858747173,-0.432972749022368,0.247882561851115,-0.0974952997126339,-0.388183283985206,-0.551951943326214,-0.35583665706889,-0.507293163730805,0.471520994174599,-0.487777471095691,-0.621080581848645,-0.339639582621322,-0.175795680147184,0.477112747015667,-0.103534551187583,0.535766749373351,-0.552320238662063,-0.158121464191317,0.0896898146915688,0.500897497414711,0.371475348265331,0.169015877835635,0.0063441841723725
moderate,-0.386878119934295,0.0944463788768968,0.138988454948052,0.289395833136229,0.248171402355624,-0.164638360802698,0.356785070454145,0.122553127936315,0.215698302566818,-0.292476589206892,0.34323002612773,0.223923692426381,0.0072196892269519,0.488591781592504,-0.150994737949277,0.0342616918390992,-0.498804746525059,-0.08677846308546,0.338189247082912,0.102942544096412,-0.0836956283511129,-0.247017763620791,-0.359481332573289,-0.300505349247928,-0.307505268815336,-0.292951838399275,-0.2797343612112,0.354254179758123,0.449680628952201,0.0069373439464928,0.490040727840771,0.0868361950277903,-0.283593125800888,0.108047212634474,-0.230284815111518,0.187004272186439,0.468220955925066,0.275094372056785,-0.28161949346261,-0.126299821177356,0.343994856703398,-0.517296068021061,-0.027453146600903,-0.0441117730784402,-0.337881859788066,0.16833614661705,-0.384863247692919,-0.391888307324889,-0.103472799436293,0.105073017492691,-0.0663251183917571,0.0745299569348934,0.136371280099091,-0.446360983438105,0.107926101059803,0.319741185323588,0.175984687694145,0.107223120533765,0.153654623453943,-0.116854314565127
moderate,-0.1611531335311,-0.237913277750509,0.464961244927912,0.502929054458149,-0.435169964004969,0.394002676025294,-0.184555662447296,-0.428626481733422,0.465476271900818,-0.128113872678782,0.422438551459988,-0.477856877157681,0.311163315641595,0.427500366238448,0.0353583696593223,0.36380737928073,-0.377510327681599,-0.152768364874075,0.560946728103913,0.521819627765174,0.425941992600462,-0.532947516614369,-0.470493576780765,0.567970518121268,-0.3910340314827,-0.518368566716775,0.301195771980901,0.344748632363923,0.418462974018695,-0.343108996153184,0.531625361752506,0.509567920463144,-0.354531847806998,0.0529405327008945,-0.486183165381211,0.585723867286905,0.499117131855216,0.565955597943871,-0.391453787691444,0.0051951938482885,0.517966320747294,-0.5154407417427,0.611124785208376,-0.129111881003921,-0.583282073835773,0.545053568850873,-0.497691760722772,-0.309307757469707,-0.432645439380373,0.569705010875456,0.373975481079737,-0.535787489140701,0.577028131843138,-0.43613784718729,0.359573139831914,-0.0855809366622995,-0.0336817171793455,0.598393673914823,-0.415841446434224,-0.497600104975747
severe,-0.317322483218248,-0.103164613871148,0.714662938911584,0.432930773145673,0.631830494513248,-0.645166652214824,0.611530426629444,-0.456158037969882,0.52910126357435,-0.625869451107831,0.622265698811363,0.527100045589513,0.63955991675663,0.400063466823349,-0.284561826420532,0.128465961540154,-0.633853223025757,0.461485423922705,0.717334431506809,0.459257770688549,-0.106877027172865,-0.54930317941299,-0.557399471094946,0.317531020394925,-0.0490743395063516,-0.619669903569247,-0.41813444470111,-0.36125707918016,0.451495466894277,-0.490590809889164,0.596479871662213,0.610704159642802,0.321804513643652,0.568996765358169,-0.616580351405662,-0.1625738998612,0.492744161491474,0.503190396220444,-0.463211643768456,-0.356267539873802,0.568614009327592,-0.140805779514346,0.71878639212473,0.555246078442011,-0.578839227489786,0.483847464716834,0.0183314440954795,0.394506279469929,-0.634212867554273,0.664536677131152,-0.677975543497303,-0.664057862637303,0.690126446493726,-0.396745632132304,-0.337670251928686,0.586842375302868,-0.477337779703882,0.538075956537117,0.38753235293512,0.378295018071492
severe,-0.308788876040269,0.180815682093787,0.0517834592797094,0.389832667646696,0.618978301765517,-0.382257321768692,0.260268200658716,-0.399131637601515,0.435419451452855,-0.471298369537895,0.306560718787572,0.484894956834824,0.44522802803991,0.59124746487725,0.461304046544712,0.445881111466369,-0.418370390893714,-0.107934737096511,0.44470223597898,0.181040375549371,0.401669510063421,-0.44077018322567,-0.41491532575706,-0.268142701236236,-0.388073322576911,-0.600187515368169,-0.411540856886288,0.636070293691739,0.496930932413436,-0.614395812606454,0.459150833065763,0.218076331200973,-0.514603435281752,-0.0249823194817146,-0.430710870359519,0.315365881514996,0.39094358914939,0.467437290027274,-0.414693113883389,-0.347049437219276,0.469439540606564,-0.458407985306913,0.0568282395758828,0.59873248117365,-0.423566823417855,0.521830325699585,-0.299845489200335,-0.521714559903381,-0.441969614483232,0.411739328292999,0.461896868890403,0.0525245837177871,0.477749214145519,-0.304322180250542,0.067175719248304,0.48926012835121,0.206572420570902,0.410653801645207,-0.23688299972256,-0.428569444394653
