group,ETS2,RFX5,E2F6,FOXM1,RUNX3,CLOCK,IRF4,SMAD3,GMEB1,ZFX,OTX2,MXI1,BATF,JUN,E2F2,NFYA,GMEB2,TAL1,AHR,HOXC6,ASCL2
healthy,0.104906958495563,-0.0520736365116835,-0.0928831768147547,0.101044130796283,-0.0881616779381114,0.170695481867918,0.0841915163416613,0.0280320361443551,0.0892469428983906,0.0322812658734484,0.138810158815143,-0.11456939443862,0.0679781348746327,0.0189837886128843,-0.0388775301540027,-0.106670812205731,0.0521165700705517,-0.120787604881363,0.200670261551058,-0.0822356542154438,0.008865779906281
healthy,0.18324577786222,0.20622528279059,-0.0097061871776803,0.184360716373396,0.151208196317568,-0.0058676371843033,0.0039471850277991,-0.175916780849544,0.007440659029482,0.168053689611906,-0.086049709866425,0.148604318805194,-0.217424781277356,-0.188551068985985,-0.19895682542558,0.138558436937835,0.121417981026815,0.0281912959296291,0.180781814202229,-0.0593534069027611,-0.0610091662664161
healthy,-0.0703107537121949,-0.0063756848623731,0.113175592606563,0.100507583955311,-0.0332122014877637,-0.0179743721570873,0.151449823419232,0.134783357760062,-0.0635096399230268,0.106064030681626,0.0120241162215091,-0.0500741344916777,0.0064245516985591,-0.0033430664990712,0.0121247244136565,-0.114891680912621,0.157503562066733,-0.0772613425296965,0.0283542630669293,-0.0596462853445644,0.090564620051366
healthy,-0.0818307299874432,0.121535687068934,0.146656123198131,-0.0509623469252898,-0.031566007326838,0.0583500090102826,0.0022419378078751,-0.0531386961270835,0.152326556323901,0.107970770811179,-0.0452501755956504,-0.0603117045921734,-0.049805602418035,-0.0896059611083719,0.0335455907103873,-0.078187581049646,-0.0584394480185755,0.0298070401637444,-0.122394301548546,-0.0424477533358065,0.0503541616688981
healthy,0.0354833189302308,0.119081698757579,0.137419317330876,0.170145785567735,-0.141521394561917,0.0332425342761903,-0.0297088854336586,-0.180027694475676,0.0656667044146968,0.020604854310943,0.0656337755146977,0.114745880318347,0.0244850663305149,0.0919736566058204,0.0232402459469405,0.0424005472021832,-0.153739096097667,0.0722719178637065,0.0835487165683331,0.0582447462821017,0.0485199244216972
healthy,0.0934712622092726,0.0197315692239116,0.0951164138250844,0.0069752378477256,-0.038525248274323,-0.046356374968904,-0.028095704541684,-0.198842966947876,0.0126179541374728,0.0754975964253095,0.0322060210397559,0.130361609033614,-0.0822780811222537,0.0486575371978744,-0.101302388903854,-0.11058903914638,-0.113925468124242,-0.0711976518593714,0.158160058766211,-0.0239751378777814,-0.084917498823634
healthy,0.0966955255517179,0.0744254535004293,0.0911340037887749,0.0032649580592155,0.0385798717226685,0.0518705595798794,0.0462880509423593,-0.153968706272742,-0.0707377598247312,0.0010913174780114,-0.0559450113727848,-0.0803407540062441,0.0340197236895493,0.023817104520118,-0.0413591335416702,-0.0786917852894685,-0.202424401546426,0.0185973690002885,0.124835926234727,0.16191373736266,-0.101207703585804
healthy,-0.0731687568189693,0.0401745603741974,0.0521752545462556,-0.0043575785393399,-0.0418790291479923,0.0718807645781378,0.0641605236615374,-0.0730222187795933,0.0552988285434816,0.0704462342979304,0.0675308985671862,0.0062240104092872,0.059455881344728,-0.0546201260453189,0.0302639613953447,-0.030711288041861,-0.0209857897443254,0.0543116249097904,0.0924963529598291,-0.0425885817597079,0.0334646606764528
healthy,0.157332652139854,0.0458717368424722,-0.006355477465668,0.0194082122351066,-0.229871353969515,0.107562997619975,0.0522190766929473,0.145476146803774,0.101630676144338,-0.159228716479804,-0.0858762531308513,0.0245104969610655,0.237016180108896,0.0700811420413997,0.0009683762079571,-0.128598732893665,0.155184321728924,0.128533631972121,-0.120957512227516,0.167504671131,0.107449071007274
healthy,0.0616750630014709,0.0699497249379513,0.0322481162925205,0.0846874648677919,-0.0247860242360974,0.0888425753070919,0.0718963367558771,-0.119109001365812,-0.106808010023654,0.0573522489027149,-0.111397516188307,-0.151068801911417,0.0373541881703974,-0.0320366847447823,-0.0981647844573661,0.0175814942469191,0.0140275221399383,-0.0028946900990335,0.179635126115824,-0.0592652238835005,-0.0969355983230155
