group,B7,CD107a,CD11c,CD138,CD19,CD1c,CD224,CD24,CD257,CD269,CD305,CD326,CD35,CD38,CD39,CD45RA,CD49d,CD54,CD58,CD62L,CD66b,CD71,CD73,CD82,CD95,CD99,CX3CR1,ITGB7,Ig,Podoplanin,TCR
healthy,-0.285708038265841,-0.278779791023092,-0.445394743131639,-0.122270518680376,0.112938981188762,-0.141285880026915,-0.320140949088944,-0.0807263175106547,-0.073813650330073,-0.235498326393294,0.0469252274548871,0.0662764493467395,-0.107536307606201,0.0082278463768351,0.0274901978815715,-0.0606806567722206,-0.145787045464668,-0.0861764007400055,-0.0984977892233833,0.382969233166485,-0.0421532535534869,0.167438311091826,0.229110130655638,0.0234917330533149,-0.0640974781132079,0.0602405628043677,-0.0776580827679247,-0.0146867788632335,-0.27640241677781,-0.188755365381265,-0.0504692197238091
healthy,-0.123469791869164,-0.233158797266455,-0.215582595221899,-0.268687680457818,0.0536641463610758,-0.314897073835561,-0.393210415605256,-0.107835243628894,-0.281000618416844,-0.162857661091882,-0.106903643933977,-0.232646598989091,-0.15574604140531,-0.177793836455691,0.0821391604385384,-0.104884437104539,-0.145263649055616,-0.190661175865656,-0.24435540863035,-0.190875153515859,-0.168751748001928,-0.306320050037115,0.196089368617451,-0.183461657755031,-0.284698604499598,-0.185615309848477,-0.258374358405667,-0.298685016718171,-0.291773593728286,-0.258271491655058,-0.174914308163999
healthy,-0.354973670475056,-0.229262121320244,-0.182675216763596,-0.0974453679998818,-0.041312966105988,-0.119681270557585,-0.0754344668928765,-0.306296530249923,-0.118588568431338,-0.1717377806793,0.438386340325671,-0.240678264994695,-0.093950356888508,-0.158375426176311,-0.0659850520117532,-0.249336947867486,-0.15311414581918,-0.0312010560605788,-0.176463010567902,-0.260152521745108,-0.0966115291007523,0.232105097460635,0.448797645041844,-0.157792660981295,-0.0800194719029989,-0.0889888076396224,-0.218346833756995,0.131138049797292,-0.0935235734476413,-0.269473576904064,-0.0628646790695832
healthy,-0.67116055310929,-0.590268660603581,-0.259192497270888,-0.681604171546436,0.289756337389847,-0.695413317252084,-0.34235109328495,-0.300880927195061,-0.64873615769493,-0.661865323548791,-0.115654578528834,-0.637633010631736,0.416768107570735,-0.34263023971735,-0.0156763307347335,0.375058297961985,0.383326774130054,0.139144781593431,-0.613064290984717,0.0554382384438342,-0.669749818699607,0.122466484652217,0.0974735403956535,0.20997452553857,-0.28333058417562,0.099669212386884,-0.613414519810643,-0.694143689687026,-0.239830478962699,-0.700589295225524,-0.62164659388908
healthy,-0.0044782263486867,-0.18411041586238,-0.0825889260122995,-0.0705165644106203,0.141602960982158,0.275415286590739,-0.0500001997668055,0.414789247009974,-0.140431191623719,0.103606159450575,0.282292436201454,0.034775731712203,-0.126186386661048,0.0406095365394191,-0.165866953592418,0.0237480684367052,-0.138058301306608,0.153050577484002,-0.0862275820507773,-0.524628834969334,-0.12053547897655,-0.209868326240344,-0.129365413878207,-0.12159843538762,-0.0566859541350663,0.0372488481121037,0.0295129700151849,-0.350338044035541,0.241640562311946,-0.271684857716732,-0.0015318585820326
healthy,-0.228061679853794,-0.278083461474908,-0.459710264655054,-0.223398045342912,-0.159267008443077,-0.251374743693403,-0.304184413316863,0.049412782437545,-0.162974802908383,-0.23106546783006,0.223475626084845,-0.180784666862867,-0.298943215796445,0.461963570345563,-0.125804605940915,-0.589556005249205,-0.501752976729135,-0.522637983298316,-0.358967320176748,-0.139823408475727,-0.1931304152758,-0.321218888571029,0.0586646704260619,-0.569308687621382,-0.431569468044225,-0.470077719193066,-0.385312157931859,-0.047917793987596,0.0807906715016575,-0.435674632784988,-0.101642228482594
healthy,0.14582403927121,0.255696168078836,0.183601282213269,0.0351767207624696,0.0226005218483279,-0.0024577574880043,-0.0067768679589108,-0.31686464596579,0.304398786151603,0.0243685709978239,0.233488236884157,0.043077004721066,0.0431843632602061,-0.459480084373284,-0.0984512972335019,-0.13028324791941,-0.2706938254314,-0.161736012444961,-0.264279891234657,0.109361558247316,0.136755105658148,0.263893100634069,0.303503189341923,-0.0256131767319961,-0.0714645671814762,-0.180643480943104,-0.0762080585914056,0.197355246648728,-0.101536944749988,0.069658518046916,0.200248701382111
healthy,-0.113661944660925,0.107768184441883,0.0026388501248522,-0.0012565819322087,-0.131988437930346,0.119574218762799,0.131764610544432,-0.085826702672021,0.179215349570087,0.292904657873702,0.180372536064738,0.268588110868064,-0.0614269312154255,0.251055408528059,-0.0181248577149194,-0.218444212430868,-0.17609044284433,-0.0695420298847897,0.0926702711343532,0.0317321744894711,0.0487780019171081,-0.0837737166425066,0.106342064743344,-0.187745692434028,-0.0268132504183784,0.10505770479835,0.291935980339348,0.0939086027351323,-0.378240122305121,0.213234075603841,0.191481432861262
healthy,-0.293764395773485,-0.192680999370854,-0.33731969302728,-0.263806091211305,0.115290612181109,-0.17926716143723,-0.241054365412962,-0.168502361106562,-0.301022116952058,-0.401777893508805,-0.227525094055088,-0.347923103426888,-0.0448483641560929,-0.247559651981884,-0.203599872475887,-0.107920109889168,-0.250556477511129,-0.162642751595065,-0.398765143603819,-0.327025440453925,-0.148892159297417,-0.211264350282483,-0.442590857846468,-0.331825961794183,-0.129685217416008,-0.145250557413616,-0.19704432355229,0.196382146109287,0.0660052493630442,-0.427494780442208,-0.11843961145747
healthy,0.307624572101727,0.114549852601554,-0.0042180799993021,0.237737050487477,-0.414086980339083,-0.0915129130868843,0.264553616737279,0.241566511486908,0.12457108526301,0.133016460144176,-0.268169982765283,0.305528049650642,-0.470719593171059,-0.108844986122094,-0.0920188037106422,-0.641190471531218,-0.456202956282974,-0.0535682849404759,0.119129313854888,-0.0385663183957267,0.116823720475991,0.021761379070471,0.0607757379937244,-0.285454490401277,0.213839809094882,-0.243396434605761,0.120881506958909,-0.0359267228014464,0.125584338819176,0.200435865941494,0.228273352067194
