group,B7,CD107a,CD11c,CD19,CD1c,CD224,CD24,CD30,CD305,CD307d,CD32,CD35,CD38,CD39,CD40,CD45RA,CD45RO,CD47,CD49d,CD5,CD54,CD62L,CD71,CD73,CD82,CD95,CD99,CX3CR1,HLA,Ig,Mac,TCR
healthy,0.0957163005435617,-0.0477950754415592,0.137202441425578,0.0410598646435045,0.150932396852936,0.0323951376764252,-0.185832403037308,0.240004834741451,0.155986769082505,-0.144115095774096,-0.072214199321864,0.077915674248338,0.0003345660424315,-0.206490974935465,-0.0122584431669945,0.159967416999805,0.0876503191797472,0.256307041620143,-0.0056556902346693,0.295777444069255,0.12512916313905,-0.031490157600067,0.311111022572747,0.0011595877683689,0.370276206975244,-0.0260137110417692,0.224447246405535,-0.0708077406821233,0.163560953694822,0.0460079751552573,0.204602744220537,0.0717923090953764
healthy,-0.334934204063091,-0.443035529722187,-0.464969010735295,-0.337041552047321,-0.359063968985048,-0.47580628594905,-0.426205052110226,-0.335473277077664,-0.0012838391267068,-0.370205921879181,-0.249922775641949,-0.458440678247208,-0.294937718036816,-0.0381904222508179,-0.0925472373616501,-0.487281269415211,-0.403837025196928,-0.163653650377382,-0.642463091209788,-0.29963452864704,-0.429522968215698,-0.465543779419701,-0.193638725094307,-0.0200102016944517,-0.614374387182898,-0.460661644184596,-0.460495576300664,-0.380708412416782,-0.359415874043555,-0.100436693835233,-0.325488376106726,-0.327191614280644
healthy,-0.0702685545043883,-0.139870489837243,-0.128842599592788,-0.011397657163412,-0.0421209053127778,-0.0022162240410592,-0.0593136872722469,0.102418877840882,0.481857281466225,-0.0518844553950775,-0.0412970579752872,-0.0747559948135584,0.472616656391114,-0.0454382925238294,0.358768294425681,-0.309141570130069,0.100413423996125,0.0715889963000007,-0.191829948667562,0.240562362566211,-0.16248775631184,0.190319229477159,-0.129656989900018,-0.0012349962714415,-0.288002906830731,-0.111224051479706,-0.181572451998006,-0.08243502394761,0.137278403360147,0.134008513581338,-0.0597299651293613,0.150228875978813
healthy,-0.237881748361496,-0.226693929055157,-0.0854108267766276,0.133062116681088,-0.354067210902055,-0.243235841194083,-0.306344323247186,-0.427578646884096,0.154602957961201,-0.271409749854129,-0.155983379175192,0.262586828659339,-0.0084897415868031,-0.0773033950385693,0.139439780055919,-0.0003705054372164,-0.0947364540724489,-0.00396091360002,0.0739479004209309,-0.0755997454200644,-0.0382364480193309,-0.0284595791357473,0.0430840532824415,0.0032798187608566,-0.164691868877326,-0.219075684647461,0.0123595475047999,-0.219261341800101,-0.144334378932148,-0.350131339154776,-0.189906266781491,-0.154025755335451
healthy,-0.193040140051902,-0.147612336527343,-0.427226925537309,-0.411850521795588,-0.0473974884705352,-0.135425642283372,-0.294656443428978,0.047990581925995,0.299953327384773,-0.353997991066348,-0.312896828939017,-0.128159517055599,0.285124703730992,-0.155113674329111,0.0325739711600291,-0.36579534663178,0.030892715695136,-0.138160491482875,-0.41078697014543,0.053454941996815,-0.201526006391911,0.113392399489049,-0.159743309526704,-0.23638759952491,-0.337480398136207,-0.0963565628467906,-0.301385616623502,-0.10120092621336,-0.437723602686562,0.152031792438523,0.0841538494310116,0.0859755629165843
healthy,-0.270909715010725,-0.273077689315413,-0.254718352276286,-0.0643872627110666,-0.350143076590608,-0.351203772360222,0.0997014310859029,-0.0858442592870745,0.187333525714529,-0.432472526547605,-0.0743114329736028,-0.100837339073907,0.0788268589301675,-0.555462879338693,0.277276582713372,-0.364292703604025,-0.269450613789368,0.0359255336697076,-0.303286670626674,-0.0431881486412106,-0.259111227510801,-0.213679528985703,-0.367665459117683,-0.199203043902188,-0.256211370741438,-0.424024443112962,-0.363135647086166,-0.341366305833107,-0.182095227895649,0.0047161449760944,-0.324918159633149,-0.294873978022796
healthy,0.0203046130630799,-0.386906073353629,-0.2912754293517,0.149124533687891,0.0154347170246672,-0.453015262080889,0.0393351463211672,0.0052406985986483,0.568686719238248,-0.211618190466486,0.308928005875999,-0.308450474517718,-0.0591292464854158,-0.512148931120287,0.243295642577284,-0.427911404378412,-0.314221746240875,0.0216240572356868,-0.371554552613493,-0.309160226319463,-0.512926792026435,-0.310627137055024,-0.47680232011289,0.064125874246979,-0.258339240092807,-0.614667134272487,-0.450991617471403,-0.393288601471504,-0.254877614674235,0.226413029381674,-0.163144723255558,-0.231942261434608
healthy,-0.188416787141253,0.138805421561145,0.0313022221706613,-0.380076595738485,-0.19820110326996,0.181636221153803,-0.257480108016063,-0.131753155610653,-0.0590022126754028,0.254415892542032,-0.504354667641555,-0.330729979440993,-0.0805497036332768,-0.325581083805501,-0.274019191674076,-0.39392443496583,0.218040618027698,-0.354617417474903,-0.470146951300052,-0.0726781479811544,-0.284062634453203,-0.0762908279304758,-0.154933387571248,-0.0814914641569565,-0.403801719509251,-0.12324567641544,-0.119645335146146,0.246005251192151,-0.303502710674064,-0.261051046185102,-0.179281455195636,0.0728188017533577
healthy,-0.0588936077936991,-0.0907075155350447,0.0163995027330709,-0.274964290737629,-0.373516651003515,-0.309491639271584,-0.0022132998509356,-0.0122032780313935,-0.233319227715479,-0.21534534943892,-0.300873521360842,-0.224320732858158,0.188768053566269,-0.547729237008419,-0.377201756343553,-0.246807913063215,-0.0286693600864418,-0.247224653612319,-0.218443328389042,0.0871083798385948,-0.190918039017676,-0.108337953471994,-0.0478775231788374,-0.33983474283982,-0.0943652715322613,0.0199618913328872,-0.0580022506634813,-0.191791043285669,-0.161931584216663,-0.0904019264601502,-0.0690941252970629,0.0458502093000824
healthy,0.430102835712235,0.350548928909095,0.224325163599251,-0.334431481918496,0.250848111130486,0.336111476475286,0.136354973192992,0.276910478948369,0.151137435404052,0.227847309852868,-0.034783014576974,-0.180445887954726,0.303418356551779,0.247491582030456,-0.172475644126843,-0.164701120489626,0.29457439858944,-0.0360327313335908,-0.0421751452121707,0.379811156033241,0.0233976416981389,-0.269964228770087,0.0102852289139042,-0.0626143317481564,-0.20170628464699,0.190227478358306,0.0620020391311517,0.217505173566874,-0.225502141660634,-0.0326905069521219,0.0549393680905258,0.424040080295884
