group,CD101,CD107a,CD11a,CD11c,CD123,CD141,CD169,CD195,CD2,CD224,CD26,CD269,CD303,CD305,CD319,CD32,CD326,CD366,CD38,CD4,CD45RA,CD49f,CD5,CD52,CD54,CD57,CD58,CD71,CD95,CD99,CLEC12A,CX3CR1,FCERIA,ITGB7,Mac
healthy,-0.73578557174929,-0.305180581315714,-0.345825213797812,-0.772492364639579,0.852001936935003,0.0878589407889019,-0.261761682604572,-0.133751162543467,-0.299690111238904,-0.252294471552918,-0.0008381294300114,-0.098360527735263,0.832577635619693,0.686675616431886,0.240879207641189,-0.729133974670937,-0.173939171400957,-0.686890375127295,-0.0911151667326575,0.343458176485621,0.813224389804836,-0.0312634994243528,-0.0739660420162804,0.0015173844117218,0.159215783650465,0.112133366053963,-0.554991326989708,-0.143366093758603,-0.492568581111536,0.240335751172755,-0.639326780233067,-0.431939026974256,-0.739876424862197,-0.49167914795075,-0.207461141091439
healthy,-0.610052339467938,-0.232583243802789,-0.194209117430898,-0.582205956617546,0.418022113511416,-0.15358830741075,-0.296595594447669,-0.283437717742892,-0.301190359885741,-0.348210689350961,-0.225471654334724,-0.228626868092383,0.316226862346999,0.323606439824787,-0.0939883245298529,-0.508791947198916,-0.245529069974121,-0.313662882929934,-0.219546184457093,-0.0543434815645392,0.137506556540824,-0.437674402870662,-0.357830943350585,-0.142616265512089,-0.186115229073091,-0.195693781650273,-0.317162994562097,0.24317332605962,-0.48561656461545,0.0579500581419419,-0.378884562538426,-0.402175232775479,-0.408250487582928,-0.557794147971424,-0.25436321985725
healthy,-0.723945204646877,-0.203022403793338,-0.405375362403491,-0.677278072763755,0.58689193024839,-0.0784817223237122,-0.18011353341422,-0.192284630871445,-0.359321704235154,-0.531627026262396,0.295291574647462,-0.0418990704034404,0.641396920521308,0.453679552720714,0.248506595900836,-0.762713110570309,-0.138576487053998,-0.590327470247317,-0.386266920030302,0.312052014170173,0.615805408984894,-0.389117987020983,-0.177885188336362,-0.369836973690755,0.0053817450548037,-0.252822265671882,-0.544595425263169,0.24966912048189,-0.523200390004381,0.17981904244078,-0.743008496097075,-0.564320291939555,-0.796090953777028,-0.459476899353967,-0.377145357850049
healthy,-0.762994442626946,-0.202565130711004,-0.449254116922738,-0.737599770504629,0.729602717411845,-0.103087398331658,-0.181238246607655,0.180548366059879,-0.329559272457688,-0.38485838681202,-0.0100945609916877,-0.158299601770535,0.744452637323398,0.530186487011863,0.488667415599066,-0.761674152506862,-0.139171438544225,-0.720406133615274,-0.228370713444695,0.0565073164924873,0.562186072195846,-0.252876150538124,-0.380827900329401,-0.513524462462649,0.05220322230299,-0.127793792124265,-0.466720437041394,0.291725433300401,-0.679059317586242,0.0389994550158823,-0.812671774230731,-0.326233885407801,-0.634670620363321,-0.256515882678569,-0.13625245057062
healthy,-0.891492335809781,-0.132985550088251,-0.276707038127354,-0.808478956805447,0.748681251318503,0.193514575892744,-0.372408309923144,0.0180525290742901,-0.371259307415509,-0.536460239406947,0.187784953596984,-0.318107307457423,0.69013272297069,0.642211716757988,0.368586788162654,-0.470840439665309,-0.146555977179823,-0.617643185856281,-0.186692158664174,0.355477766255207,0.743120755406615,-0.181714843612812,-0.0992310545911389,-0.0282963682455259,-0.153909574019201,-0.185000318174548,-0.574746988820588,0.283918184532023,-0.714071343183907,0.433083343609885,-0.774321356524681,-0.648996695281805,-0.783894914046771,-0.348204369024935,-0.262062474977648
healthy,-0.744053842417535,-0.198694539446447,-0.406767838516398,-0.746748827425716,0.536819855955014,0.111914295986271,-0.142079642423878,-0.256541237376197,-0.414721779207528,-0.470896620502552,0.188667071992889,-0.030059307939265,0.67173167403874,0.503145829447623,0.335664807980805,-0.740716204397781,0.0116733123633058,-0.718710588580402,-0.288574189815862,0.224108464485418,0.532382918097256,-0.20027709497292,-0.418488864607686,-0.596232873649458,0.062744643936271,-0.0887690551016018,-0.708924225101977,0.409877382550153,-0.773606550715189,0.0567629448192385,-0.739105791955942,-0.416342568598656,-0.766565204754492,-0.740699142022145,-0.256772285342357
healthy,-0.705728764282495,0.141326340215045,-0.144887101444864,-0.651038068431979,0.790931284306263,0.320376138137055,0.039621850217543,0.255794949568632,-0.414308187492248,-0.28987078979028,0.412485939452572,-0.0208993450369716,0.780291264288232,0.757374677470151,0.260440786563016,-0.697953545431596,0.012517029364541,-0.583897094989317,-0.171614440794305,0.52733548889542,0.639300923881405,0.0288717004618944,-0.296417115728253,-0.227656487066784,0.0579958923164488,0.0576139865950028,-0.39182369157383,0.155005107736493,-0.537703275897458,0.493487085972295,-0.627837737446329,-0.26770542707853,-0.418775512118312,-0.451095713725451,0.032508996653062
healthy,-0.716891927679344,-0.169255501529744,-0.304202268927583,-0.724116968989596,0.857604857888452,0.122792373300186,-0.325692382368107,0.199818593909585,-0.274185524212854,-0.550552223796651,0.0579566430454477,-0.254162723401512,0.822929951815707,0.668388839603191,0.351936935065163,-0.571826014776068,-0.251583425026219,-0.705779294597269,-0.377097972238392,0.331713627676621,0.734056781629908,-0.445236995372483,-0.185812172565423,-0.251621818751003,-0.0693556117440035,0.0218411428282544,-0.4053128178895,-0.103259704142085,-0.646261185075865,0.22176220750839,-0.696676916981797,-0.440213836226534,-0.434812458946004,-0.234125737663563,-0.137023442766882
healthy,-0.738869647342028,-0.178207392515404,-0.432274629818963,-0.809742544534142,0.834713383906773,0.203669055388114,-0.264564090557079,0.0018328767142796,-0.508253775991802,-0.519812756654873,0.118141129444098,-0.125607036388903,0.793546221453072,0.706211920442514,0.499277983832686,-0.696537939143461,-0.225568453005753,-0.709680142988277,-0.378972568743934,0.687589937666452,0.816282738294801,-0.453551480257077,-0.320899829878032,-0.332682895543019,0.226244050114658,-0.0889441365746051,-0.54688832960703,-0.0404396089116448,-0.732433479079782,-0.105522229894381,-0.779289672564997,-0.514930039839048,-0.731752687661304,-0.499275413870287,-0.155454887947839
healthy,-0.65171414227678,-0.0399451505486438,0.148383909184174,-0.644713089943969,0.789580225762608,0.242881536898438,-0.491132740993599,-0.259796937115671,-0.0513038551988907,-0.0166910042796745,0.329526512662964,0.0690372763375779,0.71638675140232,0.603375781257718,0.269065736105895,-0.64155389671134,-0.097274691422784,-0.72351411671927,-0.507124565245389,0.555494638385032,0.705990635557601,-0.379982409923064,-0.576324860130363,-0.531252913219092,0.450229155136126,0.0126927198036147,-0.570458960127489,-0.0509466759970551,-0.765655817851307,-0.13538805915725,-0.615441134766711,-0.463362605483124,-0.407786394409687,-0.390283632659391,-0.0766651298646408
