group,CD101,CD11a,CD11c,CD123,CD141,CD144,CD169,CD195,CD2,CD224,CD226,CD269,CD303,CD305,CD31,CD319,CD32,CD36,CD366,CD38,CD4,CD45RA,CD49f,CD52,CD54,CD58,CD82,CD95,CD96,CD99,CLEC12A,CX3CR1,FCERIA,ITGB7,Ig,Mac,TCR
healthy,0.69511458975181,0.405793893440203,0.766443636592408,-0.68172913815744,0.0388663135801671,-0.124148031095643,0.299977229295371,0.231530702747166,0.292600292822936,0.512454937022612,0.282304491172287,0.0611206644701093,-0.797684031007952,-0.449930840978256,-0.221301694340356,-0.183730482103257,0.654790439240881,0.364803483983367,0.710049852875798,0.211925410083469,-0.136201927346852,-0.646059989050511,0.14483052953024,0.11963992477038,-0.0865768354975466,0.690896916364382,-0.0664619137220428,0.52954454943124,0.337556099404393,-0.0776041999332204,0.761257554930552,0.510871158726845,0.763189665401043,0.400528097275026,0.479002573081161,0.32467082532389,0.128112215954128
healthy,0.68782719583042,0.289662555962863,0.669325766869479,-0.507024539505307,-0.185695209864455,0.180938350102727,0.310668448923734,0.278444450147246,0.304318725409029,0.667186344915408,0.49080220818327,0.304690168780593,-0.563145413841887,-0.4190600277537,-0.0555567301999148,0.161202711272286,0.667823143916157,-0.0911614796255451,0.615784868218254,0.302280885414509,-0.227405622175507,-0.512941311071153,0.479974968697601,0.0934073133477571,-0.133831866937645,0.514988784555499,0.23003887228112,0.558752900657938,0.338811034384308,-0.208595588999513,0.742690216386261,0.618509658657631,0.363528066844606,0.446439979338703,0.329260414015109,0.465174493290162,0.320539585039844
healthy,0.612935561034857,0.241680719877422,0.492559198092778,-0.800550401691232,0.0384986157029559,-0.0916891863303802,-0.112207219354012,-0.0713810820928273,0.26157227500579,0.243198120494351,0.307827467138976,-0.0807092676023466,-0.769333704210182,-0.744907761223747,-0.157574833150721,-0.375221963826734,0.538569952361776,-0.198773240536673,0.592632817518361,0.267739359252435,-0.652909954440479,-0.68551301514784,0.224666094174411,0.120210464177614,-0.362719875978741,0.343806669246591,-0.0722754161812522,0.421618864250755,0.156022059995189,-0.391705550136939,0.692883699229595,0.388801418635631,0.603920074117147,0.372122853821202,0.0547198072936951,0.109837390940836,0.111252972085048
healthy,0.69491467118457,0.435977019589362,0.767837021771704,-0.593991932786714,0.136995063127339,0.0732168222209,0.26537708117832,-0.103285891643104,0.306083361753314,0.473057459549435,0.449312490835151,0.122455567137043,-0.70758384365872,-0.626203008536495,-0.0668963858542177,-0.285422998203268,0.665469571686259,-0.0661822607527244,0.721116430130869,0.215339116676966,0.021237001286948,-0.623284991000402,0.281587257217625,0.538427972458876,-0.0850739276531634,0.550600344041033,-0.0437790397236433,0.717239788867794,0.257535077287606,-0.155064905327881,0.785819401423353,0.45863128851304,0.550958395982997,0.478348775964774,0.310808637733978,0.110550626195221,0.239319152585237
healthy,0.762515440309148,0.25610609774712,0.708305678290473,-0.811676564121303,-0.145349206055982,0.0693817568335906,0.18875296601479,-0.273208773346536,0.293754261483663,0.471200127808988,0.451179051050891,0.230821623811234,-0.761636793211496,-0.67703856785764,-0.314278854726093,-0.318499999437263,0.244153329538041,-0.28304997408243,0.58689317347765,0.242368236568709,-0.502388719347595,-0.72545144396692,0.216958758668506,-0.053150974149351,0.007740133316246,0.537761274410257,-0.285362052744762,0.610759674738557,0.234899814986717,-0.428249159326878,0.688519726393143,0.369857087831982,0.484418066344019,0.239937976632782,0.192027053749419,0.230748880211846,-0.024872391657694
healthy,-0.262649108276853,0.145657987375992,0.100565028335268,0.264247130712853,0.0938404364205739,0.039444238210014,-0.0067833162615566,0.195396693752855,0.0542346899483286,-0.242182215353375,-0.350392400126201,-0.079675274055883,0.0961662041341428,0.175786499979224,0.120953491754855,0.108647479484011,-0.0605105585123147,-0.0372659270091911,-0.114470130167938,-0.162987658347344,0.298534315773743,0.152297405559058,0.0494049046103282,0.0388795513515397,0.565176235078132,-0.0313651743634861,-0.0655715276166691,-0.0700360065126416,0.0027962266230547,0.155801220926445,-0.0104500818914079,-0.277442176777916,-0.0736646394865925,-0.209431669219972,-0.297049528719242,-0.286302898803891,-0.107481238954365
healthy,-0.477145256783032,0.0864153030125694,-0.488232700396681,0.82847228104184,0.235761189970334,0.0745060358999512,0.141251197638052,0.232223421969271,-0.137068813602287,-0.23111274527268,-0.0609803293269474,0.162317028543263,0.772966668569713,0.720452053922723,0.26704429281417,0.324778173356156,-0.417597875401046,0.107244371645798,-0.422262924313539,0.050744669275935,0.634573416591024,0.673661215293537,0.0960813333881893,-0.0298462710619061,0.228643884448524,-0.236727940677493,0.397721264972511,-0.34002496731334,0.163559778938829,0.509519412773864,-0.454379506723228,-0.127262711517443,-0.139010150486346,-0.131217860734706,-0.0697903436326927,0.0736020005714839,0.0587734887244662
healthy,0.700336476177697,0.554731603655796,0.67022922447326,-0.546774004866817,-0.0846259618185915,0.166053410928206,0.403518895078537,-0.169883832695699,0.462222064332196,0.51925547647681,0.217182142397811,0.243497326043002,-0.716472710543642,-0.375691014298241,-0.0517629200540418,-0.318634130071433,0.527264979249856,0.270965333579378,0.693448361342589,0.379074827470456,-0.0857426760573889,-0.427835787852571,0.471767645411387,0.440816173162996,0.216446135878537,0.563028924957932,0.0869987471074349,0.724766936023045,0.130217980937093,0.0459933759293416,0.794764357217966,0.482518347306498,0.620877355549191,0.240505728264548,0.165521216452098,0.227487349288724,0.403049233441305
healthy,-0.699156548267108,-0.387943038847105,-0.736485495946712,0.811345370149318,0.127169975082701,-0.139874323814197,-0.251454586293308,0.103102975607398,-0.364791009351587,-0.408792676061253,-0.297347920507561,-0.0230868573325909,0.788338475457164,0.772748857811556,0.222620706919342,0.522560349406893,-0.665688546421575,0.162416239258551,-0.692952363084922,-0.251954521263791,0.72588555445493,0.80082253954648,-0.373828928224749,-0.282593536934583,0.32855437776987,-0.442438136685129,-0.0955398048631836,-0.665560843333576,-0.116444455641548,-0.0615445713685694,-0.681245009337153,-0.427490160691148,-0.619913819488641,-0.48667759647697,-0.198766592390926,-0.103352006963789,-0.112485799667659
healthy,0.708678230618396,-0.129603489600713,0.567827584744136,-0.74518468332893,-0.132967037284567,0.143503729555364,0.527742406319957,0.295864190858411,0.0374129196757254,0.15986272987866,0.416699597952694,0.0771593088478811,-0.645850209725784,-0.427261232760482,0.082198086448573,-0.172046840875404,0.706311684407555,0.0613742886722596,0.580654641443491,0.514660667882236,-0.606494476387356,-0.530593793667511,0.552618207568149,0.564617513251242,-0.395783691343199,0.631966443758873,0.397281475766477,0.727133413919934,0.325398780925675,0.158869998956882,0.411149888005651,0.513101049567306,0.451477793810724,0.478465642114036,0.41672145770643,0.132539716037176,0.214184540497372
