group,CD101,CD107a,CD11a,CD11c,CD123,CD141,CD158f,CD169,CD195,CD2,CD224,CD26,CD303,CD305,CD319,CD32,CD366,CD4,CD41,CD45RA,CD49f,CD54,CD58,CD70,CD95,CLEC12A,CX3CR1,FCERIA,ITGB7,Podoplanin,TCR
healthy,-0.794764289232816,-0.39479803279054,-0.416400598683074,-0.786218324438927,0.809897695820387,0.0159796741075085,0.107307510164179,-0.28504650407664,-0.131817834306965,-0.315380692979161,-0.37523704314106,0.0667510224616274,0.76174709602576,0.596145340439349,0.28989774065711,-0.664186800237208,-0.74272851446078,0.348322531033723,-0.502912625663788,0.771621603065978,-0.18142303453829,0.18067203346315,-0.683066248602717,-0.259371901030335,-0.633749551059495,-0.734708112052874,-0.509471032221256,-0.780471619830337,-0.526495000320172,-0.488382773518212,0.0198129750038546
healthy,-0.674968006431842,-0.502937211879396,-0.204458523852901,-0.742533272620829,0.557403851867686,0.244938619295857,-0.32655027626324,-0.462366924790448,-0.176066957394288,-0.37097459279633,-0.569725876277474,-0.272509542631986,0.483804017138182,0.495182802003362,-0.234225365260945,-0.782114917773999,-0.616127975985978,0.172631331583842,-0.471184778887401,0.368571737048547,-0.721218444920295,0.184761216163168,-0.624977702416771,-0.445789126621069,-0.723340752134508,-0.598654260366322,-0.738564739306027,-0.451180302652403,-0.571872341388093,-0.648243589013984,-0.51708405201868
healthy,-0.444136068920456,0.125290376512589,-0.051294998610509,-0.42495495268369,0.825313722728149,0.114980569269631,0.18858463220858,0.243993632695462,0.115184225488512,0.0626042557153702,-0.0567405140655936,0.599565498722957,0.813235500296227,0.809698240341013,0.477304134180688,-0.46799863252253,-0.487794405906574,0.729640460638674,0.0870259326846827,0.803412178957295,0.0651439470878361,0.356473642464907,-0.153962041208798,0.237165709523547,-0.130519384405777,-0.503950836030775,-0.243991600265282,-0.595667186489612,-0.185284973678332,0.130523608089645,0.142932160392796
healthy,-0.752517834475606,-0.106747020370465,-0.39885065969154,-0.76352814242951,0.766993999242475,-0.105617821077604,0.108626588770956,-0.140934965156424,0.323159615071362,-0.26491228559318,-0.238294005360479,0.223925159713943,0.776946996810976,0.68888260986926,0.470047887137469,-0.676910297322468,-0.758304084920359,0.233580870120753,-0.0469239795249508,0.694680689511989,-0.104329519169357,0.0801940699588668,-0.433638538748118,-0.0525987630094929,-0.580194306235125,-0.795629956136238,-0.277368158832059,-0.501184105030758,-0.298682766349815,-0.250149411556961,-0.165171764872712
healthy,-0.81209372802336,-0.133055776571311,-0.286339245150775,-0.776838017798648,0.81691659743726,0.202183881330093,-0.244235419147002,-0.300407334088006,0.056002034637868,-0.456620839870173,-0.374577370771474,0.186511515509047,0.713660758948929,0.706022756437284,0.359041947292344,-0.267823669681029,-0.684360140964776,0.438464583488618,-0.224505862267426,0.733069900327932,-0.0172973425207551,-0.0570205087498603,-0.525348574971058,0.0535034427273769,-0.699682978875769,-0.714006039266482,-0.587916830908201,-0.635997159204017,-0.345423554151849,-0.36159964331798,-0.0688935001856238
healthy,-0.77774505594537,-0.304624698166529,-0.402589125763808,-0.637387330890909,0.673890513712914,0.177985623670145,-0.158868345254927,-0.170569570722416,-0.0914751373969766,-0.384431764733075,-0.556351664010608,0.222392533048613,0.639278562966175,0.552641420596398,0.361307557612937,-0.818805917260511,-0.691580453779685,0.240726676894295,-0.0655662522996643,0.584065933966473,-0.301261203173982,0.271498090680765,-0.697281092194319,-0.142057320163581,-0.77515233693703,-0.730199472162128,-0.373548816213265,-0.704939608290789,-0.60648169208379,-0.461460396027764,-0.247716354339518
healthy,-0.562182620422154,0.182583060094265,0.010345196314245,-0.596819722723277,0.902955328120756,0.266116111573362,-0.0316709832792085,0.0711175740058241,0.328794064245732,-0.320515837624034,-0.237455597728885,0.326545838382937,0.783097969693351,0.830667451381896,0.236957887930217,-0.562276401414167,-0.578059746359681,0.607833764713865,-0.0505817034599416,0.743454430509732,0.120748208538133,0.0496391787350482,-0.301052134694357,0.158441067385848,-0.409824549517431,-0.463082267438673,-0.187202578635016,-0.222397618788329,-0.287584755522029,-0.0792077689438565,-0.0210607035228919
healthy,-0.736692043287023,-0.217168548042196,-0.293596086236511,-0.748291511653125,0.78586477839466,0.169483001809625,-0.0088673183695941,-0.330852839483543,0.174252162670885,-0.247627885128037,-0.53006381649755,0.044151361262385,0.832484626720217,0.667724894091245,0.379270245171677,-0.552656933289914,-0.674714828128748,0.364897753569626,-0.346653770664286,0.77219391407148,-0.423195751276069,-0.0952970082661261,-0.467939055662813,-0.131482459314171,-0.699229845995387,-0.782675059453329,-0.460134701909119,-0.573289358573727,-0.234594760134733,-0.146477017905835,-0.0610835430543855
healthy,-0.7729893151252,-0.151527272312259,-0.409396706791345,-0.744588686871496,0.825648806210266,0.305572843463223,0.0353363169823793,-0.186783866029791,-0.0389629391288264,-0.495269825503392,-0.574931106974137,0.180555820395198,0.781393062890617,0.688288439443742,0.504450812551807,-0.718144331704497,-0.698429565805874,0.751559026248728,-0.147895468491857,0.802832693625774,-0.433449097176611,0.261750393821837,-0.549148855103926,-0.0537567275886862,-0.74810205129565,-0.838218295551108,-0.481422288209905,-0.766815826320904,-0.466593241698787,-0.31490529839515,-0.140777991024342
healthy,-0.860832308688766,-0.171009423316544,-0.154148196383058,-0.729849722531102,0.646670607763288,0.367365240320189,-0.015820232586072,-0.44081791890404,-0.25735488347684,-0.124092357340277,-0.0229964947853293,0.222104592998258,0.592213047825918,0.370390909808249,0.151164678663889,-0.716477151080798,-0.771072496875594,0.398092260665627,-0.20377549150852,0.613522007615545,-0.489257196730325,-0.0093492210553511,-0.728175164424082,-0.282033645634482,-0.744274962080784,-0.694296822475199,-0.505150294565002,-0.313029519759334,-0.653909180757621,-0.478400603233489,-0.05010825661592
