group,CD101,CD107a,CD11a,CD11c,CD123,CD141,CD169,CD195,CD2,CD224,CD26,CD30,CD303,CD305,CD319,CD32,CD36,CD366,CD38,CD4,CD45RA,CD5,CD52,CD58,CD62L,CD95,CD99,CLEC12A,CX3CR1,FCERIA,ITGB7,Mac,Podoplanin,TCR
healthy,0.723734910416704,0.317739936008322,0.253395353824214,0.706363482046957,-0.857743424359723,-0.308237962821024,0.207371183593482,0.136563276342015,0.310441065394265,0.219373830345666,0.0182592482966783,0.250769758051231,-0.733693101620306,-0.709423953046379,-0.255893358794976,0.687648154423004,0.203090085468264,0.542651522483106,0.0602601261841064,-0.391985904001208,-0.790395005438388,-0.02329639118623,0.13802362052778,0.568912514121557,0.0625679574181151,0.618796886754662,-0.14467598794411,0.627989763230834,0.434797618589834,0.676837886390241,0.347283753534185,0.13461532234097,0.430551021267242,0.0594389250115639
healthy,-0.687083531865201,-0.455390170312026,-0.314865503669247,-0.656308967026404,0.522350683400521,0.147043438833649,-0.503237753825612,-0.310730112054495,-0.446922635005281,-0.709407823040671,-0.440687403011094,-0.50552622197128,0.49263682584802,0.39868264135933,-0.267801498379508,-0.698823439046393,0.02215687487848,-0.636963974971379,-0.26409089295169,0.0864387540853854,0.35712311595786,-0.581371307100205,-0.258261942534361,-0.532296998558353,-0.456384492740708,-0.691374700496889,0.172711485019956,-0.643366770798545,-0.745158790924931,-0.400894622941794,-0.635875405731712,-0.622011132265559,-0.618803193945106,-0.585802004315635
healthy,-0.597129269700486,-0.105798845817052,-0.257850062426498,-0.641885549787191,0.760357344852822,0.0907502423055337,0.0163180854437257,-0.131065779860609,-0.262687800220221,-0.322884625789751,0.422828285329142,-0.0407588789355011,0.743296072640756,0.703021776416458,0.397855510657171,-0.645335786570367,0.136051917435794,-0.612636889076631,-0.1588490861266,0.493283206592875,0.725434799044834,-0.208696006044506,-0.195114309801152,-0.404957136838199,0.107214359680334,-0.409914348667704,0.458910769874275,-0.692457571493292,-0.486155134535717,-0.669513975929456,-0.309676449770833,-0.219107720155154,-0.0748480081149457,-0.0747066972811658
healthy,-0.773479131463324,-0.25572103885433,-0.433109750976789,-0.773726973656323,0.844763761823387,-0.102069156218689,-0.237943858874601,0.213027912610569,-0.255080962007203,-0.386540757129722,0.193410874501778,-0.24969856754192,0.842267722059922,0.731615138175983,0.422866403316373,-0.792580844047312,0.199760096742763,-0.724776878651578,-0.129983065762651,0.134573407018694,0.730588697650476,-0.37116073365349,-0.49877044575081,-0.536319010296952,-0.012398320159382,-0.691105055580506,0.2869155142381,-0.694462631378758,-0.388155619108983,-0.511556102278141,-0.382218224688755,-0.13609159783152,-0.296764790320502,-0.245986930179856
healthy,-0.767443471681573,-0.0926053223286606,-0.22241641672262,-0.745289192151404,0.747968790648351,0.174515885253447,-0.273227846635721,0.172478888894973,-0.270530395164013,-0.491870438579952,0.279519660302028,-0.0836447192209728,0.695468504346009,0.550218422570421,0.328871744838417,-0.34030474281361,0.223598444438411,-0.481911068436106,-0.231454067450946,0.423251097391714,0.637196675399299,-0.05595528911667,-0.019426323015908,-0.537417114536711,-0.0318006527645954,-0.669644113039483,0.384077086826224,-0.714166330542415,-0.440307158671992,-0.561058922190505,-0.174936428974393,-0.230190954247199,-0.440445196983079,0.0577253542588763
healthy,-0.72792002185491,-0.0576153770917662,-0.287017870206463,-0.662469152378783,0.73796139335151,0.36973610727443,-0.0076466474221184,0.148390315354673,-0.405024185640608,-0.373642345045684,0.363037481146939,-0.15549943321641,0.718979585747326,0.672285439488402,0.537647034941014,-0.681521092809647,-0.0723818966909288,-0.69634012655174,-0.183898831522406,0.348863759069197,0.726074590996011,-0.341442887247094,-0.444183920517744,-0.512060232979641,-0.0503028798714565,-0.676222018739207,0.290821029000659,-0.579742043111971,-0.304457227166459,-0.707442775651984,-0.606243295192248,-0.177423767057505,-0.35192903267752,-0.0369997493014461
healthy,-0.63664697616291,-0.264228738585873,-0.45724499471236,-0.632805935765337,0.267987878484649,0.0851194537307841,-0.0432720888274788,0.100997490142683,-0.596311555315733,-0.408302122636276,0.242343553450871,-0.169172743776512,0.506160649166561,0.310561990628415,0.0949310643241028,-0.615573578132746,-0.320354613635094,-0.608198851584852,-0.447308093302695,0.192634818836035,0.385459613986866,-0.340955820197158,-0.458586865586222,-0.574289457650823,-0.330693948395866,-0.742033887471139,0.137332893371767,-0.732492859927886,-0.510857319234591,-0.644834454389698,-0.426815552250468,-0.228117176401975,-0.414623050620684,-0.365848492183187
healthy,-0.815413470662718,-0.221263124724622,-0.330390295075817,-0.779670814237665,0.79785785937737,0.175754206656163,-0.371133256332491,0.0938215871009806,-0.340079984720695,-0.502857057868831,0.164829956401085,-0.114490041841652,0.819796223098699,0.692207884844266,0.336476798912935,-0.607470892166845,-0.158502521588402,-0.698530705454315,-0.380987499091089,0.354291596409208,0.725276045342708,-0.161815520669057,-0.22792119662682,-0.444775401275133,0.0149873549849047,-0.6644059595692,0.215024933964017,-0.732133748037935,-0.410962700658399,-0.49338131402329,-0.275059191962535,-0.108757935124536,-0.16384752609172,-0.0734062815240784
healthy,-0.800981465750104,-0.264574564839183,-0.516177523204784,-0.859518725934504,0.74137266150078,0.30453987435154,-0.241156159352413,-0.0131482615712813,-0.574238607824172,-0.64477568384416,0.109092079095132,-0.120201096749954,0.777426507302309,0.592594188377304,0.50453956531088,-0.744811070999192,-0.131503142803959,-0.689597066344785,-0.371847384032821,0.688260616266045,0.777445143477363,-0.209231778487817,-0.412936688237007,-0.648223408124672,-0.390681138520451,-0.803673972427929,-0.206781359600979,-0.845452335465656,-0.530101792172253,-0.793222974513386,-0.449574074931855,-0.18591739596214,-0.39020645306846,-0.21537392169754
healthy,-0.72722903570333,-0.0169352712003467,-0.0570850377437863,-0.697595315471659,0.626674268402664,0.242697116597073,-0.277107005239508,-0.343014611115847,-0.0250036839416976,-0.159306363069337,-0.0111703902597615,-0.316356273097924,0.582477535563271,0.567419060939532,0.0787239035584556,-0.728901610348095,-0.201552422316454,-0.788215633908688,-0.404192431668942,0.342873011605556,0.679204088574386,-0.606978473325378,-0.59669176963574,-0.623520640036355,-0.456221228380804,-0.720682293644346,0.148229744985174,-0.789657189006394,-0.426567250937577,-0.338101377643474,-0.493561518471616,-0.15667159710837,-0.392369206409675,-0.134877863672928
