group,CD101,CD107a,CD11a,CD11c,CD123,CD141,CD169,CD195,CD2,CD224,CD226,CD26,CD303,CD305,CD319,CD32,CD366,CD4,CD45RA,CD49d,CD49f,CD5,CD52,CD54,CD58,CD95,CLEC12A,CX3CR1,FCERIA,ITGB7
healthy,-0.72448807674999,-0.509886325090562,-0.399091854413113,-0.737537695828527,0.772433040503526,0.0039802851256797,-0.407099257848804,-0.192571209496441,-0.202524730980722,-0.351872127877152,-0.144409157721629,0.177144641671709,0.719434253224146,0.531720661935708,0.19073312967696,-0.590847907177827,-0.725953855139182,0.347627623241136,0.787208162443071,-0.0452269155008042,-0.0755534569421859,-0.104542555448207,-0.0458133370462186,0.259441338705407,-0.583645770502763,-0.524154635553916,-0.689822779431788,-0.410995467994819,-0.52854943848519,-0.273278197995162
healthy,-0.703258223108713,-0.413150272418298,-0.274989393577565,-0.715636150586366,0.554018559039426,0.0559401031212621,-0.474496534327724,-0.314823971201236,-0.497657909531489,-0.564692852394992,-0.63622623089928,-0.276086448000486,0.455520563464519,0.409702436418521,-0.290941386606455,-0.661381936227889,-0.65312123166964,0.0719143354565845,0.331302166777522,-0.147332571311865,-0.691601846412431,-0.651890035410966,-0.266581997928582,0.0212026112485714,-0.563673921269409,-0.675516056201962,-0.628688732891139,-0.662717666694225,-0.552369801959429,-0.52238159977355
healthy,-0.704592551879736,-0.275444159437059,-0.465301376816582,-0.665460175357823,0.524317815620325,-0.12581367241358,-0.0925025981148938,-0.13331178020844,-0.338629324433402,-0.500085471615661,-0.358235118959909,0.259235664971559,0.609021181267218,0.388462660145549,0.193441213606575,-0.597854282480822,-0.531364249568855,0.262311832130943,0.522374041844357,-0.0521472604851205,-0.340238512852038,-0.0629638888609981,-0.286412158522643,0.0273348815566389,-0.514679035292175,-0.541300282193812,-0.76995194410964,-0.619886136843334,-0.58244785088414,-0.41675363016423
healthy,-0.793042469939525,-0.296733939593732,-0.528975547907966,-0.847410231140542,0.642316161505093,-0.149572276343791,-0.380896971093638,0.127521239100567,-0.374144030812003,-0.533954412058949,-0.399813895190816,0.0444355968411623,0.704040431245714,0.504078194714953,0.36454678063107,-0.746909969277247,-0.816395039724193,-0.0066204742648326,0.571616072204883,-0.265591267603407,-0.322630637578987,-0.407535086347292,-0.528490181401039,0.0337168421250081,-0.649656561804143,-0.758143258523804,-0.877206326861533,-0.496939454806855,-0.711798986514267,-0.450448381549438
healthy,-0.743032525580955,-0.178890261181907,-0.215065521888957,-0.753141856053382,0.725882509873637,0.189110753183878,-0.183937240061705,0.21381756658361,-0.437313697036973,-0.364392000246652,-0.315324820148087,0.192006165036625,0.696112477960271,0.649314561390154,0.376525071658754,-0.113891710309051,-0.703940866335922,0.559828794114066,0.677629567291173,0.197497056811088,-0.114426789999901,-0.209878274490564,-0.0102559897967457,0.0928586999922423,-0.542281240749485,-0.685248718668723,-0.692320919508124,-0.409235091303147,-0.514098854108044,-0.152736256904256
healthy,-0.632777932948841,-0.0730761072128271,-0.32116392298477,-0.727016209572697,0.814701655969489,0.290378697393256,0.0631465077439457,0.149961222601913,-0.364078790580281,-0.510346577826354,-0.31725041848301,0.188056103495503,0.625318952688638,0.624570265287424,0.482837176722569,-0.705199137444901,-0.641008930576593,0.302807570393168,0.664102826597274,-0.15081368184191,-0.189888777622093,-0.346946171344279,-0.478996072650969,0.251927455048468,-0.553286428071041,-0.621287154547627,-0.524879113182079,-0.306847939590224,-0.678000759546502,-0.520420414236995
healthy,-0.641873440317099,0.0765334989582339,-0.100764507007109,-0.563479333682973,0.702434697517506,0.407265892829162,0.0233820131366041,0.291109878787137,-0.359950605366081,-0.28997721348921,-0.132558569275938,0.367453968527175,0.756090220585386,0.67762637451661,0.256894680115106,-0.605399159860776,-0.573165746916719,0.599511224519368,0.64041261571618,0.0406107412760523,-0.0173383775646163,-0.211266937150709,-0.221459694372665,0.262970923360992,-0.389082783058978,-0.565400663943474,-0.717850262529719,-0.305097609075371,-0.435967813690928,-0.32819248085171
healthy,-0.519516710741112,-0.550707565130167,-0.702499098097509,-0.509350795129934,0.334861981011094,-0.0610367317151841,-0.4927744760891,-0.151188420480469,-0.532453119548291,-0.596728067906608,-0.357343002192052,-0.224453449437867,0.389893410678328,0.0027323911453175,0.0051467971353946,-0.346083904701579,-0.422635687394298,-0.136105968662697,0.0676978802768091,-0.371366001769919,-0.594855948942211,-0.42439389943461,-0.704788749247256,-0.255951286186931,-0.606294591776421,-0.739788377199714,-0.622793617542235,-0.552234946961305,-0.420975679245518,-0.242272593738135
healthy,-0.773556288052468,-0.228177610734893,-0.58714321271636,-0.770286440003626,0.546778426103244,0.285528229564238,-0.190253872630619,-0.0933129914145684,-0.499603960448153,-0.650999275520998,-0.373676069744992,0.0135627771340108,0.618552821700551,0.476695834745664,0.372887431572113,-0.708031605196087,-0.660464297630506,0.55225592115023,0.619417622360658,-0.0157249510838971,-0.531951299686032,-0.191281301246695,-0.391278069146557,0.0583340994160518,-0.607866070522425,-0.748050803868913,-0.754364842494829,-0.490260266272274,-0.740870208229281,-0.526655390113391
healthy,-0.743718640223272,-0.0828355656538697,0.0016735027351598,-0.662340498453199,0.5248580450527,0.326792774019767,-0.303954093145503,-0.126611088659409,0.000926062368211,0.0081600465367297,-0.441157253084074,0.129948873355225,0.547209264725003,0.489451682698568,0.0853766278028321,-0.54592321022972,-0.813838172054924,0.375344131484734,0.683974295571397,0.0130371134216847,-0.302479956086654,-0.528867157774226,-0.459546673370991,-0.184601286328208,-0.662077570073939,-0.637186365506011,-0.616908217328729,-0.421944718959493,-0.267863305188641,-0.625006100414449
