group,CD19,CD20,CD95,HLA,CD11c,CD1c,CD86,CD27,CD38
healthy,0.162170157263501,-0.0473986517050166,-0.143975478093588,0.331872908423351,-0.13468361759673,-0.225054538276574,-0.13279867374582,-0.0171203077448024,-0.791452924507663
healthy,0.100950896990467,0.102116359592082,-0.0169662881548767,0.0328711863650107,-0.01075360034032,0.22114878034322,-0.0204796139423763,0.0895180036180333,0.11184484590612
healthy,-0.0436864222386021,0.307965411313395,-0.0447953965645045,-0.0582888868878363,0.126718782158971,0.632184035261537,-0.130320898932415,0.3215084687862,-0.171657274655561
healthy,0.019663764341034,0.0684493668994624,0.500577023395971,0.362494006935163,0.620458437140351,-0.166984198014446,0.463802179404906,0.328403692029499,0.119757848383581
healthy,0.070882409245402,0.282846266137917,-0.420095453436954,0.225806576046202,-0.194282054588961,0.0142379521484113,-0.374010431563855,-0.423972558445061,-0.222244520549085
moderate,0.149943183368631,0.530516621814242,-0.306710892834291,0.201218516191725,-0.116442744417898,-0.0689510526121606,-0.256477076132023,-0.374153409992802,-0.455105368037191
moderate,0.575793341491458,0.85075105530043,-0.126189036460545,0.567093176269879,0.102719712615767,0.164824816170562,-0.19779635271134,-0.227317817717808,-0.786846247927542
moderate,0.66645864324251,0.768157060309005,-0.273015391433686,0.736161103948936,0.0711311712437004,0.197368279219142,-0.353986943357224,-0.58199006953842,-0.815301003821611
severe,0.478301160444408,0.792850099300668,-0.0233292377461802,0.500711962889716,0.0475472990077429,0.24179226130304,-0.210997027368995,-0.147948428693592,-0.642890887374681
severe,0.525077761695822,0.812554647541384,0.125360200490987,0.61960495269754,0.297577245609553,0.252570897098274,0.10684824443719,-0.0433084245631094,-0.67341385100379
severe,0.101057241806449,0.767476019005715,-0.314347257277135,0.113534198632123,-0.003944583700919,-0.137175097018503,-0.385047633685952,-0.334114498294981,-0.816813289733712
severe,-0.451315373717699,-0.767786348709328,0.635645136365944,-0.0639606514024517,-0.15163004419,-0.246409360136853,0.636792782012456,0.756324020312176,0.886734424597512
