group,CD19,CD20,CD95,CD45RA,HLA,CD1c,CD86,CD27,CD38
healthy,0.111875492977088,0.739741608347423,0.127536259465605,0.257970259146017,-0.168273981761233,0.373977044457589,0.084651936906316,-0.174944027855498,0.420161730609792
healthy,0.299368398938547,0.447915683640564,-0.217739226790337,-0.0525394148802816,0.429078314363024,0.300598849130782,-0.225110298921504,-0.202676702092916,-0.395484051346996
healthy,0.305576002621297,-0.0857516305103242,0.18227206169004,0.21356127852941,0.230913248634652,-0.111901527958889,0.101166261547737,-0.0149617497948433,-0.0911088068135669
healthy,-0.199757102855896,-0.318242092049577,-0.133886524345931,-0.339557626608374,-0.395082229649888,0.455585743854995,-0.362428225877046,-0.148876210700772,0.0014291975604277
healthy,-0.0684621094951784,-0.191474768594767,0.0078245935154966,-0.0431976264837875,-0.0196745567948518,-0.237131271628005,-0.0940142288593607,0.21136498071426,-0.290052768597
moderate,0.219835614234866,0.247769300403535,0.103829004735738,0.417089088112659,0.460097648970245,0.0068792031311015,-0.0518198631895632,0.026121075803894,-0.486079891222007
moderate,-0.494088034503106,-0.667727652458685,0.0983563899970192,-0.314627958358555,-0.295686462549217,-0.0915034119968966,0.0459648154982693,0.257011254684334,0.756994203220208
moderate,0.609338604215034,0.761747240910596,-0.326504538878982,0.456122683405137,0.745057978637717,0.219468082211319,-0.37585232644559,-0.6346399656809,-0.846144781665147
severe,0.445786693450977,0.743486872255424,-0.151681137549663,0.158877562565532,0.702798936768433,0.127131593818702,-0.336932282777269,-0.32066083166907,-0.792858974528715
severe,0.455972696647565,0.500319012673856,0.17401419675582,0.382118913080759,0.720389237294282,0.36832654172173,0.153383749329491,-0.025930953020735,-0.519841854497256
severe,0.206221668090339,0.735904765117111,-0.003373256158527,0.299560487178089,0.398381038911503,-0.0491971635750688,-0.195620909273436,-0.101106403994158,-0.689611914624583
severe,0.464642301527777,0.777732162110542,-0.452838938792964,0.432910281942122,0.274586611320731,0.340881494975724,-0.489026181428824,-0.625853307615974,-0.885119455835616
