group,CD19,CD20,CD95,CD45RA,HLA,CD11c,CD86,CD27,CD38
healthy,-0.192288898387239,-0.0016346183482843,0.190668776241848,0.111414137622928,-0.46910094162952,0.157553426260731,0.219570050927211,0.0530792196306584,0.77296562871973
healthy,0.135972901760734,0.161245802911739,-0.0108217949803841,0.0891062680618101,0.144633820358123,0.0645217390548948,0.0307294276861065,0.160494784481205,-0.192159567581475
healthy,-0.0583285148431547,0.041193449932769,0.349608658480842,0.537158770009683,0.264754546362809,0.174071475060372,0.0570435959096956,0.343323594854684,-0.0468839816880341
healthy,0.0512282583727827,0.0709726892294481,0.453133867749392,0.398149707643907,0.313331674724033,0.560720189201544,0.346621629612193,0.360199441029748,0.127515192649245
healthy,-0.332536852943142,-0.294175222057994,0.33242901757422,-0.0006396793930694,-0.045791702497066,0.182592772904722,0.244849392542197,0.18375771656415,0.0371152821037707
moderate,0.134214646260469,0.402590379249987,-0.372487547051585,0.0328847486281498,0.0621542160404233,-0.120260639473617,-0.229659642465286,-0.454435622819001,-0.64142726188401
moderate,-0.454961849721494,-0.704168283990441,0.157541795000953,-0.252183737767882,-0.491727150097408,-0.0549112463449278,0.185667654077326,0.317904635956819,0.822302307523101
moderate,-0.525396188790547,-0.783967355610872,0.458209962970532,-0.307842767232224,-0.572748167311035,0.0326590737739053,0.440953820801202,0.681506156905933,0.856032300987937
severe,0.370528019167493,0.561096353692804,-0.232139938330409,0.03488401176111,0.572738622622018,-0.126431866275126,-0.392619461636422,-0.400007930623574,-0.715707341378332
severe,0.417431009061088,0.80743272233755,0.104502822014036,0.358714725666434,0.509105031465714,0.170366910311048,0.0526621407062088,-0.0462928105343305,-0.640825014799136
severe,-0.108262916650709,-0.329791268052884,0.545520864006462,0.0162684202693298,-0.14355176698385,0.18303018751238,0.434607205331675,0.375302110607234,0.303619499449414
severe,-0.518215918853396,-0.771377622709542,0.538326880787829,-0.46793817543805,0.0780542988137758,-0.163420094229398,0.536640115622108,0.504841920284407,0.784443682784407
