group,CD19,CD20,CD95,HLA,CD11c,CD86,CD274,CD27,CD38
healthy,0.309205732307404,-0.107346210673486,-0.0722633413637395,0.488812679352507,-0.0289313681943465,-0.0812214283002971,0.180662123165524,0.222936675643512,-0.675178973285322
healthy,0.385727943669894,0.334698265965781,0.0078006525016332,0.233601768248734,0.243861173071824,-0.103866597852207,-0.0081842822501294,-0.0202813853046669,0.0554368997880747
healthy,0.488531293758303,-0.36455604290224,-0.100291976742381,0.0660389685804861,0.0406567945521271,-0.0542260847090624,0.143819741176605,0.0219133432443803,0.136031115627625
healthy,0.138718816335697,0.0407672746545964,-0.477069365987149,-0.147102606124588,-0.537916265755797,-0.302641966590761,-0.154706083030529,-0.318577550877005,-0.168520611606787
healthy,0.0103517916068481,-0.124857425075622,-0.347845790936437,0.120482577724525,-0.169502325667605,-0.162362139137476,0.132595824551946,-0.35089087428588,-0.0942993384734566
moderate,0.0186048386372888,0.491451227780477,-0.386339189419673,-0.0472597156463985,-0.123110750645861,-0.300364153431686,-0.0568837494713477,-0.416387386228241,-0.546956864030272
moderate,0.536475442802208,0.707633022407068,0.0166742387564177,0.441555456655196,0.201876159634206,-0.035418049685685,0.135448011957978,-0.183499775592179,-0.734056507977875
moderate,0.464197753275066,0.770052744397605,-0.37484210490286,0.64111382250809,0.0536701418485487,-0.325542718332972,0.0945477510597413,-0.682238952414706,-0.77236693421504
severe,0.466263599105166,0.793953782860327,-0.113312662016092,0.603544726387557,-0.0289093868554493,-0.311112594609894,-0.189145387421427,-0.262551257597319,-0.801466048524556
severe,-0.155900547339271,-0.341415405617924,-0.213435760707989,-0.0033510810077087,-0.239467931950959,-0.241753307811475,-0.50966538918852,-0.230312362368233,-0.219203951041937
severe,0.213244889024753,0.824704980775528,-0.285769386672183,0.21160358706876,0.0234906278887079,-0.324370570031563,-0.108049617351642,-0.319256093112666,-0.797636971118769
severe,0.460716725055584,0.810837201130691,-0.533767334559161,0.046758152069412,0.242174218060073,-0.602756423446254,-0.0952417284661317,-0.655699080234804,-0.910521027860529
