group,CD19,CD20,CD197,CD45RA,HLA,CD1c,CD86,CD27,CD38
healthy,0.307436362460253,0.797141520629056,0.0514228703828283,0.288687001658561,-0.0673538393952839,0.27490026327924,0.0411311991428436,-0.243519291136937,-0.117371278150352
healthy,-0.0810255330757662,-0.190381235437081,0.228562156785438,0.229575609920571,-0.177192960087335,0.331160099147602,0.0404853455192988,0.234133223684152,0.0433028490513905
healthy,0.195776661876361,0.0514400892102567,-0.276238162740773,-0.042235352269582,0.304462830091441,-0.206208063394973,0.236692952659447,-0.0666130712966621,-0.223009511223208
healthy,-0.348301326096007,-0.280101727043195,0.158193173464617,-0.112478312077674,-0.118448923733653,0.125415980240667,-0.0078465972131615,0.0410731565422314,0.0865907480577339
healthy,0.167378372853839,0.063472980243369,0.138475967239952,0.0556829351196011,-0.252648127678191,0.175443813190767,-0.108889996107144,0.472117404340612,-0.019937706589188
moderate,0.197797307539068,0.298916298620003,0.033781795081773,0.0176062733717666,0.014931584902733,-0.0717579974140267,-0.198296020837598,-0.287711614850712,-0.668342393016186
moderate,0.583266158791749,0.853282628163826,0.0038200279096469,0.319631022542086,0.564965690530403,0.190898548211338,-0.301482024081998,-0.1460090344928,-0.622899035495234
moderate,-0.582804326335938,-0.758692467489967,-0.040431733394979,-0.409082490118444,-0.744696683198675,-0.271669698934447,0.344252946858553,0.672700841645547,0.818887423624725
severe,-0.513416244354027,-0.670490736883394,-0.0719986563924044,-0.0778052023092784,-0.53456403394055,-0.135142651711968,0.202210799058211,0.167173329962887,0.767922954622326
severe,0.526041997945987,0.639945395717764,0.523823636435505,0.508206997325323,0.54529947472135,0.501216294139786,0.265305894190336,0.101282472097418,-0.396315254297716
severe,-0.394758569783483,-0.608486949443582,-0.166713082350547,-0.425541900024531,-0.463925699859887,-0.344343160346527,0.0302695402987717,-0.0016187881010492,0.577989576667863
severe,-0.459026522199434,-0.833906569394218,0.0057883784418599,-0.418656443982539,-0.213872756512898,-0.31913395854331,0.533170329609358,0.692440291348233,0.8696998190196
