group,CD19,CD20,CD279,HLA,CD86,CD274,CD27,CD38,CD25,TCR-G-D
healthy,-0.29353665294648,-0.127134731809197,-0.193996789315726,-0.159241481098977,0.0958914511860353,-0.157452288383589,0.125086086235502,0.732298318515375,-0.104216554077278,0.0589759386854968
healthy,-0.0337782489793412,-0.169272711334829,0.0080557455360975,-0.0897454038288628,0.0357062206164406,-0.0258993889723124,0.0955192808446461,0.0435218841116174,-0.153434971136387,-0.101645760669949
healthy,-0.305456074833769,-0.0164316457701688,0.0183448790226759,-0.0511592471284464,0.10329040085134,0.478558729979599,0.410918837910307,-0.0836762462577233,0.503262918961526,0.177775938182282
healthy,-0.0404744601907222,0.123323130179454,-0.184407919182044,0.274465343446586,0.377895426639441,-0.176552637985714,0.295782816270754,0.0435601602057847,-0.337292166312044,-0.504212434356784
healthy,0.485986940291714,0.452626469484374,0.0264967637288301,0.179644964138187,-0.0896887061265504,0.0590871338849782,0.359558181426102,-0.471327075373871,0.0726098949201401,-0.220921094436449
moderate,0.218272996266172,-0.262997600865882,-0.0281407557906652,0.313537063050846,0.213963539131867,-0.0875132040717282,0.136645061124444,0.258150677583683,0.278984959796962,0.195961038803549
moderate,-0.431625824646817,-0.686140112568135,-0.0055068051271529,-0.534818179586476,0.176613460678775,-0.0114575987215007,0.356708188466321,0.777196136371806,0.0022976225755981,-0.0878334236067283
moderate,-0.567091690319398,-0.745644357084479,0.0367182750497627,-0.670020553607607,0.396754349273255,-0.0003481994067205,0.657525137705764,0.884526744103241,-0.0144087603077957,-0.0171545568725821
severe,-0.222885136249889,-0.55210426467865,0.232852506093197,-0.388766671440346,0.367534945546643,0.314411890818611,0.292888362192011,0.707987339599253,0.121463014341575,0.110292566805851
severe,-0.0444594844322057,-0.20843834941694,0.504951429206586,-0.0769688547714559,0.353084811286914,0.532971400356398,0.286535881217632,0.551588614992693,0.311613449151298,0.268250542059532
severe,-0.258865177143058,-0.342850691929237,-0.333465354353387,-0.291662720740587,0.0175840590077747,-0.0049438184917626,0.0697289125384732,0.446451429217726,-0.0696409148781243,-0.0239968309176957
severe,-0.404087048375727,-0.709888611812558,0.0381483860980924,-0.22095443585607,0.532529608847953,0.0356783009825607,0.669173169777994,0.90202495334464,0.0442312420373631,0.070837299163884
