group,CD19,CD20,CD197,CD45RO,CD45RA,HLA,CD14,CD11c,CD86,CD38,CD25,TCR-Va7-2
healthy,0.0619218969994269,0.63646331815057,0.147363138318427,-0.0138831338117483,0.196564591349056,0.0075464869637499,0.0398449875447187,0.0734491916107936,0.0319324706538058,0.503842529073852,-0.0606092902751049,-0.186286611625244
healthy,0.348891189236536,0.293635405715608,0.328456482358028,0.0491105183623342,0.241593744576959,0.261589090476546,-0.104566688840199,0.0896256673370655,0.0145531371740717,-0.0792476768121291,-0.0527075779430864,-0.26988533711274
healthy,0.154532405492874,0.0673817256632236,0.298065042522274,-0.235508899352191,0.359452354853238,-0.055872428831982,-0.102266458004449,0.0623747001457687,0.141723014572477,-0.293651531051622,0.233236498276039,-0.0098464785685787
healthy,-0.110837129900545,-0.132458236805778,0.12695895884941,0.0610841949655243,-0.377701312522145,-0.185223624436545,0.0454974348886857,-0.349700101046461,-0.424874568289998,-0.192650162940037,0.451877786694495,0.217984839587048
healthy,0.270233404277354,0.331506829185104,-0.242293930959515,0.353962597243391,0.36620489206131,0.0080763554723872,0.176569825495195,0.309417608555635,0.116106952494682,-0.123966892593795,0.258987695878403,-0.0460278273301347
moderate,0.376753020535959,0.274933025649592,0.110514481787596,2.67824183681755e-05,0.226192980334331,0.433049714876636,-0.0154047652183105,0.0658703997070395,-0.0972516993395529,-0.560465135778317,0.21052096585406,-0.0408668375151071
moderate,-0.220574751855116,-0.437594140712557,-0.113805834225028,-0.0011667630285908,-0.176952735269285,-0.181887984986017,-0.0692196210590841,-0.062514741866415,0.119668802134744,0.725951675237603,0.0309233073061527,-0.0239133345871308
moderate,0.628505358968885,0.773514371683314,-0.0059171481890823,0.0679814889864092,0.582845803240288,0.502871671184181,0.0354150621609957,0.0969992275356331,-0.314976025392561,-0.7198046397752,0.0892428021097989,0.0633405406404047
severe,0.454033453615288,0.814481762363426,0.0253397854421411,-0.050437181425496,0.234038455500712,0.650491137956746,-0.0216190052624076,-0.0345699023321968,-0.322820817741299,-0.743802341151306,0.0115561179881104,0.0105396801890664
severe,-0.630225219387185,-0.806177889601025,-0.459958835806216,-0.475497265777704,-0.403892087838375,-0.671164537885761,-0.46604710840648,-0.456498136178453,-0.364233252007093,0.360898798737622,-0.359131950664106,-0.485426943866965
severe,0.227137911888839,0.81455131093417,-0.008529972254398,-0.110966873377318,0.205947387675928,0.222097015925173,-0.0883169595096559,0.0470106154818249,-0.328872401660217,-0.833895636354602,-0.094607668968882,-0.0753853985460043
severe,0.497849009753139,0.805787447236308,0.110584619782456,0.0297782148354564,0.509540807736753,0.0420327915051752,-0.0132126353705097,0.263211132540849,-0.495966061986073,-0.824698224866715,0.124598209417097,0.0876560131627764
