group,CD19,CD20,CD95,CD45RA,HLA,CD11c,CD1c,CD86,CD27,CD38
healthy,-0.340700841967842,-0.583286953994023,0.0078736506870455,-0.144416784837173,-0.0974373696825241,0.0605921307057111,-0.109151498701694,0.0442751669621949,0.182985228966054,0.416964272521353
healthy,0.443900198319955,0.476337613194965,-0.0627957078164419,0.244867498264564,0.441035690390503,0.230371697650655,0.230018833039564,-0.0935339883466215,0.175875928929764,-0.220791983596521
healthy,0.0850506064096168,0.25836557931663,0.185406529654902,0.378735368225094,-0.164003484358362,0.191073805182548,0.585894660899182,-0.164505234046348,0.439969295936473,0.0255780346401246
healthy,-0.0934138076314618,-0.0818169866065517,-0.391208381381936,-0.282251460558137,-0.223271810862624,-0.390128770976994,0.119866326577949,-0.369145664783699,-0.285596796649918,-0.14421048743729
healthy,-0.24142104610431,-0.382302168279816,0.506561085344338,0.101947939897866,-0.281423997271601,0.372802932019571,0.131613862510709,0.437784760457816,0.475536475634573,0.0987556394821769
moderate,0.147623468440155,-0.583020669020186,0.402790176838616,0.0540866050966021,0.0317644751835729,0.233561177418202,0.226595433537008,0.350141644742475,0.378809146823474,0.159935845504658
moderate,0.457988126801629,0.696089235854573,-0.11032261368636,0.355046201896486,0.428993981369157,0.0856714869055393,0.205902941434935,-0.255471558692804,-0.15706281418798,-0.812630485930118
moderate,-0.543231351913205,-0.778819285314637,0.483202237925677,-0.309802706347051,-0.655768020817079,0.0681410033889477,-0.218710065630237,0.456330438002015,0.668057102355339,0.852179370093716
severe,-0.423846403719332,-0.776708518691426,0.160116361933911,-0.150030400074389,-0.748275340739238,0.0796553025135945,-0.128478494780489,0.325713218538119,0.31889956707728,0.682020793057692
severe,0.551611525446413,0.762429057062397,0.310471892071744,0.554419697966306,0.635721944056295,0.550745854627609,0.411036226390765,0.331878891168398,0.156082777650548,-0.396480969397205
severe,0.187085156437982,0.737381988028445,-0.0020033076899381,0.263388325418843,0.297533273038714,0.169165604172933,-0.0936060679864679,-0.134923058561133,-0.114060289399989,-0.76771173937187
severe,-0.519225682196971,-0.808820223066255,0.63297045178323,-0.460879452990917,-0.0833257965578652,-0.0879242924509091,-0.34193355700642,0.597458710238458,0.65777140462728,0.814869825753975
