group,CD19,CD20,CD95,HLA,CD11c,CD123,CD86,CD27,CD38
healthy,0.0568220954315166,-0.273784460281284,-0.134816068247446,0.380732129730486,-0.106453013844217,-0.128410821785105,-0.186507186485465,0.133959089415474,-0.745823124803685
healthy,-0.525986851108396,-0.550606202949316,0.116960269643392,-0.554382162314682,-0.324438640565931,-0.160144536614614,0.123305096212975,0.149422887446963,0.0608455909760217
healthy,-0.37430552740097,0.0834975876511956,-0.183536847009195,0.100587787811484,-0.112189120381461,-0.0996920289176034,-0.0700085497938595,-0.0418077778731181,-0.0361819663422299
healthy,-0.219792385589642,-0.0629017804427426,0.342584189834952,0.124489114802505,0.488280529950627,0.473746947005662,0.303242996334971,0.0163298907695532,-0.0296714369443363
healthy,-0.529721910937474,-0.320324301946988,0.42710659911173,-0.279674634015655,0.18818969387009,-0.115431168202431,0.297360308298572,0.0518186109879333,-0.0232298182340385
moderate,-0.197872698274243,-0.455809532019298,0.361991494495609,-0.182318888857213,0.104650996760857,0.132373551336334,0.250731774947188,0.455793230789691,0.708836205051925
moderate,0.330859295306589,0.573055004360029,-0.159680439872314,0.161619318595959,0.0220298365262444,-0.0800882035791488,-0.230284156784188,-0.27531715896979,-0.660817251232676
moderate,0.634665663118225,0.785295952618437,-0.348499444925199,0.690453484461695,0.0179135262361331,-0.0453747793277379,-0.397824966796667,-0.609884877261835,-0.857711103729238
severe,0.132273548831711,0.44734995146201,-0.276522330944483,0.438464697990138,-0.137998556551743,-0.0521213211179213,-0.398155217926379,-0.409401430720104,-0.56648072887452
severe,0.280560923584712,0.648298193552985,-0.0411849327614831,0.391778371461282,0.0892952470146977,-0.0652382994256789,-0.0856582235999529,-0.235829384972634,-0.747784830123868
severe,-0.139279364413327,-0.685279985078387,-0.0600149978645178,-0.106673950005806,-0.145432221655087,0.135585490524427,0.144946721246445,0.148493462707997,0.551983968561294
severe,-0.512176978478024,-0.809927973847319,0.483128729040928,-0.154671925790587,-0.290845092907439,-0.0751376243146406,0.48170766121697,0.548917317874858,0.75647730526538
