group,CD8,CD19,CD20,CD45RA,HLA,CD16,CD86,CD27,CD38
healthy,0.145678053074894,0.134962448074161,-0.444637216307058,-0.0170577161303999,0.346228341607743,0.158576151286423,0.102856026930704,0.317822656845414,-0.18164728692541
healthy,-0.0135884350191424,0.182276406751228,0.219722885060566,-0.24359974584676,0.364002468880872,-0.255977320941521,-0.0962565158734591,-0.123801366352765,-0.184030963469837
healthy,-0.107076079492294,0.248054274712422,0.148189706617778,0.0557911691233148,-0.049885708423334,-0.0169574985725514,0.196895606950503,0.157245698609699,-0.229537522620496
healthy,-0.212808645168121,0.385016084905149,0.429362959852018,0.430836549790619,0.40175443963953,0.136836697526129,0.413669656630076,0.178926062807309,-0.14672879022082
healthy,-0.0900464274376539,0.3839643686549,0.296433306469275,0.516868656580768,0.501080829360775,-0.0228049650519797,0.0330305597930191,0.412457311558854,-0.286097608705178
moderate,0.239984959269955,0.0088228907482736,-0.162957867513575,-0.0701624084389404,0.0317589704518116,0.0150337714827008,0.106265320561758,0.143402980415197,0.694371614712178
moderate,0.0340240291327827,-0.268695688060718,-0.493377851957002,-0.168871525992429,-0.278269067240033,0.080770948233809,0.291188272043946,0.257205844594857,0.720695913138623
moderate,0.115229537684981,-0.575592840878968,-0.700953753627835,-0.418885852858219,-0.509698407545991,0.0834130588175154,0.402424532836025,0.500368828259812,0.837132352346354
severe,0.10855124936959,-0.248860861077542,-0.595269873523226,-0.124438370478855,-0.313283489463539,0.0825834182510929,0.350806981902835,0.266162603950722,0.781403759048782
severe,0.131832945865823,0.492889266958483,0.739605051367938,0.263277185068145,0.682083403687828,0.130305630749731,0.0608702292374145,-0.0535461601228944,-0.603604930946433
severe,0.521840229221194,0.396970599405607,0.312289076579161,0.420093569687339,0.34555644465407,0.620239833308847,0.178917433046619,0.250716655042604,-0.0944237191851265
severe,0.144227229044937,-0.190051293895275,-0.492416140854151,-0.186301511396618,0.344545804966248,0.144696827336427,0.547780717636669,0.324293957311055,0.73868644453183
