group,CD19,CD20,CD95,CD279,CD45RA,HLA,CD11c,CD86,CD27,CD38,TCR-G-D
healthy,0.183550426894402,-0.145683128123765,-0.140290385894808,0.120590776322301,-0.0626469876217572,0.463739362777978,-0.0761781050958906,-0.144835694496888,0.143293330633015,-0.749617659249455,-0.0730852648971413
healthy,0.385012835315639,0.461892044055284,-0.167528509146987,-0.0228600632381766,-0.0165717834614521,0.408486511048004,-0.0249012860924384,-0.0861947746218904,-0.101108421506344,-0.210492829433571,0.135745110338437
healthy,-0.0551994898412883,-0.0254478172066829,-0.0321475433729552,-0.519032604372689,0.134665335620054,-0.214106891705647,0.0289499134512724,-0.351605587213399,0.265360983232247,0.0216437907095387,0.0661410478670301
healthy,0.146345060989572,0.259666700694745,0.253251675461881,-0.190738558278721,0.386162131383868,0.359674603708491,0.51926167511057,0.390409319521255,0.248079466325289,-0.0039280664961104,-0.520189067800578
healthy,-0.034863107548603,-0.0033601529123493,0.213348000815112,-0.042954380951706,-0.0463574885459378,0.374409975448915,0.315053235751744,0.226384526682781,-0.238524601218659,0.02211188805019,-0.0009420942193451
moderate,0.316480012531562,0.374754141843244,-0.381258585017995,-0.103884800995895,0.0291968707848254,0.322345647898583,-0.0953608242494838,-0.234956771072038,-0.426324261717885,-0.656494531415012,-0.242168554962346
moderate,0.630875311292125,0.865929410110245,-0.143653712368717,-0.140605857049593,0.371508045697752,0.592437114106661,0.0694221353637744,-0.302492587353628,-0.20380074794954,-0.725540968916557,0.0542287866444739
moderate,0.665075875649377,0.786669754096319,-0.268414218946001,-0.0297699233178443,0.528763668270875,0.655903568367592,0.05995552183747,-0.376174271413074,-0.510759730919558,-0.823166823034778,0.0753727575089675
severe,0.456521357504959,0.821273192022071,-0.137287132974437,-0.096729406350608,0.233376676758824,0.674789647383325,-0.0460230734109539,-0.318607174807672,-0.294639343914732,-0.700421050683291,-0.0166503385272907
severe,-0.479605287495184,-0.738748406245594,-0.0717242297181779,-0.0804461581247882,-0.188709177432575,-0.613039521269279,-0.159075032059182,-0.0428069542909592,0.107519385675389,0.726623585678088,-0.210531785966899
severe,0.154882937489173,0.813095569693868,-0.190498109027739,0.016153105480335,0.218283864550275,0.117332686058034,0.0603682068524508,-0.294105330503394,-0.262575593752348,-0.769540253101856,-0.0183562214048437
severe,0.493045843175931,0.816754401862274,-0.504147897873634,0.0206465239640975,0.464179948223519,-0.0195381988838603,0.226304479894331,-0.549196712228164,-0.509977983018732,-0.849225783202362,0.0699184218545373
