group,CD19,CD20,CD279,HLA,CD16,CD123,CD86,CD27,CD38
healthy,0.253686377663414,0.0402945999793443,0.0659249061384878,0.569295338534041,0.0102804756047075,-0.0741231046093408,-0.165176340319851,0.0619286187837442,-0.668321903502384
healthy,-0.183035637359241,-0.0224256658720603,0.16801832902752,-0.055848024745076,-0.667429519122947,-0.262863817096551,-0.031709680158007,-0.0319855714816333,-0.118399920716639
healthy,0.189409586611239,-0.0525834442837277,0.148499301671776,-0.593316647335608,-0.0713540607688009,0.106145799238606,-0.249426782577934,-0.0422988637525987,-0.061193295485428
healthy,0.0404469403097806,0.0272240420720719,-0.115294866676773,0.126564823550041,0.33279679074426,0.333888631771535,0.271489671533367,0.338318181724896,0.25984997956459
healthy,0.377551345112906,0.309080120526993,-0.0947135871176506,0.372529602609924,-0.2515762425707,-0.100958551193952,-0.129184294520221,0.208555630937732,-0.204812519544385
moderate,0.0368953559017692,0.486685692447945,-0.031381585645474,-0.146081094810711,-0.0942847376754437,-0.0527362994981415,-0.312500106812751,-0.510808947834704,-0.434437383396873
moderate,-0.568266707145555,-0.807593608640699,0.0200239255041586,-0.576532425699613,-0.050201107122551,-0.0138641418630656,0.232176091152481,0.309840627428991,0.830444612382454
moderate,-0.266833126643216,-0.450150732197094,0.0115513689977378,-0.330666075947318,0.0201803553510808,0.0204945606372548,0.293923582628075,0.543613939921549,0.588879013934441
severe,0.387320736877337,0.728930874359771,-0.181307388474241,0.690845534746711,-0.110732842599473,0.0435275595247453,-0.396796774029934,-0.38814961381241,-0.71258899259714
severe,-0.169918199539265,0.0975237989577842,-0.554681421863055,-0.110467173412186,-0.385637536181153,-0.578027284226086,-0.486445276399022,-0.327142263145796,-0.358756990140149
severe,0.158072117127487,0.761269964244428,0.053716229388996,-0.0167117703197616,0.0890677202781991,-0.121206479775593,-0.241835914980253,-0.248369215363224,-0.711219931111315
severe,-0.473177871222638,-0.842560365643506,0.0245477755953136,-0.0926405293059264,0.0601573597930127,-0.0022894793122625,0.593293531638532,0.645292496758125,0.900419439370883
