group,CD19,CD20,CD95,HLA,CD16,CD11c,CD86,CD27,CD38
healthy,0.281119385845334,0.123322478468796,-0.0593423232224413,0.740484672802262,0.0148595768241018,-0.0061314724916763,-0.185634679405525,0.27635412370821,-0.522780175126163
healthy,-0.23145441510344,-0.174689356211204,-0.134116767152157,-0.0577561892407661,-0.628167319741541,-0.445147345392558,-0.0612484389906766,-0.25044297444072,-0.253675509623989
healthy,-0.271058604865516,0.0172265497736296,-0.411187206323872,-0.362436053539549,-0.0494805446947607,-0.270833770813604,-0.399613336655439,-0.0321606685962096,-0.180408515310022
healthy,-0.0177438479412261,0.0739848142173272,0.437044287070388,0.307921074846441,0.383154782744399,0.607100419213369,0.446339106284379,0.344812204896865,0.0410540035771593
healthy,-0.18327218841104,-0.194033417142703,0.644250689850202,-0.0829290660671368,0.176977081628293,0.374126685110965,0.424839199590803,0.362143709379775,0.116842978870512
moderate,0.197525175981521,0.0185954972823971,0.0764351658389491,0.473343337340375,0.0192617537206169,0.0428532027032487,0.0114195772979075,0.0568380838429674,0.117812771405252
moderate,0.311295233910806,0.501543911677917,-0.0805564225146186,0.411601867240996,0.0139750599261285,0.067712353439275,-0.141403669972599,-0.233259365850992,-0.77664907317299
moderate,-0.611771686265077,-0.791942354801584,0.384397599694334,-0.660680396771223,0.0357805128835841,-0.0039524634769958,0.407176469358557,0.641363297438706,0.862200949576872
severe,0.489338580663129,0.784553101456568,-0.131407973632384,0.720089280275415,-0.0217880119307948,-0.0739025176031986,-0.306166894036965,-0.288251636596022,-0.680482736184013
severe,-0.549342116884314,-0.790264944614934,-0.247177053391862,-0.623611665310827,-0.314856501149997,-0.474587789363563,-0.271851323838798,-0.0824513550428885,0.463106539518955
severe,0.223192390895367,0.699462184294039,-0.175483516824515,0.0165049574211014,0.106766138112061,0.0277130546459865,-0.254508852356991,-0.335860039545283,-0.779028776120186
severe,-0.459529531393307,-0.829686426662902,0.513478384395957,0.0414893116620955,0.105079649514434,-0.24843798375695,0.615492651982721,0.557260254573974,0.883560865274333
