group,CD20,CD95,HLA,CD86,CD27,CD38
healthy,-0.631503778937855,-0.130537230390123,-0.123825908112694,-0.0528436018751906,0.14310171582939,0.288638533667891
healthy,0.273824643616164,-0.308714333142315,0.285271069658451,-0.248727789990754,-0.453019035355209,-0.374557600097326
healthy,-0.111787458897649,-0.123718000479772,0.346544032091138,-0.0184899172541556,-0.0539757946646938,0.389479250945365
healthy,0.422202486479435,-0.157832596596571,0.378831817424052,0.232232385073588,-0.0730091284591999,-0.283609478045084
healthy,-0.291169580691443,0.0288038006837789,-0.404757960038859,0.0875957112558357,-0.113577998108196,0.437881688218459
moderate,0.418799197227096,-0.392392212775125,-0.310392122878754,-0.295915679635173,-0.414697870028061,-0.516281072694583
moderate,0.779980983827978,-0.107802233814493,0.451864378712111,-0.233199185766717,-0.204925376314494,-0.821404909750648
moderate,0.803709703689961,-0.413438061497672,0.550954149211604,-0.419625553464331,-0.618148729719796,-0.843255348677391
severe,0.837521016498868,-0.14225760292757,0.62477755222715,-0.316033146436588,-0.274687273447393,-0.670698623394585
severe,0.805648665756668,0.0889870747745273,0.646644523528631,0.0512721375832808,-0.0796766132255487,-0.683439445770244
severe,-0.773126056515111,0.321941474494297,-0.260047182829316,0.382168626164817,0.436814268148388,0.81004625056277
severe,0.652395560165688,-0.654263810678917,-0.391495375282232,-0.665202741379601,-0.553813478442659,-0.764539084793454
