group,CD19,CD20,CD45RA,HLA,CD11c,CD1c,CD27,CD38,TCR-G-D
healthy,0.266571425757678,0.755438303217195,0.260598795361061,-0.0656804437422807,0.0165557162086845,0.295358813132925,-0.239808661349365,-0.140344707436978,0.11557093577553
healthy,0.0920800017611752,0.278156703926726,-0.16683469011303,0.302334167203894,-0.155559736136221,-0.0057543180463918,-0.24081259819856,-0.144630188511953,-0.0599998694541082
healthy,0.293463296080971,-0.0043774165670032,0.160143738381287,0.0375312944891241,0.289531957543848,0.35310273993868,0.400442339148054,0.0557006114382943,0.195361058051691
healthy,-0.12758945271961,-0.0624404931662539,-0.125397347210008,-0.0105800452886095,0.325981300319819,0.236437571756393,-0.231381591716485,-0.175686843000433,0.0962635130361667
healthy,-0.08355429710963,-0.150197293827467,-0.332502265725253,-0.0293307337098339,-0.318637432718501,0.164391380004249,-0.299751446760404,0.136765265733026,0.475626305345318
moderate,0.114611460310837,0.578027534246801,0.028671790467998,-0.0186099046102295,-0.126403659674906,-0.0081461214605924,-0.373601199676749,-0.352309015106179,-0.117906153835547
moderate,0.134752515416272,0.144351021498683,-0.098276631847401,0.0026766822189872,0.0272612075534934,-0.135476650529878,0.0965511628931059,0.1702449076202,0.0685003042397874
moderate,-0.548587345670997,-0.701415318170702,-0.484432730723322,-0.577992338538393,-0.0302593945373435,-0.182962418227782,0.487406564838893,0.85812874641386,0.0109915984939048
severe,-0.238074618569937,-0.632555604306242,-0.163817011214639,-0.63714226673992,0.102353877566064,-0.0652416719895448,0.399242387099114,0.695328118515991,0.121375234526467
severe,-0.519802563306137,-0.658603668234277,-0.588463625916363,-0.705883303619264,-0.460749534255798,-0.472261621326669,-0.173118393967803,0.193242706300971,-0.374031259110819
severe,0.279096053798874,0.832584099682396,0.208889994144245,0.175125441384493,0.0327367865065288,-0.0824927105724765,-0.348472694015413,-0.772853472756209,-0.0206672075668171
severe,0.329902004776832,0.70985668381386,0.276127272837048,0.129660167358617,0.381707087275473,0.191242441201411,-0.40288834305223,-0.530739378435369,-0.0935505355765966
