group,CD19,CD20,HLA,CD1c,CD38,CD19,CD20,HLA,CD38
healthy,-0.377129970767477,-0.431138317938456,-0.277678863415803,0.0257417953936483,0.544223776176117,-0.0691005545466067,0.154687738102852,-0.0092016622629382,0.625860485362211
healthy,-0.029276822886165,-0.0784574854481342,-0.0724349339394312,-0.387498479548083,0.352058029213109,-0.498507292905505,-0.54214461454106,-0.40698221976699,0.199617137849
healthy,0.358169788715387,0.180552099744976,0.237041473343868,0.600241851818957,0.0491617018583732,0.0944158763629383,-0.0782599325051047,0.184673997187494,0.585701029256163
healthy,-0.0150274738106379,0.0850621830604461,0.344105574237207,-0.0201102631110758,-0.130711250876446,-0.171302355370548,-0.144877385130332,-0.20743330341359,-0.138927719797499
healthy,-0.344191289956958,-0.297835939106998,-0.134924457643661,-0.353809623093538,-0.029567325896959,0.116667697513963,0.0397207066748815,0.573012796898239,0.0561355149558693
moderate,-0.202228108034639,-0.348398966870516,-0.312692955893647,-0.0394120435233747,0.753669886763926,-0.125683894611,-0.514335185310284,-0.169297011291591,0.580030188523676
moderate,-0.588299916027603,-0.782445463420976,-0.652677558386072,-0.148242048082061,0.597842232439276,-0.482495753431616,-0.652011952438632,-0.409450736161622,0.315626469434145
moderate,-0.641095784766086,-0.829916032012021,-0.648705423648799,-0.234050569887593,0.80586901887481,-0.625634707921098,-0.832276770494031,-0.589802182352131,0.810784716744674
severe,-0.427557736780177,-0.824741194801439,-0.682557112717906,-0.169092758732855,0.674891092081973,-0.424627334704284,-0.822559920267949,-0.495186034271731,0.792715738520306
severe,-0.336873268579427,-0.679398474633001,-0.432389381485289,-0.0642011280330728,0.751456550220291,-0.531349698681182,-0.795174570810187,-0.645531435267255,0.700474687993505
severe,-0.2563782120615,-0.775149987954222,-0.241451554531274,0.0293126920560186,0.827476698114843,-0.195618909349002,-0.569350925100886,-0.131337998306056,0.642820781337334
severe,-0.519696171900976,-0.799457391973304,0.0946812028967486,-0.347464178669337,0.790456686460153,-0.450106416647552,-0.829224153430795,0.0962689924076232,0.884766606552837
