group,CD19,CD20,CD95,CD197,HLA,CD14,CD11c,CD27,CD38
healthy,0.320500728201788,0.738732380808531,0.138158714822446,0.230250642216763,-0.113371644473279,0.105312635903446,0.066271525025155,-0.144179057349219,0.075083935309471
healthy,-0.229217703700846,-0.360329372595014,0.0311277124871995,-0.147294364462109,-0.232000192642699,-0.0027135369121627,0.0129580020919115,-0.106930841856079,0.0983218889365387
healthy,0.273893261661632,0.199956468706169,0.122541200226297,0.480224493168391,-0.031381299887513,0.0695774752060489,0.151193822367019,0.328165410708048,-0.0348959807915121
healthy,0.131765999356629,0.493467324317326,0.0202427275849748,-0.331834605174872,0.30265047403837,0.018680025951209,0.642720720850772,-0.0655700190392883,-0.364656721004411
healthy,0.450191169463566,0.250832332197782,-0.269367442112693,0.112260097850373,0.236379820042495,0.507533890260247,-0.0176113349878426,-0.0820963010245229,-0.120505163955533
moderate,0.0110148763734999,0.467596604271223,-0.47017536556065,-0.166015404827075,-0.0731945350333118,-0.160338138196301,-0.149909912655887,-0.456108550883205,-0.481937485905764
moderate,0.489853780911626,0.60252512433512,-0.025152860767271,0.197087833521843,0.176935252910837,0.137268521665347,0.189646573214604,-0.153454110028045,-0.714020968878866
moderate,0.412315907077029,0.694606324396038,-0.436432201290635,-0.0404742199935385,0.223017690790049,-0.0240806135028324,-0.0991881334267887,-0.377303940964559,-0.514595537470075
severe,0.142654028542259,0.754719374895003,-0.168040075828244,0.0136310743777113,0.202412883185492,-0.0309048966861486,-0.0440672530541907,-0.234549883108094,-0.486396675281126
severe,0.499137504316908,0.813231837361419,0.073984541755953,0.191341073347262,0.558158564435496,0.198177519567081,0.192568693384916,-0.114880600562482,-0.699511110378349
severe,0.165991835563915,0.644369216680557,-0.285296965928697,-0.0143349327565392,-0.0551639415436622,0.0258857010844054,-0.0579044979983142,-0.275225128376075,-0.638492237486992
severe,0.231925209383161,0.312952558399239,-0.344629829252042,-0.0956393720497008,-0.682858838373781,-0.0239903491711454,-0.101465007766614,-0.0498684188060782,-0.175478613099119
