group,CD11a,CD127,CD2,CD226,CD244,CD279,CD28,CD319,CD38,CD4,CD45RA,CD47,CD49d,CD49f,CD5,CD52,CD54,CD57,CD58,CD62L,CD7,CD8,CD81,CD94,CD95,CD99,CX3CR1,ITGB7,KLRG1,Podoplanin,TIGIT
healthy,-0.436276038352217,-0.167472377971152,-0.299074028880355,-0.139809193186561,-0.252214438797548,-0.337350466707564,-0.197206147368971,-0.120419862354793,0.0754386617976262,0.303205823950503,0.247297471916213,-0.156503440321261,-0.506814379437358,-0.0727255730098275,-0.113302478373091,-0.096576707648478,-0.457383545269603,-0.127527294677477,-0.233387871035702,0.171041566816077,0.0581637452654296,-0.605395718358139,-0.328586632667277,-0.0212389463380469,-0.400454418193866,-0.544558304297256,-0.274063038653763,-0.130554972267979,-0.513550183526711,-0.14581704324837,-0.358072551117715
healthy,-0.34321269182214,0.429670039628695,-0.044492190012818,-0.43366178636087,-0.573327049466687,-0.408170673783767,0.37392463409417,-0.440388573363949,0.14591814215134,0.0795906861851612,0.33491425821097,0.171784769841966,-0.415531541100105,0.253774137025303,0.346759462405075,0.274983885431063,-0.390556616724071,-0.642802913921451,-0.287624375875463,0.654870603709166,0.494694012300915,0.0726754547281339,-0.144470256049124,-0.406085452418557,-0.401818296471684,-0.368576890675487,-0.418239745589779,0.245770129045613,-0.563580952805524,-0.0929924459217392,-0.381444649514175
healthy,-0.351796763800795,0.136797802474154,-0.100312542366187,-0.583601040156475,-0.59290498649042,-0.44978179456005,-0.172794674758049,-0.577508450807815,-0.149852057452814,-0.410597971666518,0.12587848092828,-0.077877601881425,-0.306693052094138,-0.257887631938845,0.223495043400349,-0.0031932729419999,-0.512145785365423,-0.711341553959089,-0.693131049516757,0.266097069940307,0.257088130061933,0.378162943554973,-0.185820700510613,-0.570789109675246,-0.690188956144681,-0.198645183992834,-0.68050607697409,-0.315761097110072,-0.70378438460908,-0.601930937734654,-0.61494452245163
healthy,-0.141195210126262,0.30539116972033,0.0379569522849218,-0.351268665649411,-0.170123989495625,0.0711181588631029,0.370839546603084,-0.121012923423374,-0.122187124622257,-0.100868104321694,-0.356261514670054,0.0873365584200091,0.0346577620280466,0.338229143707482,-0.0723525575148952,0.0458101592309518,0.219303567283444,-0.673876337403663,-0.129590006939568,0.0189558227851503,0.215521008625553,-0.232756722430077,0.114832433114766,-0.0699459242221353,0.0531443949471879,-0.118845769071571,-0.361611856920518,0.21523925508827,0.13880351118761,-0.060629422544411,-0.0888054994536123
healthy,-0.45027002215198,0.0470240393798133,-0.35534714543097,-0.563195818665351,-0.446305218701462,-0.709179550228629,0.0386453911782545,-0.274606395922315,-0.140032589241895,-0.319249355868078,0.495890978094944,-0.27277896164594,-0.543089689974912,0.0828240147918527,0.139391264714464,-0.0950942621912873,-0.312817264498882,-0.316521190994323,-0.393102502359822,0.370942884832009,0.206558104078637,0.0513198345092281,-0.0270771233766795,-0.330528023655167,-0.656326980113371,-0.489942769634932,-0.134199091518601,0.219186327228301,-0.498223375084927,0.0208553106661438,-0.201158252574334
healthy,-0.185948718924997,0.132555355954716,-0.0367615494079416,-0.394331733401257,-0.136592516859871,-0.0227327308174781,0.274434609139966,-0.223529883452397,-0.0626077305069474,-0.175406782328342,-0.141411490333985,0.0218670101607966,-0.338729899049658,-0.0056272877529291,-0.22184639815597,-0.009552677486838,-0.0374747296467806,-0.618922263022349,-0.157549216219425,0.0801884524598998,0.259750627997329,0.0589357187336629,0.0752612441733356,-0.19179800470146,-0.129536434156333,-0.0635704037122433,-0.292821862180443,0.153896336781106,-0.135924736583742,-0.185087083412001,-0.111060866674835
healthy,-0.610129503167682,0.552814693337696,0.116072064378984,0.336618812474282,-0.789850575989165,-0.258982009646206,0.516146802137975,-0.369994485756836,-0.0071767792914346,-0.0288134823742021,-0.290620758431438,0.141356472315154,-0.270498394286453,0.491098311941079,0.503811001063286,0.420227968569874,-0.438514589332264,-0.449268646526861,0.126276830188028,0.401126252468508,0.0865242176020415,0.0928240284487676,-0.432966404013239,-0.317260457512554,0.0520303147881256,-0.0702286072199451,-0.235319366132429,-0.23212611683965,-0.844234506522209,-0.0066057112880461,-0.580810254413196
healthy,-0.580058292002206,0.506493444896162,-0.203374961955334,-0.696138271989765,-0.657421234850998,-0.0227781420531929,0.521508813733935,-0.343761378815531,0.200134368376926,-0.0211876964907116,0.447898180488892,0.100192191030693,-0.432032429962262,0.401662240686859,0.204931174650167,0.156495915254662,-0.265410656835918,-0.815399559176598,-0.355808849923202,0.715544987670867,0.620759607924874,0.0612294626021182,-0.391067292188181,-0.573962481597531,-0.526935545134917,-0.603125936402107,-0.418354320893574,0.629343214233791,-0.69271911674492,-0.0119342656546553,-0.145552560611366
healthy,-0.27334996404036,0.512419200841547,0.0577526689427473,-0.445347456400382,-0.398393739140503,0.0522927846874584,0.530819666470197,-0.291640221395243,-0.135695561651789,-0.047317268307618,-0.117089683553733,0.171100712297301,-0.251288212670528,0.427242172968759,0.440606300241588,0.229346000668185,-0.102384040169942,-0.755465005767257,-0.266867259802934,0.391134982155339,0.405826069162894,0.0962430604441839,-0.256589361158369,-0.456407794407101,-0.0800167646799869,-0.191855436514029,-0.456028654854283,0.28960546148353,-0.480938825994687,-0.17605065665502,-0.242436784805752
healthy,-0.245311906569647,0.213445917632851,-0.0592790853793616,-0.451884257934999,-0.286538403178419,-0.105744576246898,0.188402647382232,-0.369126732562913,0.297923238882553,-0.226855357476037,0.428610363836854,0.120566707691806,-0.319326355308988,-0.0285984933586933,0.0371829641024506,0.0388784806113806,-0.174564531391622,-0.531283519766597,-0.386151863539286,0.314796615523467,0.413702089486709,0.0114550236408351,-0.134057125870485,-0.189444277468792,-0.273958251352596,-0.285167199396438,-0.555134706997995,0.33575635209046,-0.38513703261746,-0.368248913878545,-0.302985708365983
