group,ARID3A,BCL6,CTCF,CUX1,E2F4,EGR2,ELF1,FOXO3,GATA3,GATA6,GRHL2,GTF2I,HOXA1,HSF2,JUNB,KLF4,MAF,MAFF,MAFK,MYBL2,NFATC1,NFYB,POU2F1,PRDM1,RFX5,SETDB1,SP2,SPIB,STAT5B,TFAP2A,TP73,VDR,ZBTB7A,ZEB1,ZNF384
healthy,-0.21049416383575,-0.0769294478700602,0.108298594644174,-0.233123188350418,-0.0816836210010985,-0.360508266360515,0.102124204120293,-0.176537508484467,-0.169448490613191,0.171478721942549,-0.206340821635731,-0.263105438923061,0.063817427879793,-0.242198621496258,0.182891623544483,-0.21687661502701,-0.0899609197835488,-0.151447700868473,0.230072856296254,-0.0520542602110859,-0.365996030444886,-0.0578487366790209,-0.171241275657583,-0.231984233297337,0.131536583609016,0.200440871790386,-0.0954093281300798,0.0867250910183668,0.230964132572531,-0.048059128077183,-0.247889461187882,-0.146014772445493,0.115097167170193,0.186056611981553,0.15061939377274
healthy,0.0515730178621712,0.0868974974870236,0.0456983985701098,-0.0244971616540609,0.0069760260643234,0.0067469251998059,0.0690414824804577,-0.0543779951654608,-0.0105663843111696,-0.0479667829095373,-0.0636930966017319,-0.0468251286881033,0.0768791373678833,0.122515577093656,0.0034833492498365,-8.64883547788728e-05,0.133164520274922,-0.0191523480341373,0.0444164736530408,-0.0124517034317027,0.0497596599106211,-0.0123962540367389,-0.0105285183678657,-0.114178758576263,0.0438965909220203,0.0673523994434614,-0.164539947177418,-0.0040921018415041,-0.024677441648281,-0.0046187718642488,0.0258693853352977,0.0947681362307234,0.0009505780672782,0.0133715203815171,0.0558698895165731
healthy,-0.0130398242805801,0.144326182630815,0.19853450383833,0.0463793673204385,-0.0616029029550771,-0.0855478380687872,-0.216942903402521,-0.115432686846887,-0.0929287459819465,-0.0429830147521299,-0.240627124073626,-0.0449477168585104,0.256670633977926,0.0334849414790037,-0.210630833545147,0.228502535109044,0.0930859950775738,-0.145572780533831,0.043300931401985,0.0875284929819705,-0.0533664688028095,-0.016570408323272,0.0169671774181808,-0.0897835361721614,-0.0074985028890196,0.0135851823759946,-0.0708853854391259,0.374818032748164,-0.0365941435248625,0.0181779954545106,0.179626097729493,0.353413468169174,0.020384040738093,0.0897090137746685,-0.109407539614723
healthy,0.0451662701698828,-0.0659549661030965,0.127663375568659,-0.0801802105273113,0.147438232155805,-0.279401277433819,0.214599418189422,-0.187184829178708,-0.200661668096762,-0.238243500494466,-0.148544091230581,-0.149831660272889,0.0373423152547631,0.136469865919219,-0.0403198271533578,0.152327723318017,-0.0964199056222847,-0.306854554943463,-0.357424979775533,-0.136932501673453,-0.103308504199304,-0.0448432964858734,-0.0695465700150871,0.211340449744159,0.275408748760612,-0.510669348972027,-0.0394102380408494,0.0393630484063635,-0.0865879304275627,-0.0678553935321426,0.0190964349047195,0.17225227763167,0.24795167163403,0.367392884158801,0.0245963827648193
healthy,-0.204519328672796,-0.0132479864802268,0.000533738301072,-0.128707310302128,-0.139354179798567,0.12500342897812,0.117315662008633,-0.0359631170742097,-0.181768397344627,-0.144430053959465,-0.194021185904077,0.0208417589018568,0.178602826236029,0.131412617813114,0.205470873967086,0.0183796347989217,0.0975290256581259,-0.0788211227592459,-0.205108820786211,-0.189960746125233,-0.203007372186212,-0.081248309356576,-0.149035061634314,-0.0143610790452443,0.0374442095058857,-0.195619402759207,-0.0768475758607488,-0.0730462746862457,0.0975227069411686,-0.0585600856265454,-0.178432828335332,0.182195512383408,0.193202662099662,0.256719515235056,0.0798719509663895
moderate,0.228258915204709,0.019150294640064,-0.358878963811862,-0.383526479175318,-0.183169279754499,-0.0218989050017601,0.300095550160591,0.388316730748781,0.224085654889367,-0.080590198430465,0.326011325332406,-0.435996444084642,-0.102345567271482,0.0245489681486176,-0.077246020118222,0.451241269754034,0.0658295395122369,-0.372926226587888,0.0624168066157583,-0.357882780009689,0.143737539834484,0.352329858686605,-0.0678176224550694,-0.225268221467431,-0.0325591428503963,-0.100845935741328,-0.132134676452608,-0.0465485626959738,-0.384520520646735,0.21050970487996,0.428311903657983,-0.144022469825213,-0.222129706907895,0.135875185954963,-0.363709919669715
moderate,-0.003082308927176,0.162543394848504,0.142199822811347,-0.13261373023493,0.0517903834240116,-0.0848417713531142,0.168773803467481,-0.153907111212884,-0.119914733773146,-0.0445744922249017,0.094096875903476,-0.198775798330273,0.147154868106203,0.186939931920594,0.034066933025049,-0.171209740999937,0.165739673749344,-0.180472613748073,0.18611561555262,-0.15174949086815,0.0744930847674836,-0.0581138465878484,-0.149921479660235,-0.159097332210463,0.186982677486902,-0.154856046402085,-0.152882200592029,-0.140848361184255,-0.170023582252712,0.157961741836794,0.0308137237468519,0.0009207293955276,-0.10223281387968,0.118524499419029,-0.100773334711665
moderate,0.155395925890158,-0.0589276408214251,-0.287934989766549,-0.131374904008787,-0.0314356213504124,-0.11299869420369,-0.226699684991811,0.0654350383496362,0.0210127138061789,-0.114433857929757,-0.01337337943012,-0.0700346678620221,0.015934696385104,0.0912622017999093,0.0372448534505714,0.0137757540614352,-0.135175567877473,0.0054729559709078,-0.0578915468015702,0.0751597804658176,0.0582509574065438,0.0614881315451333,-0.0966517084119612,-0.143699795949915,-0.0799353972399491,0.104297652638227,-0.0011699434865346,0.211503639367274,-0.0358229094249173,-0.15733591692574,-0.153887227580545,-0.218808350076633,-0.0863486044027189,-0.0408158250245846,0.0356907124207891
severe,0.200988931692413,0.350533850874261,0.144108217094284,-0.118818774897891,0.166298196578489,0.290763532121032,0.0611533951919649,-0.175797203809804,0.0868840055619393,0.0909603745026698,-0.150264154251012,-0.10232975904635,0.12639086964521,0.140297724989272,-0.105560060298593,0.176469380078964,0.253472351409833,-0.129367441047182,0.174921845518111,-0.14716413157141,0.229940022347674,0.12312505353658,0.156498659143398,-0.366016303761513,0.0653935115269416,0.0677710254817269,-0.172945505141206,0.126105178577911,0.322633108327641,-0.149767656989463,0.102637504214887,0.0946041470786983,-0.0226518449149054,0.0386299335753761,0.0871183519247951
severe,0.0795286436727558,-0.0721354685415617,0.12663286106663,-0.0558002049581048,-0.023082741023886,0.0702478493591291,-0.016075208521361,0.153111540633105,0.0258710387140653,-0.43351432563639,-0.0557938621517122,0.164424570114915,0.354880017664988,-0.0899054749310206,-0.220639594611095,-0.223975910773593,-0.170796553416903,0.0737135587720362,0.0228911882708301,-0.135906044012586,-0.121923961600777,-0.143796495164958,0.113569217020467,-0.0127744120746611,-0.0997127221752316,-0.151887378999336,-0.0734852177419032,0.0003894483125045,-0.157816634415122,-0.0624893285797223,-0.0236561307217755,-0.179934000306057,0.132220873498495,-0.0492024177485406,-0.0211278880936921
