group,ARID3A,ATF3,BARX2,BHLHE40,CEBPA,CEBPD,EBF1,ELF1,ELK1,ETS2,ETV6,GATA3,GTF2B,GTF2I,HNF4A,KLF5,MAF,MAFK,MECOM,MEIS1,NFATC1,NFIC,POU2F1,POU2F2,RARG,RUNX1,TBP,TFAP4,TFDP1,TP73,VEZF1,YY1,ZBTB7A,ZKSCAN1
healthy,-0.338088894001478,-0.385670490081973,-0.175370641266908,0.251621207454715,0.231562960136263,-0.21668963020026,-0.24507239244678,0.179101612184504,0.0718281676322712,0.0407392007921699,0.154495371876664,-0.199158542999457,0.40462419096434,-0.306026241173143,-0.16911961935056,0.122886386154258,0.0369613623499915,0.325748780099221,0.217857105503621,0.448007983986315,-0.41809781437967,-0.0246236181540342,-0.171252091719058,0.131839926454389,0.163071602273836,-0.167459508437685,0.009970670903848,0.114186667728832,0.0611405289225929,-0.373184507591971,0.207310332668389,0.0017533193606402,0.0872960305486506,-0.0245475242517628
healthy,-0.0066039737961821,0.0367590240416634,0.0794564181267982,-0.0804420864516623,-0.0762733260026185,0.0396771006302882,0.0481244807771188,-0.112430273596279,-0.0160687063120797,0.0404985373390965,0.0899756402143268,0.0337052951632863,0.0846154243694037,0.0520741595938866,-0.108059865700086,-0.0867763876354407,0.0472858487076377,0.143182623800687,-0.0242878100851634,-0.0638975224154074,-0.0071286711211573,-0.0297403315814761,-0.0813605654968604,-0.127887111657751,0.0285453336228656,0.0296457570977755,-0.0259222848428219,0.0780656239201561,0.0129350508498345,-0.0384887499523082,-0.114535670372734,-0.0433566291857445,0.0269103812162996,0.0266192542071304
healthy,-0.0268968949682903,0.122906453778248,-0.200581677414957,-0.0675794446147781,-0.240091292538313,-0.0672134192369643,-0.168098417709244,-0.227320589033225,0.0113601050760354,0.374771179924633,0.263234245927872,-0.140639395937386,0.242078254642593,-0.0705544915375852,-0.264751391267404,-0.189924690097307,0.37459069313231,0.365257964505909,0.37861375751079,-0.123924619728829,0.0061560692307453,0.265947747740685,-0.107722600526959,-0.241870671868726,-0.406966487419694,-0.25732847008597,-0.157304572722098,-0.204046289021265,0.13329730344666,0.103981977312038,-0.197702384935405,0.24794361613914,0.114849302927102,0.381371118073392
healthy,-0.0069976218819554,-0.120486837630491,-0.0209659539365074,-0.0045505705093868,-0.193424097056022,-0.188141236093414,-0.0051011113732532,0.135077987080097,0.110390608261959,0.104902211086352,0.144700664002098,-0.180119634497512,0.143317144419099,-0.102114308038745,-0.0079848803596295,-0.128546407262608,0.0320465640059407,-0.182142678042591,0.193661891111383,-0.129132708131661,-0.0477674510714883,-0.171916191804003,-0.118805054786563,-0.153823753985252,-0.160619938592837,-0.16786733974466,0.0858485370548468,-0.0886298621579293,0.054805654102477,-0.0617029072085408,-0.0606701722847478,0.155200017989338,0.0732004517541921,-0.0058637841440887
healthy,-0.195911176459234,0.0663361170571314,-0.0226647231090306,0.277350016540385,-0.217913452029911,-0.1429012975386,-0.0911965856217537,0.141829614648087,0.145707684102538,0.171583343983843,0.0067847110947531,-0.202830080750321,0.0997855292662198,0.0146755522644955,-0.0688888596781606,-0.0275974356500886,0.0772145396650492,-0.219661197381707,0.176221823074776,-0.0497836570854305,-0.230856689869296,-0.177438684161043,-0.137759559318773,-0.226689353625591,-0.112211604243546,-0.0864974024117342,0.0880669051717017,-0.144902627029164,-0.0608481318306406,-0.176370671202615,-0.162344260784705,0.0848835804083249,0.206974440535274,-0.164050607085442
moderate,0.0727878198295508,-0.323338456315566,-0.265025253831115,-0.156248536883715,-0.0983975890048232,-0.174319667865524,0.399413900022037,0.0959048702440047,0.23564400549086,-0.0273162230929904,0.336536473324752,0.149951937934161,-0.110597654482382,-0.405982667571126,0.0608167215865211,0.378690205228889,-0.0894851474041844,0.0307334510649271,0.0126644801513683,0.252617821801529,-0.0521721284489165,-0.395085123248484,0.124925387186463,-0.138356691566679,-0.187178554159418,0.189461746299959,0.130856934601721,0.173181311897629,-0.0970065050516454,0.0410564172329962,-0.149656008583873,0.0589266618675296,-0.0545935649574759,0.0151960801406917
moderate,-0.110723003609926,-0.121269571304945,0.0605795708977197,0.115327809744228,-0.201590731952416,-0.266033137533845,0.105336659343348,0.252796035484316,0.203982496644918,0.159451529037428,0.101558645733499,-0.204732985922818,0.167403676442194,-0.231604271897123,-0.0955878548677826,-0.230242917017002,0.162285396444024,0.161386559586672,0.19334774196041,-0.188731134513759,-0.0810416177148976,-0.0613326842159669,-0.110256570134283,-0.14520755110806,-0.214217916351472,-0.269535255969535,0.222520434965608,0.0773934322793239,-0.0192549333034694,-0.0047768387690401,0.146505667989641,0.235754858021065,0.042982302957204,-0.150605779117574
moderate,0.190816782104093,-0.3434452118351,-0.155882041928467,0.3368891542884,0.0885196059288061,-0.0902958083647636,0.161779265766397,-0.331124359336655,0.101334583708829,0.0934558926613552,0.0030334491741771,-0.0886652777036097,0.0774030286141066,-0.0799034515213888,-0.170390454090582,-0.0202889330440941,-0.151833028733358,-0.102791301456865,0.135611317856223,-0.0830196687494317,0.078909407194462,-0.050531552246075,-0.109240588214079,0.0998439310587084,-0.0456565138733864,-0.0901368937013415,-0.0172058230375976,-0.126333019017881,0.0460355915600912,-0.149103338316868,0.154184469143682,-0.0012026198226683,-0.061629920588924,0.0502542792656249
severe,0.124353642374666,-0.152028835801094,0.109954363063301,-0.0590264500827128,0.0985960031932044,-0.0958030301261272,0.0399747727731079,0.0834703883816326,0.0291572532248953,0.215583948398463,0.160085882835374,0.0030952887176745,0.203929517997356,-0.124917561546789,-0.218440258647234,-0.159921608098001,0.246184321264401,0.189486414801829,0.141225275931958,-0.037862474522197,0.171927321073526,-0.0224708262599816,0.122562913758962,0.20099180509985,0.0862907837904259,-0.129010491911435,0.0005020082115102,-0.218563799646124,-0.0663011284157867,0.0419393274855531,-0.0919734104264226,0.0996597480263928,-0.0093974787574079,0.0607102337266654
severe,-0.107732339077518,-0.201509586582113,-0.0125567806998561,-0.0686917032626309,0.0259349735246015,0.0909373265146681,-0.132291924858119,0.0225652735518003,0.127220819305703,0.0487855126825648,0.0101103734255738,0.121053224079597,-0.0302190516457289,0.0327584249434482,0.0916313879225202,-0.106882909794881,0.0494617449900317,-0.0509784920299434,0.0395844233766358,0.248086837831255,-0.189331037511857,-0.0249734756109715,-0.0166103540231464,-0.101125383877635,0.116516991538736,0.105354701190436,0.0013957638587264,-0.115489271252247,-0.0869932748080297,0.0664656127288227,0.127334161443866,0.0463938662166085,0.14293971830959,0.0003323853714667
