group,ARID3A,ARNT,ATF2,BACH2,CEBPD,CLOCK,E2F3,E2F8,EBF1,EPAS1,ETS2,ETV1,FOSL1,FOXD2,FOXM1,GRHL2,GTF2I,HINFP,JUNB,KLF3,KLF5,MBD2,MECOM,MEF2A,MNT,MYC,NANOG,NFAT5,NFE2,NRF1,PAX5,PAX6,PBX1,PPARG,PRDM1,RFX2,RUNX2,SMAD3,SP4,STAT1,STAT5A,TAL1,TCF4,THAP1,USF2,ZBTB33,ZFX,ZNF143
healthy,-0.537539580234567,0.0793105234018976,0.329641070909627,-0.0632110121296779,-0.0885161225686051,-0.200093813485,-0.5100153026361,0.434589042527503,-0.174535518272704,-0.139032513064611,-0.0622027286688595,0.0690528707359115,-0.214071395228032,0.0161215273394692,0.342893957105697,-0.524001795644447,-0.197856299602752,-0.165299515965509,0.186537944268211,0.225068158723108,0.529219865678612,0.4269085802099,0.414073737195531,0.339740155472209,0.0482445420326902,0.328125369517916,0.121680969015596,0.339333906612248,-0.21425302778284,0.189378279039432,-0.224903038218737,-0.25364108257235,-0.47804744879778,-0.0221911474033194,-0.0041419036993274,-0.238532032230318,-0.4255420114642,-0.0877683625702389,0.10349307650714,-0.18724534147662,-0.119349100559422,-0.340549245943627,-0.0229947338579254,-0.333586140483903,0.171883630553296,-0.15910408980309,-0.238240319339263,0.577976281274853
healthy,-0.144835177178761,-0.0627081954905234,0.0524950650570215,0.11152845604824,-0.0179890576338589,-0.0685619026908895,0.162665568995402,0.164956772844387,0.0736023144028989,0.156439563365428,0.0448426059845123,0.0649496411710152,-0.181558165520746,-0.0477943189392955,0.202408377031916,-0.0321652032428561,-0.150750164661182,0.0531894696955204,0.0116197753109432,0.124748266231697,-0.132230537373427,0.0976927257600934,0.100308600672016,0.0666772479378502,0.144142903342085,-0.058174441100842,-0.064695602242577,0.113420489689073,0.0022311073457215,-0.0068012826628569,-0.0742268760927592,0.0246897980181105,-0.125220436131928,0.162622005935912,0.103964780385017,0.104329660467538,-0.200145978466832,-0.0172106441605284,0.166110917705818,0.121654105229125,0.172416512729806,-0.0510869996450317,-0.0429868748932538,-0.116861458417964,0.0426508395539279,0.0537345603692461,-0.0030013527453976,-0.0626905571865452
healthy,0.135330739013172,-0.223655234746253,0.342051284124678,-0.384106380639836,-0.107994346891222,-0.216778023499362,0.131894178285366,0.20608821793759,0.0226060940861031,-0.2905353643272,0.146813736872516,-0.143211994019149,0.109916094371273,0.17675441719692,0.0331518481105908,-0.0444414897266711,-0.385909524172785,-0.168406471563841,0.278073543088326,0.309902116509413,-0.230781696050559,0.284596760178925,0.342069006553555,0.106723330645843,-0.287512781361117,0.360178375127989,0.13525734998077,-0.0838093661606544,0.0988961517690051,0.0440740901434075,0.113828888572499,0.210910990698476,-0.0157211576779066,-0.129127888906124,0.245299091828571,0.0470982635838766,0.0305727802876934,0.192513519049474,0.198673653558715,0.467007585925843,-0.245991175397291,0.0659067592564559,-0.0833856183419861,-0.181135265289007,0.0689859176685699,0.0183447587836239,0.0258806536371204,0.19807222703002
healthy,-0.046034363047083,-0.12984503479728,0.125717070671944,-0.231105639788461,-0.191900982240312,-0.0766842625550306,-0.182196367749303,0.246222963402825,-0.0459679411218549,-0.206913579030435,0.200923770781148,0.129409724923367,-0.16589918210164,0.120972523837142,0.111094219302743,-0.243231351337793,-0.0811356581830085,0.0991427961396424,-0.215873448436602,0.19478600044795,-0.102274489694656,0.204409630468197,0.233229171051613,-0.129373009996206,-0.0560375623553406,0.224657502488741,-0.148401645580851,0.108344079076421,-0.149203926671446,-0.149311764565393,0.0250568837416301,0.207829659528927,-0.195465066350998,0.0718710702606514,0.0793057637666197,-0.0989181174247455,-0.0266615112748493,-0.0607967793512949,0.102437906555413,0.215363839174167,0.110756667456929,-0.161460743785493,0.128815747755116,-0.0623437092596679,0.164916950477949,0.259145156930552,0.0009140291491338,0.199515620800763
healthy,-0.329609763669912,-0.112753762287045,0.269952098763907,-0.1774196547515,-0.148225246274376,-0.0250431041393718,0.0086861163349415,0.366831052404193,-0.196223392406308,-0.110840779289282,0.365663294971742,0.0284455872240559,-0.248356443798078,-0.253101970523326,-0.0087302541875409,-0.36864053871352,0.040632366912135,0.123371208480864,0.221240968305008,0.357749129101379,0.031580354362194,0.414346640960163,0.287351628958469,-0.122440031023622,0.0626752537495162,0.140707301490014,0.19023051617218,0.234565831719593,-0.329368858302244,-0.126044955041743,-0.267477784354058,0.141311415588822,-0.235708370785972,0.186713776467671,0.0747726167655507,-0.0457039616843134,-0.27661925641585,0.0174350929459007,0.365949150720339,0.263772810823928,0.265111274889181,-0.228314170210574,0.0508947282301125,-0.071431361760258,0.0886777182268089,0.395759502794829,0.299129278498865,0.157660939270973
moderate,0.120689169386387,-0.0928168964854824,-0.0637750677127753,0.0802281055356964,-0.207172042588133,0.176360885701674,-0.0262421776290334,0.020051671274621,0.361007196517142,0.20226462042275,-0.0202166086411572,-0.0348210627326395,0.0533283204842392,0.203656948841562,0.209408336233118,0.0941471056363787,-0.287033858647496,-0.119658846356466,0.121029754338066,0.122398520275945,0.25033422357132,0.014336698626326,0.0245906619199497,0.0907069834200512,0.0021934527705599,0.225970618285823,0.0989838403589611,0.16554142286564,-0.100022731563767,-0.161038846963573,0.0361919707142395,0.0583171403110304,0.230460341925563,-0.183523879905534,0.0053336888659124,-0.102019116311972,-0.119074068420565,-0.162673226322886,0.148437203751459,0.24617009057721,0.238433028656055,-0.166351115392273,-0.200336781073625,-0.0879608833694087,0.159944262622014,0.0601592979113054,-0.141578379756017,0.0313145371609533
moderate,-0.178575248180554,-0.192923622516291,0.340991622789292,-0.123732191226062,-0.213569860488697,-0.105370358098926,-0.0155012495104503,0.362068135452054,-0.0594823190684498,-0.126412025962944,0.358916629096205,0.0135392067301852,0.113006613452175,0.345813622579228,0.191672737831428,-0.0738192373933412,-0.274066901507128,-0.128257165669393,0.291563472079052,0.413835846046701,-0.047416033856408,0.264320601521247,0.452934352884656,0.0607383119626677,0.0921819423215402,0.321960491639679,0.0444557924806872,0.45256398727361,0.0024130363677642,-0.370108416110522,-0.274947979078501,0.377741919841665,-0.360974951406386,0.503184026256141,0.0596129121433367,0.119474560027513,-0.308003664956444,0.475405406701225,-0.0583815203853705,0.435424827893809,0.412254017505118,-0.192256476752689,-0.0853855038299714,-0.393940542093206,0.307516655087523,0.240805266249898,0.429415680249863,0.0648524637768641
moderate,0.32414323578035,0.275639582054892,0.320485596703048,0.513434703958319,-0.34239684745654,-0.277011402564299,-0.138297787309385,0.18173492747279,0.153205836722838,-0.120149573607508,-0.242188076535891,-0.353487513987873,0.262803261574013,-0.266287158678035,-0.254405183917686,-0.349056681958391,-0.269990085947425,-0.257899785503474,-0.0052097889333838,0.453687227270105,-0.193142611348735,0.248113418904254,0.16090812306437,0.315546713500513,0.0907493027261311,-0.269600607495474,-0.272612683980114,0.198937029670881,-0.295661080065834,0.290545984624996,0.191868778018571,-0.296821281204942,-0.144110320908367,-0.152048105848752,-0.412675887359228,-0.184960270171078,-0.513890056144214,0.266180937282049,-0.515001675404538,0.130171438805582,-0.308831709746484,-0.0454471124704052,0.503486946710933,0.115480772714148,0.510842572527579,-0.235602349984729,-0.179169145535628,-0.172221113447768
severe,0.159678292790139,0.0148918012212613,0.356164413076998,0.161314614284271,-0.0238615686367485,-0.0106530765655216,-0.115882254087006,0.149806912145485,-0.007746220022866,0.0093885330873802,0.172244419795845,-0.140602378251786,-0.12117339056412,0.103835310613797,0.109362094050792,-0.124267252823229,-0.141853113200336,-0.0839840568027241,-0.0547999764762138,0.108019402455727,-0.117902272312405,0.113230350675464,0.124399883427824,0.153849246438688,-0.159001030585294,0.0818343715451766,0.0829786111620899,0.22770572390621,-0.106348334148409,-0.0900690226676086,0.124301763409625,0.094399489218237,-0.119147166016711,0.121657676957292,-0.320479414460019,-0.0948379905646157,-0.0223830466378511,-0.192127478322819,0.0118001723790689,0.0464738626360077,0.387949049701128,-0.0544886295679519,0.0530573958772344,-0.204318799314599,0.057269383955461,0.0234863116444069,0.225695648681123,-0.198652642071933
severe,0.0370773327377543,-0.0226683128055717,0.0462035530788742,0.172906969892681,-0.0426977644026332,0.0119326282930276,0.138147367105259,-0.0944240135460711,-0.0341414568477668,-0.152735357422434,0.0009925875252789,-0.0120151323712157,0.125426507542156,0.0072489352389618,-0.0585880498616708,0.135112486321445,0.195045987304338,0.0106785663045677,-0.0511893379884596,-0.118267692142446,-0.0093051907261126,-0.102156549612567,0.0975578992237102,-0.148205248883149,0.0941371532126785,-0.0091363746892046,-0.0229945212377925,0.0319963508148749,-0.104724330384484,0.143964539264278,-0.016970454236547,0.0255546862486463,-0.0182638643238351,0.01070522146829,-0.0350858112196435,0.0039919280907958,0.108491593523906,0.0385027493501434,0.169394834748887,-0.122296429745049,-0.0075192947567168,1.26929351058691e-06,-0.151760540006303,0.0718255118835817,-0.0628312980675628,-0.158952357037289,-0.0008669274677308,-0.0099106437306626
