group,ARID3A,BCL6,CDX2,E2F4,ELF1,ETV6,GATA3,HNF4A,HOXA6,HSF2,IRF1,JUNB,JUND,KLF1,MAF,MBD2,MNT,NANOG,NFATC1,NFYB,NRF1,POU2F1,PPARG,RFX5,STAT1,STAT3,STAT4,TEAD4,TFAP2A,TFDP1,VDR,XBP1,YY1,ZBTB7A,ZEB1,ZFP42
healthy,-0.21037017633937,0.0010943735760382,-0.336298928133369,-0.0584882752030572,0.212961741083777,0.0866390882326942,-0.185034365937385,-0.11410018103588,0.210637934647813,-0.35531711106189,0.475647327724984,-0.0264671613741936,0.27889637222214,-0.0883500139959518,0.10337070437246,0.35622922016744,-0.0578289760968602,-0.0475316891418776,-0.160265017774616,-0.133827753018603,0.0752518859692968,-0.107527383303734,-0.0298601652866745,0.178934406824361,-0.420053254962655,0.014546016000129,0.139964427276761,0.44838082519101,-0.020625257281256,0.0138835698814919,-0.456322311083555,0.146235636316733,-0.0517429162887797,-0.122094641637833,0.035520591662234,0.168264985648339
healthy,-0.0718222126810417,-0.0893288049159281,-0.11113103857058,-0.163261253922303,0.0917146997072661,0.0305635184361103,-0.13911784613641,-0.104202507933587,0.0924426791050485,0.100613595668863,-0.136519686793513,-0.0289882252550032,0.130401044139197,-0.0820895291248227,0.0584009399671493,0.0959142789289685,-0.0655839977653315,0.0177103329017639,0.0068321512711278,-0.116017920419445,0.101378287239739,-0.0480211082455714,0.0567490507618338,0.0644806899197326,0.0851097991663467,-0.0019279837770482,-0.0456930965781177,-0.100238624034824,-0.117716829751422,-0.098984185731522,0.0070809694118795,0.0141272882413791,0.0887308246710336,-0.065707455332301,-0.0763916095599991,0.0839304106942178
healthy,0.0370705821337339,0.424724061747323,0.226624301510599,-0.145710497814501,0.111535901858702,0.214297054439182,-0.0627774994766034,-0.0453261815260506,-0.0229312081020821,0.101847685690406,0.0957135618959104,-0.0499126509436964,0.132259299213003,0.104381018679064,0.117767750664629,0.0669245480386498,-0.1339349756328,0.0796317608887809,0.405188171350119,-0.163026959805223,-0.231496428653969,-0.129858999806341,-0.0436183856969013,-0.156695563610028,0.228738487597078,0.422940409440768,-0.100728973496601,0.138664501710538,-0.125355904174672,-0.0977152161510437,0.102138354955177,0.247057029600128,0.0164635891636793,-0.0737186004068473,0.110913104233399,0.0362511954994202
healthy,0.0105421229642722,-0.0896014747320627,-0.252873553201796,0.0669683598536612,0.253605515069575,0.106557974867784,-0.28520744722509,0.0565611043134883,0.162286303602435,0.171343047181085,0.30017283499575,-0.236054099740883,0.193873185843213,-0.200100203531689,0.0060980096293076,0.234287135928694,-0.0451496223195615,-0.203695436796433,-0.151302320811585,0.0285458698942997,-0.121061934339951,-0.209820763777318,0.0463287745328053,0.234363801470137,0.113987342729731,0.121423656077093,-0.25946120066548,0.138955949999598,-0.173852214872065,0.153093046868183,0.205318856682418,-0.0207552682510957,0.226561928552229,0.0624371944876825,0.187678779029345,0.26390060890626
healthy,-0.228649497566041,0.02345754733626,-0.119418981759031,-0.20375391540945,0.139570621891511,0.168838658264222,-0.20588780468013,-0.152202563541638,0.274567147843327,0.249742047203603,0.175090558533249,0.221371941549949,0.223221581498779,-0.142914615698337,0.193524704460612,0.261991224173451,-0.0173461712955841,0.154010399112375,-0.169059124596669,-0.132505028756001,-0.152981205940695,-0.190664068272669,0.115067381449164,0.152267726850883,0.19755748638905,0.20355133501158,-0.212125197389995,0.123940729210729,-0.13452009407354,-0.0906116228733142,0.267668733877971,0.242736293489388,0.13045477664315,0.214546373538226,0.305279805377343,0.020696978656527
moderate,-0.0583005600972056,-0.0893120897643387,0.189907536005739,0.132078993102859,0.195443010375547,0.25968455052314,-0.0294324175988469,0.129161068628851,-0.0715363513326106,0.263501453199065,0.0703369985524855,-0.0580302229768196,0.273388067887466,-0.23566960299552,-0.0855488254059499,-0.126058628342517,0.0534452195937655,0.423315747533903,0.0980808819152708,0.0686227179240063,-0.343304542030463,0.237158602690344,0.102597228251878,0.569791265063665,0.124241362144367,-0.247457159657428,-0.0673010697798971,0.1801110336908,0.0364418729345687,-0.308248683221047,-0.294841249369524,0.502365754387083,0.278550219567218,0.0218844335550545,-0.412302728177227,0.0673847455552547
moderate,-0.067972584830519,0.137316983466221,-0.180646283434609,0.0462166552141543,0.186477989839417,0.230545583162965,-0.162446299713611,-0.193873028354591,0.233308688138462,0.275294364504996,0.0505272395849983,0.048444118970588,0.234273515286684,-0.237420833174096,0.235951468408153,0.216144013912966,-0.0205813788448468,-0.0755806159930532,0.0275283969282032,-0.0654411291920168,-0.204532289981746,-0.175670514217477,0.201455878457288,0.249239025382473,0.26988511449027,0.248464581271665,-0.17780912617342,0.0382104186224791,0.0231201795290485,-0.125127558696708,0.162950727907933,0.235404761747803,0.195732979945477,-0.133264433149605,0.0590361809524515,0.190113212987808
moderate,0.229720308142855,-0.134063565926994,0.0381374123299341,0.175499201638413,-0.116654301643766,0.14693746315495,-0.0586275527760724,-0.116006392064441,0.162826949738716,0.177391692629042,0.169692807882885,0.113665157576908,0.121583042372199,-0.159054363986654,-0.181005606647392,0.174518246701349,0.0950377571713276,-0.128234858958912,0.164459119916224,0.0923775263858102,0.145292070332966,-0.159316337630335,0.0602779040897345,-0.159075850783928,0.0531087515378974,-0.107666209061198,0.168764743523725,-0.175240533655851,-0.203204773892054,-0.0775012249350183,-0.206124499075413,0.0602093116215152,-0.0829927544689615,0.113401531102667,-0.0184373248912376,0.140317050348867
severe,0.178674740600392,0.296567076939031,0.0018465316966668,0.0273594697676889,0.0643062794306919,0.196781542227145,0.0252378860499508,-0.21564965855529,0.191942048225076,0.225892707822371,0.186802344742218,0.0099782066945607,0.220236264085988,-0.224142648952829,0.236186244320259,0.144235685969597,-0.185089591283834,0.019408894017498,0.197681309112675,-0.101488746428271,-0.176492481742219,0.12564124317158,0.186823775968605,0.13966277919265,0.0778035150369689,0.289596048237727,-0.0178149277083865,0.200560976693657,-0.263153899576177,-0.148220666359139,0.192120412029813,0.252037920919121,0.0660716740119809,-0.0187400459039252,0.0011731604096857,0.0089179102308744
severe,0.053653132393334,0.212052534106855,-0.019128784396761,0.0272917888087485,0.017006047341635,0.068674992583441,-0.121397679752612,-0.168605063878554,0.0934093281257743,-0.224178828421766,-0.0779819870251371,-0.200941848718318,-0.338629946493981,0.416120017806343,-0.145537140479497,-0.106394886063,-0.0328528514531653,-0.0339866726826099,-0.458450191105628,0.0453299693771873,0.126419795983033,0.356455853356907,0.0286963543452241,-0.229207300152352,-0.158016800603585,-0.0541679279067028,-0.0943207068494421,-0.0103162478679057,0.0790891151538885,-0.164187991263846,-0.155437738636608,-0.170668059232129,-0.496935286805058,0.102210424754333,0.0846844974991966,0.031613528920981
