group,AHR,ARID3A,BCL11A,CTCFL,ELF1,ETV1,ETV6,FOSL2,GATA3,HNF4A,HSF2,IRF4,JUNB,MAF,MAX,MBD2,MEF2C,MEIS1,MYC,NANOG,NRF1,PBX3,RBPJ,RFX5,SP4,TCF4,TFAP2A,TFDP1,VDR,VEZF1,ZBTB7A,ZFX,ZNF263
healthy,-0.168383749246416,-0.276558148203971,-0.0864850405656379,0.0946552561005249,0.187150524918091,0.261116246651492,0.154106209688165,-0.237688349108851,-0.267891432129738,-0.0471003714609,-0.12997922259118,-0.334241958751464,0.277136786517533,-0.0008098312179823,-0.201449058156652,0.231475006999918,0.0176375780919667,0.443388627528405,0.179395984253354,0.0201389751009775,0.308412121760284,-0.257304581570094,0.114790557307448,0.228799624865333,-0.172871148412812,0.0322132279106289,-0.0564716879305585,0.136785111326881,-0.0939073562394589,0.0698832381759966,0.104476887012846,-0.294670183470958,0.0288440046417776
healthy,-0.0106852226526522,-0.123090345205113,-0.126745087732832,0.0548568660912306,-0.123625157527134,0.0149254552029589,0.142568386829555,-0.158940892618647,-0.190990136642729,-0.23515983703958,0.104130659528877,0.0817960293336835,0.0065840167206448,0.0820297494957647,0.0891869635260269,0.153580635301122,0.0111939030461334,-0.0780869609454192,-0.0249779996767842,-0.0786492930829275,0.104160399963482,0.131508038161754,-0.218075860746914,0.074370279005896,0.146639931634783,0.0550042200312194,-0.121931221679868,-0.19931147059125,-0.0199145122427027,-0.222552589233199,-0.127717996483539,-0.0557178318460843,-0.0996607911695079
healthy,0.17979137185461,0.18228387795804,0.144579752301211,-0.133410554998742,-0.0416922268401094,0.087002769894184,0.190491824427744,-0.0882487944014186,-0.131084657821536,-0.163529289350524,0.212861986715461,-0.251599590512736,-0.116867362783742,0.221953486146457,0.0211901871353228,0.253850525100365,-0.0067701731433989,-0.244860956507635,0.0928786484857105,-0.0027338490747506,-0.0084780860455567,0.228249429492991,-0.1536339989819,0.197064535140062,0.0757030736933964,0.0959886817752278,0.012289750889955,0.190355383372935,0.194570200680789,-0.121652170025757,-0.0286176542044017,0.0107413620351284,-0.0453912192556619
healthy,-0.223986719804515,-0.0341864296002566,-0.218224213128557,-0.0575934313175975,0.19045435723635,0.162796132875342,0.199497177483049,-0.195409541313503,-0.260163018783717,-0.0392374423708301,0.2080821161059,-0.100496679681757,-0.221185611583705,0.101606939484804,0.110687353941551,0.234719809198701,0.053491056459927,-0.157682343891772,0.248984721212319,-0.180795172658389,-0.177623526901353,-0.037201597966857,0.147295700421971,0.214057770351759,0.0972100329126692,0.104862333467122,-0.168824958962531,0.042608576434172,0.248308640734769,-0.105679018781232,0.0567693494388147,-0.0164518911266017,-0.148621552166649
healthy,-0.275173209852898,-0.329593766813421,-0.266558145706596,0.0798046260006302,0.256438462709231,0.0508499292579435,0.0302404881686184,-0.121666311134027,-0.309155304289196,-0.195003982211666,0.259404644778379,-0.0616426601419896,0.232561385404867,0.221554315443013,0.232951063403137,0.40994535279943,0.212138614119877,-0.0493048807662794,0.14883719109994,0.170771574774294,-0.124662764021124,0.0961327489210078,-0.0875712587583187,0.0529786225321295,0.362147226480426,0.041104536461231,-0.137347940904454,-0.134534991099228,0.318533944029865,-0.323400314892911,0.211600761697331,0.28955227549799,0.142082248511141
moderate,0.156497224158962,-0.0666027734555547,0.0571239066759157,0.0925344938658137,0.0393848222725296,-0.0806641098696926,0.049576566107583,0.142636452543289,0.0366532169195195,-0.0697682091878536,0.0836507813250986,0.0775902363279973,-0.119874527969644,0.249831797166479,-0.108311531327692,-0.145575162851236,0.0361605251319854,0.0489639714514012,0.0308346577118708,0.154216889602499,-0.0219771057970425,0.0838382658106205,0.0566442952013249,0.195714182415385,0.176196175451698,-0.078078568011217,-0.0940845109496047,-0.322274930351255,0.0176758628908264,0.0642788378559468,-0.0632302327683188,0.0013974134327848,-0.199609935620356
moderate,0.119099870950914,-0.0131404045045607,-0.157489112791777,-0.250575421786636,0.162717716157703,0.100943938247936,0.207842100181809,-0.156586403698821,-0.126409696625976,-0.182516510184124,0.216380133262185,-0.215628319791627,0.0856757626208135,0.199403826331861,-0.132572050783985,0.173387792028087,0.0532333686285283,-0.122883812868802,0.1642978210549,-0.101837444713274,-0.241211858067906,0.166659902064817,0.076845552981213,0.227972532184089,-0.157290459652624,0.0824081155828002,0.159892124891694,-0.102715856122267,0.027091409414311,0.157692628214776,-0.190217571150317,0.159732452434897,-0.155775267618293
moderate,0.0514077789690491,0.169012454795807,-0.0298532588624608,0.0777163878877708,0.0081670258928076,-0.12364441472365,0.0448395318543243,-0.179151860103441,0.0521723762810545,-0.0888780175540341,0.145459047025222,-0.100120828733381,-0.0515345215353945,-0.176776058271554,0.14100897469576,0.099280848587798,-0.0645525570263644,-0.102197584379316,0.0341542222903396,-0.0902191692854933,-0.0807814041980851,0.0739099689834751,-0.151872386558858,-0.058783699300681,-0.182486929202178,0.0832541268160008,-0.16629121734192,0.110141775302536,-0.226059035393048,0.139044879108799,0.0169338009230929,-0.0868194863294041,-0.166423758587771
severe,0.213395498679108,0.134136191139944,-0.0869687132123135,-0.0361654337709894,0.029272583449075,-0.0921662518347112,0.177520954928311,-0.191353403441537,0.0448232643623258,-0.201665171925541,0.146803245053058,-0.0443243830137028,-0.0927730676684937,0.212225334328702,-0.0570803355759615,0.14922470267403,0.182146080350268,-0.0453519728372215,0.095005569797049,0.0344807191185059,-0.0690311499720779,-0.120180225518426,0.19090202535263,0.0726832031688995,0.0761717683183138,0.0546610577956224,-0.257132058529883,-0.142460808270697,0.0932524167817498,-0.159978288163773,-0.0508445237526898,0.186527279447236,-0.214087587288509
severe,0.354443416748835,-0.0530752531030483,0.237005194881724,-0.0491429061145821,-0.0657004239897905,0.129783962412295,0.428625821742817,-0.0571282631935507,0.207089636542142,-0.309262070794791,-0.317158518219627,0.114057114734263,-0.11105577883835,0.0552344875605394,0.0927988164313043,-0.100357407170439,-0.129409271727025,0.0091056187210317,-0.0048671684947682,0.0183382512336806,-0.0572971915364015,0.40492885864081,0.355519223563832,-0.414651764389101,0.424262898000768,-0.548135638551203,-0.0114782363484396,-0.335710152623225,-0.0920049802336973,-0.024674969297459,0.0168420287684309,0.0153534271306781,-0.0056825970369502
