group,ARID3A,BCL6,CEBPA,CLOCK,E2F1,E2F3,E2F7,EBF1,ELK3,ETV1,ETV6,ETV7,FOSL1,FOXD2,FOXO3,FOXP1,HES1,HINFP,HSF2,IRF3,IRF4,JUN,JUNB,KLF4,KMT2A,MAFF,MEIS1,MXI1,MYB,NFIC,NRF1,PAX5,PBX1,PRDM1,RFX2,RXRA,SIX5,SMAD3,SREBF1,STAT5B,TCF12,THAP1,TP63,USF1,VDR,ZBTB7A,ZKSCAN1,ZNF384
healthy,-0.160859474348716,-0.184772268948896,0.0127601347177179,-0.412229564727286,0.0660709137866606,-0.114631655860771,-0.387923622015172,-0.0883500061925486,0.104249555786758,0.350012761350822,0.161411297982813,0.420247268384292,-0.0983596777682639,-0.416728868169744,-0.360142816504508,-0.283196466020386,0.332919604646928,0.181215576790157,0.0910456541541679,0.0299568894897997,-0.360322473913898,0.22475351733547,0.382932555590807,-0.192696603207737,-0.147515780892469,-0.113583348320141,0.39812291739671,-0.354661560739779,0.299234758343891,-0.148113502404877,0.363549225895976,-0.0053498566959633,-0.142576906912585,0.120434721320859,0.300770370215391,-0.160258605553224,0.248183203982225,0.110829213347874,-0.250386039867576,0.0582396866523941,-0.0770449653540936,-0.198706340257021,0.230728896544419,0.0549279580270421,0.0118065079432045,0.137555154478149,0.123734647634646,0.344911802292101
healthy,-0.0099328131507713,0.155581038438335,-0.140532587218952,-0.0791671080748362,-0.0378302233490646,0.0760792743601471,-0.0001540890818527,-0.0043037438908183,0.055291701627002,-0.0094556944252308,0.0442209386159329,0.0358284588554862,-0.0794970657547623,0.0650314853543051,-0.0493392841929594,0.0626315180422229,0.0280950981288873,0.0016016903089642,0.0709281599680392,-0.0036824503421798,-0.0028703172665852,-0.0414109430441814,-0.0054809924394335,0.016603476824489,-0.222978886147337,0.0067965229987141,0.091263777877383,-0.0786598085937286,-0.0091482727712294,0.0563602516760157,-0.0082036310485015,-0.0054558683539945,-0.0321608599932885,0.020613376419681,0.122791678146069,-0.004375253966014,0.0696226233001139,-0.0153956493573045,0.0701291662715173,0.0275506500396741,-0.0043054161754275,-0.0085276560996947,-0.0939571116894888,0.0164777767646933,-0.0081799005335702,0.00469255006247,0.118184573863871,0.0390992484696878
healthy,-0.0913805095156891,0.248282284321597,0.0354754998172648,-0.191995433868921,-0.0767264268366438,0.148522783922917,-0.281947186338294,0.134280283938239,-0.225543427182549,0.123898974133012,0.34201103440148,-0.149767827292981,0.193586627665099,-0.0576206620747773,0.0405686926699611,-0.428396499466854,0.225452371088965,-0.473553229575858,0.272715059342299,0.405804064186835,-0.22799736602623,-0.129299424105517,-0.13939498250148,0.375806343386375,-0.176484554530396,-0.216685591063699,-0.197127748812077,-0.159777820415074,-0.0504880872667788,0.0225796233673531,0.0155614406367218,0.165335673886036,0.488168647732753,0.0118798460187364,0.0394689272381531,-0.165171864431246,-0.15573726345831,0.108065966704621,0.0662389611836207,0.221780842973788,0.0081872697613238,0.447948164546297,0.24553229878169,-0.370491001119432,0.133901417377999,0.0930346189544186,0.395495507742815,-0.0111399580623255
healthy,0.0113734604319713,-0.0276148742512113,-0.190564277384396,-0.100896093277951,-0.134698757182706,-0.177739349704493,-0.176030245711999,0.0076815417437802,-0.0550373728457674,0.133996558325574,0.169406729092836,0.0705798047960356,-0.0494442035648877,0.0884707412571889,-0.16920481974547,0.0463818583238426,0.179632260131826,0.0148406814005572,0.162998536136093,0.185095459874825,-0.0580847019454179,-0.119599392594719,-0.136170434348821,0.139320765902597,-0.124609111143122,-0.177085341737911,-0.141132469147091,-0.150503656458636,-0.059074679259271,-0.174348229214791,-0.162161906631188,0.0748603887811491,-0.153238071292831,0.123798761552593,-0.043005767311014,-0.141109785497583,0.148142838594141,-0.0688906902941042,-0.0938009925516662,-0.049272273550615,0.0015017067033642,-0.0824564850131378,0.0277329312842876,0.218869047729069,0.144426252015635,0.0955914755193448,-0.0042727642956533,0.1780792781201
healthy,-0.221329024376962,-0.0251401672854085,-0.274283519740024,-0.115735207612126,-0.0715434355241277,-0.110007986031831,-0.0882743227660519,-0.0826130130172694,0.0864171353255643,0.132818240580564,0.05458665265025,-0.0475781191525559,-0.10691898292763,-0.0173944484425243,-0.109522210116009,-0.0175746362504185,0.0753682095504147,0.0912802213837048,0.17623007381854,0.0706452640201873,-0.0578202634069484,-0.277336840029087,0.164991887680843,0.0591163440688218,-0.198260081538025,-0.15996328560286,-0.104452993277807,-0.0116458037703467,-0.156699229103668,-0.225309801287049,0.0976342619579619,-0.114535324831328,-0.160858725217014,-0.0705163504756676,-0.0910197493804928,-0.0445360087369297,0.248570759191595,-0.05739451777495,-0.179480272678464,0.0871421269747955,0.166754487002035,-0.104701004954898,-0.113688320653531,0.279643861069245,0.175290299454369,0.279107646426277,-0.180689119650854,0.154362612115542
moderate,0.0052144939191226,-0.0543233626377021,-0.178313393211314,-0.0290485047764284,-0.156228982287399,0.0522478568343671,-0.263837954661135,0.372958529918499,-0.119408051336291,-0.0992061756348216,0.282228051019818,0.122034595353941,0.413237922502643,-0.072346814892696,0.204049236349155,-0.163458946718024,0.411235316696533,-0.0339885516471761,0.411192434345224,0.190419080985725,0.0759918147539248,-0.0749154677360796,-0.112126628084095,0.138878782947949,-0.157099494018963,-0.351056368987645,0.311836170480823,-0.0281994342205186,0.361009362726365,-0.335018369598238,-0.172676508131802,0.127021812811128,0.299957759168348,-0.034593192800627,-0.350994189578248,-0.357838212847096,0.355876345274729,-0.259716960700381,-0.364204097898854,-0.191748433876291,-0.357735295203955,0.0908419730120842,0.349478298459489,0.0179977228442087,-0.381968111928431,-0.0421619278065904,-0.148027732599634,-0.387358423487919
moderate,-0.0808835001076997,0.103957748126139,-0.153899855902784,-0.206456117111957,-0.171339584323457,-0.120959810498545,-0.118064341346767,0.0736674804531313,-0.0459214577999918,0.164765143929432,0.094052483666995,0.0783370533557426,0.0872291654948048,0.0979949379661082,-0.185343051695128,0.0549943581267208,0.140007186253993,-0.144798907423793,0.194360375380807,0.126634207430293,-0.258134912869279,0.0339583943590653,0.0303234714339499,-0.1646866747448,-0.200559153784272,-0.17322996961436,-0.152319313120804,-0.069446951493805,-0.127701199621392,-0.0760492485851275,-0.0850479737885657,-0.0599197285369197,-0.214979432288462,-0.125451002075897,-0.0479879953333566,-0.0689364641823516,0.212633356831943,0.236447222727975,-0.0363937562056959,-0.267540096961812,-0.084039402712271,-0.178473182615917,0.123332169986584,0.139005425504283,-0.0044166061934236,-0.0888439787153851,-0.150516874035262,-0.0119901679937219
moderate,-0.0426894457468171,0.0783206136277847,-0.0772764161273772,0.10223522257164,0.1041006896934,0.10607223402155,0.0345985725750091,-0.0537181602987398,-0.104303728096257,0.0473618151970531,-0.082492431260365,-0.0213273195817351,-0.0792429880864779,0.0790358060427463,-0.0933993227705735,0.0529847358639298,-0.036235310720489,0.0945388240110975,-0.0452817074779874,-0.0241416804637857,-0.150472174721416,0.109589356395939,0.016803292474811,-0.096181363253802,0.101045997640621,-0.138133240924934,0.108710075802342,-0.101796825367104,-0.0796672969120403,0.128100657639273,0.142449257259952,-0.0889299917231945,0.154712776792515,0.0473750748478519,0.136339873154393,-0.11595150259485,-0.102344614690731,0.0091980540135099,-0.139556995929458,0.0860385591208758,0.0694631668941696,-0.121407848898567,0.0803501689281798,-0.0089842421443788,0.0188104721144831,-0.0407659676528126,-0.075428352297291,-0.0758219981803811
severe,0.281962998599148,0.367393833634867,0.420143469321457,-0.123831407388483,-0.204452507239225,-0.265228577388683,-0.204313642705067,0.233675872373637,-0.327834482889643,-0.0589040388668639,0.173728675399554,-0.211670887475425,-0.0359079003075325,-0.0866743916213684,-0.143190561460049,0.235251609236747,0.196441461628134,-0.154335459810877,0.103677827989661,0.133826863679518,0.108127674378847,0.283017617859573,-0.041510730124075,0.145449395931917,-0.117777493195679,-0.175738197594948,-0.101067410838651,-0.249177361101144,-0.0628050162093668,0.27052835199312,-0.128115539238528,0.39325193375639,0.202346209126595,-0.4187694187068,-0.230212436359319,-0.163237663740793,-0.0124966920069193,-0.364974392778284,-0.0944141255514243,0.375634853509252,0.0843139091690097,-0.187132257982414,0.383634094561798,-0.0825373874964634,0.110564822073248,-0.0012114696492397,-0.0358880257235092,-0.079824957496789
severe,0.385706303182792,-0.157705876306637,-0.362174390956308,-0.0831413454443632,-0.367244992553957,-0.213806554885141,-0.123919657240195,0.155154054750728,-0.284562415825571,-0.297265607196524,-0.0745721558270827,-0.18481135537337,0.023191330465038,0.0869995776374617,0.0287359507082821,-0.119947050574969,-0.0211351316216805,0.270208419573579,0.140088395116609,0.214522030749671,-0.285135559013677,-0.0740943246990837,-0.217363600968304,0.213082183228334,-0.0202874897004695,-0.21586783703837,-0.18860223371066,-0.164940697082431,0.147872213358615,-0.0075169444737081,-0.187116636400471,0.246526549705861,0.0731196000310644,-0.0865204756819946,0.0346910482237168,0.0014716182080395,-0.0031529229483127,-0.10901793434946,-0.362836492067179,0.0835251353397241,0.138485881679357,-0.129175799648185,0.222485035664676,0.0303842139343851,0.199521183316425,-0.363718446330028,-0.130554647451054,0.147870942531147
