group,BACH2,BARX2,CDX2,CLOCK,CTCFL,E2F3,EBF1,EGR2,ELK3,ELK4,ESRRA,FOSL2,FOXP3,GATA2,GRHL2,HNF4A,IRF1,KMT2A,MAFK,NFE2,NFIC,NR2F2,NR5A2,PAX6,POU2F2,RUNX3,SP2,STAT1,STAT5A,TBP,TCF7L2,TFAP4,TFDP1,VEZF1,ZFP42,ZNF143
healthy,0.609581814217105,-0.0588886150895391,-0.306812936841428,-0.0269611038282134,0.539199793783347,0.0354871855132718,0.0097587969580888,-0.203424281898941,-0.0847835939592182,-0.490804246337446,0.183300808558704,-0.544775794437338,0.552931557525205,0.358671599821956,-0.0258814500384063,-0.528216770230674,0.027824826860059,0.151669870500574,0.513589716184,0.0458006645535441,0.0901919432139076,-0.259153516979487,0.150834000944878,0.07343714886059,0.156409736327667,0.383113423050219,0.264630571475345,-0.0951434954597401,0.243841002148326,0.113727600018097,-0.161358901132687,-0.0364437534656169,0.234682779190268,0.337635063006408,-0.125600608451557,0.009745268126816
healthy,-0.0860473541584701,0.0330722220371214,0.0644972810778726,-0.128891836468974,0.110181634171939,0.0508424742092675,0.109891540061595,-0.0141264166620179,-0.0082245131381194,-0.0192726708413014,-0.279566079634677,-0.0699718134538205,-0.0052677893631217,0.164398838919349,-0.54128937347869,-0.13786166583744,-0.591558036936233,0.0836632302233692,0.126462424431493,-0.0006486451027168,-0.332784120668792,-0.155144122361401,-0.0301368103103026,-0.0807650338534082,-0.0946299742879588,0.123806975519387,-0.0813717410431367,0.0657163463791952,0.013675594188325,0.210174777311365,0.0205237042148923,-0.498728042717381,-0.0569347330725818,-0.003774977261138,0.0302012711832981,-0.260653977972129
healthy,0.0086269128717561,0.140414770110377,-0.277245000216654,0.004563203764587,-0.0263477591111424,-0.290192611963194,0.0260036264496005,0.0889925193730907,0.165515427967405,-0.03236435682512,0.117517682697112,-0.116765403559186,-0.0355547679765229,-0.0929954854442782,0.0232935525365752,-0.009455588058782,0.136893309412874,0.0038127936431528,0.118613627242457,0.0481823106488519,0.121744229866124,-0.0808235155418112,-0.148895198814593,-0.008096345815163,0.0192793723664373,-0.298410210223259,0.151372112920273,-0.101686879384999,-0.129362574713524,0.0063513852930608,0.0673549154481985,0.179085422205694,0.064295101824156,0.0257379924807118,-0.066240747992059,-0.0175823053919359
healthy,-0.167972020833194,0.050558263350814,-0.274176851420391,-0.0900997967012571,0.0184450620191793,-0.0655668327122775,0.0575228917899073,-0.2091021116791,0.106889917605029,-0.115932252839663,-0.0258929672977784,-0.101204067830538,-0.0822368281938922,-0.0257886047325995,-0.113718477581277,0.0983156397194202,0.065114317816944,-0.176621223368314,-0.292583617564062,0.0711665156608371,-0.141967542342457,0.16438021826436,-0.186912162931411,0.168567152743049,-0.211241668945957,0.0252917308603863,0.0329954479379973,0.0666370181667371,-0.107553596545925,0.203189175330342,0.0738901927171158,0.010592630236838,0.145174897629629,0.0373744739362034,0.181820428315845,0.122293375652778
healthy,-0.050806920768031,-0.063485233695417,-0.0635272314581815,-0.0559176542402886,0.0534456291705166,-0.0967321364207365,-0.0182525280546756,-0.0081863616205274,0.100956890714695,0.0570562141411808,-0.0890001964750677,0.033592589709806,0.007588204382806,-0.0712418336859834,-0.0889406490126957,0.0106248338620943,-0.0143388883146825,-0.080504766969354,-0.17041254386067,-0.0550267099122022,-0.0893703703362694,-0.0147045851812326,0.012731841302584,0.0437162688801808,-0.133252423866009,-0.0029065756956789,-0.0310761708864674,0.0463980588394012,0.0415140473030231,0.0520460451053015,-0.0882323523323624,-0.0707033343799919,-0.0126890030770023,-0.0977283446113975,0.0340211451338056,0.0615990097164073
moderate,0.0766083497894443,-0.0670212701712801,-0.18999395943171,0.0315932191620072,-0.358454907924109,-0.101813200903645,-0.0336623078918778,-0.0690835675814684,-0.0367478308008643,-0.166996287214253,0.0685198880478385,0.0850182673293452,0.145098808785326,0.11563580023033,0.0980870301712962,-0.0545614623275077,-0.0117331366377675,0.177885036438189,-0.0584823175574157,0.131894219549729,-0.0556684474357207,0.294222606369022,-0.17825403147426,0.465904904164054,0.0060035265991432,0.0320754028594497,-0.0053130757647772,0.166068140191006,-0.109650383817006,-0.0949154838796673,0.106657675610345,-0.158423378001977,0.232288034639776,0.16609983301619,-0.158301134247695,0.0640285619646182
moderate,-0.0754905969825039,0.058759642503901,-0.0452231301828921,-0.129555524527253,-0.134918044977502,-0.149660593867363,0.059828878256457,-0.0239548532324213,-0.0811973231686506,-0.0407309262229259,-0.0451154782434577,-0.118718252580498,0.135198400792656,0.109821920918337,0.0492155532526967,-0.129253704148873,-0.141140822192736,-0.113448974192904,0.126823643707186,0.0680578480284934,-0.0073941699790383,0.0968835687356108,0.0754195492782248,0.115683048862625,0.0595441865995318,0.0967985547555258,-0.111637722799322,0.108015277250996,0.0390905899914616,0.0879803970326356,0.112266419856221,0.0321559047625547,-0.144487719988072,0.0263431865631964,0.0852873813817173,-0.0915917525566289
moderate,0.251477362861453,-0.305643254952046,-0.120262064058774,-0.0112571855263932,0.0479641108044298,0.0772796981127453,-0.0076571890719539,-0.0842036800046559,-0.227119813943823,-0.0278542529055963,0.0662087776898274,-0.0654103777235677,-0.267415729102003,0.252397681804533,0.052606345178769,-0.10197252421663,0.149126381820943,-0.0268983742609439,-0.0550819777358669,-0.0427419146306337,0.0448484036190262,-0.114728297166438,-0.0760926814078715,-0.0758302169438837,-0.0755237261827108,-0.14362224801325,0.115741748661255,-0.081093899436181,-0.124491128567223,0.102121536299411,-0.15061988928699,-0.111704029213649,0.0772644582406428,0.249706997718877,-0.0042959506137875,-0.213326883031483
severe,0.0653611180334893,0.0138923216666346,0.054853922954599,0.0492289955512492,-0.157637967297332,-0.131584418251951,-0.0343464904313861,0.415274589872712,-0.269323922048414,0.134233570754053,-0.0628308017140223,-0.156444757273509,0.229152510533736,0.47075479367805,-0.142856145291967,-0.204066719261067,0.218330979583526,-0.0718064312893195,0.149873877917099,-0.196288904390291,0.0468481985271477,-0.214015264736974,0.0132906581473213,0.186432784596669,0.294999732311322,0.16783084864279,-0.142040696188505,0.191212509575121,0.476155198621584,-0.0748283415491011,0.120665170664231,-0.174863302963424,-0.235296814926805,-0.168253638027287,-0.0786459539162738,-0.0992667102880174
severe,0.0668471749121408,0.0631183339846815,-0.139360435104998,-0.45706979795748,-0.0259691278971485,0.0324536763610434,-0.546194638472873,0.536623130444075,-0.517740475903017,0.319359178402828,-0.631122760682075,0.319758743106427,-0.0018495979021445,-0.0907230993297891,-0.299976423523072,-0.470683354084624,0.0995676573817165,-0.480632515204243,-0.255564162258825,-0.130657658076928,-0.474752469469342,0.546314507883953,0.346322062385379,0.503048095076156,-0.0896172073436985,0.701566017926609,-0.476228281035861,-0.0144784203726757,-0.0607209457630864,-0.60963649097563,-0.061101176690705,-0.11497538791986,0.524188934651748,0.16917311766709,0.480571936039504,0.523745546722593
