group,ARID3A,BHLHE40,E2F1,E2F4,ETV4,FOSL2,FOXH1,FOXO3,GATA3,GRHL2,HNF4A,HOXA1,HSF1,JUNB,JUND,KLF3,MAF,MBD2,MITF,NR3C1,NRF1,PAX5,POU2F1,RUNX1,SPDEF,SREBF1,STAT4,TBX21,TEAD4,TFAP2A,TFAP4,TFDP1,THAP1,ZBTB7A
healthy,-0.289950803034298,-0.0725734530056135,-0.0642277764300734,-0.0758270482163949,-0.27045943547071,-0.479224265790649,-0.164870973393732,-0.164225402112807,-0.197852627073446,-0.146150719451299,-0.0772450463228696,0.20023241607933,0.0030849797663737,0.0743276314373869,0.314134249903714,0.0188586656857401,0.12046916900727,0.319683589039055,-0.309546701667783,0.115024886223585,0.148093211393415,0.0642233115351281,-0.0554088209903239,-0.385432581441105,-0.16294555310876,0.0233288134486961,0.145531149617408,0.072589474099241,0.414328068323165,0.0191919569613682,0.177145494880321,0.0312826298325599,-0.4234078261559,-0.0234619723744199
healthy,0.0623862557742245,-0.0498382872625174,-0.0691609563533974,0.0823731889563131,-0.0206045203279029,-0.0284073034324781,0.0289000882442606,0.001113861822673,-0.0303864931638179,0.118250469269281,-0.0428954782963216,0.0821489254676095,0.088541684108727,-0.154196634759947,0.158500114289594,-0.0407304135921165,0.0688927126332222,-0.0011206036074793,0.0049924502792922,-0.0394869905284895,0.0278838633286058,0.0387319899452999,-0.134418895194642,0.0155612687172173,-0.111196063935763,0.102544331493844,-0.0153477127690885,-0.0469668024832855,0.128285457323221,-0.207354259600623,0.0014652674413117,0.0397135144979811,0.0377733478034024,0.0729936213582185
healthy,0.354564068068256,0.162717483010001,-0.210105208551121,-0.0999649363190459,-0.343246826244858,-0.196857775909616,0.12432141042604,-0.0805495680745122,-0.306396504344445,-0.291277779670294,-0.185249921086638,0.0033930722802509,0.1754170199728,0.011934081041674,0.205321622696288,0.155302856448051,0.242476254988248,0.335061264804995,0.20774788739349,0.43098410075439,0.191098935746687,-0.020245658487639,-0.124157041722429,-0.150540729840634,-0.301163187453341,0.508237619741755,0.0115103750501416,0.0779561951953054,0.0448920607246151,0.0481155136343334,-0.0454705472453818,0.242568027514431,0.223011576132631,0.329797813651563
healthy,-0.0338091471877431,0.0210604794332247,-0.100958217424373,0.0357104414299516,-0.0491924587742184,-0.120103186046657,0.10051547526785,-0.139045801658418,-0.170606167542482,-0.134984356391807,-0.0018640208167276,0.0888629886957522,0.121575677816138,-0.0905338738247814,0.127854304156576,0.120774293473504,0.017187976520306,0.13945808215166,-0.155229440711832,-0.0334546724144949,-0.111051313951363,0.0394627633195585,-0.0687875621844758,-0.154668305698123,-0.08242713530564,-0.0567835609551174,-0.141617258383986,-0.0327907475007424,0.0495264362072227,-0.0614940182305874,-0.0451120082040676,0.0672906138165215,-0.0490730231801418,0.151998790859353
healthy,-0.17328890355572,0.254007637068731,-0.0325605628621855,-0.0893940315402713,-0.0953961256894015,-0.0664758227656906,-0.0366583214205583,-0.0569917728646535,-0.195273165993537,-0.180491875484215,-0.0706087185589014,0.181587707556801,0.0579771244545835,0.151115723835153,0.13782041607814,0.17983110288474,0.0757931272943261,0.201280141564826,-0.141572600156999,0.0804335370406352,0.0156448708769755,-0.0989345002824821,-0.12777641142963,-0.092793401065394,-0.141538223965068,-0.165821190361538,-0.179911087913343,-0.175893089265919,0.0489479705228915,-0.071872160165205,-0.119316879233179,-0.0359246629866218,-0.068058983725869,0.207314487085709
moderate,0.250536007023281,-0.35293600893333,-0.280932851771728,0.175541939570462,-0.142121954894041,0.0449152217870592,0.149438082438288,0.224354798762885,0.170135955164787,0.405210331113648,-0.234943308759375,-0.0205754001068159,-0.489295304774898,-0.192223999556816,-0.0666014700408282,0.136382930908524,0.0401903570382196,0.207219375219458,-0.22169692805151,-0.126050109363654,-0.118957440634268,-0.0325626763386377,-0.0217034373933737,-0.0407919769243838,-0.0304484121672606,-0.0295330904833108,0.103177810477161,0.254942872689434,0.0756042819087854,0.286882442717402,0.417060094228632,-0.115573328774595,-0.102301164357322,-0.11288322842646
moderate,0.0457211335176327,-0.0061454873923889,-0.185288672673329,0.113206233453033,-0.11324951471829,-0.123001956952482,0.126840969547083,-0.098490452507506,-0.0422303720155548,0.20423253162135,-0.0899535998306275,0.038258788275028,-0.0236682187415941,0.0385221762914037,0.06499269934772,0.0844468879959053,0.0840421300456698,0.113884014229485,-0.138393860335925,-0.0945631094016374,-0.133559721272335,0.024392638576206,-0.0706139735941856,-0.158762204675664,-0.122560112522264,0.0924734657937277,-0.126821699927403,0.0920257280943324,-0.175003807832198,0.220452507850532,0.133242348169244,-0.0488240630867624,-0.11141981910219,-0.0583661430218934
moderate,0.0854518778152086,0.0372756330991514,-0.0776887601766349,0.119173768390397,0.0563630145305201,0.015295077487973,0.16571381081938,-0.003081555438603,0.148980783810136,-0.0945410678955945,0.0249337814586383,-0.0922434746387823,-0.0091377249898566,0.0320618321461705,-0.0455282129603543,0.0408121004858451,0.0025131211598858,0.0780721036988957,0.119396699923729,0.159906896820154,-0.0810294426742769,-0.0172529263784897,-0.0415179132371322,0.0413188378457435,-0.252875104598661,0.0320922692927878,0.042216322358161,0.0011771772110627,-0.0334191643601842,0.04334825516209,-0.0465063147800283,-0.014678108299785,0.0160815075465167,-0.0453702688481782
severe,0.18243912928751,-0.105663975082246,-0.0784565884697857,0.177919922192305,-0.196607161626731,-0.185166562654191,0.147967987278677,-0.105173260521222,0.079853422119163,-0.115257328057539,-0.20134400067297,0.0132481694398406,0.0563430990633236,-0.0854916044955207,0.100305660782329,0.0301392051437598,0.203866098045338,0.130962506255259,-0.147616288340828,0.0155016142041998,0.017531613990534,0.170381031258194,0.134702875782476,-0.0504724388268505,-0.115571145075999,-0.071631662586832,-0.0015729532403738,0.109669388386588,0.0550195873491919,-0.147514527953834,-0.194899363447975,-0.11063441569642,-0.155210176128815,-0.0425611035797545
severe,-0.203847294285946,0.0624732457749687,-0.472429148351243,0.512343881330821,-0.165706041278343,0.0873947046648247,0.42556023960763,-0.469123564621243,0.0601801717424362,0.260001564859909,0.196523431794229,0.444968157610399,-0.212060437565904,0.12385013537815,-0.0935853693520995,0.553405786527228,-0.300613748057692,0.532355239868467,0.0092904434348533,-0.204060721675124,0.340594541895825,-0.500452926790929,-0.129652057320852,-0.0866604128139639,-0.604975179437252,0.367702361123625,0.100022491857829,0.437364806870949,-0.224418899720184,0.141465517392054,0.0808343532498675,-0.280141233911287,-0.193255960098011,0.279400590054796
