group,AHR,ARID3A,ARNT,BARX2,BATF,BHLHE40,CDX2,CEBPA,CTCFL,CUX1,E2F2,EBF1,EGR1,ELF1,ELK4,ESR2,ETV4,FOXK1,HES1,IRF3,IRF4,JUND,KMT2A,MAFK,MYB,MYBL2,MYC,NR2C2,NR5A2,PAX6,PBX1,POU2F1,RUNX1,RXRA,SETDB1,SIX5,SP1,SREBF1,STAT3,TBP,TFAP2A,TFAP4,TP63,USF1,VEZF1,ZBTB7A,ZKSCAN1,ZNF143,ZNF384
healthy,-0.201254911215265,0.0975837998059201,0.584349948534007,0.0147274005904048,0.0431050727735957,0.502921773635208,-0.0009380009271406,0.582740412306235,-0.0498487230145863,0.0906268722591495,-0.530261618535604,0.0468366395904497,0.597660915322143,-0.139269818662925,-0.421090101130879,-0.495118811173986,-0.220169778514486,0.610819915479625,-0.0172479505678051,-0.0584052303547071,-0.0114223883851109,0.409605878047778,-0.132054285832611,0.300357853304861,0.40340904566571,-0.476579406257053,-0.20227465970924,0.0459138353263744,-0.654422023940033,0.443366313093309,-0.285982072056418,-0.540275171449979,-0.494516184880013,0.187063061992199,0.591306614069346,-0.18745450707185,-0.333031726941216,-0.238168391835435,0.40082194478454,0.389984365916015,-0.383450848843619,-0.0795118232839649,0.171461067241237,-0.147474968672517,0.251234115923068,-0.185422870426864,0.280911102798351,-0.0579844399946546,-0.258594541075368
healthy,0.0219217373035152,0.0613094877407249,0.0556532224564178,-0.172568563614051,0.0093078586295118,0.03221949851492,0.0739216718484229,-0.0314192297251393,-0.136488961281344,-0.019279987250679,-0.0588721496745234,-0.401264355347763,-0.0448535149419926,-0.265484077458679,0.0224003931719682,0.0207064179945062,-0.0098585926787158,0.0917953661083439,0.120993728760647,0.107012059218682,-0.07847591731506,0.137896672978776,0.212492427540017,0.113835959504338,-0.0549722432528225,-0.0192855044433007,0.145177396813512,0.108236245444404,-0.127736683948839,-0.0244889264389207,0.0636320682003945,-0.107714319022389,-0.013591564615091,-0.0231049780782807,0.0529846746108475,0.145437453628588,0.131842736331999,0.0429894920062254,0.137142472747387,0.0565645444519699,-0.179063048091673,-0.333714765117797,0.0586695110712314,-0.0863780346730761,-0.104785753770261,-0.110273153551825,-0.153596829796851,-0.0031935875405644,-0.0145243642533491
healthy,0.349830556875871,0.44476829362942,0.0638041739309867,-0.136875544698377,-0.0835306475492687,0.0963396100684246,-0.241031261897886,-0.266249105310661,-0.474499983137107,0.439972757410406,-0.325859906693722,-0.0372667869255977,0.400855479564882,-0.205807522184778,0.354111702433481,-0.0052008343283299,-0.427135444435926,-0.122958646385148,0.415908664127508,0.40659293131159,-0.461901948005564,0.31838763388481,-0.416496992776398,0.223116268973005,-0.21503094591816,-0.335466855386731,-0.0427216413336332,0.230197759105726,-0.190030834002275,0.197638054978531,0.476264061869206,-0.203707547257997,-0.2669553718537,-0.108590635626798,0.275220096589836,-0.439552263457037,0.117191256557617,0.421173230279407,0.1257853001828,-0.156739234520428,-0.124372313489438,0.0545401523455798,0.33875732263349,0.1604120927086,-0.445383158304493,0.466576371079433,0.393159124757087,0.321590554925527,-0.432370072507003
healthy,-0.436217178311417,-0.160362227569676,-0.0783547894601914,0.163634430589851,-0.339887628371471,0.230664379404537,-0.419872705308412,-0.361750222198893,0.186479392648954,-0.27052513337737,-0.0443269125104584,-0.0212903722706248,0.2355223869787,0.275481437566825,0.0663563786309978,-0.234350067005696,-0.0663002173272468,0.243795742962452,0.206768434042555,0.302617966328772,-0.342234495798402,0.151590975969821,-0.241606733766015,-0.435958014747744,-0.104195557738684,-0.136995570054517,0.304282344677551,-0.0365840386558949,-0.280082353824933,0.258091892997652,-0.0984570734862674,-0.110718976080118,-0.257089526191836,-0.0952258286567392,-0.18947560879348,0.301614997311338,0.458371119701099,-0.24523263665285,0.0235193021687829,0.436436506200658,-0.055478168777535,-0.0031769510058443,-0.20804635907728,0.423657526536606,0.0217889172923896,0.199985258896599,0.0794097132708238,0.403724948786556,0.332051830612125
healthy,-0.173323448674627,-0.189499715172348,-0.0724815500503587,-0.0788286493088911,0.0642006336650126,0.223568895217514,-0.0088936013662741,-0.185335764972672,0.111138021057814,-0.0925114363702662,0.056155409337143,-0.130217683750491,0.0265559265510552,0.109280516320095,0.198109831309923,0.127143728365183,-0.0755862719947847,0.0228732776458597,-0.048947133774197,-0.0580534348383784,0.0821044379539367,0.0935723658571199,-0.0435344152448812,-0.205290135194244,-0.0577880998924065,-0.15635436965006,0.0435612932746184,0.0336820612196548,0.125314625617613,0.0487421325066995,-0.0644915614245771,-0.1066536617556,-0.0297505635893761,0.0725722485685554,-0.142352059842109,0.121754039365203,0.177603507216474,-0.156436043063117,0.136345781606149,0.0066248246030858,-0.0117334058097941,-0.154904317029536,-0.14818216196421,0.176855774467921,-0.108797033446263,0.12248465114763,-0.179090992650712,0.0687088831196082,0.0360660313769249
moderate,-0.100455711806079,0.0823261433526518,0.148814076419272,0.235656550963546,-0.0624898342829501,-0.279537130597278,-0.109177863035799,-0.0476730986192055,-0.157508388717986,-0.144691773174192,0.050549074337721,0.269358789130335,-0.0505169524942529,0.150908420613395,0.177117703427179,-0.215349121522978,0.300472006713591,0.151126849148979,0.23668873286699,-0.0240035828956371,0.0511122773265293,-0.143706703307835,-0.0065271585927292,0.246783557540915,0.168669658595054,-0.256146004183767,0.0413322467185915,-0.0048568227323851,0.14399794135528,-0.0211340315458152,0.138640017864791,-0.0471056127179347,-0.35085833037774,-0.458586427545009,-0.0394113604791958,0.309209148136929,-0.148576374777607,-0.189431076756639,-0.0368844421263676,0.009386002661395,0.374382227077586,0.254936081413133,0.468501369895513,-0.0093710124677766,-0.135147302751687,0.0290873999885306,-0.24870230232408,-0.0765634846344647,-0.135310053425259
moderate,0.198901359727535,0.0736959301394845,-0.225942401375348,0.0096292867934056,0.259205847844973,-0.21300614129243,-0.0431112298584934,0.0150440566968519,-0.24079643674546,-0.061297661892012,-0.156533715869576,0.160170620789426,-0.002604710489953,0.0711918231826671,-0.193265872430156,-0.209442495473023,-0.175475001390344,0.154540338062695,0.214648360450471,0.0012080053713355,-0.0971453820558555,0.0926387143586063,-0.169246629024177,0.111961800097286,-0.046358445957278,-0.120681921971116,0.0606576359477295,0.181308344119494,0.129317421886075,0.136679545932409,-0.162669754792615,-0.185101685898426,-0.146112012758361,-0.170555714787216,-0.265711234165056,0.0584184988598751,-0.27046622255501,0.0530010585484528,0.104781754276416,0.0620295035472643,0.159928131395771,0.1097407018878,0.238238867131002,-0.0540674369253484,-0.0137581462601764,-0.279216018656246,-0.139146267177563,-0.240661417648308,-0.245639834713762
moderate,0.0050181965663501,0.068168581739832,0.039720581372822,-0.0099984327574244,-0.0601044776703742,0.129399492285238,-0.110057030631122,0.0237178075174263,0.0305358210071787,-0.0579324840241591,-0.0301430136456292,0.0797101862747725,-0.0069417973221735,-0.121746350539418,0.0366400143966364,0.0376121300939165,0.0150537644735009,-0.0243359014539821,0.0419627191907423,-0.0127695401525575,-0.0993629327354909,0.0377565445650744,0.0177423493136865,-0.0297815648549597,-0.0021356837220381,0.0072776641208093,0.0334901284742949,0.0561962094680663,-0.0306224696898735,0.0321862721061263,0.0918253225665972,-0.0243623086715653,-0.0375708688164428,-0.0363916215062448,0.0283299931134353,0.0381815357230534,0.058536549126374,-0.143453083392777,0.0059152167386281,-0.0459889946466249,-0.0571666747142475,0.0939684333185807,0.133581735369971,-0.0418843227635423,-0.0511730615484193,0.0188308218134425,0.0084874447763379,-0.0753150349982751,-0.0103293482027635
severe,0.0910717517098646,0.185409791955727,-0.077699384621834,0.407907103805259,0.159135940254168,-0.0524072282568239,0.0073150495991135,-0.0111395267605632,-0.0097704358586658,-0.112512889328582,-0.128563167151836,-0.135483311440496,-0.217737356468552,0.0255659402151262,-0.0247804637899655,-0.0901538248374651,-0.0598940793675267,0.0746962590107327,0.0405097965638429,0.187764719282188,-0.501934369342259,0.123194686396784,-0.0394722930929561,0.373093427447194,-0.421669097925755,0.0317925917279552,0.0699253608583135,-0.209378216279274,-0.112093952833792,0.155826309760707,-0.234038052106438,0.149483321567993,-0.0801199471205135,0.0027140004245562,0.0670168365791214,0.0226747741753342,-0.0048785878972259,-0.138455926030056,0.0646259697582288,0.0149033895508077,-0.220287386972843,-0.43550651134352,-0.0372495372803441,-0.168112188383351,0.247923120220998,-0.0406342652248557,0.426591542734395,-0.0280208115207285,0.15680442187602
severe,0.0049253311231637,0.0483515615933071,-0.0388336576642227,-0.0450493798191385,-0.0797476898461717,-0.0527968062893033,0.0536947457178946,-0.0255271351842364,0.058626427190624,0.0992394528031584,-0.0321696008299679,0.0912570633990624,-0.0015304342453358,-0.0909535166898215,-0.0985917171474561,0.0815905612901404,-0.0476568333508186,0.0699541807459355,0.13357325276512,-0.0367012102800577,-0.0841751535633839,0.14760498516551,0.161185842746735,0.0048135649708073,0.0874519339392896,-0.0158504725160093,-0.05633268092749,-0.087142036880483,-0.0354070090385662,-0.0884972014778053,0.0533708778900434,-0.0948754925816033,0.109911850283289,-0.108292511144033,0.119014441350776,0.0829711272857255,-0.0437780398360836,-0.0024766363306264,0.0006972683823148,0.0719456503697418,-0.1397178510049,0.0409178423916884,0.0221678002639764,-0.137885140120236,-0.076337552129386,-0.0344633470931019,0.0494209604601725,-0.141100957140311,-0.177588795674961
