group,AHR,BARX2,BATF,BCL6,BHLHE40,CTCFL,E2F4,ETV1,FOXA1,FOXD2,FOXM1,FOXP1,FOXP3,GATA2,GMEB2,HNF4A,IRF4,JUN,KLF9,MAFK,MEF2A,NANOG,NFATC1,NFE2,NR3C1,RELA,REST,SP1,SRF,TBP,THAP1,XBP1,ZBTB7B,ZFP42,ZNF143
healthy,0.001771789439092,-0.0717602304432127,0.201190171344118,-0.186580591917286,0.187810205907559,0.0083677320359193,0.03429574932066,0.17363720380434,-0.148834778476087,-0.274598468049875,0.0923957327362817,-0.192926724023887,0.056527832223188,0.130505360613825,-0.153590897020817,-0.0960262593245234,-0.267961547076102,0.209867868026165,0.145954208722332,0.17700320971576,-0.0971823223818168,0.0237858463617169,-0.247773129382786,0.160982240421435,0.110156181595568,0.0284460860116696,0.163005941805981,-0.234067701067794,0.006228975977641,0.0585486441067958,-0.0655856296195957,0.0762166289360512,-0.160132727145524,0.300077299279635,0.0092272272241637
healthy,0.009941404091005,-0.036264908218194,0.0161447652374145,-0.0575357713942122,-0.0265064116286176,0.0212570378479346,-0.0078109925436313,0.0619915792884842,0.0243578444061455,-0.0583076458175954,0.0116856599229387,0.0277274503029025,0.0243897856813733,0.109096696834938,-0.0426133558535733,0.0100745721936959,0.0171234236627386,-0.109934241566718,0.0837914201755194,0.0517463358032729,-0.0109359139700802,-0.0152989173631929,0.0331230229552747,-0.0138755044898903,0.0413469081275654,0.0449100288895392,0.0326697269971296,-0.0053032846146183,-0.0268259832927122,0.0008440601162797,-0.0209926483123118,0.0073926571852379,-0.0114704535946939,0.0219604212781677,-0.0166978578166693
healthy,0.0974195527267,-0.0188772402808064,-0.0783150745277478,0.253844912771286,-0.0599042217482971,-0.141746294487427,-0.144349451444896,0.0326100156768157,-0.0410267523970088,0.0283128825049435,-0.113147532020945,-0.184347677377716,0.126686284718699,-0.0021207345223728,-0.0215161322334674,-0.110411285113433,-0.213409391288324,-0.217016335097925,-0.0223055091144457,0.273477627501734,0.0978978518931198,-0.0135458538826959,0.135020097924407,0.139796217474146,0.120795966344504,0.0656213628380987,-0.0073850032692568,0.10919789877027,-0.140685469085277,-0.009675249948311,0.17553350337125,0.0764864048699272,0.0081056590056345,0.0812691674636433,0.0832032095431847
healthy,0.408021080787391,-0.480617535921286,0.521866428335879,0.518279166620948,-0.42497761447229,-0.534529456761124,-0.433693253035142,-0.55468019381687,0.471943611614812,-0.655157167778413,0.450503261110935,0.567545596745051,0.492397997070053,0.446239696110818,-0.483760953197474,-0.43270789508626,0.691984434688448,0.549461673753777,-0.417846569353898,0.416740833531709,0.460287557238685,0.461647040898001,0.546699031079111,0.128123250027432,-0.530733332091616,-0.175238411462791,0.671244218568969,-0.513361777382036,-0.472361841428445,-0.650420753457572,-0.465537904671906,0.403318224401981,-0.500585138357077,-0.405135914556514,-0.605267571368989
healthy,-0.167606597676859,0.0089493078595271,-0.0268160531271551,-0.0054660778225052,0.311097568944792,0.0308654548122802,-0.11928845759339,0.110790059625316,-0.145324557931959,-0.041974351954912,-0.0339632020290991,-0.009339402127485,0.0637554731874283,-0.0225955204433451,-0.0530520542634632,-0.102597411568271,0.0351718872103963,-0.247191517900823,0.0590284028673962,-0.256790913395234,-0.0355868700713809,0.0837282082829117,-0.244738118446418,-0.176922538632645,0.109876129042119,0.205196428805851,-0.0577786070893582,0.300606911985357,0.137952115082465,0.138974972431584,-0.107391659814716,0.176281074462562,-0.107747826592053,0.0841084543499441,0.0695347355867338
moderate,0.308414959679255,-0.359491121046199,-0.122936823225897,-0.0291280915183506,-0.237316338604856,-0.0023336149804592,0.156881098852855,-0.0939468920764173,0.190756294295378,0.265485942564165,0.193670614576247,0.16851247490717,0.0202534465741618,-0.0201951601685444,-0.25582982803355,-0.158018763140276,0.149329771191757,0.0698012088604719,0.351164800065967,0.253096843236823,0.0899013837754176,0.0016687182052682,0.14098833892118,0.241402863265364,-0.290624653431369,-0.0084148299665404,0.124698367929,-0.157448851618684,-0.0317963136421689,0.0835114667151406,0.0630291920300365,0.191127600286718,-0.150620707138394,-0.234443034683494,-0.156922115212364
moderate,0.0873509395901735,0.259249820184125,0.0377913961169393,0.146825092619212,0.0112558730777542,-0.157826791949671,0.083811251706498,0.205851742781653,0.185647782605038,0.224190261666356,-0.0822916410458288,0.0516927175469232,0.202911320439117,-0.0390556426811719,0.272288904687762,-0.191133992344036,-0.321972121332218,0.0146217152579726,0.178303602041157,0.216791612367589,-0.0312351719564974,-0.103195745432842,0.006069686051286,0.0781972915084112,0.0655682754431743,0.172034840357469,-0.0940532209585805,-0.0894925966117725,0.20969064612959,0.264994882973942,-0.17007467737462,0.186732792689238,0.171421961053152,0.178550346367943,0.0057406708119476
moderate,0.11346745292587,-0.0518880703202937,0.0911526746297593,-0.166330969115756,-0.0784909884230186,0.121355769012674,0.232559090767642,-0.260266240182708,0.142551360267609,-0.144393407535825,-0.0778578625689903,-0.146059309553314,0.15219282012344,0.0877003938902745,0.100188427467761,-0.0007652347920735,0.220053608839848,-0.241019048045484,0.12057059324882,-0.159704750367888,0.215676565534047,-0.164919314488467,0.191048634511407,-0.210267576938608,-0.170282605023575,0.280830367331263,-0.019028672321463,-0.270137021214014,0.0311619227760227,-0.0979134949371449,0.181589136023072,0.214749310346257,-0.17630062413214,0.167139409346687,-0.293074954878263
severe,0.150774244363112,0.142670732514178,0.184764610653576,0.219841147144059,-0.0695104345431059,0.0218192132670669,0.115814942748963,-0.0481365276846549,0.0149687533112343,0.107700934515495,0.0783744689671353,0.195637285162969,0.124951601824496,0.205134478815734,-0.0923174116999296,-0.189658934088746,-0.122442554722218,0.172448499313455,0.0771445524040697,0.190047884651326,0.0626518155419755,0.0278898026730127,0.159342475521542,-0.0674227577642997,0.115999484338498,-0.055390243584876,0.0416588949790762,0.052043931269237,-0.127924264492742,8.1027760199148e-05,-0.152372421708108,0.266662834940055,0.0143130647293022,-0.0109741756299421,-0.037810552494276
severe,0.0585018114972583,-0.0052210378282718,0.333925222912945,-0.0013233748184151,0.103936409009417,-0.171363690823767,-0.0539024165952161,0.0294435006429518,0.0205981192918159,-0.0481143997381132,0.047180028468627,0.11304621107355,0.0519777389054173,0.0679739207883353,-0.0764188573096914,0.0754374496633739,-0.0299901396169369,-0.0147745073387326,-0.0765434401456229,0.0697371492927943,-0.246854533131111,-0.0840692604386273,-0.0516268729593246,-0.401633451734855,0.102321917156019,0.423360444070622,0.0636122502773052,-0.0163470478290107,0.0121582677841713,0.169877595566584,0.0153834377306835,0.0611383911066656,0.0759497647948065,-0.0653716650214806,-0.0727423923962845
