group,AHR,ARNT,BACH1,BHLHE40,E2F4,E2F8,ELK1,ELK4,ESR1,ESR2,FOS,FOXA1,FOXD2,FOXP3,GATA1,GATA6,HINFP,HOXA4,HOXA6,IKZF1,IRF4,JUNB,KLF3,KLF4,MECOM,MYBL2,NFAT5,NFATC1,NFYB,NR2F2,NRF1,PAX5,PBX3,RARG,REST,RFX5,RXRA,SETDB1,SP1,SP4,SPIB,SREBF1,STAT1,STAT2,TFDP1,THAP1,USF1,XBP1,ZBTB7A,ZFP42
healthy,0.220049363175329,0.137342316954197,0.167595688687544,0.0563987298812534,0.20423927466595,0.0708951972096759,-0.0989866219974198,-0.160378107930827,-0.208118570403172,0.299214295641668,-0.325550644982417,-0.212498792286781,0.12964162541613,0.417482906405755,0.166731643483157,0.372133894699221,0.292216787041313,-0.259543931541285,0.196163936480741,0.0458221668427148,0.0030930617595488,0.0086449058851289,-0.225637624002974,0.153371167666627,0.258206731200717,-0.0380533577324402,-0.233696456776456,0.210929730210046,0.242892591015142,-0.0283704448431327,0.0022892744074993,0.409803174120675,-0.26930622760128,0.021262638173934,0.319744145933046,0.0668542532337923,-0.36622888716081,-0.362469059165614,-0.337185388306134,-0.0323568947612501,-0.0586130749593244,-0.291325232817381,0.199515059042692,0.131570662662916,0.264840072780424,0.196073287711573,-0.125829399288466,-0.259008946608793,0.0872853330454691,0.0386805633780747
healthy,0.767420911243378,0.746929123199487,-0.739950358159414,-0.77364357672345,0.776923673944048,-0.732893862521263,-0.754106156448653,0.771139957723708,0.721142588544359,0.768112248444028,-0.769843567439646,-0.719631966109916,0.714418221719292,0.713528419223855,0.701863941786995,0.707875055482137,-0.798133090420291,-0.741321877510381,-0.732715145213107,0.756687900217862,-0.802990543291634,-0.755789071197597,-0.705658787425593,0.200136581480085,-0.719950653678606,0.73701827485891,-0.742673727708994,-0.757424921882594,0.719230778469331,0.723641792824535,-0.708257519981704,0.707086397365335,-0.704566341418636,0.703728372460964,-0.54593048888981,-0.735965403659494,-0.712152090981932,-0.728492978370779,0.713050171076556,-0.739480663531274,0.753578006203399,0.707397713929034,-0.723560908855339,0.722277644478558,0.736106359348503,0.700949542996832,-0.717560477204861,-0.706711658625009,0.83040512403824,-0.748220271004065
healthy,0.244281998538661,-0.234622551930973,-0.0223843547432823,0.25602794548059,0.263331263572598,-0.225469706969486,0.45616484891364,-0.150025519468199,0.392347781468602,-0.232742184495746,-0.011941194935384,-0.264701854597503,-0.251901659198462,0.29840673789047,0.272734914899661,-0.234667452166402,0.0330792279922203,0.276313327602012,-0.07581835612986,0.313427227254575,0.114700826166811,-0.489486039285671,-0.436228237307821,0.7356726695282,-0.231746215637145,0.330391579336332,-0.190656604229346,0.496355775306267,0.121343566552739,-0.225224796594421,0.450146856752996,0.184867421854296,-0.144162183674031,0.0237597079143694,0.219753997706955,0.106191097708737,-0.36671609656704,-0.0637476761721032,0.474545145793463,-0.0815161506519926,0.0943762130316049,-0.0457433620717801,-0.37043873426804,-0.320726009969268,0.243088287229081,0.446756662209261,-0.42128099428737,-0.342340030875422,-0.257956841453098,-0.401289731384893
healthy,0.218611188809663,0.492835697803805,0.389674620833972,0.0125141250459641,0.345543258086759,-0.288794788096384,-0.433343546840124,-0.467026761121465,0.557382716890584,0.603302883578572,-0.553295260867112,0.351212576534702,-0.149347912430959,-0.0532520891570238,0.717811709086655,0.176106610831019,-0.48752731746151,-0.238608366456539,-0.55150743482559,0.30272111004644,-0.164858506184449,-0.080177813604558,-0.501255223031278,0.243203463741188,-0.373167065010905,0.314888022168123,-0.322282126747602,-0.194504739746124,0.512250637889023,0.412473594110034,0.258652869996392,0.0993726431820224,0.244503849370408,0.469097107543092,0.260891012813791,-0.0734951870890332,-0.330869671080017,-0.100138685769989,0.0472161455518155,-0.528588211812541,0.380294701372102,0.572159031125561,-0.431579572834115,-0.234442971940345,0.433740834347175,-0.0741061669598139,-0.0589231504111078,-0.429850177050299,-0.0308537214825763,0.20726679606718
healthy,0.443909620139176,0.46241324688974,0.453438566114581,-0.221921517310155,0.441046495143913,-0.399484766418535,-0.202182370890848,-0.289759062244149,0.329357727086331,-0.410483600589814,-0.333383451755879,0.53799733372537,0.220148398616119,0.0993267363578803,0.551039761628683,0.2416022395037,-0.264164033902033,-0.274550079671123,-0.418269766898582,0.0090603022415424,-0.165538283621324,-0.536239727426804,-0.451450420253147,0.255260772925214,-0.366431199894455,0.342898488749948,-0.393309731557914,0.315189347560705,0.349409270612116,0.441479255770289,0.412508752231417,0.585906284759694,-0.317078832550867,0.18866628116129,0.39995612209976,-0.0073854145793628,-0.232824034931709,0.415763353473971,-0.180005052295912,-0.374767004973977,0.32199093134058,0.135383295360579,-0.45133436785291,-0.221667660372964,0.376126133167411,0.124812938974925,0.0314433810054344,-0.315199423335942,-0.0591862122727802,0.0867282039013172
moderate,-0.275558096509326,0.164226854310725,0.325961984926651,0.21971266029803,-0.241789246607716,0.23549999900005,0.324112458060407,0.132157685348696,-0.135302309152529,0.0364510919888818,0.071425131272083,-0.288031699575993,-0.271101250519142,0.41460013186015,-0.0684068061778662,-0.016268986323438,-0.302063700279958,0.475424734148856,-0.0120989882500094,0.302594582991565,0.0240952250074497,0.118988369051092,0.293224931262922,0.249990100108386,0.0099583321548201,0.0600261375652005,-0.119326592714132,-0.383738292935807,0.47677120683273,0.108180196426482,0.0719667172641659,-0.190826646949546,-0.265295791188989,-0.172860120342623,0.144661257600696,0.119574908821174,-0.188131560925703,0.125442447178087,-0.109798532434445,-0.212509352537718,0.224445650924493,-0.012366570261908,-0.0862063616093645,0.302887852876606,0.127073627122622,-0.305623611366258,-0.229322065509334,-0.216182718397063,0.155009189164841,0.208902347017324
moderate,0.294172250668304,-0.144619259605078,0.318063787455404,0.208266947011884,0.617157528997837,-0.225264747546819,-0.203116370680485,-0.415972311278743,0.239392151553449,-0.342200707785499,0.0813633661972573,0.327681741248104,0.0111998348283932,0.254308440095514,0.369243275891977,0.276689265516172,-0.287256756403615,0.0432941831843707,-0.201689151261976,0.0309873720254312,0.219140098489534,-0.408198192466009,-0.219011701707243,0.468580979805792,-0.269467225635735,0.351893820670273,-0.243334776947995,0.268499484246409,0.458406617263534,0.326993695161198,0.10807625548193,0.570756797239343,0.320646237520094,-0.0205167437794754,-0.15664280812788,0.0198188534854018,-0.52533077814828,-0.235028322080411,-0.251148395131399,-0.164035440085233,0.420792378225907,0.438576462682766,-0.172100214901315,0.272691741306547,0.0009851832003666,0.168623902656282,-0.0809086264586613,-0.315637877985199,0.23531863768932,0.0095363408220689
moderate,-0.392078998721811,-0.494364478624293,-0.60004906462413,-0.616547385442404,0.0207858296456178,-0.604528060811407,-0.41950853573953,0.25426644979551,0.623299574923994,-0.379183598873266,0.380589757125823,-0.342360497374707,0.529649106570085,0.0021129356325669,0.631340400372861,0.365630731694479,0.455730054630916,-0.289540393897185,0.372081308038321,0.708499122581799,0.155881394829691,-0.162956565137264,-0.45363766485242,-0.288199982377653,-0.101649380260473,-0.399261829304711,-0.493730844484772,-0.36028634413377,-0.293194268585008,-0.119934368548681,0.127428674279283,-0.219074689110116,-0.422048825136754,0.374643786957942,-0.730647553269345,0.308068645097582,-0.224608098528269,-0.438278406183791,-0.0995257607837895,0.343808569169567,-0.422542747468599,0.370871568150675,0.229659091292858,0.495773102379338,-0.281758446209602,-0.212275655081245,0.418536305924933,-0.368401134657289,-0.151639908715464,-0.322918366585273
severe,0.303828909741681,0.145326162633265,0.370176134738375,-0.019227898772787,0.220784015385596,0.0050047510925991,-0.119036252099649,-0.21525245403346,-0.0260480741858006,-0.0403440044390006,0.4030199733239,-0.0710812669612606,0.244702797108243,0.1656767749601,-0.215913803726516,0.127666446230837,-0.338761155560722,0.0787398684422829,0.126682090353161,-0.241945961416833,-0.133279756591445,0.294707642387985,0.0967095918429933,0.385830501414715,0.21866780791199,-0.0676020111419693,0.0339029934116526,0.175969556443618,-0.0218772230418746,-0.126102875783024,-0.215981523910129,0.0451426133192075,-0.244899565319926,0.202455656017249,0.0159468054673438,0.160909248292771,-0.1884787635502,-0.228430776023617,0.0770461774262729,-0.0958665109508338,0.383341950910651,-0.246861927637727,0.0318034532116195,0.114842212638179,-0.0778184706700563,-0.333064444479846,-0.0391045341667374,-0.147140299905527,0.0959141531832712,0.0951076673602418
severe,-0.199894817140692,-0.164330335786275,-0.134563723179748,-0.345845402632071,-0.0327642879766151,0.0481830742974238,-0.131285015743714,0.0873326133579601,0.203015285800855,0.0289792164577959,0.0427966263667965,0.154942345691437,0.123703479514213,-0.234003501757101,0.11944875530861,-0.0496160846517059,-0.19695284181971,0.279519303248454,-0.159599629342854,0.539035959316687,-0.0826829251677851,-0.105227520043588,-0.221496308912308,0.185210258739922,0.0490021182013289,-0.108147974891052,-0.130612817423816,-0.209427120999123,-0.303685529099377,-0.150106568700839,-0.100170208766771,0.0388938251987297,-0.212114648368505,-0.0552544487135189,0.220895001564,0.227638505236492,-0.118943657136032,0.0733227850975011,0.0265309461175295,0.101976662632107,-0.239379822406073,-0.114133198349573,-0.135423276210276,-0.159775590861622,-0.147559557364429,0.120262735571687,0.100014501811315,0.179920019985023,-0.043703018074982,0.200215092423053
