group,ARID3A,ATF1,BCL6,BHLHE40,CEBPA,E2F4,E2F8,ELK1,ETV6,FOXO3,GATA3,GMEB1,HIF1A,HINFP,HNF4A,HOXA1,IRF2,IRF4,JUN,JUND,MAF,MECOM,MNT,NR2F2,NR3C1,NRF1,PAX6,POU2F1,PPARG,SMAD3,SPDEF,SREBF1,STAT4,TFDP1,THAP1,ZBTB7A,ZFX,ZKSCAN1
healthy,-0.0843748466919809,-0.0819958220265093,-0.144507589942674,0.345090159716028,0.0392962767779738,0.202101829662045,-0.0882391827747005,0.270923276270615,0.147892963094955,-0.136509961670142,0.209535492242308,0.37549325280813,-0.0246776439082524,0.303963823477469,-0.140662728176906,0.0048617369103896,0.353825443534722,-0.149438013295285,0.214964616008755,-0.0410597551278991,-0.24364291621839,0.311175636744348,0.15088042858195,-0.162293957314417,-0.166599623525897,0.0118545956947824,0.0806328830063238,-0.430663203233439,0.170000523498451,-0.0781828034006224,0.0534772638491687,-0.369885439025327,0.0548728355085709,0.152208629631357,0.0614975244359952,-0.0076376165753668,-0.113599480442049,0.050593222775175
healthy,-0.0146410259180059,0.0151326112747557,0.179623077202282,0.0588020899222251,0.200502417530138,0.0257108605127309,0.0813590336611051,0.0468198016692199,0.132374461046332,-0.0817564627128255,-0.0395712835439607,0.0356520572950497,0.0563967916414572,0.103828968668578,-0.213204614190002,0.052874834721951,-0.0525933241407565,0.0273458979266559,-0.0440853156960594,0.12821509229596,0.186053737210658,0.0554418518472349,-0.157393763863218,0.004025401658187,0.0569865662917044,0.0942867182999771,-0.0128617193225411,-0.026306265374602,0.0802365850884274,-0.0847859158722674,-0.170114767825741,-0.0274101062975156,-0.0894113543394771,-0.0766697861288246,-0.0499218486210889,-0.0461035269450402,-0.0057962030403477,0.21543102347733
healthy,-0.0449333795192826,0.190665901651051,0.518255713042783,-0.0686933134948181,0.0231721269940988,0.051673994681654,-0.0518599078620382,0.138453906358508,0.199272993335501,-0.158058336468791,-0.0209411688294894,0.0919733160380287,-0.409816686328734,-0.408682386405946,-0.0768246051509518,0.189181579999762,0.075164469306855,-0.106870929370365,-0.0530570969347339,0.11756460960157,-0.0631783481883124,0.0550381051568269,0.0485740645405825,0.247735739490298,0.116770002897262,0.194616901017881,0.0703428913064486,-0.111746904190217,0.237461396765959,-0.0635325013208219,0.0317516759851586,0.11231680842095,-0.14321787422524,-0.0729162969588767,0.231116937343517,0.109559325767697,0.0509131277767486,0.248155076997165
healthy,-0.0272098652951451,0.0351529365759106,-0.0768720508485102,-0.0078919007791965,-0.195027094344808,0.0301069602417938,0.149156112791543,0.0901962684044199,0.111179380290646,-0.150122329965144,-0.195335497206322,0.0034725559931435,-0.134976117116563,0.0244848688317989,-0.0061452589020533,0.110646361333076,0.0062482077817169,-0.15796157940664,-0.1409795636716,0.159679662526671,0.0229285633116056,0.199306221621478,-0.0730050468941243,0.112404896052123,-0.02764529936072,-0.127887937583321,0.163798205471829,-0.1066632095707,-0.0300261513218207,-0.0970961509847603,-0.094096780122337,-0.0448489845093719,-0.156100014547343,0.0699570226359793,-0.0939557728862798,0.121275179424812,-0.0504800954500357,-0.0569133781629399
healthy,-0.198426915514029,0.182042904473688,-0.029599602642455,0.262600721886746,-0.224421856191814,-0.122474166213724,0.19797703916595,0.176568893421158,0.0284129343661555,-0.0665419394801559,-0.22542463945863,0.0283625111710007,-0.0553752902009173,0.0711297918922377,-0.101112792562883,0.213660343647404,-0.210587587773696,-0.0213780591391546,-0.223996631772713,0.172611258780719,0.105974985685372,0.198929575975064,-0.0042469921430473,-0.013556909915712,0.0847196162128252,0.013267698221502,0.131488200453352,-0.162891778472856,0.0647539058213095,-0.0218958247611167,-0.178157841176807,-0.180825586977527,-0.214352949739726,-0.0343596076428085,-0.0893235885533733,0.234451911333439,0.165960130638376,-0.181175170712647
moderate,-0.0174208029009952,-0.429990071007872,-0.378805103915007,-0.0734044958799011,0.208671015772241,0.16615317938248,0.0850746164521773,-0.107592713396236,0.316222621958452,0.230730442793918,0.191518491505091,0.0392638761857005,-0.118899359690399,0.0420548393926408,0.0979217013535818,-0.0238032381416727,0.17973153991485,0.125106548404129,0.33664208765388,-0.121800663303195,0.334199453963465,-0.400414515163783,-0.115656217173187,0.234105561090683,-0.409313144365446,-0.181371501241098,0.524553962363646,-0.157827887583792,-0.320218675480327,0.31437063396997,0.0261268772767533,-0.0601290305792918,0.0753084087652558,0.153994099364646,0.0207721222866933,-0.0644582688561039,-0.400972707805171,0.19618307807421
moderate,0.142829303968833,-0.100087107650375,0.171149099951278,-0.197764090073966,0.0641822269599956,0.0214115744296216,-0.0531801887746714,-0.0431182958060159,0.302173119461962,-0.0363965576632892,0.0810997623508248,-0.286677414845858,0.122463198620741,-0.174118454603605,-0.144558467352369,-0.0612662932564211,0.0857620270071025,-0.0421924752973824,0.290043776435331,0.0192840516798567,0.0693861394637452,-0.0032132886978285,-0.272373255452471,0.120223369055956,-0.0947284800196666,-0.371990490598815,0.127789685360299,-0.121993132912555,0.0454860127208613,0.196124821823515,-0.0792966017760704,0.120720786952317,-0.0468833617691371,-0.0884917395062186,-0.159324619280338,-0.272225261070034,0.0363956744442967,-0.0146569639800163
moderate,0.240579064988884,-0.0741671100013003,-0.131035146698102,0.364126441582539,0.0441687121892817,-0.189931190309002,0.315104791030663,0.125123792938261,0.0139636120761537,0.13834609917148,0.191657860133531,0.0317773658091173,-0.0573362298607608,-0.13435898611032,-0.162189085084998,-0.195758700966787,0.109362119881372,-0.101025127069957,0.0112582193078174,0.161403782366727,-0.200801739036024,0.341773538522401,0.12813633370423,0.0993814702177614,0.221840546744129,-0.17045302648076,-0.0660085950804016,-0.133363660572046,0.0148452098423314,0.296677571432158,0.0093879370411522,-0.328997842080334,0.130071366089315,0.12699241494548,0.0579629778018758,-0.151312725449913,-0.183056055940374,-0.0140864712752067
severe,0.20121419634482,0.0763194532715333,0.234304115107446,-0.0576240507355207,0.179151164592934,0.138377740568656,0.12594854533397,-0.025738393982861,0.158638023996183,-0.196887397042373,-0.0086908674588341,-0.126811374459746,0.0266084043387637,-0.15469966002692,-0.251519535331004,0.0792414568757435,0.103423557160946,-0.142721476326492,0.205085290357172,0.195004379004157,0.227011727325171,0.150402191290895,-0.232579841189413,-0.175741637657917,0.117550832127872,-0.08425373920213,0.104428150691093,0.169390791340066,0.110408190297909,-0.216607184751803,-0.212359162678639,-0.157528199488426,-0.0824225255197988,-0.0598695911138719,-0.214342912610531,0.0161424103353054,0.14853435766096,0.0419378648153786
severe,0.476144824684938,-0.10517363199505,-0.133813538765685,-0.171831791076064,-0.282289985640749,0.153745710349202,-0.132418771226196,0.427056401857758,-0.0969503681653401,0.22708319953934,0.0989150270120971,-0.485025949621024,-0.0260938822949873,0.259767167219718,0.301110422951474,0.144387763603455,0.0669003947597188,-0.1691047273037,0.400829927401795,-0.11782343412193,-0.190624180045044,0.0844357080486842,0.0456321021694526,0.0526467374548887,-0.146891715566486,-0.0047503691518602,0.105928387372908,-0.0143722252949329,-0.115009675475082,-0.0342801733105789,-0.203280356795048,0.0185106306269077,-0.118329579197961,-0.0803024024152084,0.11643886597944,-0.0248674048059671,-0.288910669217134,0.0457009480991897
