group,ATF2,E2F6,EGR2,EHF,FOXP3,GATA3,GMEB2,HOXA4,HSF1,HSF2,KLF5,KLF9,MAF,MAX,MEIS1,MNT,MYC,NANOG,POU2F1,PRDM1,RFX5,SP1,SPIB,STAT3,STAT5A,TFAP2A,TP63,USF2,VDR,VEZF1
healthy,0.294193649545424,0.0054810343872599,-0.141783216217158,0.354491578111688,0.125747542113756,0.0459404429637646,-0.250592452004933,0.15108805747127,-0.0136964286801293,0.0641539629406271,0.182777915833061,0.193069495243988,0.194849868524806,-0.391396528420706,0.158914625575952,-0.0764853077660012,0.226308894088893,-0.0673570627725623,0.0608913863265365,0.0308147374261133,0.17135575353667,-0.264823647699948,0.0465656042070364,-0.15027293734226,-0.0803140928657206,-0.031570118760712,0.453161725621639,0.104822195285316,-0.217469648614033,0.0321575502390923
healthy,0.154759363059574,-0.176578105224088,0.174925411534319,0.131120099218426,0.294022529817313,0.220874285819157,0.007576544595634,-0.233930845878767,-0.0379227777666725,0.236481342421453,0.249296864117969,0.171026850584105,-0.0571946898209129,-0.295977999861116,0.0627958552505063,-0.255448940585487,0.26350535416306,0.237211514407527,-0.325373720285313,-0.218378233826591,-0.167209700203042,0.31750244183255,0.256199534205857,0.305133554682237,0.252826889474758,-0.156736319185792,0.208688562593433,-0.127816683039109,0.221207655200629,-0.0075124017404241
healthy,0.147060050436459,0.0474033459154631,-0.212055209975051,-0.0241214706425255,0.418405389825309,-0.341317290064729,-0.379038073820869,0.17946770595831,-0.100968940827974,0.285449725135655,-0.325424851942498,-0.47375586198219,0.198624632397626,0.080568723784638,-0.301515888285738,-0.311352671096417,0.481315622234614,-0.0610012982586239,-0.223627201908561,0.02441154154412,0.275925692734122,0.116872038318756,0.153175806443025,-0.0719387175708189,-0.25277626578529,0.167404249096141,0.21657999852682,0.154974744982077,0.0689699700322166,-0.11418565064918
healthy,0.0359098648956235,0.255960201380772,-0.216467840835386,0.0010821857248734,0.24913014150393,-0.0059896930611328,-0.218895571467288,0.0657271420875683,-0.153777017883022,0.0606181566302018,-0.266172036310487,0.130044454651518,-0.0804310143865131,-0.210718016320915,-0.116505924724984,-0.35654837002888,-0.0022237323532689,-0.0512792430125024,-0.099551986292258,0.289795761696373,0.158374318081073,0.0527933158749372,0.296809752261902,0.101380992171272,-0.103355160134321,-0.160853295673173,0.350370580478882,0.0610688147436587,-0.126085586845643,-0.0526885280048608
healthy,0.0812368558341714,0.0500390221455262,-0.0645088527811572,-0.0484918930877789,0.337699233577261,0.0882629070254242,-0.136199707258524,-0.0450974878319019,-0.294660690569054,0.0769632814977106,-0.262646438730136,0.254625293039196,0.157126219938096,-0.363286327316624,-0.209296856446406,-0.360998718617541,0.120093745902041,-0.165156399127465,0.0237921465092791,-0.363387266658119,0.224812210248957,-0.0771949358018315,0.111947029068678,0.0864196109960341,0.0773738779671336,-0.167458701223899,0.410251670869215,0.140795815240394,-0.0226340715227616,-0.0537068473198737
moderate,0.204094617792962,-0.115684947955599,0.0496132148956549,0.427585321972069,0.192811101372278,0.0562098968865713,0.137547563927441,0.110794710478399,-0.222000509221081,0.274604819456336,0.233701537160178,-0.065968960993873,-0.21289447595027,-0.206216432740381,0.266145393767888,0.206920849609908,0.486278877122016,0.217818970782827,0.0448771355175612,0.110820403494916,0.39879201479458,-0.0322169016284706,-0.176973497773833,-0.370760933773783,0.116866826715412,0.0372163344258706,0.229620629703285,0.3533432096595,-0.248355120914099,-0.325995134661131
moderate,0.225363732181873,0.118222811930875,-0.13608886869846,0.144642181165946,0.190886619316605,-0.158356369433394,0.0832067500786186,0.306254772234799,0.158619960025893,0.256566876367709,-0.185244108083794,0.252442466072215,0.199467526190147,-0.116692262184507,-0.225668755243879,0.0252091243491284,0.228285797273315,-0.217317960655784,-0.0643943250405541,0.0698999538543802,0.294322112055473,-0.141369520020068,-0.212166128629575,0.20090791060182,0.22274363924081,0.0993803817217632,0.211994133486596,0.166820374635081,0.177891615364545,0.175272135329836
moderate,0.2042580478532,-0.0655283934118397,-0.263668529252827,-0.25441769400169,0.0257405970207548,0.245133162566713,-0.0728084128374414,0.139492338797531,-0.204465977963234,0.286475092705124,-0.205663425276747,0.227667033323895,-0.256348238778247,0.21089701792771,-0.179858723320883,0.198722011405824,0.175525065335875,-0.199509351506268,-0.239923403801881,-0.177264117165247,-0.205843412209938,0.0980106927749077,0.182928363482841,-0.160185083107511,-0.152203196828278,-0.332724337811955,0.1252552901963,0.150287445498285,-0.300646392654961,0.139520281974373
severe,0.525455275063371,0.137435839601851,0.55223526897082,0.336560323897455,0.287761245340724,-0.0809660270561292,-0.279750876984997,0.176978959211914,0.177304971305856,0.343016723439537,-0.236734185074413,0.185727526038696,0.379533724868671,0.106119328520372,-0.177585118172657,-0.186901143834008,0.22272860083098,-0.0138573267201566,0.145463219709271,-0.172078480651702,0.248531545266916,0.127768380754809,0.227509632438565,0.4518519470119,0.452112379124847,-0.486670798059753,0.203302939492929,0.216754515555403,0.235290867730174,-0.230393843006056
severe,-0.134127621584589,0.458517237671794,0.0462831272872816,-0.544544696303276,0.537680480035374,-0.0288801041575925,-0.555669766240517,0.615618014716362,0.500297661943274,-0.0969436011228269,-0.481834806860766,0.340452971109269,0.346906929847047,0.159721866820357,0.566634025355766,0.554468116869877,0.193941650004281,-0.523879872563714,0.063531670729702,-0.515499982642856,0.38480763475958,0.52850160091233,-0.450624845124693,-0.131837017041398,0.165555374355171,-0.276660457628932,-0.254714212221207,-0.514094470734099,-0.0077771658951215,0.530008410976673
severe,0.28623210507194,-0.284454053529264,0.337214313728285,-0.215383589756081,0.395753241441003,-0.50636856337479,-0.224342234067256,-0.0718401209838904,0.0501957627816997,0.453061210393407,-0.378622398693298,-0.205262373282387,0.600673681734414,-0.473713962927567,-0.399172571330765,-0.264109040685183,0.294096563818392,-0.0679762782084599,0.600844648228902,-0.205706886168056,0.477235872714021,-0.102135383807178,0.0028380438085021,0.211348780486162,0.180164491891537,-0.302713275140591,0.499529903595267,0.250192368033853,0.462395980992456,0.315091249341528
severe,-0.139786480742168,0.134046083242052,-0.0538827124704131,-0.0152732896934991,0.0102161791421088,0.117458039096904,0.028107293765761,-0.0221241975954313,0.101726778652568,0.0185478769035215,0.0628265274353669,-0.260776564422227,0.0761854083783632,-0.151980982017695,-0.0261887853755586,0.179043851573597,-0.12958665916246,-0.167194785939154,0.0951827287821473,-0.274953323485285,0.167477456096438,0.0109988413571515,-0.0210692783079409,-0.0815150629769802,0.0733752693499038,0.248578250481778,0.184497848244301,0.0644402276139071,-0.0648857354600581,-0.0674878587701619
