group,AHR,ATF3,BARX2,BCL11A,CDX2,CEBPB,CLOCK,CTCF,E2F4,E2F7,EBF1,EGR1,EHF,FOSL2,FOXH1,FOXO3,GATA3,GMEB2,HEY1,HOXA6,HSF2,IRF4,JUN,JUNB,JUND,KLF5,MAX,MEF2C,MNT,NFAT5,NFATC1,NR3C1,NRF1,PAX5,RBPJ,RFX5,SPDEF,SPIB,SREBF1,STAT2,STAT3,TAL1,TBX21,TFAP2A,TFAP4,TFDP1,VEZF1,ZBTB33,ZBTB7A,ZNF263,ZNF76
healthy,-0.1834759234132,-0.430917538912807,-0.426076051955043,-0.162001340539221,-0.449423547941343,0.200659212165214,-0.266730651832145,0.356395021789512,-0.162464122013226,-0.400064740654963,-0.272758360843808,0.0911676878822809,0.297037457199501,-0.263508506288524,0.0678425041054487,-0.520378211522569,-0.146246820682843,-0.135067616250116,0.185257487714997,0.342849935663533,-0.0358549331237699,-0.467372801719531,0.417514725934253,0.438397379015901,0.0744156810144355,0.192162722800169,-0.421380775593435,-0.0472551596785119,0.266192533839116,-0.0935136198353026,-0.470483648712399,0.115714005758415,0.334662929768625,0.0079092845111888,0.0677438053906298,0.261638743135187,-0.279269326062869,0.237292972647674,-0.0359953687951212,0.208041403539817,-0.313260533454687,0.0724487941257714,-0.0208718907217869,0.0010274116218112,0.400388661437108,0.326436811883005,0.225898783514317,-0.0536503639049264,0.311144286010885,0.0541976692783235,-0.204700609541148
healthy,-0.080488025944091,0.122999489042515,-0.0797923103229853,-0.0967096183306701,-0.0784099457138965,0.0355274237262734,-0.131962786303051,0.0763953715078457,-0.120661643834511,-0.223056357871429,-0.194284050929028,-0.194561038550543,0.0425777405824745,-0.11340825815173,0.0601843106689114,-0.0421834806146296,-0.170199114126528,-0.134771819287448,-0.148278568734167,0.151255037489203,0.0841893106492511,0.0740365819814049,-0.0187904981662187,-0.0031577618252067,0.095743012299844,-0.041369186101809,0.0968716299583485,-0.0995448218150421,-0.088772434304382,0.0968646221240135,0.0289918857515665,0.0556307228579271,0.0496249692404941,-0.0978682073484494,0.0075127943300308,0.126778295440489,-0.184092284268784,-0.0469296057045484,-0.0377622894026083,-0.0200048331204034,-0.035564798842727,-0.155519601624222,0.0371299214365087,-0.0617928264063723,-0.184845250333102,-0.0458690471828912,0.0750472542247447,-0.0340313104841641,-0.0723332427228565,-0.0192631112648494,0.0116329654039195
healthy,0.152565849827145,-0.11348598408511,0.0501310904825143,0.177251182410122,0.106109881398181,0.0547462748894881,-0.0376773238325575,0.205006820883042,-0.106935982930766,-0.149369225918923,-0.0368246772091746,0.0813110456683439,0.0521203704334179,-0.154848041124782,0.243265390669274,-0.0655121399038916,-0.0433829164951456,0.0721404033086911,0.119645589335135,-0.193745066112098,0.161878142283382,-0.127174783968131,-0.203455992604281,-0.115579842540277,0.0526638582838028,-0.0965168059556602,0.0266389139634977,-0.0354939901144428,-0.129256971736826,-0.0502837247546013,0.080194549995911,0.0476553030916451,-0.0249160002685302,-0.0212360726381977,-0.0691069401740796,0.0561717004979292,-0.0802508438953614,-0.0385446160232769,0.0512418652302062,-0.0501164449151776,0.100683698699938,0.0652137364694066,-0.0554307263254886,-0.111276562950177,0.0955021427436153,0.105127026527695,-0.0677966195714253,-0.172116309199685,-0.0762713686455957,-0.0195305505544424,0.0269071109153508
healthy,-0.1360898930761,-0.108683244668395,-0.0434375429292521,0.022786247232374,-0.19075869425761,-0.0423099203402079,-0.0676066352128702,0.0454965804941544,0.0979991297720459,-0.138915936455301,0.0264280469866875,0.161033683012029,0.0576196162448343,-0.084379378210482,0.108641308313823,-0.135833662671868,-0.145857097863343,-0.0644055726348788,-0.185258215639952,0.111118750937511,0.107387579145464,-0.0059568910980921,-0.15313308050161,0.0143664831399762,0.103237868451861,-0.121297508504721,-0.0609895067582963,-0.0324899344015227,-0.0705894897233077,0.0152197971308302,-0.0566961843425756,0.0648887018591917,-0.132305363548948,0.0987515844044997,0.104652946845609,0.172595300545513,-0.0835481753592189,0.0001241750829203,-0.0846289309987479,0.0308699266344993,0.0239614055922823,0.0486596933481137,-0.0006799879963123,-0.0275625579646234,-0.0201269448619348,0.0661231392211462,0.0304909317951913,0.0993492076797095,0.146465186387158,-0.0964026763700239,-0.125874100704204
healthy,-0.134442484328809,0.0871303434769415,-0.0526424111726915,-0.0655710333011186,-0.0507219943550077,-0.0698318034215022,0.0113960129895181,0.0155580756534594,-0.123344147306446,-0.0167751359708674,-0.0777254381660562,0.0815354647772087,0.149144950894848,-0.0414297932795138,-0.0750206387459896,-0.015565976108772,-0.123104310101803,-0.0424878221973819,-0.0022317540788075,0.141670794763105,0.116219144648389,0.12865931504375,-0.146268325570793,0.14550522250715,0.111421588480307,0.0187146394361954,0.119177130119681,0.103458321164335,0.0180666667546911,0.0960692443116087,-0.142069422912387,0.147513922269437,-0.0409657570778377,-0.0610509347306821,-0.0032860667445958,0.0238436072499407,-0.129085205307282,-0.0874600690586042,-0.177859419940877,0.121864429606475,0.148966680223595,-0.0154005157803145,-0.189219089684078,-0.0366457659392279,-0.134234159674735,-0.096464123092268,-0.164314187937146,0.143041540318111,0.15871869442159,0.082772262554326,-0.0175748256154277
moderate,0.116441982947413,-0.382119892210731,-0.0044244264710744,-0.010060583895206,-0.0524347080907891,0.0212127979764406,0.420805207133291,0.206092916221214,0.155301015050853,-0.116171756221599,0.451420179442834,-0.064980948932178,-0.0165374466885384,-0.00025735878649,-0.175643082466336,-0.156907362809862,0.196675729292234,-0.412923594297034,0.11974904335381,-0.0338662716455336,0.079223613107847,0.262085609535228,0.0047525589238491,-0.167094481441759,0.0303576135230529,0.412809927499667,-0.189960809621398,-0.0442742899025012,-0.0068307311247561,0.0867663702085589,-0.0773084348050503,-0.371780502963495,0.118372173846088,-0.0928722074180348,0.112429330534723,0.277685841309632,-0.188601097366109,-0.415209798183687,-0.0619248133426089,0.261551590053261,-0.252816403908479,-0.35745634183877,0.164844736716525,0.173719325537323,0.323399195759923,-0.408651438441299,-0.119753332666918,-0.0140732363078964,-0.0188815563021517,-0.156905218153308,0.0573952987003844
moderate,0.109045342015069,-0.190328773563484,0.102824412510632,-0.168299170820951,-0.160836271827417,0.12656185482326,-0.282171822185271,0.232798120362487,0.0789715036158771,-0.210178927487527,0.168024592655123,0.206556597327041,0.141353684245694,-0.226316933281343,0.0468257711281274,-0.198448930205976,-0.157496336032163,0.125113507607553,-0.235570206537996,0.175514165112363,0.220376553409762,-0.234360390050998,0.102384997258391,0.0026237423630163,0.182894638730349,-0.250698761110342,-0.159310008581971,-0.019704297084089,-0.11982162632231,0.182468437227802,0.0607100878737857,0.0180269707539801,-0.113865313428864,0.0638259775056613,0.166380963436437,0.219277366206657,-0.203757728370352,-0.155133889761859,0.0168592551592342,-0.0514781998480235,0.150139789276343,-0.197949431336977,0.0303218387541039,0.196054166957361,0.13140654565091,-0.185807498483262,0.104841196927508,0.0640265204120856,-0.0425974395493995,-0.109033399081012,-0.215753763390059
moderate,-0.121935123759606,-0.0451573015016026,0.0572708673410182,-0.116812715985768,-0.0335917025480893,0.110832548496916,0.0901288938610225,0.0583010117754577,-0.0655286783449812,0.0092163366660808,0.0378113806801063,0.091546279331852,0.0263024105233124,0.0742694996739036,0.0800306469636793,-0.0607577022213725,-0.0146576978096765,-0.100984134526276,0.0669418999336989,-0.0874232032648269,-0.0326656551664428,-0.100347060563183,0.0951638601105142,-0.0221693411392192,-0.062671422439919,0.0696817343632106,-0.0662765115722461,0.0684941951849481,0.0057586489605086,-0.0363706774694512,-0.0841712113355736,0.0185201148565079,-0.176288775293154,-0.0209684775381992,0.0118720606769359,0.0406603088209451,0.115066383828113,0.115119681519143,-0.157346442790517,0.0161941703089011,0.119585861472174,0.0173608900766051,0.0836432310838075,0.028402672660464,0.0693419615828943,0.121664471422345,0.0363623497052278,0.0953362448299394,-0.0390755352892245,-0.119057881220408,-0.0880827621913233
severe,0.153701459325905,-0.153420675732704,0.174018411336387,-0.181737949483415,0.0070977585028663,0.164465317832793,-0.0737046072405814,0.118412873233623,0.151389171921254,-0.0254296348077201,0.0139746233035531,-0.0923833288065778,0.145712792997143,-0.248895097076151,0.148068906469263,-0.179021227902664,0.0011481010383249,-0.117547211631087,-0.114760105988106,0.176706639521948,0.168383794052622,-0.217966150979031,0.1543344427881,-0.0698842343180015,0.204244850087051,-0.158665610892521,0.0773827067272559,0.174560710536306,-0.18657178408788,0.180618750424814,0.197201927929644,0.146520973206968,-0.0026264459030103,0.0653249040075709,0.280187683409239,0.0991118774211338,-0.200512924964029,0.0602911425388956,-0.126529254486183,0.0069931393575096,0.231786802426314,-0.227200398014341,-0.0009952474134131,-0.288927715193041,-0.287451262719885,-0.0626665670063974,-0.062780648109402,0.0532425001980014,-0.0147579013612044,-0.266740951324642,-0.165621590561814
severe,-0.0563441750373675,0.128161643664559,0.137109548283471,-0.162901765595147,0.0188683798920915,0.247517958512926,-0.169178919909538,0.31197749732118,-0.0386100365758423,-0.228299504105228,-0.0256687364825349,-0.11043132419775,-0.0398601208461185,0.0501879555556407,-0.21942797938063,0.205540841596065,-0.153447207677284,-0.288481768831885,0.2798482947779,-0.0007014220294523,-0.075891062990617,-0.103165050251989,-0.152183120426384,-0.188509398162231,-0.207329404121256,-0.116360949993011,-0.0313526736177521,0.0911899558217569,0.209604251973582,-0.137081542322222,-0.131647112841765,0.176699793503012,0.0404355160499524,-0.0489251413029788,0.0281599940354173,0.082366805030225,0.0846671128473219,-0.022933063267847,-0.178964457369429,0.0704324465436269,0.0436676585776828,0.142392490973538,0.0957791144718035,-0.0657707269939818,-0.0843870532348364,0.027150506432231,0.386293861490686,0.0399657796999199,-0.297789931952313,-0.0736620430748802,0.0482631822189222
