group,ARNTL,ATF1,BACH1,BARX2,BCL11A,CEBPA,CLOCK,E2F4,ETS2,FOXD2,FOXO3,FOXP3,GATA1,GMEB1,GMEB2,HOXA6,HSF2,IKZF1,IRF4,MAFK,MEIS1,MXI1,MYB,MYBL2,NFAT5,NFYB,POU2F1,POU2F2,SMAD3,SPDEF,SRF,STAT2,STAT3,STAT5B,TFDP1,TP73
healthy,0.0195157673456805,0.0314170777582853,-0.128714985643967,-0.118573480652287,-0.101994744354167,0.245220976904732,-0.344951765291095,-0.0641976178176532,0.0313134672140514,-0.333636969250406,-0.152435767254491,0.0407884547553569,-0.240277048961137,0.176405476476351,-0.200341610635776,0.278516946633516,-0.196924036507111,-0.136213241384396,-0.263058778044174,0.234276293466357,0.260463792945173,-0.299162986979459,0.201573395738871,-0.109006686299635,0.0846776189876468,-0.0999345995075525,-0.11966650631766,0.118401933067656,0.123852109999533,-0.154865237787894,0.0757957034476395,0.220525993873234,-0.0186546194552506,0.118544889388182,0.0032956022221627,-0.233214744422017
healthy,-0.0817606361119112,0.121917991360907,-0.195502105164008,0.152543728724234,-0.0761776138643653,-0.0457888175467807,0.123047099274812,0.15304070386824,-0.0240828508059769,0.159718115365112,0.0859451842233224,0.125040694028173,0.141659387835595,0.0748441482527969,0.128422600392843,-0.192662727362019,-0.0308994533043528,0.144615812616122,-0.139344388406034,0.0292094293801245,0.134559895443821,-0.106271341075921,0.146079611620008,0.125446048277156,-0.131525729325523,0.123745150055935,-0.0953000453542402,-0.13627154933334,-0.124775321638658,0.0393347838815842,0.0545254650079499,0.113953616700696,0.113761477758563,-0.0862619228375405,0.117102773566828,0.107000156231807
healthy,0.19968875378809,0.0882348983490665,0.0140944744660378,0.270814707864755,0.0339163053066804,0.227533425469416,0.0561290008543746,0.100737658269918,0.05128413880458,-0.074061848732132,0.0271770099945166,0.0774605646521295,0.138640176361826,-0.0085092800696448,-0.124912234536098,-0.0588632344289282,-0.0054832283768768,0.152652896335601,-0.0008920323489075,0.0457900098287349,-0.0945697360203433,-0.0519340870180661,0.043178180896763,0.132797455314806,-0.024116212642537,0.0934542413925852,-0.0613308575203816,0.004615722375648,-0.039648203597522,0.122374438838786,-0.0391774339795777,-0.0470294987697576,0.234163033504461,0.142786264598589,0.131862274761649,0.173991954295147
healthy,0.112699419658257,-0.0413950982946729,0.142708473443967,0.0067060680164009,0.0779321220419869,-0.0771478192110598,-0.0425704327798821,0.0933318497346904,-0.0033745715134377,0.115657851654816,-0.0704783725989088,-0.0526874629918094,0.0963558258898203,0.0544812476470536,0.0015198155117018,0.0179861686439765,0.0269323733742839,-0.0337283351024217,0.0394426359319572,-0.130009288343718,0.0227522406868248,-0.099618287053851,0.07806943246504,-0.0140667317669461,0.0550499458706747,0.0600078993802768,-0.0567712184024429,-0.08761556578398,0.0442711663703713,-0.0091014433936226,-0.0363770220136786,-0.0734961760607997,-0.0045646527631691,-0.0428690853039334,0.118056410842234,0.0567725268655607
healthy,0.0914289731815515,-0.0558965847670088,0.1586154101085,0.122750645989339,0.0074941422091552,0.009735795439533,-0.119848313860252,0.218782943747552,-0.0326553952507485,0.320497413587278,-0.145721406095186,0.0570463397866923,0.0806186389787684,0.0934952467661479,0.169941112809184,-0.0430381427247466,-0.0295676825556205,-0.0765692338306791,-0.0596397623025602,-0.0083895909427707,-0.122936238738978,-0.0760534140889921,0.0765543795642505,0.113023047909481,-0.0988138365939818,0.109797570062297,0.11166701648301,-0.0475969639135304,-0.09329954134622,0.0561097444097215,-0.0583145936877196,-0.138640528221939,-0.184402923040065,-0.16601697519922,0.232264189916252,0.106396647499694
moderate,0.10246075778369,-0.367276046163767,0.274455805137414,0.0107676365204752,-0.0669179146065512,0.0903388632968584,0.0436533912826111,0.0529939141866412,-0.143242779327508,-0.0695900027142194,-0.0089205315094006,0.0870175027781049,0.131673730656056,-0.0749513214354589,0.0671150534244385,-0.0875960623523394,-0.0202388710320175,0.105533551966846,0.0925631034378043,0.0234230915035451,-0.0043027689817142,0.0121411798059726,-0.0884317595151225,0.104845708917479,-0.186606890823001,0.0313000729660858,-0.0889738912643126,-0.0883824748106507,0.200728030060799,-0.123552468484394,-0.00167782276528,0.124484592242883,-0.0038892060267985,0.134202250276784,-0.0238537969643641,0.0014399704958725
moderate,-0.008521028069596,0.158916529503581,0.115791909448171,0.104462151718129,-0.185639594953276,-0.168627896600212,-0.0831066430227119,0.0161563592014441,0.189998727450156,0.106833388159614,-0.171242350073388,0.0284321883427691,-0.181171556456903,-3.54333350894449e-05,0.190899651034789,0.213713888874508,0.175885358569448,-0.121448226735307,-0.160216101984881,0.203745524357876,-0.159626928986871,0.0144218858514593,-0.141382881888351,-0.176925545939702,0.21465117358275,-0.0081529416182894,-0.172551609758351,0.0047365514091802,0.206081272888476,-0.14305594382469,0.145541925875763,0.0223661978483192,0.183737901366535,-0.199099828003898,-0.0020161253855071,-0.102464336511941
moderate,-0.0719180512040649,0.350926639237004,0.237409084135045,0.239079149215429,-0.475485865387408,-0.278602378210334,0.266911922647647,-0.373344652179646,0.249862622117524,0.241675109559483,-0.228391061615809,-0.197089881236738,0.0518361558849436,-0.237278340487689,-0.409930671688026,-0.069913315277932,-0.21368856844138,0.0539280542426475,-0.325784389164223,0.264967213679106,0.24231567120282,-0.332144779807635,-0.303830968427596,-0.260801507279684,-0.219061392289351,-0.338533128212116,0.247607910915942,-0.234340308714074,-0.11655919504895,0.592364107827392,0.0352933842024407,0.0790793494734216,0.224139015071907,0.178637758930576,0.388699219016676,0.0795496976890688
severe,-0.130501150155347,0.0310507215606248,0.351834587319831,0.169633557549934,-0.0769054888326714,0.194098527790035,-0.176541602919565,0.084570932728386,0.0573708943726331,0.450365365220862,-0.132377275338472,0.142150452358721,-0.254763027431936,-0.228038243507609,-0.288496714441509,0.198242020256513,0.246586234918059,-0.261665879702168,-0.0606488130482605,0.334605686075079,-0.0680632929048041,-0.244573694309794,-0.167841230107122,-0.108008055550939,0.129590769787857,-0.161542644307948,0.264545217269325,0.213619624483451,0.18449640116365,-0.113436797200665,-0.321052297496358,0.124932495249068,0.16151981183786,0.0872465591690912,0.0430391846566108,0.334257362151708
severe,-0.0491274964837357,0.050298800160911,-0.0933921157291878,-0.0646158620091146,-0.22517710410113,0.0120036419094272,0.0138297589099205,0.121064323729713,-0.0566451595212076,0.010129302222333,-0.0317000713497719,-0.0833795631691517,0.111356335506104,-0.130543888701002,-0.15086594404909,-0.0310744454420282,-0.0265174015582399,0.183887063208114,0.0723188016845796,-0.0985303698883241,0.178972156229024,-0.0603215048654946,0.193489722932042,-0.225136495522939,-0.193291756113365,-0.170307300857677,0.172833915831953,0.130367495189488,0.0729393515200495,0.138401648580817,-0.11827502201527,0.285525258346062,-0.278313428663085,0.104303133081683,-0.0064148863359926,0.183859144810608
