group,CD52,CD3,CD56,CD45RA,CD7,CD49f,CD194,CD4,CD45RO,CD5,CD62L,CD197,CLEC15A,CD27,CD95,CD57,CD11a,CD244,ITGB7,CD54,TCR,CD2,CD81,CD38,CD127,CD45,CD26,CD305,CD99,CD150
healthy,-0.0291752416406243,0.115108031271757,-0.158637302525379,0.359758928409802,0.305628855741111,0.119945985880471,-0.324733486659031,0.0534959529140747,-0.406716803394952,0.0587056139527844,0.413301901474775,0.0038454774413223,-0.0751743468371557,0.136359470533511,-0.484009732861946,-0.120012447853399,-0.102225248685476,-0.105086101292701,-0.0337812174619485,-0.224803244372344,0.24202832319423,-0.10821099898597,0.0457379763132162,-0.0184232621696889,0.251791743427599,-0.0250886411660215,0.0619750815918011,0.17481955195965,-0.296393376512417,-0.145018667689509
healthy,-0.0585060073041974,-0.291773816077655,0.0681699557565346,-0.406052552915568,-0.38231122962021,0.400894923279463,0.090811031895793,-0.121674766842582,0.338046174280394,-0.17665859374348,-0.628996517686328,-0.0730019347336195,0.14935141225363,-0.378598278560168,0.377021083488354,0.0950093423101663,0.0561741839183974,0.147684945094815,-0.0522553704876669,0.34420792328775,-0.417339549571037,0.107059990648701,-0.147110979727962,-0.184887276390296,0.0138126925672578,-0.0826873078588278,0.226158167337077,-0.112741127765784,0.135671400185166,0.19504918498971
healthy,0.326779449606982,0.114707073713381,-0.0871305047092545,-0.246317796329874,0.0911846728898579,-0.0435693087545963,0.0595836967302211,0.132624947251816,0.311826176567365,0.0605327475538905,-0.479173591107004,-0.0545119051092757,0.0933262864337511,0.102077004248811,0.258936198541823,-0.0465338850595588,0.297860687622044,-0.111645719000598,-0.0789208845219585,-0.0364556021984536,0.0730562968087313,0.259207063608361,0.163819667274524,-0.174020085245741,0.376235619106988,0.23532365303109,0.329878580785349,-0.0389881414447208,0.263108014660525,0.146099954704759
healthy,-0.0529696297127605,-0.0853925048104642,-0.105048214657696,-0.216484826572185,-0.225111970277467,0.0435066507706456,0.170645829666607,-0.165312631450256,0.0659078854364008,-0.104221639543107,-0.106447538901174,-0.116204429822397,-0.184390617578312,-0.12937570506397,0.199963928543087,-0.0657746897712291,0.0068007454704808,-0.0621003638834834,-0.100019571069195,-0.0099687400487819,-0.155641237186842,-0.0241003223678824,-0.153752858445935,-0.0254791600912293,-0.308425989559632,-0.0696249053907826,-0.443043189249767,-0.125769080130172,0.0101229229760808,0.0255407207934612
healthy,0.279326992056516,0.476919732671907,0.0136981925354335,0.484455697514022,0.497335184775826,-0.152090267421293,-0.126180811188195,0.310173722659282,-0.402063525729928,0.335145475678521,0.415501083743761,0.145538139808495,-0.304041938930595,0.297254408074865,-0.401573648887852,-0.0093182710424726,-0.0853753623875371,0.0588566881668586,0.0426239193006695,-0.319633508748359,0.496999788564009,0.0283257563975307,0.337947580987052,0.392856037530842,-0.292904251696842,0.309378138958879,-0.308302750966306,0.411661741196005,-0.327305391877894,-0.314959637017489
healthy,-0.191831067408686,-0.278673575593677,-0.0260683950748761,-0.407747983225552,-0.369573950734841,0.0011984969335073,0.345577692133285,-0.118191001443946,0.543688699360678,-0.0739363299994158,0.331854856457443,-0.155343293278428,0.276536710206826,-0.334748668759869,0.602790311955964,0.111128052697229,0.160081928819175,0.0541350042910796,-0.149723422719743,0.281771856447661,-0.317542025165763,0.0508436561702445,-0.281124281035386,-0.386603137502474,-0.119394028630442,-0.10927184207946,-0.104727788615904,-0.223929311093801,0.324370081384846,0.209009213152251
healthy,0.195599624150012,0.380087178000048,0.0266706416803706,0.250364462844222,0.255681467602034,-0.0407224730502965,-0.312262272185447,0.140042604742965,-0.289823782977829,0.0112229561573718,-0.0379411465643281,0.0208515925864716,-0.129004472292063,0.226112571110459,-0.0939804575573124,-0.0722612720115953,-0.0279098479300921,-0.0931369710325489,0.0077041257130593,-0.269254406871049,0.407841307355722,-0.0101364532418326,0.0586754116968154,0.0854859540766788,-0.133491105547773,0.146685036188296,0.085842846044684,-0.0102139932250347,-0.318978871713033,0.0
mild,-0.112595681590987,0.0101253606239249,0.454842907266297,-0.0466110540892437,-0.336676722105388,0.120313197951208,-0.304197750480837,0.0523359592126825,0.132005924855471,-0.046588198607203,-0.265883437947707,-0.0833544263687035,0.675700123588687,-0.398823703226581,0.183627038539433,0.366381023576095,0.419622881727667,0.513263030413935,-0.120677396890162,0.467966957566693,-0.0702498743059097,0.25744022401712,0.204447177593003,-0.243992268587896,0.0332598246796136,0.142355226035904,-0.179619976379068,-0.0308961428769516,0.217168064453382,0.0570720863388847
mild,0.0955318511844563,-0.0890088206696861,0.048747514618644,-0.482440194332975,-0.316131539940598,0.330729237947217,0.340693648074071,0.034063171118673,0.612878532878287,0.0514614958207201,-0.0122178820611862,-0.244082727263166,0.269955369746019,-0.140327290587721,0.646821352809712,0.128626646881621,0.30702391728374,0.16729154964249,-0.271905033382894,0.322980564326685,-0.261070871621548,0.230489179327579,0.130981783907629,-0.302085859556918,-0.134967572453145,0.0949969612849805,-0.126146538584565,-0.0103888762216446,0.493048558371071,0.339925583392534
mild,0.01185832833355,0.204436811597222,0.125290800905671,0.148024022730994,-0.200460319925041,-0.295933992015029,0.177237053998928,0.0405917013557568,0.0085012303597907,0.128067412440791,-0.179261635402111,-0.126660099276225,0.0861771438619093,-0.4531820752458,0.0239215074485493,0.0646615391204716,0.0152749034811318,-0.0736413776666451,-0.0327637264209461,0.0719553789478537,0.0921737438193039,0.021461820887854,-0.0841694708941484,-0.0730216336685656,0.0020337267725859,-0.10101333555428,0.0609186184265895,0.0364052638687482,0.211383449581318,0.0
