group,CD52,CD3,CD45RA,CD7,CD194,CD44,CD25,CD45RO,CD279,CD5,CD62L,CD161,CD27,CD95,CD278,CD58,CD11a,CD235ab,CD62,TCR,CD41,CD2,CD49b,CD18,CD28,CD127,CD45,CD71,CD49d,CD99,CD150,CD82,CD224
healthy,0.128297581325089,-0.154646417507888,-0.259965916667748,-0.253165304976096,0.316443731645038,0.0869399496720878,0.267716515822049,0.36572989203005,0.20800414728102,0.0138520010451113,-0.272601029652475,0.0712785994798526,-0.0425126743787056,0.415746470869328,0.260345442211582,0.237755940188455,0.134361638517537,0.273810842509762,-0.376248303162451,-0.247217926687622,-0.419851112083398,0.11849079150445,-0.300998246614409,0.0965343436061463,0.117894196786476,-0.296159705710181,0.0091538523269129,0.226981939347031,0.111916067615581,0.29085604042456,0.135780877167303,0.15324619325288,0.218519822555464
healthy,-0.211612313528444,-0.223660036907936,0.0564634479760051,-0.0878334057930073,-0.0770361082967813,-0.0446143682170954,0.0139125199056804,-0.0540963660667745,0.0726399285178458,-0.20201414956329,-0.0392547174028645,0.0558715529809724,-0.0104723867413946,-0.0238375663395687,-0.133794924652951,0.0804543685077534,0.119718032737532,0.106471617525226,-0.055102332000159,-0.211809846208481,-0.220006032813679,-0.138372272777418,0.0257734323482449,0.0722252358246266,-0.0631269737005087,-0.0404442586872833,-0.100468710521763,0.0618640342920387,0.099267664219725,-0.138053872317498,0.0418132361865131,-0.229252794749257,-0.0517890800943605
healthy,-0.294596965886117,0.0296408118589211,0.547540121267281,0.140568376433903,-0.494392652181664,-0.379780294200656,-0.148943440124657,-0.701805949321856,0.0234036017427725,-0.108944781406578,0.35166198088114,-0.198717647246824,0.0433661066470277,-0.73589966600209,-0.242276339877294,-0.432068329939741,-0.484845070614694,-0.0311479680403088,0.355776680507145,0.164251766687646,0.275420073636171,-0.395849837832254,0.279948221076403,-0.40005754235909,-0.401495430195734,-0.141429177580192,-0.264876686328374,-0.109525664855132,-0.163179678086335,-0.576296680543367,-0.299138692130003,-0.351497993154134,-0.363106490385848
healthy,-0.310198465259243,-0.153265215438126,-0.0101968411844684,-0.12058358651569,-0.126573806687053,-0.110734796747673,-0.176324625563341,-0.30434604137799,-0.178831380777359,-0.424606454788949,0.459768168850026,-0.0946674459361287,0.0363444888660202,-0.241132536043721,-0.25280467153446,-0.0244601062489233,-0.227108000866431,-0.0729393228554331,-0.0541246888967001,-0.035771874939143,-0.200168505848487,-0.278463309884379,-0.157981709439109,-0.0553280851106019,-0.20120036516715,-0.133595530315337,-0.319561599854649,-0.232110799929635,0.183562551527605,-0.228045813821227,-0.150725856246904,0.0620001420766393,-0.185734956149907
healthy,-0.308853784271638,0.0213692744539734,0.311231693028586,0.240645850298906,-0.25269369911158,0.0534855455646077,-0.0770067573287892,-0.266958038296706,-0.144852838351792,-0.124702762187297,0.628353341039485,-0.116719576662461,0.16101970136237,-0.381023744893513,-0.0210144750314278,-0.240614530264605,-0.0946668519254863,-0.067625197646736,-0.102658599280493,0.0980525107791669,-0.151555341417301,-0.196614473521111,-0.137195347323636,-0.0314398517990135,-0.129908840935511,0.0368496002067448,-0.109710599558119,-0.0983478913790409,0.157680586754939,-0.231989908273935,-0.100106556134888,-0.0321044017632512,-0.245803871715271
healthy,-0.195071473230354,0.151364828198633,0.465732760366705,0.365058696025773,-0.50180296972369,-0.121619579891355,-0.0748673862165182,-0.496830023664647,-0.0411192874261614,-0.138786601485605,0.471632110555234,-0.117559860567904,0.206652044960429,-0.565603627332595,-0.278477046617133,-0.285724690851399,-0.23413916370761,0.038079327306945,-0.120532782383103,0.31778575965789,-0.0898084391460452,-0.191878973578126,-0.0816725239433105,-0.142055784290826,-0.234940102347377,0.0623511965720506,-0.0866440309677923,-0.0742834652797284,-0.0186945965971248,-0.283157718382512,-0.228969609221813,-0.331396156127044,-0.357200347175054
healthy,-0.282462049842079,0.360721105091289,0.469890556728077,0.305330526788823,-0.277379763414179,0.0,0.0237611171334211,-0.513497682614788,-0.0567357286655157,-0.16904864537571,0.809214324437339,0.0160023850082224,0.105573218149218,-0.283580556357116,-0.108108950666385,0.0838912911037112,-0.170120986320222,0.0,0.183197107958189,0.449145085755746,0.295749652685353,-0.525471806463323,0.141935684113317,-0.0063039698517239,-0.378188241370835,-0.236383530477239,-0.0714223746187377,0.0,-0.205434492117219,-0.453243290774217,0.0,-0.245642543580165,-0.171283287696232
mild,-0.0605209124713078,-0.129783920752257,-0.134928697522267,-0.125759054630694,0.192452406909038,0.142130788820576,0.401960366370821,0.189220117251928,0.0342873614468577,-0.0514627310332488,0.320082059753911,0.0753098881206956,0.0372852538517863,0.171310533100884,0.0295332192055319,0.18854114482699,0.0146489515218619,0.0339140436578625,-0.0147496578542364,-0.20545652082358,-0.0742743080366277,0.0040574225364401,0.0525170809827473,0.0514653319837329,-0.0213383585735411,-0.335147014329565,-0.0355236293748988,-0.0828641168478335,-0.0282834973970287,0.121946308817974,0.0979087555080433,0.0052015232997682,0.11046157175162
mild,-0.404007929926529,-0.104392467019096,0.221531172866314,0.0491720206553065,-0.231647216045076,-0.106010158326131,-0.0569412215215901,-0.351409933723358,-0.165325938504986,-0.304051599195821,0.581137505097784,-0.194436804164048,0.0921110763645029,-0.343843098489266,-0.0052567674271883,-0.165079080399822,-0.259845015175833,-0.0538848186434991,-0.0692572637503108,0.150828099347112,-0.0120545162325697,-0.40353650520712,-0.073822720148216,-0.0976127865686005,-0.220311262204456,-0.232667976004256,-0.34078499776321,-0.208671222328149,0.116891698008818,-0.176508729458669,-0.264388539912422,-0.225070064558907,-0.269291066796738
mild,0.31532487888505,0.430553150236934,0.378288968395553,-0.0003799824696141,-0.105072302869589,0.0,0.0,-0.183875932625393,0.108859220459026,0.27176362753126,0.101014182723221,-0.0554565840074281,0.0387125989507683,-0.276999395385522,0.0297987725090886,0.0,-0.0290904464357534,-0.0862586787291456,-0.13825330125375,0.418449975440021,-0.0827598330356849,0.246793178445495,-0.11102060880039,0.0,0.293014696797861,-0.106027733024657,0.155216971704947,-0.110228518829579,-0.0936195626787497,0.135960850988507,0.0,-0.0583311014831711,-0.220881764176938
