group,CD52,CD3,CD45RA,CD7,CD49f,CD194,CD45RO,CD5,CD62L,CD197,CLEC15A,CD27,CD95,CD278,CD11a,CD244,CD54,TCR,CD2,CD226,CD29,CD49b,CD81,CD18,CD38,CD127,CD26,CD49d,CD305,CD99,CD150,CD82,CD101,CD224
healthy,-0.0511023538097897,0.140765939688646,0.162284078983045,0.240347856575669,0.364207131280631,-0.352192489098827,-0.286208165862213,0.0308350117574755,0.238663675775994,0.0790206262752691,-0.149964062964643,0.39901455598752,-0.357272552643104,-0.303299349923967,0.0760849291567665,-0.130379049359549,-0.0189637857317871,0.193524425550593,-0.0588554410226724,0.114019747628857,0.144001058068627,0.182102224446023,0.160557715067702,0.104789917510206,0.0169590659769165,0.281881311044628,0.127757796165158,0.0009634524920713,0.15471899428811,-0.164884661572663,-0.0132090465274152,-0.0070024697163073,0.389978599821022,-0.0892536959941399
healthy,-0.0835143872985395,0.363122531478191,0.549761061949534,0.382373358177993,-0.377268065055669,-0.0794964040939478,-0.534650150424936,0.109819472759877,0.476645373151405,0.118558452168146,-0.0251646709755321,0.413180066380576,-0.449487362280173,0.0567795884114223,-0.0926803830025957,0.0476436921278369,-0.206026868664135,0.484438600512889,-0.189318248382588,-0.325270896019439,-0.228952642714878,-0.072595299413656,0.0346492755669973,-0.210660365671874,0.328832984542708,-0.0294929317568327,-0.153539379373883,-0.0771376754793755,0.278520486743657,-0.357114281177832,-0.230527929255034,-0.184762805019611,0.0583784419987871,-0.310423708167777
healthy,0.168349638578636,0.165005175044062,0.153910535684282,0.284316849338673,-0.109352528934405,-0.180175784834957,-0.155865854168058,0.0271307455366488,0.0778763531880143,0.139281727232385,-0.0800497983198988,0.246986094830212,-0.204250980225238,0.171839964582451,0.0693243176990193,-0.177759506140356,-0.244560153753217,0.278004919167,-0.0047147587601847,-0.294552346640077,-0.114933595193666,-0.202423802274267,0.15464341544356,0.101657097093815,0.0223123586961649,0.292647752953881,0.276871434567996,-0.0006140413005874,0.193867704356929,-0.0651201074411511,-0.111978714434144,0.0056361079408897,-0.101327141643019,-0.0673882799510832
healthy,0.0142661540727267,0.250360336413606,0.4173167511113,0.280949298771248,-0.0761538144602116,-0.211872159490757,-0.228863338253117,-0.0436209598849015,0.432126467780172,0.086908318026492,0.155994908885874,0.392179528804269,-0.238454227535912,-0.0644650640626291,0.0629969543295716,-0.0344213192789322,0.0739350597892011,0.360329757993666,0.0100163836809695,-0.107493640932818,-0.0869194839998013,-0.151030003591925,0.195202352074983,0.0515767132174622,0.102417917183306,0.237902444460162,0.403076314878688,0.301783062625164,0.352099239024344,-0.10972380976727,0.0461315301221113,0.0643049585303409,-0.136070793260272,-0.0852331110996283
healthy,-0.2949934245862,-0.0880947934444846,0.0842872903155936,0.0323477577921874,-0.0218504450275,-0.0455875085553046,-0.0734400494316234,-0.143550038734318,0.781622783975215,-0.0883574822216795,0.0260294727297504,0.109530631778992,-0.0820040252160217,0.0091526912683714,-0.0572072811277588,-0.0749752849477884,-0.0024010019091939,-0.0233478598127535,-0.168421584535885,-0.106586619411407,-0.0329984818128374,-0.119378231556917,-0.195618347620964,-0.0152142601917348,-0.0262441124637593,-0.0964844101420279,-0.0434639431381676,0.176088523941753,0.0441092105799683,0.0206809574540114,-0.0943395635149018,0.121113423170681,0.0417179570379994,-0.0678828051701167
healthy,-0.0595897736681558,0.247914432440545,0.529053475362618,0.432324608512276,-0.226925587247572,-0.468483511155669,-0.548278810419961,-0.0940973721512332,0.190092995441921,0.156475246013834,-0.140632194341993,0.249658230126773,-0.578343384190399,-0.341777044442483,-0.25039749381585,-0.0651256458931868,-0.192254356742304,0.403251889567794,-0.126359114277579,-0.300569538986328,-0.327081013389711,-0.0890100268057769,0.0827583605770648,-0.248595342796092,0.393866775844824,0.0450213524077679,0.122570805402568,0.0797713039186569,0.287505439596492,-0.407124668493612,-0.24457887881434,-0.200057058025799,0.309551536220846,-0.362477095057986
healthy,0.156062657735271,0.323339383230292,0.342817091464489,0.322710577380022,-0.218135625016261,-0.376454661598626,-0.271071660516158,0.0781167574245102,0.101343648145485,0.0130928604612728,-0.138308487608286,0.210674511279524,-0.200867151932657,-0.122165697880615,-0.0957588673116152,-0.206334365473345,-0.276635742629997,0.437537953897308,-0.0990579190922612,-0.274634491884591,-0.112986536573206,-0.148692485979877,0.0868008156506607,-0.073223034431563,0.0112613430001862,0.0571666427291039,0.0637320616889377,-0.0888783060570743,-0.0585895565688141,-0.32468370623023,0.0,-0.39170539300964,0.0353446195086078,-0.15223643972751
mild,0.159027233978494,0.213559928348457,0.45644493977862,0.607179662272901,-0.19635444362409,-0.286543558542058,-0.506703588075232,0.0941738796479747,0.182256524800653,0.229366153636031,-0.525182000283528,0.549605678825924,-0.642429545940944,-0.108744906726667,-0.443219447265763,-0.468076336770957,-0.48956830682213,0.354807452285542,-0.26252291921883,-0.49883780239371,-0.427330801842812,-0.085796095506078,0.0461371818357509,-0.4550456664894,0.275003609191862,0.42920270886179,0.568484084439559,-0.388242617132894,0.367263421351585,-0.568862645344865,-0.115580868714397,-0.0140936338460604,0.012902661732238,-0.17975843063537
mild,-0.36654618525395,-0.173261840502815,0.146874322104121,-0.138129122717058,0.014715929626166,-0.212692382335823,-0.235827543543564,-0.243527465010934,0.443405761327493,-0.07812592604248,-0.140344834874356,0.0078913907244188,-0.150500775807983,0.0416650751810314,-0.108992140953877,-0.0592566029601272,-0.0273391408748893,0.0168719888778385,-0.352573344276386,-0.0200719672591425,-0.0329828033192498,-0.0869902487359789,0.0165702906417921,0.103598887084276,-0.0106623612933791,-0.230421956237486,-0.210268273105516,0.122935350132465,0.091664475053788,-0.132765106066384,-0.0978994992251779,-0.0231179432134635,-0.0336412722625294,-0.182658146376484
mild,-0.550983309439783,-0.189674179297027,-0.246358311150716,0.0226891193567271,0.101423907923361,-0.129565853189198,-0.0705800096948912,-0.294705639367826,-0.0447991112923859,0.123921502535117,-0.0441951916914169,0.157601739599799,-0.102070833300593,-0.0637737067069748,-0.0238454375610429,-0.0535686697586715,-0.147113177263372,-0.2794129493953,-0.293651518544967,0.178448195225156,0.0,0.103286524530957,-0.0492244084036187,0.0,-0.049658438355985,0.0195356435789992,0.15393650767063,0.07248002963628,0.0269409485253125,-0.142530297063886,0.0,-0.143370810609153,0.0712515086250406,-0.0067356849120544
