group,CD47,CD52,CD3,CD45RA,CD7,CD194,CD45RO,CD5,CD32,CD62L,CD197,CLEC15A,CD27,CD95,CD278,CD58,CD11a,CD54,CD62,TCR,CD41,CD2,CD226,CD29,CD49b,CD81,CD18,CD38,CD26,CD49d,CD305,CD99,CD150,CD82,CD224
healthy,0.307379405660275,0.121411367837525,0.254776939301283,0.346363902890532,0.378725716369627,-0.27399058911029,-0.334620956717541,0.0869724471672545,0.0270465382704323,0.124934315571433,0.0345288320890791,-0.0820603306757164,0.331400375573617,-0.35956407940385,-0.22636216878439,-0.149092322146156,-0.0912629390688864,-0.167047958754575,0.250327955430794,0.351688793211392,0.304276454466429,-0.0359973200094077,0.0992826513439847,0.0125896029825936,0.238525371355882,0.100933223283414,-0.0492857467932612,0.0695063344106089,0.155516161301628,0.0197911562802197,0.223106945846075,-0.294573433533186,-0.0338372941536749,-0.237870264216948,-0.200156582334822
healthy,0.219429350680946,0.0727188308394507,0.439865532992376,0.559710214697304,0.462708666161863,-0.209798922350427,-0.540553864443866,0.267111051801063,-0.0060095966645117,0.337210815082158,0.255753611922694,-0.0390160417178926,0.337666525404324,-0.488301154314102,-0.0194711077501532,-0.187960448101547,-0.140813220504102,-0.172392369948561,0.0914360361937141,0.543190040984231,0.0766645658242081,-0.0223919258858139,-0.201084557801281,-0.184787964831254,0.123340954952371,0.125833577311195,-0.111947300496829,0.239001101439206,0.0088708033253151,-0.143722112325438,0.338934811406262,-0.345949469327015,-0.118628555931147,-0.159910426236234,-0.34254115805085
healthy,0.0507597028238212,0.0029970450261565,0.322249780506869,0.757805256219806,0.479779289994644,-0.474516632619279,-0.775545878689737,0.0638637790930024,0.0318775799742012,0.151231220010698,0.320626042507628,-0.11825237679448,0.277083468875748,-0.768789247449876,-0.03645900337814,-0.504874661087125,-0.302177267838503,-0.333939246596289,0.116934728510197,0.44815132444369,0.0922178082851328,-0.234531127235754,-0.203192322053117,-0.358473375955663,0.0695796751729891,0.0589235520826422,-0.294118156688638,0.52240359228804,0.0840398178220151,-0.29204018591758,0.455387996696904,-0.620143203365335,-0.337436785136078,-0.495123334846315,-0.418239003780027
healthy,0.154198510022883,0.137757602129065,0.431035160079878,0.585192934364201,0.517643714906394,-0.313802923354948,-0.331669247931321,0.151474687870587,0.136072511158646,0.0851949668790293,0.177321901918545,0.0339082605710916,0.462760522395888,-0.382296379492378,-0.0917028706939383,-0.0448243309086729,-0.0750952951579623,-0.147510441274684,-0.0725732097090166,0.472330565733935,0.0737834975538817,-0.0086997497794558,-0.107354307366762,-0.0791074585533305,-0.0360301803875411,0.311181789482683,-0.119412799420702,0.262479146407216,0.273241238224417,-0.100266704324421,0.336434101100839,-0.255601053164735,-0.0390179764380323,-0.26901325859994,-0.217519609448311
healthy,0.276048559102073,0.110757412109899,0.528157274184436,0.799834694710915,0.61973174819583,-0.358140042667479,-0.710770294034541,0.257372870955595,0.137273997047858,0.110974751563534,0.330696434345903,-0.183533813539783,0.349638185070049,-0.727993096007012,0.106622980100624,-0.280102631599215,-0.200566673593815,-0.295265628610001,0.112048776431102,0.563987616056917,0.0719304656637856,-0.0569042980125111,-0.350254761094888,-0.340308515002391,0.0666817879588876,0.313074626259147,-0.2809951689691,0.589031737441022,-0.0488728678176309,-0.290611375174736,0.584212785297216,-0.642137910285111,-0.28002981654638,-0.425870909618561,-0.555184290016862
healthy,0.333493044456729,0.246822916798318,0.360114903694728,0.487824615058397,0.410256482475544,-0.33081981303354,-0.544648198044648,0.0863884714204607,0.105318064472474,-0.427612468303675,0.187313519872306,-0.252599111003025,0.255927393433916,-0.592226965793613,-0.271137921753675,-0.301058877048977,-0.271511058764535,-0.300230407219828,0.169156195858446,0.395527499962263,0.16010326000066,-0.0161157990945225,-0.178284366487111,-0.209918931439185,0.170621297520433,0.23725464046627,-0.469945466865443,0.380631037538453,0.204304742702115,-0.237830694343033,0.189943202148513,-0.435628462749837,-0.218299025334391,-0.404157172795763,-0.291811343104262
healthy,0.333104498376034,0.274354053091837,0.0964325470770757,0.173925406482889,0.247644952589324,-0.324294395174315,-0.217824174064434,0.0379110765931881,-0.0916500232289099,-0.340359428543475,0.0247309586490709,-0.0075890925179393,0.025935713689528,-0.285313128152411,-0.241043389689643,-0.0208515925864716,-0.023157984517308,-0.215165054966193,-0.0656188951539169,0.133676200002554,0.0167610117913472,0.0019834532864742,-0.123851209571369,-0.112986536573206,-0.106628300005527,0.0868008156506607,-0.108137328994957,-0.0493767454035477,0.115997087628773,0.0055082770244334,0.0328739627824875,-0.324514555099109,0.0,-0.364035088053087,-0.132157218087257
mild,0.293407401888508,0.175216621770898,0.28155107450215,0.525544138472956,0.60667264556851,-0.308742543345516,-0.556046540493673,0.133061940363608,0.0141128738688076,0.121459493929071,0.250592880563795,-0.487714075345167,0.567563818235117,-0.715193325548538,-0.0656081267305604,-0.351078296723972,-0.455133364557737,-0.526445592626282,-0.0157430202433305,0.428499081192879,-0.0315146136150585,-0.266695634272921,-0.501467133857772,-0.444457822537284,-0.030408723861693,0.13853480106056,-0.495109330851319,0.312893539942948,0.411985580299223,-0.426107095694716,0.379576875191394,-0.627709139973865,-0.201344348079226,-0.172619587610718,-0.244110994811659
mild,0.291314782978353,0.172602425061495,0.30340120413422,0.602964920862357,0.527637502858122,-0.218352324575098,-0.565636603862357,0.135325935845257,0.0057267016724983,-0.219257968016416,0.334557201874303,-0.127770062426096,0.25302299365807,-0.620644498491545,-0.262535068220396,-0.232063015211102,-0.219424377061311,-0.21501887620416,0.0734413982943451,0.345953413046461,0.0736096288714646,-0.0089292385064399,-0.176664130151997,-0.27056727009695,0.121383529135672,0.0222689452180252,-0.306490075394708,0.360952964224409,0.270852093869571,-0.382198715202693,0.12129952582113,-0.327516283091455,-0.254301566410972,-0.406574719039533,-0.254177009630036
mild,-0.0068592697476286,0.110920043305511,0.393585019661317,0.469366232313812,0.180617913089842,-0.307712257179464,-0.373378892554362,0.109735435822887,0.0759960595657348,-0.0027725022439028,-0.107489922088472,-0.189189446483611,0.106591514722196,-0.342901224840848,-0.11347710131226,0.0,-0.121047932602836,0.094550366029029,-0.145892938279078,0.380988998682018,-0.349014762616495,-0.123872417554132,-0.223678477242288,0.0,-0.103913934821784,0.0550912602457688,0.0,0.0220352872029339,-0.205149729490124,-0.208970578370226,0.0940939523055246,-0.330854769443072,0.0,-0.292236952397954,-0.242854707271769
moderate,0.0413436177353,-0.0575146520947235,0.271361982734848,0.611878634574522,0.436469093971601,-0.448288813658394,-0.476056458094614,-0.0395556230230627,0.0141855384681576,0.228285616738468,0.180521018237978,-0.051857176047781,0.288664411454523,-0.634919134485273,-0.241036655859149,-0.152518516093994,-0.30100699824092,-0.0330306776076315,-0.112276457402062,0.393106885286059,-0.132896394456048,-0.178430141255771,-0.272360008878873,-0.0896759345800877,-0.0829718815458661,0.175951814716319,-0.217443745910461,0.148556367484998,0.3126439114926,-0.227966436791361,0.151250658385545,-0.464454785563387,-0.0751960808462482,-0.151478628872014,-0.243923807399058
