group,CD47,CD52,CD3,CD117,CD45RA,CD7,CD194,CD4,CD25,CD45RO,CD5,CD62L,CD27,CD95,CD314,CD272,CD278,CD58,TCR,CD226,CD29,CD81,CD18,CD28,CD38,CD127,CD45,CD71,CD26,CD193,CD49d,CD305,CD99,CD82,CD101,CD224,c-Met
healthy,0.173905224934363,0.0542257920806268,0.331476831640494,-0.0924414791418251,0.468539255958498,0.44956950677667,-0.369547504705626,0.19744584897343,-0.149473232042768,-0.46736876855407,0.0956029603034262,0.455907492906407,0.29852180224793,-0.519087198102694,-0.157380560152025,0.0122915511197583,-0.139423465999997,-0.213287485352348,0.465419406036472,-0.112643379998738,-0.154613143715957,0.0870289467746973,-0.0732774876708963,-0.0373907024770227,0.223557933060187,0.335376125951137,0.0904217723794761,-0.0421838387716846,0.0271420464304191,-0.0997426316762029,-0.0336003718982852,0.382329495765277,-0.329454333014305,-0.158464401540565,0.13669874199869,-0.255719152047702,-0.114013018827289
healthy,0.105141491660919,-0.0146080536433237,0.499418032404382,-0.112457753791074,0.773573275621209,0.50033087159427,-0.263816624864459,0.195010054997345,-0.127602382505426,-0.722606702841423,0.20759374478378,0.412495988223622,0.353162496783297,-0.592729638831067,-0.020676162254654,0.0675541433892448,0.0744268219778105,-0.243275078489994,0.637628071318281,-0.383640947183998,-0.375558649588379,0.13579677177912,-0.320488477725066,-0.217019317392449,0.248926939365579,-0.149543993601323,0.0942708649613096,-0.0641341106021426,-0.265484793280622,-0.0028331521614743,-0.283657398457114,0.367881063035758,-0.604374716709681,-0.428919192486545,0.18521917898622,-0.555822263096351,-0.001682362252283
healthy,-0.135702022507544,-0.190682843840674,-0.29135702818696,0.102321514758059,-0.374280922385821,-0.433886375749062,0.24869815595419,-0.199355756440489,0.0584575791428813,0.341698462193341,-0.111674038751703,-0.519296487437423,-0.446534925853009,0.387411047424034,0.175250578264345,-0.257884746510661,-0.204647936826424,0.384559879832035,-0.442439865098686,0.365796385180345,0.312050303602683,-0.233427042563878,-0.0108749532486553,-0.143854403787904,-0.166553744719985,-0.206199861051,-0.189346649349063,0.218644167323396,-0.170349797115669,0.100759728288477,0.0581928248494594,-0.304935707482631,0.236273862946244,0.0418075678081067,0.0017053078622039,0.152824974378907,0.246723420586935
healthy,0.160259983859078,0.277838375397899,0.282809402643467,0.197645700988713,0.3358580419068,0.437203336411862,0.0021713202826841,0.300206690357698,-0.0024182343107368,0.0011562462580716,0.389685789436178,-0.107410139917291,0.206504212478349,-0.0446802177653525,0.181596724575774,0.252794198914218,0.0454271069719656,0.0165102617825665,0.23821778906639,-0.0637126287185778,-0.130587530959427,0.341122205067781,-0.0068328303970471,0.121223393033316,0.200788209680947,0.193026313560361,0.315756697692891,0.137640604746026,0.0897520326000743,0.0168807008692508,-0.309089885091558,0.163547679035593,0.0583072762711983,-0.0351453401871202,0.105161310506674,0.0725574624241009,0.0399062360297271
healthy,0.238000564462774,0.236995505535013,0.275129218303644,0.0667225658561206,0.312240781058817,0.276804248252039,-0.191429426146447,0.169062325383176,-0.0283946107924885,-0.251862813807417,0.180109992009368,-0.612441680493723,0.152440843314725,-0.241370979133944,0.0775559159316037,0.0966419944644566,0.0144169888257525,-0.0852829880812772,0.274646957336217,-0.0353524759799245,-0.130782507013612,0.322120012039108,-0.137574984590936,0.0134449741433652,0.296468809461249,0.158011809268561,0.156372165677871,-0.0287372190123802,0.209897821533515,0.0787305844153826,-0.151994463655881,0.24907041717357,-0.297838978348382,-0.301722119897938,0.0036545198855621,-0.160050480853193,0.125804097678349
healthy,0.302103169746039,0.253864968854512,0.28681925622857,0.0437696038230105,0.360285195393988,0.282603676156694,-0.0560177158464575,0.186669506393413,-0.0261877982082887,-0.288881450080394,0.138742029680878,-0.589034713317564,0.066825677724965,-0.301626562714338,0.0545184442638751,0.0480680948378351,-0.205028819956599,-0.0649304162819709,0.275329333747884,-0.130816024964891,-0.0683460791506405,0.261975956530055,-0.328505060853672,0.0189737714535601,0.116021595106308,-0.0463632537589765,0.175440697773684,0.0704687030596835,0.10624190365976,-0.003190055268691,-0.358093435055805,0.223751081055007,-0.402132945201942,-0.271271020827682,0.263950209612056,-0.138706944392822,0.0475196956135504
healthy,0.42290474214236,0.378309936773509,0.477790023254129,-0.0887404986819604,0.248827835348022,0.423185568085073,-0.299282142931969,0.275961006685853,0.0741928759472128,-0.199331688909103,0.117592847765422,0.0778041928449554,0.288538989032648,-0.197332634317409,0.0,0.0,-0.0732617068307735,-0.0247309586490709,0.681023463305829,-0.261763646221757,-0.112986536573206,0.0063039698517239,-0.102318279901058,0.0132492321856179,-0.0269531728924031,0.120208785959196,0.457620787135236,0.0,0.0395127982539172,0.0,-0.0139612632827821,0.0228244166755661,-0.0448425318472423,-0.18032682432432,0.0897682621259679,-0.104036192314004,-0.172577545634515
mild,-0.138224669139479,-0.136588751369524,0.0019934374160944,0.0044096868599508,0.163279356709931,0.0863104311881576,-0.287452557824115,-0.0480753755059061,-0.436729196324941,-0.189051651995539,-0.0049969909812077,-0.351321730078072,-0.174396317790358,-0.203420258239075,0.0158570062730938,0.0016251964914989,0.0560828787899115,-0.236836220808741,0.0637441557644828,0.0612640749426059,-0.0394733706699576,0.165682703804684,0.0227186429824962,-0.174452517234174,0.1415697728502,0.120703487654976,-0.0408359721434159,0.0102932449788513,0.0512904373723286,-0.0245573878720437,0.274675201117379,0.0306573396538299,-0.125187355019681,-0.0848680775666123,-0.106504269938764,-0.149984572939846,-0.068764927059046
mild,0.0332273205939603,0.0393986824004335,0.0525683466363162,0.0765961417777013,0.244233695350077,0.0865670406350643,-0.144678258417207,0.0273564792964443,0.0214441336002037,-0.192166549186303,0.0862198273968676,-0.244114151650465,0.0841310119787685,-0.230440491441798,-0.0168153935743105,-0.0248168149835063,-0.0498471812960463,-0.0669533039729474,0.0419904814339152,-0.0046692120369415,-0.16748430198686,-0.160104728375024,-0.158705073335426,-0.134012861280915,0.372061776498757,-0.320519604048819,0.0618819668056277,0.16847198947769,-0.147078806948341,0.0608601324993268,-0.167663198100699,-0.0332665747835861,-0.294286576146676,-0.29139159360638,0.023622374153342,-0.0772214407932834,0.0224617575020641
mild,-0.0023584467069261,0.104793942009409,0.364052294476064,0.0,0.21743864682585,-0.0198512436368182,-0.226698223354008,0.317627428253065,0.0,-0.181615694223663,0.160488715950684,-0.113498112259909,-0.0861269055705037,-0.239518543813829,0.0,0.0,0.0122000485381642,0.0,0.308861184042565,-0.012092414729516,0.0,-0.05545492342131,0.0,0.136635508877164,0.0003228247785356,-0.0190862290966648,0.002233663731298,-0.108859220459026,0.0217110149651241,-0.126393642722641,-0.0154600364683473,0.107851565971155,-0.0376532932706954,-0.0441546615010308,-0.128851839979537,-0.105924541123384,-0.0039349050355788
