group,CD47,CD52,CD3,CD117,CD45RA,CD7,CD49f,CD194,CD4,CD44,CD45RO,CD5,CD62L,CD197,CD27,CD95,CD278,CD58,ITGB7,CD54,CD62,TCR,CD2,CD49b,CD81,CD18,CD28,CD38,CD127,CD45,CD26,CD49d,CD305,CD99,CD150,CD82,CD224
healthy,0.370552053369614,0.167472403336055,0.311310750802148,-0.0812870776630691,0.46804018346455,0.419233858362849,-0.0017902955399722,-0.308031140322402,0.214653850556739,0.0397132419315115,-0.377744652700625,0.122590346557014,0.249075765646949,0.143271933097534,0.352123916458271,-0.398267107036438,-0.176541702558596,-0.141884461547254,0.12560046907196,-0.102148796507981,0.0836451054242572,0.442092166023515,0.0053875737434023,0.0639005941695847,0.169336348867715,0.019965896570341,-0.0297617733929014,0.109405228192645,0.31128389979846,0.151221462576542,0.132339093863883,0.0306272282743785,0.29675183646185,-0.220147259638026,-0.0107716450460614,-0.148968511015579,-0.274830391761114
healthy,0.164001352202344,0.0607021265461768,0.313494890765731,0.0707999418141433,0.394214736146587,0.231176415787277,-0.0742262955511491,-0.111234876670947,0.241740482536907,-0.0551831629065984,-0.37442460871273,0.202100281297131,0.103088938373045,0.205433305944703,0.122794156516414,-0.296447089659898,-0.0158147626569307,-0.114965521708453,0.131901712806264,-0.0738650863623265,0.146708933318798,0.340970200395356,0.0229618542951794,0.153745063473104,0.126672496194341,-0.1915951641596,-0.0047457738271743,0.160214782034725,0.108342378089541,-0.000874924329111,0.0787263112333273,-0.0404931173471783,0.158208568738177,-0.292960593583018,-0.0113709855936197,-0.113456591327065,-0.194750452124349
healthy,0.0589909664900157,0.0123469066024503,0.256853086910852,-0.004868657047357,0.568912819384628,0.352384452651277,-0.215944404772938,-0.48434137644695,0.0370921253757757,-0.247594834609186,-0.6390737401687,0.0346165609563139,0.0215118570134311,0.259315152976258,0.219812849077212,-0.678964300158653,-0.10101163455296,-0.453038564604791,0.159357431070236,-0.31123162984088,0.149999821685173,0.380454842778502,-0.192187742130175,0.107365629038579,0.0101274482516294,-0.223545851576201,-0.205883407419518,0.368384709862604,0.0777666470047282,-0.0078552467290379,0.194827561568916,-0.134313265797475,0.361953593164112,-0.502031922958353,-0.274773273154897,-0.417307575096136,-0.358151424139013
healthy,0.0500165094633323,0.0611987358465917,0.153387935184597,0.0728848144694054,0.278720725717326,0.231642746313806,-0.129912514305536,-0.226447903795096,0.0817955281137238,0.0129636098647492,-0.128769774182587,0.0511961703998415,0.0787781675586653,0.101972452166511,0.201908128179287,-0.247256384466897,-0.156916535417312,0.0041784934763803,0.118661890288291,-0.0424781181128271,-0.0897722601436935,0.198764614381443,7.61208999050802e-05,-0.0722508330313211,0.131053695958275,-0.0217582789249705,-0.0103500104458711,0.0375290323533962,0.278849176878313,0.0206182721688343,0.332367365885062,0.0275210418133278,0.181924224621437,-0.109607178178653,-0.0394905944200621,-0.0651223735064271,-0.0165993560462723
healthy,0.278115963182445,0.149016543365224,0.315697329556286,0.0716474780996388,0.384153387927593,0.292656449689373,-0.136386041430148,-0.259186621466526,0.158778714562013,-0.106709174407271,-0.366781547284455,0.152435298103646,-0.427970501222919,0.225187819504662,0.148097502862788,-0.370305634074074,-0.0484092165759705,-0.0594768952953442,0.187652185284664,-0.166541518609946,0.144458218559179,0.286184454224944,0.0538277928049266,0.130436533188183,0.294883872693692,-0.129406105486489,-0.068610911458454,0.339133933807652,0.106507462582627,0.121755603417635,0.16589245311215,-0.115454899854186,0.28074258128869,-0.371119992981739,-0.105030855770011,-0.309500528393467,-0.259981387905279
healthy,0.286406597359973,0.245929795600344,0.336065828730611,0.0622573133763417,0.494830632877405,0.433614034301876,-0.20532468172086,-0.347353618279833,0.165718894817802,-0.343757002292091,-0.547969460794486,0.0849559506604589,-0.390411957094943,0.2250556331825,0.293958741037386,-0.593055337772515,-0.284060099594711,-0.305899754061629,0.208929132758212,-0.278690888924179,0.121858000788469,0.340462204000894,-0.018324551013139,0.143387125692745,0.197571598603158,-0.404548912956566,-0.0965326131528116,0.404357836020893,0.054773249676884,0.10687919430666,0.151040704143321,-0.181427387058861,0.230431470213553,-0.437443761224939,-0.200003593458272,-0.415255531943083,-0.252816917674852
healthy,-0.362784525728759,-0.233899801322213,-0.357512325336167,0.0964992308071591,-0.302953709583217,-0.388794312536915,0.0789324264811138,0.329083200732717,-0.191292860544711,0.0,0.253919825937958,-0.117549297113555,0.0772280661044814,-0.0722531929159131,-0.205008890758759,0.246424540278962,0.146683870533527,0.0577055701811655,0.0467959812090017,0.25633155424824,0.124339433258347,-0.475075088946758,0.0576887505457992,0.102569140969674,-0.0703135098846134,0.103288121416708,0.0777458744537751,0.0215053486914026,-0.126776564302228,-0.246423352407297,-0.0519593047809805,0.115209138219099,0.0052890128671811,0.286523589040658,0.0,0.264013479473346,0.166338604577829
mild,0.24257233850637,0.151155514602668,0.0950897936095817,0.0325010864728734,0.216572191162957,0.411173865364536,-0.0049355924848378,-0.295913647817613,0.0049565150203255,-0.127611141514449,-0.281358779555863,0.0347603867783249,-0.0509099022456467,0.137868621642427,0.275459094318661,-0.427126793079011,-0.196688222716438,-0.259858247766892,0.234423460306751,-0.324849944010819,-0.000187102010708,0.157469579835639,-0.142095066229719,0.0208272187259275,0.084666435324057,-0.326149022263923,0.132138620173224,0.0945383705902068,0.476125884091131,-0.0534669070280469,0.546527471279938,-0.141793538007513,0.18645923499041,-0.402461111979901,-0.0452052640472478,-0.0063958535471659,-0.101563831117432
mild,0.156785881872427,0.147267631866941,0.298928185996851,0.153241513090216,0.517008283666786,0.455134225229625,-0.352266259112702,-0.17687083389654,0.115999963868323,-0.177228307591296,-0.494901316760508,0.0662237102518997,0.0288064746892424,0.304301173899803,0.27967398037486,-0.550636588297129,-0.121587252409036,-0.2211197812338,0.24425870888731,-0.171883169858462,-0.0120029253384845,0.45365821577628,-0.0487281891965836,-0.0504538033347779,0.0422984007346494,-0.203098558621338,-0.0727250460488619,0.426113638780809,-0.0149894482226338,0.101544833929038,0.114789891056487,-0.119528712801098,0.0980399537411937,-0.186766740301137,-0.238349562563875,-0.331959777578627,-0.214449991076493
mild,-0.0836144114096043,0.0510081198480061,-0.161088948389538,0.0,-0.218896477425757,-0.0816583589601009,0.128359881870709,0.233407013969409,0.128652777048069,0.0,0.30005902139752,0.193191619508319,0.106118194461305,0.0924276400123802,0.231515994833424,0.19658958146572,0.173562739504333,0.0,0.049036619366161,0.0424038442348049,-0.159117707063748,-0.24822330381624,0.256011534390051,-0.151651985505196,-0.0795457533765526,0.0,0.173267707559711,-0.0530464344853592,0.312902308524812,0.0802089198118396,0.304502695739124,0.147074990956923,-0.0777934621803705,0.49865249130611,0.0,0.273523889357813,0.0641471888464825
moderate,0.0358654801969949,-0.0752462413468734,0.127851880827363,0.0871955663557246,0.369931338289551,0.189622435773791,-0.0587359092413488,-0.42317186014386,0.107068727193774,-0.147475191713244,-0.243998616191302,-0.0332833511954645,0.0568710260783153,0.0667700239838266,-0.0375288146922203,-0.404401455215112,-0.30259817963306,-0.0342271680037533,0.0704095027941855,0.0682640234213522,-0.0156237633390911,0.0959631718859328,0.0335769695608751,0.014487703576652,0.131504286883674,-0.090078975945498,-0.019438239309869,0.036371172563638,0.265206100235422,0.0056353044502308,0.386188449268906,0.0893350602219935,0.077101913483085,-0.23820769376375,0.0529775052681334,-0.144201387797005,-0.0552845528119048
