group,CD47,CD52,CD3,CD8,CD45RA,CD7,CD49f,CD194,CD4,CD45RO,CD5,CD62L,CLEC15A,CD27,CD95,CD278,CD244,TCR,CD41,CD2,CD226,CD29,CD49b,CD81,CD28,CD38,CD127,CD45,CD26,CD193,CD49d,CD305,CD99,CD82,CD224
healthy,0.15783091105716,-0.0561299384100592,-0.109143599995984,0.0377161753253408,-0.225130255498576,-0.188782285942644,0.622872867243402,-0.0198872426080139,-0.009329908977486,0.176552031373219,-0.0927949508399119,-0.147879712805686,0.102682933198388,-0.0090315585771488,0.122615658024709,-0.280296412370073,0.158317732890122,-0.095477865683793,0.459179253393002,0.210463353704072,0.411755859892804,0.359378146418241,0.473627086229332,0.0704996164386431,0.0305052485413643,-0.187313798460604,0.0650302239520803,-0.0061087149906101,0.266142489043737,-0.0405198835593044,0.175495153789517,-0.14588403750477,0.128489288468832,-0.005567722553569,0.141155263500051
healthy,-0.0223824261485786,-0.235868862171548,0.275316119109523,0.0953318139702526,0.701653955383456,0.425408103910321,-0.401181335619284,-0.263111062504794,-0.0443228774184193,-0.754008116308932,-0.0213919105463169,0.624955322562959,-0.0944086907792174,0.166189127427535,-0.647812384796811,-0.0629636237031043,-0.0309095286822296,0.411630580702063,0.0057158344904923,-0.381069536067732,-0.332064970887036,-0.302537068547774,0.0367127667981845,0.0618984386584974,-0.386551494893278,0.264252067479716,-0.230503880635789,-0.0693116650806252,-0.322046371956394,-0.0147449007123207,-0.314357754898343,0.268818676272053,-0.594091681002681,-0.403736097777836,-0.556612180304964
healthy,0.182513819432981,0.219140498651582,0.252877394334008,-0.191559297582244,0.239101411669482,0.387762668888714,-0.172138578815448,-0.265642733936549,0.135421032827217,-0.253984211154396,0.0703159620367073,0.0147484805692962,-0.104852296535533,0.322310421514086,-0.314641524484507,0.115114111467435,-0.185009381866366,0.373491170393734,-0.0995424028308705,0.0103819301903874,-0.301630438453106,-0.14808242042749,-0.163618611373156,0.178802067027834,0.0860141339477959,0.124853052607326,0.284066247935321,0.170682541525453,0.26885017242499,-0.0418149513548783,-0.0199120713088135,0.24225889590567,-0.168533381028326,-0.1341288150145,-0.142577687445966
healthy,-0.172573466246617,-0.270511598857759,0.0809262921440456,-0.0976326445734945,0.162883554035547,0.11762828319587,-0.0981567373026135,-0.009447487452643,-0.0927171258455892,-0.333739293196457,-0.260624826036008,0.58332224543426,-0.151907671964771,0.184930493208449,-0.142337999080288,0.0117853111137614,-0.0503974594388006,0.187122034605586,-0.170239592120127,-0.240390194951361,-0.298144761767136,-0.100311942185337,-0.143679475318817,-0.0722736475818391,-0.128931438856369,0.112874574460784,-0.345706087007059,-0.141239304677049,-0.208153773862869,-0.105854167521783,0.0631682520086683,0.0065814004699118,-0.283570618582413,-0.0631820854107482,-0.38475012465028
healthy,0.0889644062054676,-0.0670928682444613,0.308349512528174,-0.0098637752699878,0.556151986169282,0.498607371704486,-0.3236562687885,-0.289309535033191,0.0625326161980412,-0.51053130039684,0.102806232292724,0.748044724159959,-0.179397928247181,0.248238352715385,-0.569715923995437,0.115548936109139,0.0036311266696664,0.381314653149783,-0.0049616626047992,-0.188176648008692,-0.430140589561342,-0.253085015909622,-0.0257850349830876,0.0925870230331039,-0.209796821350199,0.379889252779381,-0.166861538802264,0.0999086088943617,-0.19392955114924,-0.0548442118141946,-0.147358133436732,0.467651439049863,-0.446014456927081,-0.225091549934217,-0.478314187401059
healthy,-0.193779708942486,-0.308662418469797,-0.048435827427049,-0.0485621135154096,0.111645656832757,0.0802969488346847,0.0384304898811035,-0.189517600120636,-0.155259483466679,-0.132771081757324,-0.227658657862497,0.732367627995207,0.0345166243568127,0.101768122028874,-0.167128761666081,-0.158356734126096,-0.0551614634587109,0.124010783701153,-0.0842642088501856,-0.159197396364485,-0.0455968174357642,-0.0242478983760375,-0.112557676556968,-0.197299538386339,-0.16740147121266,0.0001629850854051,0.0380767556694259,-0.167006539064269,-0.0022607851984628,-0.0027475468752649,0.0875413614097641,0.244146841701208,0.0021814500594664,-0.0242011037576492,-0.140348193284334
healthy,-0.0340661315052691,-0.476272545917372,-0.125438079261881,-0.046833150335058,-0.0122074641529613,-0.320136411452169,0.433777089679551,0.0993805958567306,-0.12486917234509,0.004574590951199,-0.191679530889242,0.275285666998925,-0.0904262847153687,-0.142298939781149,0.0140535764566,-0.0363493739874222,0.0598922818851049,-0.147497449951807,0.455986088775746,-0.191896646639991,0.399788985027082,0.112986536573206,0.258442117425405,-0.0586754116968154,-0.0582731136304425,-0.0717125967805482,0.0024357103594446,-0.220901415976815,-0.0907152770139289,0.0,0.11386059863072,-0.0468083963634692,0.209950100454026,0.385483544505457,0.0666074402255153
mild,0.188225933571904,0.272670350389155,0.129022295202692,-0.220100426028145,-0.0760295720594285,0.192844338581143,0.165668482379887,0.219260938629658,0.0724184659882382,0.0959197273485745,0.0272455404122334,0.503430606407843,-0.430269005528019,0.403628747757053,0.0607277798870739,-0.0433430220325833,-0.528480077223655,0.146962896730724,-0.0908372066381401,-0.0024982718312585,-0.270936357479399,-0.0207207053745899,-0.0753900891259008,-0.144288715108448,0.409813173736574,-0.146652656680276,0.171441338510771,0.0016668875959012,0.331172673173644,-0.0171765186483089,-0.298620724404651,0.0954052502391244,0.0134876660217071,0.215339683178351,0.21277899554114
mild,-0.22709751007176,-0.288135822360377,-0.0348552649912232,-0.139186874859191,0.280655047629597,0.0134405271570542,-0.0743944052057342,-0.198684988691549,-0.126474135500646,-0.237073303606293,-0.197123260844328,0.700774550563419,-0.0945248789154994,0.187543133061653,-0.139624054447445,0.0933075348714315,-0.102420358466389,0.2252561963489,-0.0757257204656726,-0.263411676074901,-0.141871952247378,-0.0661531705192114,-0.159120367456303,0.0818598056695042,-0.0635181442925725,0.110193962972114,-0.153186727736881,-0.244241580094656,-0.0554340728437504,-0.139326578063954,0.316623735693927,0.158491158542766,-0.0713184642948259,-0.081211148627699,-0.182183447043699
mild,-0.0405083719662025,-0.0785999004565312,-0.0700968576654525,0.0107946736867068,0.0373503830214318,0.224536817135941,-0.131697535432241,-0.0476525253754685,-0.0941338352228227,-0.0317164005965355,-0.207226864271935,0.0593499546734224,0.246062432970988,0.138927835563264,0.173871198480296,-0.0320750201144518,-0.0209655530449384,-0.0023578478834058,-0.142614525647255,-0.164334652656884,-0.0307244890196005,0.0,-0.102096114891708,-0.0427563990672065,-0.176540604199118,-0.038422804826744,0.278426158208659,0.109408927930626,0.0534132745934874,-0.0279407462107908,0.30323098002504,0.133119833432855,0.0571675749744564,0.297876968724309,0.29789827187617
