group,CD52,CD3,HLA-ABC,CD45RA,CD7,CD49f,CD194,CD4,CD45RO,CD62L,CLEC15A,CD27,CD95,CD11a,CD244,CD54,TCR,CD41,CD2,CD226,CD29,CD81,CD18,CD38,CD45,CD36,CD49d,CD305,CD307e,CD99,CD82,CD224,DR3
healthy,0.115951890725936,-0.0896018163492752,0.0060286946912019,-0.214435149142895,-0.278782630864197,-0.223964288057071,0.410280054144045,-0.019832026216844,0.364667568599261,-0.337196380871297,0.0012744153623189,-0.150980523517499,0.450522483636641,-0.0249358147395757,0.0084304521270248,0.078509137404898,-0.147620208339795,-0.283415497377771,0.0389979575762445,-0.204722945560615,-0.0271695304765059,-0.0802742451713619,-0.0020693505424187,0.0769274622916526,0.0347477058933012,-0.26773410157242,0.0045486463954941,-0.169480272134225,0.0929713057033831,0.222726450859846,0.125004126297192,0.202453899103743,0.0245637131448203
healthy,0.0860703085030128,0.51215058767189,-0.0947715844061068,0.750876527450363,0.503128349631147,-0.45865111479593,-0.287121320916676,0.211759514032278,-0.722813807949258,0.303919879160007,-0.0661469835428316,0.432232160836755,-0.595343958661797,-0.226085875320941,-0.0236765556774205,-0.294473143723329,0.634294132661665,-0.0529262325117654,-0.197643256512075,-0.37326566860655,-0.340136873812793,0.227607793450164,-0.177231418681045,0.340929094869983,0.118519376006369,-0.0421193283519562,-0.156126967138075,0.413119948892662,0.0175743841990608,-0.507574178885754,-0.32960302701627,-0.494653678749438,0.0590301106570424
healthy,0.209301347181799,0.350797285402954,-0.186296143964988,0.45302333855767,0.526494870431573,-0.349283990264835,-0.355315751080018,0.189458773016922,-0.455253191566081,0.293305727989258,-0.188235007265116,0.44481954873554,-0.47874309200743,-0.0081991030650326,-0.207203463670766,-0.300062495270721,0.532027935408116,-0.241041804449727,-0.0306308094250317,-0.37262528609977,-0.331903716885943,0.176137047686625,0.0266007837563465,0.248021661489482,0.195640810601543,-0.28784844708379,-0.0683482339003934,0.406182359660807,-0.0908515216232659,-0.325736129137942,-0.172866237509173,-0.236784451083172,-0.217912864113632
healthy,0.0445894073933451,0.330292991663803,0.109223906616631,0.512665744905339,0.350323025457865,0.0539324766213298,-0.305873489146335,0.235483813882644,-0.383006705038125,0.29470661026714,0.160328302031564,0.335215484956382,-0.487959485396222,-0.0341514061785759,0.151243022776943,0.0460518920466504,0.377461302717931,0.0745446937401901,-0.0330294829833689,-0.0245306265839444,-0.0113563837598747,0.258927829689776,-0.0966935153855075,0.323081857423683,0.166546489850803,0.0851982478563512,-0.003458020237715,0.221896683146146,0.13555992030271,-0.189933668418152,-0.177079790670704,-0.212494446717932,0.0372180463601026
healthy,0.294243350336343,0.576926112411123,0.0066662927465839,0.648661594444589,0.616085954496328,-0.34839678302208,-0.255552104252015,0.326953481462258,-0.546026585385533,-0.0729331697161977,-0.284856758952089,0.312019778727946,-0.547570829832851,-0.152507170571801,0.119915819154296,-0.29084387536303,0.604666690575328,0.0053906495617261,0.0642137828300964,-0.357180706284801,-0.311962530471673,0.346894068076025,-0.250338444110205,0.538471948450155,0.312408033569489,0.002346685475676,-0.296747938979414,0.516836270715824,0.0882950882351724,-0.480748644836683,-0.307787884178898,-0.368238779883374,0.0717925511451592
healthy,0.306047762314273,0.365206811241627,-0.0013783126673372,0.471852457333707,0.44066489315026,-0.11183246491835,-0.303984738571355,0.195174258765571,-0.560233627744768,-0.419377024775439,-0.307879352729322,0.35704860531316,-0.583759989894594,-0.232775982365032,-0.146600548102246,-0.302912491288098,0.388104904711821,0.123566548613613,0.0047850279958597,-0.173179992015111,-0.207508192789029,0.250500515271268,-0.469474677571691,0.413478900351728,0.146869100745012,0.110106673183449,-0.267428572495545,0.265836706548185,0.113932338817912,-0.406431098338158,-0.423311762436908,-0.303968332053096,0.0348070279104442
healthy,-0.222432797424618,0.438763614339909,0.0,0.361157556789097,0.349415333592406,-0.244226302638011,-0.213958831272852,-0.0142579314924413,-0.249169919142057,0.773957337584398,-0.125754992997378,0.13172000644667,-0.157298485626536,-0.0275290039839043,-0.0145034644193677,-0.0966776296975554,0.660703786197875,-0.0907419085851921,-0.270187552231531,-0.128262574929493,0.0412182644151182,-0.0906801817132601,-0.0344293738055693,0.0784557317545595,0.0683766784629599,0.0974015963036028,-0.0827449869004167,-0.0630338453506442,0.0,-0.261328575309086,-0.115777747200657,-0.141243296452842,0.0
mild,0.285234901400684,0.326375474490597,-0.24887614558782,0.489071335405752,0.635686605159279,-0.187913745575093,-0.227685673607767,0.0857408934262603,-0.499337288753272,0.229111336060822,-0.599461871024055,0.663156492819309,-0.650171378598527,-0.459586164182043,-0.523169965454855,-0.576512074765017,0.476505414726237,-0.151137170908009,-0.270073697816255,-0.600444601063918,-0.465283768877849,0.0510676071445203,-0.446992732464278,0.252163667701425,0.0275265015753424,-0.144051193589518,-0.474823736813698,0.4252496363644,0.0120104583363448,-0.575528027093366,-0.0996183004538179,-0.150993355421804,-0.0340291151816797
mild,0.248343997371085,0.32705425111129,-0.16900590560329,0.603906636773755,0.493077972230238,-0.197480964067095,-0.111853122177194,0.189011316006286,-0.496349008179488,-0.265261090179623,-0.189080632609392,0.246598287375454,-0.524637626304683,-0.137342325123306,-0.0755501107197442,-0.200269348810514,0.346231455116418,0.0757988183615959,0.0315311829375818,-0.206154006145235,-0.242389783377687,0.0499012853122015,-0.266021891523563,0.383563988742348,0.207123934378464,0.0632718377499889,-0.463986417404696,0.0804194641973827,0.150673725460599,-0.329734656226415,-0.377687767479954,-0.218762562791168,0.0715102449729773
mild,-0.0086624269854311,0.446564497928787,0.0,0.16820071951868,-0.0202905589173023,-0.0291457822996287,-0.0332207244070939,0.199828391437916,-0.177439320451124,-0.10829056309363,-0.29875640255722,-0.282685808014114,-0.124338791338055,-0.148588178749942,-0.122264745365324,-0.0819212478336018,0.328061740781928,0.167665789799759,-0.0233324151729222,0.0800243336860889,0.0,-0.042889989621487,0.0,0.0423632639791792,-0.0957161727494142,-0.0158064598859764,-0.0572238223587926,0.0562216443255126,0.0,-0.170839346920253,-0.15787042582553,-0.0485379628661138,0.0
moderate,0.240967317336101,0.181570336017724,-0.024242533471549,0.115776056785984,0.309591980675553,-0.0154623277450152,0.242191353638163,0.101154204353557,0.0338702848993803,0.0458336462516681,-0.209663048489865,0.26313530784952,-0.0361081341865185,-0.232224372635552,-0.241956942989695,-0.0868424712079262,0.242076463263328,-0.162909259305827,-0.138976464171298,-0.36701785733229,-0.113835791262862,0.0302913547062135,-0.125915115527705,-0.0364673456772238,0.320702933816982,-0.10354043341764,-0.484780087279909,0.041441316005149,0.0595126722791738,-0.11914005228158,0.0473531456975073,-0.0247625362002175,-0.0477443091192746
