group,CD47,CD52,CD3,CD56,CD45RA,CD7,CD49f,CD194,CD44,CD14,CD25,CD45RO,CD5,CD62L,CLEC15A,CD27,CD95,CD314,CD57,CD278,CD244,ITGB7,CD54,TCR,CD41,CD226,CD49b,CD28,CD127,CD45,CD26,CD49d,CD73,CD305,CD99,CD82,CD224
healthy,0.243106231128434,0.0766318837702196,0.32968501762294,-0.10423822275513,0.420580452046611,0.363451002443477,0.0296043417839233,-0.311418945070009,-0.0154604087918468,-0.0595067397513847,-0.0764728622120754,-0.395589043004217,0.185715178681922,0.588388979133537,-0.102289044419121,0.377770906022759,-0.435177414159288,-0.139186669136777,-0.0897862015412848,-0.109916340025215,-0.140381910176947,-0.021391842328665,-0.241249704966132,0.473155419984268,0.166210557209715,-0.066217148215152,0.0706887725804108,-0.0138199756609462,0.266937788666685,0.138320302222783,0.0008838069249518,-0.0940572183519801,-0.0879941954588552,0.249796425580965,-0.261141569112011,-0.0662996937708079,-0.259977880354689
healthy,-0.145608453953269,0.0019922275479799,-0.45798927673183,0.0016581856065625,-0.710718019748285,-0.452303241643778,0.324512701723789,0.209485501600219,0.121087008588032,-0.0027626294970352,0.0782955106439461,0.640188847383952,-0.255545279057594,-0.423555973277139,0.122189256602241,-0.272144536647767,0.596672342581959,0.0372083974263177,0.0296386259795498,-0.0315601863256637,0.156845263810086,-0.117080796605298,0.2521693861914,-0.609743769861387,-0.0111123316872499,0.276036266259441,-0.0224003295521642,0.140473348943934,-0.13167663203143,-0.0406582456444081,0.0973716813405218,0.231149827930578,0.0025813114611816,-0.316198405079799,0.470768394625212,0.232793841155665,0.447526200643454
healthy,0.0035849953003108,0.129158258943576,-0.006155747748202,-0.162589068210816,-0.262833562254336,0.0094676992192396,0.14290359841258,0.224229590793468,0.388300541120026,-0.0915123286006477,0.0159607901861901,0.321911639106267,0.0530174347318999,0.503150394469193,-0.0759404542747789,0.152485639744705,0.272915049049621,-0.182308542747229,-0.0906547500014749,0.318013086385887,-0.196440427433656,-0.119246610409274,-0.0072517512228969,0.0210090720557242,-0.216159986585908,-0.160208388366562,-0.30582389337694,0.319733340719018,0.141081957699431,0.088044072246276,-0.0257888479239604,0.156998212581329,-0.0801386209340643,-0.136198057135566,0.316183369269976,0.46474126352303,0.237788108702147
healthy,-0.200116935321219,-0.0739204475624881,-0.118772319523171,-0.113753692985257,-0.237954468225921,-0.382189903181983,0.0799862720477305,0.245301680849609,0.0658781594604237,-0.0447039324965664,0.162083037804944,0.121136559297661,-0.154851381105786,0.180502652298172,-0.0657846051076205,-0.111419163483783,0.327591193736115,-0.141945954542249,-0.0676950276497577,0.214427834447584,-0.0448173827878897,0.0023795946040908,0.120263705331062,-0.119233924855917,-0.114423704155118,0.0137498172103231,-0.0485031657314025,0.0904846668147343,-0.223642258566688,-0.0816834579236777,-0.183558155413683,0.260880314667725,-0.141466342154912,-0.127067253847121,0.0829095959927891,0.128498200236726,0.0176707560066035
healthy,-0.314301859323308,-0.327951184819144,-0.2234937214059,-0.1435692378032,-0.106277189339215,-0.0924246350917778,0.0423578898822337,0.0704529820764804,0.0269807668151734,-0.105885015058384,-0.0282274008167037,0.0697450370209493,-0.209079914428452,0.713608381753691,0.0236014446288332,-0.0250003518379942,0.0177013772257422,-0.0930462169135353,-0.113980333029847,0.0278126400950525,-0.100767348411468,-0.0608951029166439,0.0334066412390424,-0.164718552916433,-0.0339288284990714,-0.011888975733978,-0.0645619907430898,-0.104412786793686,-0.199799168986326,-0.177727663129557,-0.161744672710798,0.104762964076123,-0.159039595326362,-0.0625251418615237,0.111934452926234,0.170792631096893,0.0266815951821708
healthy,-0.341231833137807,-0.299895799223871,-0.305647325941925,0.0141549648888252,-0.378554981853949,-0.339631619424299,0.0844855959313896,0.221277161605155,0.218472361790302,-0.0872809999502981,0.0161822146090425,0.367421101055045,-0.180034110609918,0.647181160376818,0.138930955327375,-0.139307413959044,0.414651640222116,-0.0607966986499641,0.0891633705192577,0.201697182650415,0.100252735523326,-0.0286098802173891,0.212361883119933,-0.23790309782885,-0.212569699117801,0.0468372324269531,-0.242240270572115,0.0420961710924636,-0.203159845788291,-0.182481774536528,-0.196878816781336,0.284639981875117,-0.030747981478446,-0.191174784824649,0.340769476370708,0.326417686713156,0.167254548250279
healthy,-0.18947632731643,0.226276682172739,0.221413768824172,-0.103288121416708,0.133769896517174,0.0494513446351012,-0.139870071892134,0.176573723355227,0.0,0.0,-0.0189119095551719,0.137370580335244,0.19583557427974,0.473830759750693,-0.0157748367625006,0.0600352891548064,0.0774267479813211,0.0,0.0219362477911968,0.228001962795286,-0.161437489990347,-0.151964214393375,-0.0538301448063275,0.170228496080237,-0.374102293087529,-0.354770477943234,-0.230208904928964,0.0661894982520051,-0.0307991642813637,0.159705222596592,-0.0167573410197167,-0.256541755721036,-0.0149206589315651,-0.0900200390923074,0.253055289538329,0.0590319917795647,-0.0381561738829834
mild,0.158558457531432,0.217337270821528,0.0932330893333515,-0.37331653527273,0.0655051509389331,0.282500395075828,-0.103413332022796,0.299886150083418,-0.0580689137373729,0.0833093909581171,0.405746528397646,-0.0628600467105116,0.0950201092955608,0.298770113306567,-0.593976522100943,0.581635784639382,-0.13432483817373,-0.0095031355745967,-0.358825834006338,0.254469220934011,-0.474590148815833,0.108485725240803,-0.483909421081996,0.138259108872925,-0.0906380418339779,-0.507213588346623,-0.10544521940145,0.350247306217048,-0.136824530245362,-0.0419528506914522,0.0977118779023821,-0.541618552765214,-0.159135423275823,0.19197602219678,-0.273259869080375,0.102500013559081,0.183248633813496
mild,-0.376042206089194,-0.359613103887085,-0.199287802417811,-0.181593666390912,0.0083629915066539,-0.228142148882083,-0.0336084262340653,-0.024067774819364,-0.0037662860397911,-0.145705430195314,-0.0174854657538156,-0.0611640578129867,-0.281394269360227,0.583140888046222,-0.168745848236424,-0.0546288875273784,0.0521891339996712,-0.150200253687482,-0.0244975616356401,0.209628836754627,-0.125571882078086,0.178856249689023,-0.0698968144236542,-0.0044492034187391,-0.0300572712410228,-0.0681473820356887,-0.125906607891935,-0.0693874824938022,-0.326152176925337,-0.337209673985354,-0.388259371420316,0.212739865031942,-0.0860809582083805,-0.0563592115357683,-0.0218521582575812,0.0360140709711128,-0.0939840066967342
mild,0.268798296397616,0.333235398618185,0.462236389009316,-0.0472407937841054,0.600873194990357,0.226624827118472,-0.191126548463913,-0.353329160220452,0.0,0.0,0.0,-0.299079741881442,0.258319556377804,0.0934271900682255,-0.143342445002993,0.212539494793633,-0.409024085106182,0.0,0.0418175543385133,-0.126760534231735,0.0062397236626695,-0.017012181411476,-0.0382610119753042,0.6264097192799,-0.109565636813379,-0.318419880871816,-0.147956705883557,0.0964954363605867,-0.217684508680574,0.280548542278038,-0.143018089184259,-0.297442231004617,0.012427968751708,0.0811388243075944,-0.350929072958685,-0.327411669419645,-0.274165192502014
