group,CD47,CD52,CD3,HLA-ABC,CD45RA,CD7,CD194,CD4,CD45RO,CD5,CD62L,CD161,CLEC15A,CD27,CD95,CD57,CD58,ITGB7,CD54,TCR,CD41,CD2,CD81,CD18,CD28,CD38,CD127,CD45,CD26,CD49d,CD305,CD99,CD150,CD82,CD224
healthy,0.144167050624701,-0.144771233056051,0.0659240311154111,-0.0511479326026044,0.478531592608292,0.313355797736624,-0.438242346285398,-0.0639970234220904,-0.570330121092094,-0.0427441731155645,0.452810440957553,-0.130571869444933,-0.14227481534204,0.191220640746238,-0.632820174049324,-0.141108655867187,-0.169729412471158,-0.0143715061893837,-0.292967037797462,0.160920561619395,0.27948897574942,-0.280694566651119,-0.0439445245585271,-0.131140039936671,-0.296394702916575,0.0905715748156494,0.145204228084932,-0.0770751671808688,-0.0412228285753994,-0.14705534351543,0.265226531880667,-0.471276326360537,-0.166159084426928,-0.277308287562782,-0.358434172997167
healthy,0.202806044857867,-0.068729207609532,0.397161459145399,-0.0938091506360214,0.75444118822084,0.56903418917899,-0.299497670592665,0.206816130131842,-0.681650100646827,0.197006823154261,0.605238132025531,-0.17679158473332,-0.0838167322646853,0.35869052505844,-0.62926960667033,-0.0447079167000268,-0.176867708292184,0.114711648955735,-0.169983614818024,0.56120936916188,0.0175291450344092,-0.139360763810057,0.118334446938643,-0.181710017672104,-0.168569213884709,0.287711962168266,0.0238427194841867,0.0861684778495564,-0.0574048412562058,-0.153461498095851,0.402186296423893,-0.479501127623025,-0.228904535146931,-0.279084404796152,-0.512971556339296
healthy,0.0774394259818062,0.0840820791782378,0.251206373260509,-0.189755816336888,0.469584383844283,0.365965244826618,-0.433839793987979,0.0841702706636995,-0.506566313003182,0.0475915438967564,0.136993635280582,-0.185259325387153,-0.113007198188926,0.272967515459352,-0.549736082397674,-0.06210332139651,-0.421846322723629,0.107032220722855,-0.29574807629762,0.411142032491296,-0.0267115614439485,-0.117534438557047,0.0824498897139235,-0.077829546830156,-0.0742801468685437,0.23647320419472,0.207160137846746,0.0597613643119725,0.269577992798215,-0.0374274847075946,0.347980553347706,-0.369529727483322,-0.226827635590001,-0.25909068498069,-0.283251819385484
healthy,-0.0775757682203468,-0.312087941681425,-0.119192885771755,0.0393195554827152,-0.0486504403062468,-0.0654635299901028,-0.145743341765611,-0.231672865218818,-0.267942859546467,-0.312796896111657,0.280632355916032,-0.088000973730414,-0.103614546200978,-0.138906121446201,-0.170914112022765,-0.0876226097808435,-0.055175555294146,-0.0107524524297255,-0.111768468261433,-0.0839085711184268,-0.0168526068936065,-0.229135874937225,-0.159149904640056,0.0368429112511628,-0.211878720591199,-0.0235009919250807,-0.215600573607715,-0.302074466926896,-0.252516820344625,0.0299641260548116,0.0729361882427092,-0.204440148154277,-0.0451083146097372,0.0613793433202777,-0.169097632995589
healthy,0.174129946959147,-0.0907649298396567,0.42355814863764,-0.075235870481498,0.706744778589517,0.470426245586413,-0.379253871670619,0.148053843206699,-0.65580228279881,0.103489124752996,0.256696279009172,-0.119207127374842,-0.176254675667622,0.21690625561248,-0.721184550842716,-0.0342478893420982,-0.179542270001879,0.164180646241975,-0.270614514017533,0.467059452403177,0.119218047010554,-0.163810897161068,0.126121288902389,-0.270729270525663,-0.273164390469209,0.462472875754899,-0.283964963715281,0.116831021766818,-0.109435499559974,-0.189103861131698,0.448362120793343,-0.619678635318599,-0.277959403033168,-0.434714049740864,-0.585031055939943
healthy,-0.161503429576653,-0.170345324176617,-0.111997024450528,-0.0928415323828047,0.0848667825840517,-0.112692066031764,-0.240292429980547,-0.0760069484848722,0.0240857419237894,-0.0610228535537269,0.209397311759284,-0.0239788581412671,0.221929296408027,-0.162412326200716,0.0178591734150912,0.195692039506303,0.0999705809777396,-0.298636888783151,0.205474122026448,-0.110947294716006,-0.0657887195963366,-0.0181699469007905,-0.0102360921753249,0.215661810413883,-0.175694149475097,-0.310237721581465,0.0629833175002095,-0.0453061494870749,-0.0716110956479366,0.0329860720428279,-0.0164328830614357,-0.100715257136846,0.0411322100855839,0.0542236303024267,0.029515018810455
healthy,0.287694229947287,0.198563702005145,0.534190137740839,0.0,0.443376696578444,0.383566230273805,-0.500696378264214,0.20676131369472,-0.451444366399425,0.0010058795721453,0.121289451350307,-0.036369056836869,-0.114653086384007,0.219093552805153,-0.302746464784638,-0.0524455183836392,-0.0014547622734747,0.018640741322716,-0.252623238225887,0.597792065048821,0.0371153390635314,-0.141227962519448,0.0780722420098122,-0.0761325589785125,-0.155164884875261,0.0605549242116232,0.0054529341062056,0.191563185568009,-0.0360377123640022,-0.0623102860692178,0.0243423900735346,-0.385047980559205,0.0,-0.356889983381147,-0.16936134708583
mild,0.0627566241602114,-0.0941276119545869,0.263101289364863,-0.0286983904882135,0.549422497052563,0.104658946210915,-0.570558762050853,0.128823331257406,-0.51328494941043,0.0397082122966709,0.265359565519478,-0.0944277322748451,0.371727425871325,0.0236381517776219,-0.50779958233472,0.28046115445074,-0.229606695491458,0.143988934389497,0.13777100021157,0.337779035774367,0.0306032388900885,0.0365763417333796,0.370817154827334,0.0109417959505396,-0.401905942937399,0.0645764096618723,0.0388198521439153,0.146805388554338,-0.0975879720147664,0.129038374907156,0.399425437687211,-0.253669362419549,-0.162795159269175,-0.37877172986335,-0.492175404114985
mild,0.388796516844491,0.280594613751078,0.307294968516006,-0.0195001968408632,0.324359238348989,0.433591093243341,-0.152040542669552,0.210230230341612,-0.299722643949699,0.219955308299496,-0.477016534507886,0.0449226736271673,-0.003691680469816,0.164992070756791,-0.436291757101714,-0.0245385233523403,-0.125992434410631,0.0043191113743985,-0.086435557439789,0.239613235892897,0.0891958052006288,0.166158938051694,0.0281595775282583,-0.165822920611711,-0.0567795074111664,0.230379205766264,0.25021880540588,0.285602048976461,0.314354248747289,-0.30383683808121,0.0934620210502874,-0.200380208587349,-0.0979023880454082,-0.296034647671112,-0.0818903705419072
mild,-0.0177264519972117,-0.229263821153564,0.0028424828332907,0.0,0.225001896074538,0.299015905980774,-0.341014866182934,0.0856127584188386,-0.0738843415397558,-0.118942451953364,0.0476962419220797,0.0965355351240415,-0.0103392775663035,0.336908524707103,-0.120197749243525,0.0486158292118966,0.0,0.109846300723936,-0.0857882256448307,0.145755907339218,-0.0453235832936073,-0.325887252044221,-0.0080154332568274,0.0,-0.230265528892196,-0.0558886237726731,0.124769326858183,0.153218380783916,0.026988209847774,0.0495859349188877,0.132603233284274,-0.240932773732859,0.0,-0.0577902224300562,0.0285379829863416
moderate,-0.212380092091056,-0.224617383588189,-0.0728559132352797,0.0309304912996237,0.0299044732686006,-0.121604136897618,-0.333937674664037,-0.0429249956515651,-0.0431216792476132,-0.0862847805638029,0.0992484925827113,0.0945600447610619,0.361815348252575,-0.17903594693951,-0.0879992455972384,0.18307115579042,0.0130852371427849,0.0172054624442694,0.170711957139557,-0.124537625602034,0.122028428352663,0.226208507475307,0.115979304668622,0.0958381954206234,-0.189717647831506,-0.0532042131241824,0.0951651011731695,-0.0702845297576625,-0.0311791161147546,0.517870708145298,0.10274999349945,0.0648429689577914,0.0961162898325008,-0.0555094264966526,0.0328274605406259
moderate,0.0350279326981084,-0.241260597270997,0.0529066238511218,-0.0160537070899815,0.445356796398827,0.183245845367988,-0.327462014082397,-0.187737868043888,-0.551900903180746,-0.210246645916162,-0.0129025733400775,-0.036814559426794,-0.0366371474669318,0.0063438642288501,-0.575727048166726,-0.0104725252339655,-0.131450123253904,-0.0323374104563715,-0.123846095264601,0.0740956527775356,0.124776277698228,-0.3206432192053,-0.0775969179981839,-0.21334975123182,-0.400724572753865,0.18769552417732,-0.0568310900880469,-0.173867531594502,-0.043944107816809,-0.191374572123806,0.18363242680654,-0.544848196373156,-0.111595909200036,-0.305286176583472,-0.121155112711712
moderate,0.223084813734689,0.0633915292975288,0.390807836646398,-0.101252647612332,0.618943749042597,0.511050315288959,-0.334543745669059,0.215213837016792,-0.559398811417318,0.236044018388967,0.0303810680163876,-0.0097748244402658,-0.0572379940580269,0.382509170490232,-0.554179339137362,-0.107877618077815,-0.257976208782289,0.177701576187705,-0.11762321039654,0.414667960771351,0.0888427240261311,0.0504494898940083,0.27377718551051,-0.19645337037865,-0.0126969948312321,0.114992183046273,0.28775490661215,0.154266266676262,0.444921687013412,-0.123808953686257,0.375724321413201,-0.267383678184329,-0.185317021199241,-0.215244311470742,-0.276894654828856
moderate,-0.0353402007692896,0.0195448419821763,0.0219395246837923,0.0051788358567051,0.0805805042294061,-0.392259015979938,-0.080715699806692,0.0867535873655435,0.133246211664925,0.0664379560658361,-0.358066245802362,0.0487074302142492,0.417925923332469,-0.450388632781125,0.0754295658159982,0.495509869603966,0.132754310253071,-0.0488400547336773,0.196950471176792,-0.0335044881369383,0.122206007281737,0.202086268074577,0.0225635561346641,0.137036493003796,-0.384255838022933,0.135739583403597,-0.134238022562306,0.0260864455517409,-0.458821072203967,0.298081779288247,0.0933548280397862,0.300269916684367,0.0258979980399898,0.0068635461182125,-0.088661666958518
