group,CD47,CD52,CD3,CD45RA,CD7,CD49f,CD194,CD4,CD45RO,CD62L,CLEC15A,CD27,CD95,CD58,CD235ab,CD54,TCR,CD2,CD226,CD29,CD81,CD18,CD38,CD45,CD71,CD49d,CD305,CD99,CD82,CD224
healthy,0.258807158987727,0.176941862462188,0.343331678228389,0.403170500046172,0.331875007324961,-0.0876705410433395,-0.193862533223205,0.286940070319311,-0.329265913367747,0.317721414510571,-0.181178570421743,0.285310172372606,-0.369035705275579,-0.179313129368166,0.0082612203402676,-0.251326642454458,0.513891130722836,-0.0508931460619141,-0.122146598822466,-0.158388580080413,0.111269871827482,-0.0984790717810445,0.150871783205385,0.143014867152517,0.0078601049653562,-0.128514892804186,0.260517608687993,-0.214862291122149,-0.0793271432471296,-0.301358346009944
healthy,0.118311721988096,-0.0102401876092849,0.461349087561377,0.798969912220266,0.49628966174211,-0.41342156481574,-0.252871443435138,0.185326356498322,-0.757504595534552,0.489027836830336,-0.152296884264176,0.346330579070296,-0.592767529044117,-0.219318283942787,0.0592988633378468,-0.356749054031027,0.610495140804821,-0.268365226021863,-0.402902558416616,-0.358542642697051,0.134343960569971,-0.304482155328257,0.293594672883142,0.0667613537383228,-0.0125203867434732,-0.280424109939481,0.354113012138357,-0.570522437998352,-0.344294694938614,-0.56838876967903
healthy,0.202492219474007,0.242624714379829,0.449732797878444,0.61583847492708,0.615795496302869,-0.397952635855976,-0.404409577884111,0.208269872183608,-0.597535695823447,0.109930819329296,-0.179926089326617,0.471920739812712,-0.600758146109786,-0.48350280763905,0.029151686258165,-0.324694272048618,0.600950675746397,-0.0404422979156075,-0.365564457669346,-0.38895135246453,0.188331099622981,-0.0794122913366827,0.41268474198412,0.239003522000092,-0.156586164889551,-0.186779215659823,0.487976347224313,-0.450740678412214,-0.357188854286407,-0.332027259520715
healthy,0.147341377329909,0.17917025031008,0.462040980949726,0.514839095448276,0.468551731363176,-0.162250425138438,-0.316746035141822,0.260468320636667,-0.325699798695192,-0.154998412192478,-0.13737057391451,0.440188261151325,-0.366315286936303,-0.131785570556247,0.113316469607798,-0.258642385700775,0.478058888854977,0.0026751932556429,-0.197812765889625,-0.0735301998123456,0.215429068230765,-0.197973670459566,0.310190209448449,0.252195658588208,-0.0170707366196897,-0.224004351045798,0.256619987016546,-0.299197722578607,-0.438178853373969,-0.209114919405976
healthy,0.318456530286198,0.188363511613395,0.595385645598525,0.751108981672891,0.591934761147165,-0.407984707074902,-0.321420628936216,0.282065406379697,-0.664831265311915,0.144172634623489,-0.247596178856361,0.337604398905828,-0.668349839239356,-0.22045906332851,0.0431952265713026,-0.349508995413455,0.618723408301012,-0.0410525937252973,-0.429602477724612,-0.326857488128847,0.309131387748735,-0.299294806355333,0.586628135787993,0.271068507975887,0.0331744809618628,-0.281287842147009,0.514969106326157,-0.609930101176368,-0.394193605595077,-0.537072337716146
healthy,0.111718270135945,0.0361473290270746,0.290393700927848,0.665766436229955,0.418206539239933,-0.312217038050978,-0.428078689565776,0.0544868919601332,-0.667649373791938,-0.0785051770780023,-0.314283119368311,0.289958787971994,-0.708758992064846,-0.339669239696905,0.0531952331196716,-0.343584058642105,0.424840258981129,-0.173734186262084,-0.278767362579028,-0.4744841124858,0.12460630545686,-0.417681361682073,0.497391928628922,-0.0456254056908721,-0.0311220367637784,-0.142357619419109,0.295762133827357,-0.616615482121322,-0.484190881284959,-0.360525433620805
healthy,-0.237216216797533,-0.17245198912202,-0.26730569189903,-0.246502630883992,-0.407381141862364,0.111458566992387,0.378601414915224,-0.183708485780314,0.248395860256799,-0.116938463419684,0.185841501340762,-0.24369540098729,0.293376524402999,0.0615849362437649,0.0,0.230075529680697,-0.421130734822379,0.0727714257849056,0.228979478448996,0.112986536573206,-0.0441277889620677,0.097469072322809,0.0373224944895396,-0.216093412468621,0.0,0.0742666409374194,0.0321234092690475,0.194541282889439,0.188767554199648,0.128469531730301
mild,0.379319484177315,0.213559714735266,0.350184161364892,0.548736766271731,0.607728897787495,-0.125143275387624,-0.323310470591788,0.104796298684003,-0.55649683821428,0.0922608715006924,-0.475466441878298,0.632844044400378,-0.718310936777324,-0.324934034825967,0.0635641967197788,-0.552751465313,0.468530594397736,-0.229704463415098,-0.530359939906588,-0.454839756573595,0.173935848052812,-0.460916684215656,0.347636925693321,0.0739273331842883,-0.125355831043147,-0.497109228389883,0.408773705209898,-0.675354448622197,-0.295973444653804,-0.27603362740783
mild,0.314173878904597,0.292510654096962,0.32053173153151,0.483753590810067,0.460389669916582,-0.133007178708324,-0.0873191672067261,0.198823773219287,-0.417902000761661,-0.393536071286134,-0.146717746099377,0.272250997680971,-0.446169783547981,-0.174832735270113,0.104353186291405,-0.165177397773516,0.316081107870218,0.073628613780589,-0.124575763535816,-0.212477855940705,0.0516936251633679,-0.231815051387089,0.380903364982107,0.244736081345666,0.0299749604505964,-0.443678795087646,0.0985178150726465,-0.284239909709803,-0.339895691397129,-0.135414641581509
mild,-0.0797598702885912,-0.115291018451416,-0.447152951559957,-0.370934554384317,-0.143033733404287,0.205149388331448,0.220061261331921,-0.161591738126167,0.322607197403098,0.0756283392174993,-0.105828731110593,0.126044707095883,0.141168196688183,0.0,-0.0011503631063039,-0.0349256809189265,-0.231227658547631,-0.250901755098606,0.107023825813752,0.0,-0.042889989621487,0.0,-0.129020084427751,-0.0603325224328249,0.108859220459026,-0.0881243276931648,-0.0951271526026883,0.166880172001811,0.0903011101151571,0.0218655709470734
