group,CD3,CD45RA,CD7,CD49f,CD194,CD45RO,CD279,CD5,CD62L,CD161,CLEC15A,CD27,CD95,CD278,CD11a,ITGB7,CD54,CD62,TCR,CD41,CD226,CD29,CD49b,CD81,CD18,CD38,CD127,CD26,CD49d,CD305,CD99,CD150,CD82,CD224
healthy,-0.17208096928488,-0.282127657637551,-0.193355781551138,0.023739176773084,0.428670699277371,0.424161052322493,-0.0007668434442807,-0.0358030687373279,-0.306631661822593,0.0537934779137327,0.147556964869126,-0.331680165796369,0.479232307556772,0.293807850463305,0.0933146250765557,-0.0479296895541494,0.123577880749014,-0.0643578771586112,-0.287900103734989,-0.0330331479177846,0.0760366968054148,0.0667073678470294,0.023600834712023,-0.0943145519528891,-0.0066991101984055,-0.100254454458829,-0.196293284583008,-0.0361492626418896,0.0845589597004704,-0.180269680448706,0.200892498925685,0.0867848982674899,0.056502615864331,0.173455343641503
healthy,-0.46837860551774,-0.711980372103761,-0.531133536325249,0.335193789888738,0.228253764228705,0.660955222750979,0.0853257643465382,-0.254448424385332,-0.316397485132619,0.141914520591416,0.151289172205753,-0.290464115060466,0.516671517886474,-0.012544080361642,0.22197090998403,-0.161625318048785,0.262957933177009,-0.100335080777052,-0.584671740822622,-0.118364864240833,0.303372345561416,0.336184144838537,-0.0623562973511462,-0.146627925824589,0.203504723614198,-0.27025182311532,-0.0170570319101848,0.156578365462959,0.102008137047889,-0.381014357813954,0.473837411907553,0.236222714371425,0.283693375669898,0.422947351284946
healthy,-0.202403769863234,-0.426329822824087,-0.244209900505245,0.147965319149024,0.401880383149923,0.486124904093708,0.0359268395755572,-0.0205238031802821,0.367970924322633,0.0918785055806075,0.0065412848817489,-0.122882248085246,0.518642700043826,0.213946654619765,0.203604647597642,-0.0851488046014217,0.208580889822712,-0.186980433479685,-0.243555640599131,-0.193608328509354,0.049106924921487,0.126326248729507,-0.202656963424077,-0.0244011521617199,0.22035840668305,-0.328402048350432,-0.0670894487015424,-0.218568253983293,0.159701480274275,-0.256160201606523,0.411163769240053,0.158207787336095,0.484755219527028,0.31733848682409
healthy,-0.404087257602513,-0.545105216859808,-0.493300280950174,0.0773252462790108,0.294741682403142,0.248667510780112,-0.0474569641547104,-0.228201513545556,0.0262282638849515,-0.138560045204865,-0.0693324665763314,-0.452073820734236,0.320024875821267,0.0840355290711231,-0.0143192939743881,-0.21477021676489,0.0682268693913217,0.086759021402356,-0.419708393019937,-0.0457369990550629,0.0579085336525488,0.0385129299633161,0.017577661138537,-0.299201867226437,0.0386088676918472,-0.232452988635778,-0.304779224120065,-0.383623729860091,0.0555240023663334,-0.328704551180831,0.133452047807876,-0.0449247820996224,0.206140539400122,0.0808667117960317
healthy,-0.517400019197693,-0.625384348275735,-0.538054332643363,0.314731107606826,0.288583104436645,0.549785765533517,0.050157226544795,-0.296052064552246,0.1663250403052,0.0435506444540095,0.193651614876135,-0.308285021348665,0.520993158178154,-0.0924566989487566,0.150658693958522,-0.204127025775285,0.28131102835201,-0.0908820988109171,-0.528025982029694,-0.0707863089522768,0.319802639236112,0.269327834710321,-0.0570014145217313,-0.355854664676349,0.230504218379337,-0.503302083477847,0.0205219626037062,-0.0007271522579763,0.213230051474051,-0.457747566850662,0.522378712278555,0.227641172138231,0.381588240295453,0.411957227736405
healthy,-0.278465937177438,-0.647037329825769,-0.413332669703382,0.243895670513164,0.460777601165857,0.671198845663784,0.119089165316458,0.0280069382583889,-0.0913683363552356,0.156766740816295,0.24166349541656,-0.309845987721857,0.721866369834968,0.337157668039298,0.29531226089435,-0.226233481915469,0.29620204834139,-0.0618730538111161,-0.414158958542923,-0.048200738146368,0.231653863742136,0.28513730630722,-0.0303939252919884,-0.110511318065817,0.390991110086814,-0.342324542925738,-0.0774873830511963,-0.146159018503813,0.166259862990126,-0.311155834870202,0.488313294074061,0.260772662312601,0.441838973128347,0.361550997672827
healthy,-0.21912807553482,-0.265150984575055,-0.074790375120702,0.470366027873387,0.146179818158567,0.105704535029238,-0.0994087553541087,0.0207858363914404,-0.0885959822844671,-0.0955293892915093,-0.015450177419115,-0.0360811564859418,-0.0837949276806601,-0.0684951405433738,-0.0251063019683314,0.0282474692344629,0.131693751186433,0.33738306573206,-0.159237183511763,0.435428742885695,0.404337796486868,0.109107170510607,0.284003076670721,-0.0800119250411119,-0.109107170510607,-0.11108913289167,0.295152381043968,0.150659885541948,0.195281659773741,-0.0250311002263167,0.25440566365214,0.0,0.410037996796213,0.0317566471755918
mild,-0.184547219202426,-0.421715997701191,-0.541785179765622,0.189347599843571,0.295689004265851,0.476038213470632,0.118182558134302,-0.0849366817320355,0.025159250897304,0.0447486632733485,0.47937383253282,-0.477819833261379,0.616824711592083,0.10452754512422,0.450145237846101,-0.312216989269273,0.485997168059652,0.0383789041077148,-0.314155799837417,0.0421763257678573,0.43806281284521,0.402875839081304,0.0370179161386794,-0.0762373402542761,0.455533332443349,-0.280487999561027,-0.409489558506563,-0.5115615906003,0.339555284442371,-0.29175076907467,0.578113565474089,0.147630933886425,0.0952892831500587,0.17556548099327
mild,-0.204796775578921,-0.220978398587767,-0.326698089338719,0.108419028805527,0.159137462328443,0.276221819477551,0.111788836781911,-0.0647413377341058,0.25840061872662,-0.111580073175511,-0.0369196550875372,-0.0959066029377878,0.401914942805838,0.329735940626292,0.132463587179691,-0.0662912945283464,0.0940656376905406,-0.159672955035832,-0.182261501687049,-0.129222700703737,-0.0196148106915139,0.0981082338096374,-0.196846576781119,0.07579560947721,0.222050450673072,-0.142358594235196,-0.169688236206633,-0.340608699942964,0.177709617225515,-0.000580583874872,0.192697759886005,0.0954375114035992,0.187336445954221,0.0318427844932287
mild,0.049526160048416,0.0700130173714013,-0.0737936055192502,0.19656624087334,-0.102604272403367,-0.0578741231216637,0.0513486888957668,0.0076358370561551,0.0684305705981277,0.018485528002476,0.0380287444727405,-0.10421841592954,-0.144779959599828,-0.0790642517434026,0.0344578915116056,0.0576944137745133,0.0987684313198765,0.107098627272154,0.0954689136428302,0.589763097692243,0.05929366959773,0.0,0.120033369556071,0.0039928732334936,0.0,0.0458777275475674,-0.197369964158877,0.0347549702792295,0.0801211783432387,-0.0999220044671952,-0.116370634123817,0.0,-0.121854641876245,-0.0801513909418193
