group,CD273,CD47,CD52,CD3,HLA-ABC,CD45RA,CD7,CD49f,CD194,CD4,CD45RO,CD279,CD5,CD62L,CD161,CLEC15A,CD27,CD95,CD278,CD11a,CD244,ITGB7,CD54,CD62,TCR,CD41,CD2,CD226,CD29,CD28,CD127,CD45,CD305,CD99,CD85j,CD82,CD224
healthy,-0.0098117860913136,0.178736470938963,0.0413537733574434,0.237629035920619,0.0073559467963532,0.559309999629697,0.328339526698568,-0.0625585149199021,-0.279772006057042,-0.0419293098996761,-0.440036563640928,-0.0815602682257521,0.0057839267252473,0.308386941393743,-0.0143405454595709,0.0016006360692498,0.243237456036108,-0.449661771763298,-0.225038252931039,-0.0876007712688812,-0.0320206501240372,0.103873230771395,-0.0403099773930642,0.142556207010233,0.28019177962747,0.0972074979687531,-0.0390792962220465,0.0188765108276,-0.105419886965272,-0.114716697577523,0.284389929748325,0.105034089618143,0.327930341104137,-0.248756516535984,0.0991776599686074,-0.193559302845301,-0.286275724086141
healthy,-0.0004857630736505,0.189589811706789,0.180799179437489,0.025345888031338,0.0716915426929683,-0.0359928613708704,-0.0205083900065944,0.168254419555446,0.0358507740157209,0.101270816452225,0.159751236837482,0.017208970606134,0.0965786895674114,-0.234588974013129,0.0485952526622352,0.094560575376686,-0.0108283865724816,0.141230432888265,0.016345959989295,0.163555404096622,0.114551878230433,0.0472522009242585,0.15018301778881,0.170195916692544,-0.0479371095113188,0.128171844924015,0.215683362830062,0.149928604166621,0.0783991279675055,0.108657580778552,0.237313557020839,0.0790080334836266,0.0765004383167672,0.141646029173847,0.0383239519478766,0.0775995284650742,0.157939198929057
healthy,-0.038760799232836,0.282906329731608,0.280295618364487,0.144423260272152,0.151815578277991,-0.0585080142191817,0.113734382955828,-0.0171677559715679,-0.0549665007866735,0.111656446390037,0.0997635778290312,-0.0993860778012223,0.0502818565148479,-0.567659897020198,0.098435722959833,0.111846815802128,0.0867404384032773,0.0253502839197682,-0.118398433562537,0.139513351626388,-0.04323399746356,-0.0655809446078722,-0.064176002696203,-0.0492138808428844,0.0729682154541227,0.0374427330150209,0.197062085914922,-0.0896344734106742,0.0488163740030667,0.0903089632527905,0.277633467630207,0.205356432699645,0.013323671693154,0.0572865278120184,0.0132763706199927,-0.192186747531755,0.0046907074961662
healthy,-0.0031647827801598,0.175892651552926,0.305739576930146,0.0657460778680813,0.184094110648086,-0.0890772190511587,0.004241703024344,0.18728847142856,0.0433496320302062,0.158680731606867,0.215442905725956,0.074745077294445,0.295164363828106,-0.282753232742836,0.0945140867272688,0.206181041367948,0.0408590819964778,0.142500494030705,-0.0613900483503949,0.225228833707115,0.0702292372284725,0.0449657359743169,0.186214238108805,0.1284079227186,-0.0606564839621986,0.23704151802733,0.262716153554331,0.272219797122875,0.174234629531723,0.129618582099457,0.352950782994059,0.163487762544802,0.0228772735914243,0.25348591527993,0.0186758446966123,0.026826412250299,0.167532296873943
healthy,0.0552270975499182,0.258952671428918,0.28418007084962,0.165609523286866,0.150312902171081,0.0347087663260913,0.0146560843776448,0.049309501996976,-0.0659990873462701,0.163351138579589,0.0540705384177931,0.0559429705708289,0.169798884282955,-0.50110351462551,0.10631402867376,0.0990460201547723,-0.0754828124683923,0.0441253733290268,-0.0915818827790859,0.0841526811830731,0.0939334949574708,0.0244370777736442,0.0537456756689833,0.0745280731446508,0.0678210504236672,0.0413167504368878,0.22917179826974,0.0387971735197983,0.024262664935647,0.0597115681493147,0.255589713934639,0.166857734906417,0.0300065715144035,-0.0073037426301186,0.0741604397418902,-0.100884806263655,0.0198270070647334
healthy,0.0467182559859144,0.194497953165244,0.271749292268634,0.04802061005007,0.302717795012923,-0.358198724357108,-0.25420951202163,0.294316115975607,0.286269574909453,0.180747976533668,0.426947246714856,0.117078920947179,0.22285671477756,-0.519406623338116,0.157670587953168,0.330747568045776,-0.207044498234553,0.468250511735475,0.0582812693422827,0.299265928742148,0.250299510973085,-0.138769077173757,0.299233512391456,0.159073226396966,-0.181051650978391,0.10692503785229,0.335840888764561,0.304479209196063,0.403260851161949,0.0799953763111833,0.0416328150677109,0.269259867742236,-0.177681436248035,0.249129073325033,0.140760306287639,0.214788589771636,0.268811453829707
healthy,0.0,0.164419894434449,0.371815856288627,-0.210336731234938,0.0,-0.211496230198584,-0.158556547830199,0.298854840111357,0.0965578728558022,0.020771802384807,0.241601612988078,0.0140627019769227,0.301456675647631,-0.54948260218316,-0.0460674719933674,0.183733380004379,-0.153315144094433,-0.0495615147438502,-0.0845988460453457,0.0222265872173332,-0.0013114776176612,-0.0818208199643563,-0.0471856190125583,-0.0186525084773607,-0.192611757674793,-0.0514167460828028,0.373648409776247,-0.0313090765745607,-0.112016695057557,0.206621150772128,0.177366013709649,0.121469833445421,-0.0521044368852706,0.245835654668131,0.0,0.0518189845187747,-0.0298287562846621
mild,0.0182229985271346,-0.0239369522938294,-0.0778427637600368,-0.0530650277761947,0.27667369204358,-0.126657838503392,-0.251139428761911,0.222473023916628,-0.0825179555047236,0.0593744313024174,0.229995991107857,0.029100999481181,-0.0159524806482687,-0.330820656158745,0.0278856446796439,0.582651972005986,-0.467164335716143,0.302505943466367,-0.160661577837383,0.43504325501283,0.526394514476542,-0.135044552529405,0.437700180094394,0.162061440673418,-0.195398297610916,0.162414547884771,0.307880527117249,0.498656207147089,0.352938911990097,-0.265916393794223,0.0696040707842524,0.128833388896747,-0.148247532129031,0.374967355617362,0.0346073878278537,-0.0842833703504795,-0.0207983467250925
mild,0.114560337158243,0.291782946146036,0.366024053610055,0.279022778451289,-0.0119428607576329,0.17676550249769,0.272934607676338,-0.0151202859560357,0.0827063024625696,0.213384565115642,-0.0615966895383802,0.0369723189584313,0.229169300274654,-0.477860108061693,0.0733914636071109,0.066826153545478,0.0468985335276272,-0.149723003943374,-0.0721462145215806,0.0794976427878611,0.124413218780047,-0.0154247658996459,0.0078209434854398,0.136340634499134,0.159675901710675,0.127957723783703,0.250752394971787,0.0270501760103328,-0.0375681750101584,0.0845072725051001,0.0981973377393795,0.301978748484711,-0.0465813508544306,-0.0263019048224937,0.117152801235863,-0.0746949455697309,0.0930490409725777
mild,0.0,0.266024107142352,0.19431286021591,0.0659394467498324,0.0,0.046849374278811,0.043092031894613,0.242949808750509,-0.0892182957536244,-0.04022981674543,-0.131929337741842,0.0992741318651491,0.0466159973071641,-0.145299441594192,-0.0746267611951811,-0.0062515123295435,-0.0263351788723901,-0.117443824826938,-0.122522790693894,-0.0687992711543829,0.0759815288475483,-0.0299518662429127,0.0513314972879663,0.417321825699144,0.163183152299974,0.301024967147355,0.049863817673932,0.056521545911496,0.0,-0.0583890355165296,-0.27411379901862,0.0556669407928947,-0.082533143155223,-0.26040697854613,0.0,-0.312637558083813,-0.1445976879142
